<DATE>,<CLOSE>
2014-11-06,37.05
2014-11-07,37.1
2014-11-10,37.1
2014-11-12,37.85
2014-11-13,37.79
2014-11-14,37.03
2014-11-17,38
2014-11-18,36.75
2014-11-19,36.8
2014-11-20,36.8
2014-11-21,36.1
2014-11-24,34
2014-11-25,27.7
2014-11-26,23.47
2014-11-27,21.5
2014-11-28,25.26
2014-12-01,26.45
2014-12-02,25
2014-12-03,25.9
2014-12-04,27
2014-12-05,27.5
2014-12-08,27.35
2014-12-09,27.5
2014-12-10,25.1
2014-12-11,27
2014-12-12,27.5
2014-12-15,26.23
2014-12-16,25.81
2014-12-17,27.19
2014-12-18,27.19
2014-12-19,27.19
2014-12-22,27
2014-12-23,27.19
2014-12-29,25.26
2014-12-30,26.9
2015-01-02,28.4
2015-01-05,28.29
2015-01-07,28
2015-01-08,26.77
2015-01-09,26.8
2015-01-12,25
2015-01-13,25.49
2015-01-14,26
2015-01-15,25.34
2015-01-16,26
2015-01-19,26
2015-01-20,26
2015-01-21,26
2015-01-22,25.9
2015-01-23,25.9
2015-01-26,25.7
2015-01-27,25.7
2015-01-28,23.9
2015-01-29,23.9
2015-01-30,24.8
2015-02-02,24.49
2015-02-03,24.5
2015-02-04,23.69
2015-02-05,23.4
2015-02-06,22.99
2015-02-09,22.9
2015-02-10,23.9
2015-02-11,23.8
2015-02-12,23.68
2015-02-13,23.1
2015-02-16,23.1
2015-02-17,23
2015-02-18,22.69
2015-02-19,23.1
2015-02-20,28
2015-02-23,32.15
2015-02-24,36
2015-02-25,35.9
2015-02-26,35.5
2015-02-27,35.5
2015-03-02,35
2015-03-03,31
2015-03-04,34
2015-03-05,34.9
2015-03-06,35
2015-03-09,34.5
2015-03-10,33.5
2015-03-11,34.5
2015-03-12,34
2015-03-13,35
2015-03-16,34.5
2015-03-17,35
2015-03-18,34.5
2015-03-19,34.5
2015-03-20,33
2015-03-23,33
2015-03-24,33
2015-03-25,32.47
2015-03-26,33
2015-03-27,33
2015-03-30,31
2015-03-31,32
2015-04-01,33
2015-04-07,33
2015-04-09,32
2015-04-10,33
2015-04-13,33
2015-04-14,33
2015-04-15,31.8
2015-04-16,32.9
2015-04-17,32
2015-04-20,31.24
2015-04-21,32
2015-04-22,29
2015-04-23,31.5
2015-04-24,31.5
2015-04-27,31.5
2015-04-28,30
2015-04-29,30.14
2015-04-30,31.1
2015-05-04,29.5
2016-02-08,28.99
2016-02-26,28.89
2016-02-29,28.5
2016-03-02,28
2016-03-10,25
2016-03-11,25
2016-03-16,24.9
2016-03-17,22
2016-03-18,22
2016-03-21,21.9
2016-03-22,21
2016-03-23,20.85
2016-03-29,20.85
2016-04-01,22
2016-04-04,21.99
2016-04-28,19.7
2016-04-29,19.7
2016-05-02,17.52
2016-05-04,17.52
