<DATE>,<CLOSE>
1997-09-25,5.4704
1997-09-26,6.3591
1997-09-30,4.9233
1997-10-01,4.1027
1997-10-02,3.0087
1997-10-03,3.2138
1997-10-06,3.6924
1997-10-07,4.4445
1997-10-09,4.4445
1997-10-10,4.0344
1997-10-13,4.1711
1997-10-14,4.2394
1997-10-15,4.3762
1997-10-16,4.4445
1997-10-17,4.7523
1997-10-20,5.1283
1997-10-21,5.4018
1997-10-22,5.3335
1997-10-23,5.4018
1997-10-24,5.4704
1997-10-27,3.8976
1997-10-28,4.1027
1997-10-29,4.1027
1997-11-03,3.8291
1997-11-04,4.7865
1997-11-05,6.0171
1997-11-06,5.3335
1997-11-07,5.1967
1997-11-12,4.9917
1997-11-13,4.9233
1997-11-14,4.513
1997-11-17,5.1967
1997-11-18,5.3335
1997-11-19,4.5814
1997-11-20,4.9233
1997-11-21,4.7865
1997-11-24,4.7865
1997-11-27,4.7865
1997-11-28,4.4788
1997-12-01,4.9233
1997-12-02,4.3762
1997-12-03,4.5814
1997-12-04,4.7865
1997-12-05,4.7865
1997-12-08,5.1283
1997-12-09,4.7865
1997-12-10,4.6497
1997-12-11,4.6497
1997-12-12,4.7865
1997-12-15,4.718
1997-12-16,4.7523
1997-12-17,4.7865
1997-12-18,4.889
1997-12-19,4.7865
1997-12-22,4.718
1997-12-29,4.6497
1997-12-30,4.7865
1997-12-31,4.7865
1998-01-05,4.6497
1998-01-06,4.6497
1998-01-07,4.513
1998-01-08,4.513
1998-01-09,4.6497
1998-01-12,4.6497
1998-01-13,4.7865
1998-01-14,4.9917
1998-01-15,5.3335
1998-01-16,5.4704
1998-01-19,5.1625
1998-01-20,4.9233
1998-01-21,4.3762
1998-01-22,5.2309
1998-01-23,5.2652
1998-01-26,5.3335
1998-01-27,4.4445
1998-01-28,4.5814
1998-01-29,4.4445
1998-01-30,4.3762
1998-02-02,4.4445
1998-02-03,4.7865
1998-02-04,4.7865
1998-02-05,4.7865
1998-02-06,4.8549
1998-02-09,4.889
1998-02-10,4.7865
1998-02-11,4.8206
1998-02-12,5.06
1998-02-13,5.1967
1998-02-16,5.3676
1998-02-17,5.06
1998-02-18,4.8549
1998-02-20,5.06
1998-02-23,4.8206
1998-02-24,4.7523
1998-02-25,4.718
1998-02-26,4.9233
1998-02-27,5.06
1998-03-02,4.9917
1998-03-03,4.9233
1998-03-04,5.0941
1998-03-05,4.889
1998-03-06,4.7865
1998-03-09,4.7523
1998-03-10,4.7865
1998-03-11,4.7865
1998-03-12,4.6838
1998-03-13,4.718
1998-03-16,4.7865
1998-03-17,4.7865
1998-03-19,4.9233
1998-03-20,5.6753
1998-03-23,5.7096
1998-03-24,5.5727
1998-03-25,6.0514
1998-03-26,5.8121
1998-03-27,5.6753
1998-03-30,5.4704
1998-03-31,5.4704
1998-04-01,5.4362
1998-04-02,5.5044
1998-04-06,5.2652
1998-04-08,5.1625
1998-04-09,5.1625
1998-04-14,4.9233
1998-04-15,5.1625
1998-04-16,4.7865
1998-04-17,5.06
1998-04-20,4.8549
1998-04-21,5.06
1998-04-22,4.9917
1998-04-23,4.7865
1998-04-24,4.9575
1998-04-27,4.9575
1998-04-28,4.718
1998-04-30,4.7523
1998-05-05,4.6497
1998-05-06,4.7523
1998-05-07,4.5814
1998-05-08,4.342
1998-05-11,4.718
1998-05-13,4.1711
1998-05-15,3.8634
1998-05-19,3.8634
1998-05-20,3.4189
1998-05-21,3.4873
1998-05-22,3.4189
1998-05-25,3.3505
1998-05-26,3.624
1998-05-27,3.2138
1998-05-28,3.5557
1998-06-01,3.4189
1998-06-03,3.2822
1998-06-04,3.2138
1998-06-05,2.9061
1998-06-08,3.2138
1998-06-09,2.7694
1998-06-10,3.0087
1998-06-15,2.7694
1998-06-16,2.872
1998-06-17,2.8035
1998-06-18,2.5642
1998-06-19,3.2138
1998-06-23,2.7694
1998-06-24,2.7352
1998-06-26,2.0513
1998-06-30,2.0855
1998-07-01,2.5984
1998-07-06,2.0513
1998-07-08,2.1196
1998-07-09,2.9402
1998-07-10,2.8035
1998-07-13,2.188
1998-07-14,2.2565
1998-07-16,2.3933
1998-07-17,2.4616
1998-07-21,2.2565
1998-07-22,2.3933
1998-07-23,2.5984
1998-07-24,2.8035
1998-07-28,2.872
1998-07-29,2.872
1998-07-30,2.8377
1998-07-31,2.8377
1998-08-03,2.7352
1998-08-04,3.4189
1998-08-05,3.0771
1998-08-06,3.0087
1998-08-07,3.0771
1998-08-11,2.9402
1998-08-13,2.7352
1998-08-14,2.7352
1998-08-17,2.5984
1998-08-21,2.3933
1998-08-26,2.4616
1998-08-28,2.4616
1998-09-01,2.3933
1998-09-02,2.4616
1998-09-15,2.6668
1998-09-16,3.0771
1998-09-17,2.9061
1998-09-18,2.8377
1998-09-22,3.0771
1998-09-23,3.248
1998-09-24,3.6924
1998-09-25,3.3164
1998-09-28,3.2822
1998-10-07,2.9744
1998-10-08,2.9744
1998-10-09,2.9744
1998-10-12,2.9744
1998-10-14,3.0087
1998-10-15,3.0087
1998-10-16,3.0087
1998-10-19,3.0771
1998-10-20,3.0771
1998-10-22,3.0771
1998-10-26,2.9402
1998-10-27,2.8035
1998-10-28,3.0087
1998-10-30,3.1795
1998-11-02,2.8377
1998-11-04,2.2905
1998-11-06,2.6668
1998-11-10,2.188
1998-11-12,2.0513
1998-11-23,2.0513
1998-11-30,1.9146
1998-12-01,2.0171
1998-12-02,1.9146
1998-12-07,1.9146
1998-12-09,2.0513
1998-12-10,1.7778
1998-12-11,1.7436
1998-12-16,1.7778
1998-12-21,1.7094
1998-12-22,1.641
1998-12-23,1.7778
1998-12-29,1.9146
1998-12-30,2.0513
1998-12-31,4.1027
1999-01-04,2.2223
1999-01-06,2.3933
1999-01-07,2.1196
1999-01-12,2.0513
1999-01-26,1.8461
1999-01-27,1.5727
1999-01-28,2.0855
1999-01-29,1.9146
1999-02-02,1.7094
1999-02-03,1.7436
1999-02-11,1.641
1999-02-12,1.8804
1999-02-16,1.7094
1999-02-18,1.7094
1999-02-19,1.7436
1999-02-22,2.0171
1999-02-25,2.0171
1999-02-26,2.0171
1999-03-02,1.9146
1999-03-03,1.5727
1999-03-04,1.7094
1999-03-05,1.3676
1999-03-08,1.5795
1999-03-09,1.6752
1999-03-15,1.5043
1999-03-16,1.5043
1999-03-24,1.2307
1999-03-29,1.0599
1999-04-07,1.1624
1999-04-09,1.0257
1999-04-12,1.0599
1999-04-19,1.2307
1999-04-22,1.3471
1999-04-23,1.2307
1999-04-27,1.3607
1999-04-28,1.3607
1999-04-29,1.3607
1999-04-30,1.2307
1999-05-04,1.2649
1999-05-05,1.2924
1999-05-06,1.4017
1999-05-07,1.6069
1999-05-10,1.7778
1999-05-11,1.5727
1999-05-12,1.7027
1999-05-13,1.7094
1999-05-14,1.9146
1999-05-17,1.8461
1999-05-18,1.9146
1999-05-19,2.53
1999-05-20,2.9402
1999-05-21,2.7352
1999-05-24,2.4275
1999-05-25,2.3933
1999-05-26,2.1539
1999-05-27,2.4616
1999-05-28,2.2223
1999-06-01,2.0513
1999-06-02,2.0513
1999-06-07,1.9146
1999-06-08,1.8804
1999-06-09,2.0171
1999-06-10,2.1196
1999-06-11,2.0855
1999-06-14,1.812
1999-06-15,1.812
1999-06-16,1.8461
1999-06-17,1.8461
1999-06-21,1.9146
1999-06-22,1.7778
1999-06-25,1.7094
1999-06-28,1.7436
1999-06-29,1.641
1999-07-01,1.9146
1999-07-02,1.641
1999-07-06,1.5386
1999-07-07,1.5727
1999-07-14,1.983
1999-07-20,1.641
1999-07-22,1.641
1999-07-23,1.7094
1999-08-05,1.4907
1999-08-10,1.4429
1999-08-11,1.3676
1999-08-12,1.6069
1999-08-16,1.6069
1999-08-18,1.812
1999-08-19,1.7094
1999-08-23,1.7778
1999-08-24,1.812
1999-08-25,1.7778
1999-08-26,1.8804
1999-08-27,1.648
1999-08-31,1.6685
1999-09-01,1.6616
1999-09-02,1.6616
1999-09-10,1.4086
1999-09-13,1.5111
1999-09-15,1.641
1999-09-16,1.5043
1999-09-17,1.518
1999-09-21,1.4701
1999-09-22,1.4359
1999-09-23,1.7094
1999-09-24,1.7094
1999-09-27,1.641
1999-09-28,1.6069
1999-09-30,1.4291
1999-10-04,1.5043
1999-10-06,1.6957
1999-10-07,1.5386
1999-10-08,1.5043
1999-10-12,1.5386
1999-10-14,1.477
1999-10-15,1.4429
1999-10-19,1.4701
1999-10-20,1.4429
1999-10-21,1.4496
1999-10-26,1.3744
1999-10-28,1.4222
1999-11-02,1.3676
1999-11-05,1.3059
1999-11-08,1.3333
1999-11-09,1.3401
1999-11-15,1.3129
1999-11-16,1.3538
1999-11-17,1.3676
1999-11-18,1.3129
1999-11-19,1.5727
