<TICKER>,<DATE>,<CLOSE>
FTE,1996-07-24,7.5039
FTE,1996-07-25,8.2528
FTE,1996-07-26,9.0739
FTE,1996-07-29,9.548
FTE,1996-07-30,8.8724
FTE,1996-07-31,8.7353
FTE,1996-08-01,8.1881
FTE,1996-08-02,8.0512
FTE,1996-08-05,8.2528
FTE,1996-08-06,8.4616
FTE,1996-08-07,8.3248
FTE,1996-08-08,8.1881
FTE,1996-08-09,8.2528
FTE,1996-08-12,8.2528
FTE,1996-08-13,7.9144
FTE,1996-08-14,8.1159
FTE,1996-08-16,7.8422
FTE,1996-08-19,8.1881
FTE,1996-08-20,8.0512
FTE,1996-08-21,7.9792
FTE,1996-08-22,8.1881
FTE,1996-08-23,8.1881
FTE,1996-08-26,8.2528
FTE,1996-08-27,8.1159
FTE,1996-08-28,8.1881
FTE,1996-08-29,7.9792
FTE,1996-08-30,8.1159
FTE,1996-09-02,8.0512
FTE,1996-09-03,7.9144
FTE,1996-09-04,7.7775
FTE,1996-09-05,7.7055
FTE,1996-09-06,7.7775
FTE,1996-09-09,8.0512
FTE,1996-09-10,8.1159
FTE,1996-09-11,8.1159
FTE,1996-09-12,8.1159
FTE,1996-09-13,8.5265
FTE,1996-09-16,9.3475
FTE,1996-09-17,9.3475
FTE,1996-09-18,9.2107
FTE,1996-09-19,9.4836
FTE,1996-09-20,9.4836
FTE,1996-09-23,9.822
FTE,1996-09-24,10.097
FTE,1996-09-25,9.896
FTE,1996-09-26,10.168
FTE,1996-09-27,10.918
FTE,1996-09-30,10.918
FTE,1996-10-01,11.256
FTE,1996-10-02,11.256
FTE,1996-10-03,11.055
FTE,1996-10-04,10.918
FTE,1996-10-07,11.055
FTE,1996-10-08,11.055
FTE,1996-10-09,10.845
FTE,1996-10-10,10.572
FTE,1996-10-11,10.299
FTE,1996-10-14,10.507
FTE,1996-10-15,10.845
FTE,1996-10-16,10.572
FTE,1996-10-17,10.572
FTE,1996-10-18,10.572
FTE,1996-10-21,10.434
FTE,1996-10-22,10.233
FTE,1996-10-23,10.031
FTE,1996-10-24,9.822
FTE,1996-10-25,9.548
