<TICKER>,<DATE>,<CLOSE>
GBK,2017-07-17,18.56
GBK,2017-07-18,18.95
GBK,2017-07-19,19.3
GBK,2017-07-20,19.17
GBK,2017-07-21,19.36
GBK,2017-07-24,19.18
GBK,2017-07-25,19.2
GBK,2017-07-26,18.98
GBK,2017-07-27,19
GBK,2017-07-28,18.9
GBK,2017-07-31,18.55
GBK,2017-08-01,18.47
GBK,2017-08-02,18.45
GBK,2017-08-03,18.76
GBK,2017-08-04,18.7
GBK,2017-08-07,18.7
GBK,2017-08-08,18.65
GBK,2017-08-09,18.8
GBK,2017-08-10,18.75
GBK,2017-08-11,18.89
GBK,2017-08-14,19.09
GBK,2017-08-16,19.18
GBK,2017-08-17,19.3
GBK,2017-08-18,19.56
GBK,2017-08-21,20.7
GBK,2017-08-22,21.7
GBK,2017-08-23,22.49
GBK,2017-08-24,21.8
GBK,2017-08-25,22.49
GBK,2017-08-28,22.5
GBK,2017-08-29,22.57
GBK,2017-08-30,22.7
GBK,2017-08-31,23.4
GBK,2017-09-01,24.2
GBK,2017-09-04,25.7
GBK,2017-09-05,27.1
GBK,2017-09-06,26.21
GBK,2017-09-07,25.3
GBK,2017-09-08,25.6
GBK,2017-09-11,26
GBK,2017-09-12,25.62
GBK,2017-09-13,25.5
GBK,2017-09-14,25.54
GBK,2017-09-15,25.6
GBK,2017-09-18,26.2
GBK,2017-09-19,26.1
GBK,2017-09-20,26
GBK,2017-09-21,25.55
GBK,2017-09-22,25.5
GBK,2017-09-25,25.53
GBK,2017-09-26,25.63
GBK,2017-09-27,25.45
GBK,2017-09-28,25.32
GBK,2017-09-29,25.75
GBK,2017-10-02,26.96
GBK,2017-10-03,27.7
GBK,2017-10-04,27.85
GBK,2017-10-05,27.45
GBK,2017-10-06,27.5
GBK,2017-10-09,26.9
GBK,2017-10-10,26.4
GBK,2017-10-11,26.61
GBK,2017-10-12,26.43
GBK,2017-10-13,26.01
GBK,2017-10-16,25.8
GBK,2017-10-17,25.55
GBK,2017-10-18,25.63
GBK,2017-10-19,24.6
GBK,2017-10-20,24
GBK,2017-10-23,23.1
GBK,2017-10-24,21.88
GBK,2017-10-25,22.5
GBK,2017-10-26,22.78
GBK,2017-10-27,22.9
GBK,2017-10-30,23.75
GBK,2017-10-31,24
GBK,2017-11-02,24.2
GBK,2017-11-03,24.43
GBK,2017-11-06,24.95
GBK,2017-11-07,24.99
GBK,2017-11-08,24.75
GBK,2017-11-09,24.75
GBK,2017-11-10,24.3
GBK,2017-11-13,23.6
GBK,2017-11-14,23.6
GBK,2017-11-15,23.37
GBK,2017-11-16,23.7
GBK,2017-11-17,23.9
GBK,2017-11-20,23.8
GBK,2017-11-21,23.52
GBK,2017-11-22,23.4
GBK,2017-11-23,23.35
GBK,2017-11-24,23.2
GBK,2017-11-27,22.99
GBK,2017-11-28,22.7
GBK,2017-11-29,23
GBK,2017-11-30,23.3
GBK,2017-12-01,23
GBK,2017-12-04,22.95
GBK,2017-12-05,22.69
GBK,2017-12-06,22.5
GBK,2017-12-07,22.85
GBK,2017-12-08,22.75
GBK,2017-12-11,22.74
GBK,2017-12-12,22.5
GBK,2017-12-13,21.92
GBK,2017-12-14,21.69
GBK,2017-12-15,20.32
GBK,2017-12-18,19.61
GBK,2017-12-19,18.8
GBK,2017-12-20,18.5
GBK,2017-12-21,18.68
GBK,2017-12-22,18.99
GBK,2017-12-27,18.7
GBK,2017-12-28,18.53
GBK,2017-12-29,18.39
GBK,2018-01-03,18.5
GBK,2018-01-04,18.74
GBK,2018-01-05,19.54
GBK,2018-01-08,20.05
GBK,2018-01-09,19.28
GBK,2018-01-10,18.7
GBK,2018-01-11,18
GBK,2018-01-12,18.28
GBK,2018-01-15,18.98
GBK,2018-01-16,19.2
GBK,2018-01-17,19.24
GBK,2018-01-18,19.36
GBK,2018-01-19,19.1
GBK,2018-01-22,19.02
GBK,2018-01-23,18.74
GBK,2018-01-24,19.1
GBK,2018-01-25,19
GBK,2018-01-26,19
GBK,2018-01-29,18.86
GBK,2018-01-30,18.5
GBK,2018-01-31,18.4
GBK,2018-02-01,18.08
GBK,2018-02-02,18.1
GBK,2018-02-05,17.5
GBK,2018-02-06,17
GBK,2018-02-07,17.1
GBK,2018-02-08,15.78
GBK,2018-02-09,15.6
GBK,2018-02-12,17.42
GBK,2018-02-13,17.38
GBK,2018-02-14,16.84
GBK,2018-02-15,16.42
GBK,2018-02-16,16.5
GBK,2018-02-19,16.6
GBK,2018-02-20,16.38
GBK,2018-02-21,15.96
GBK,2018-02-22,15.7
GBK,2018-02-23,16.2
GBK,2018-02-26,15.74
GBK,2018-02-27,16
GBK,2018-02-28,15.52
GBK,2018-03-01,16.28
GBK,2018-03-02,12.96
GBK,2018-03-05,11.8
GBK,2018-03-06,11.74
GBK,2018-03-07,11.76
GBK,2018-03-08,11.38
GBK,2018-03-09,11.16
GBK,2018-03-12,10.9
GBK,2018-03-13,10.62
GBK,2018-03-14,11
GBK,2018-03-15,10.48
GBK,2018-03-16,10
GBK,2018-03-19,9.43
GBK,2018-03-20,8.9
GBK,2018-03-21,8.9
GBK,2018-03-22,8.8
GBK,2018-03-23,9.9
GBK,2018-03-26,10.04
GBK,2018-03-27,9.38
GBK,2018-03-28,7.41
GBK,2018-03-29,7.3
GBK,2018-04-03,5.85
GBK,2018-04-04,6.05
GBK,2018-04-05,6.3
GBK,2018-04-06,5.92
GBK,2018-04-09,5.67
GBK,2018-04-10,6.02
GBK,2018-04-11,5.76
GBK,2018-04-12,5.3
GBK,2018-04-13,4.52
GBK,2018-04-16,3.75
