<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2020-07-24,34.9,34.9,26,31.3
2020-07-27,35,40,31.5,40
2020-07-28,45,49.5,36.45,36.45
2020-07-29,36.4,36.4,30,33.8
2020-07-30,34.5,34.5,27,27.6
2020-08-04,33,33.55,29.7,31
2020-08-05,32.2,32.495,29.5,29.65
2020-08-06,30.5,30.5,26.5,27.5
2020-08-07,28.4,28.4,24.805,26.3
2020-08-10,27.6,27.6,25.8,26
2020-08-11,25.85,25.85,22,23.51
2020-08-12,23.105,23.105,20.8,22.095
2020-08-13,22.095,25.485,22.095,24.5
2020-08-14,25.5,26.1,25,25.3
2020-08-17,26.3,26.3,23.67,25
2020-08-18,26.25,26.25,24.01,24.4
2020-08-19,23.5,25.8,23.1,25
2020-08-20,25.28,25.9,24.005,24.7
2020-08-21,24.7,24.95,24.015,24.5
2020-08-24,24.7,26.3,24,24.7
2020-08-25,25.4,25.495,24.5,25.49
2020-08-26,26.27,26.27,25.6,25.61
2020-08-27,25.9,26.3,25.12,25.7
2020-08-28,26,26,25,25.7
2020-08-31,25.01,25.1,24.5,25.1
2020-09-01,25.15,25.205,23.7,24.5
2020-09-02,24.8,25.5,24,24.5
2020-09-03,25.095,25.095,24.51,24.9
2020-09-04,23.7,24.4,23.1,23.15
2020-09-07,23.5,24.28,22.295,23.9
2020-09-08,23.5,23.8,17.234,22.36
2020-09-09,21,21.65,21,21.2
2020-09-10,21.2,22.385,21,21.8
2020-09-11,22.5,23.4,22.4,22.51
2020-09-14,23,23,22.4,22.405
2020-09-15,22.405,22.985,21.27,21.5
2020-09-16,21.5,22.495,21.3,21.9
2020-09-17,22.78,22.78,21.5,22.2
2020-09-18,22.7,22.7,21.205,21.55
2020-09-21,21.55,21.9,20.1,21
2020-09-22,21,21,19,20.99
2020-09-23,21,21,18.7,19.68
2020-09-24,19.9,19.9,18.8,19
2020-09-25,19,19,17.5,18.49
2020-09-28,18.49,18.916,17.906,18.4
2020-09-29,19,20,18.798,19.902
2020-09-30,20.44,20.44,19,19.2
2020-10-01,19.994,19.994,18.85,19.1
2020-10-02,18.9,18.904,17.3,18
2020-10-05,18.44,18.948,18.248,18.5
2020-10-06,18.8,18.8,18.01,18.01
2020-10-07,18.01,18.5,17.998,18
2020-10-08,18,18.48,17.7,18.48
2020-10-09,18.5,18.5,17.428,17.98
2020-10-12,18.4,18.4,16.9,17.15
2020-10-13,16.75,17.498,15.082,15.998
2020-10-14,15.2,15.7,14.4,15
2020-10-15,15,17.4,15,15.85
2020-10-16,15.42,17.65,15.42,16.88
2020-10-19,17.51,19,16,18.2
2020-10-20,18.4,18.99,16.998,17.99
2020-10-21,18.85,20,18.018,18.4
2020-10-22,18.4,18.878,16.61,18
2020-10-23,18,18,16.63,17.3
2020-10-26,17.95,17.95,16.2,16.9
2020-10-27,16.5,17.788,15.9,16
2020-10-28,15.9,15.98,14,15
2020-10-29,14.22,14.978,13.51,13.904
2020-10-30,13.7,14.38,13.06,14.38
2020-11-02,14.85,14.85,13.498,13.898
2020-11-03,14.2,14.298,13.5,13.988
