<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2010-11-09,30.543,32.499,30.39,32.499
2010-11-10,32.499,32.499,31.294,31.294
2010-11-12,30.753,32.258,30.09,32.258
2010-11-15,32.137,32.378,31.294,31.655
2010-11-16,31.474,31.596,30.813,30.813
2010-11-17,30.783,31.294,30.513,30.513
2010-11-18,30.994,31.355,30.722,30.722
2010-11-19,30.994,31.054,30.662,30.813
2010-11-22,30.813,30.994,30.722,30.842
2010-11-23,30.813,30.813,30.181,30.181
2010-11-24,30.39,30.693,30.181,30.693
2010-11-25,30.783,30.842,30.272,30.632
2010-11-26,30.632,30.632,30.036,30.452
2010-11-29,30.211,30.242,29.935,30.001
2010-11-30,29.79,30.39,29.79,30.39
2010-12-01,30.39,31.416,30.211,31.355
2010-12-02,31.355,31.506,31.114,31.325
2010-12-03,31.294,31.355,30.994,31.114
2010-12-06,31.084,31.114,30.632,30.753
2010-12-07,30.513,30.693,30.332,30.543
2010-12-08,30.422,30.753,30.332,30.753
2010-12-09,30.693,30.813,30.452,30.693
2010-12-10,30.693,30.753,30.513,30.603
2010-12-13,30.632,30.994,30.632,30.994
2010-12-14,30.753,30.933,30.452,30.452
2010-12-15,30.422,30.513,30.361,30.481
2010-12-16,30.452,30.481,30.242,30.452
2010-12-17,30.332,30.39,30.211,30.242
2010-12-20,30.242,30.39,30.031,30.39
2010-12-21,30.181,30.242,30.09,30.211
2010-12-22,30.09,30.272,30.083,30.152
2010-12-23,30.09,30.152,30.036,30.036
2010-12-27,30.047,30.083,29.676,29.701
2010-12-28,29.668,29.79,29.369,29.61
2010-12-29,29.489,30.08,29.489,30.08
2010-12-30,30.09,30.09,29.849,29.881
2010-12-31,29.883,29.999,29.305,29.492
2011-01-03,29.548,29.73,29.381,29.668
2011-01-04,29.668,30.12,29.668,29.958
2011-01-05,29.935,29.958,29.386,29.79
2011-01-07,29.61,29.639,29.236,29.261
2011-01-10,29.188,29.205,28.056,28.376
2011-01-11,28.255,28.846,28.255,28.766
2011-01-12,28.888,29.603,28.857,29.603
2011-01-13,29.489,29.548,29.188,29.188
2011-01-14,29.188,29.61,29.068,29.61
2011-01-17,29.489,29.489,28.888,29.109
2011-01-18,29.068,29.278,28.827,29.241
2011-01-19,29.109,29.127,28.888,29.068
2011-01-20,28.888,29.037,28.827,28.888
2011-01-21,28.888,29.127,28.888,29.127
2011-01-24,28.917,29.037,28.623,28.851
2011-01-25,28.766,28.978,28.737,28.978
2011-01-26,28.947,29.361,28.851,29.188
2011-01-27,29.199,29.489,29.188,29.369
2011-01-28,29.369,29.688,29.188,29.369
2011-01-31,29.134,29.14,28.891,28.993
2011-02-01,28.893,29.037,28.893,29.001
2011-02-02,29.007,29.055,28.935,29.055
2011-02-03,29.015,29.469,29.007,29.469
