<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2011-04-13,2.8737,2.9255,2.3232,2.6846
2011-04-14,2.5813,2.8393,2.5813,2.5813
2011-04-15,2.4779,2.5813,2.1597,2.5813
2011-04-18,2.4522,2.5813,2.4264,2.4522
2011-04-19,2.4522,2.8221,2.4091,2.7276
2011-04-20,2.7102,2.7102,2.5813,2.5813
2011-04-21,2.5813,2.7102,2.5813,2.5898
2011-04-26,2.6242,2.65,2.5813,2.607
2011-04-27,2.6155,2.693,2.5898,2.607
2011-04-29,2.6038,2.6823,2.6038,2.6823
2011-05-02,2.6846,2.6846,2.607,2.607
2011-05-04,2.5984,2.5984,2.5984,2.5984
2011-05-05,2.6155,2.6155,2.607,2.607
2011-05-06,2.607,2.607,2.607,2.607
2011-05-09,2.607,2.607,2.607,2.607
2011-05-10,2.6155,2.6155,2.607,2.607
2011-05-11,2.6415,2.7102,2.607,2.607
2011-05-12,2.6846,2.6846,2.6329,2.6329
2011-05-13,2.6329,2.6329,2.6329,2.6329
2011-05-17,2.6415,2.6415,2.6415,2.6415
2011-05-18,2.6329,2.6329,2.6329,2.6329
2011-05-19,2.6672,2.7102,2.6329,2.6329
2011-05-23,2.6242,2.6242,2.6242,2.6242
2011-05-24,2.6242,2.6242,2.607,2.607
2011-05-25,2.6242,2.6242,2.6242,2.6242
2011-05-26,2.6242,2.6242,2.6242,2.6242
2011-05-27,2.6242,2.6242,2.6242,2.6242
2011-05-31,2.5952,2.6038,2.5952,2.6038
2011-06-01,2.607,2.607,2.607,2.607
2011-06-07,2.6586,2.7102,2.6242,2.6242
2011-06-08,2.6242,2.6242,2.607,2.607
2011-06-10,2.6672,2.6672,2.6672,2.6672
2011-06-13,2.6242,2.6242,2.6242,2.6242
2011-06-14,2.607,2.607,2.607,2.607
2011-06-15,2.607,2.607,2.607,2.607
2011-06-16,2.607,2.607,2.5813,2.5813
2011-06-17,2.521,2.521,2.521,2.521
2011-06-21,2.521,2.521,2.521,2.521
2011-06-22,2.4952,2.4952,2.4952,2.4952
2011-06-28,2.5813,2.5813,2.5384,2.5384
2011-06-30,2.5777,2.5777,2.5777,2.5777
2011-07-06,2.5813,2.5813,2.5813,2.5813
2011-07-07,2.5813,2.5813,2.5813,2.5813
2011-07-11,2.5813,2.5813,2.5727,2.5727
2011-07-13,2.5727,2.5813,2.5727,2.5813
2011-07-18,2.6242,2.6242,2.6242,2.6242
2011-07-27,2.4608,2.4608,2.4177,2.4177
2011-07-28,2.3232,2.3232,2.3232,2.3232
2011-08-02,2.2207,2.2207,2.064,2.064
2011-08-03,2.022,2.022,1.8929,1.8929
2011-08-04,1.8499,2.2715,1.764,2.2715
2011-08-05,1.936,2.2284,1.936,2.2284
2011-08-08,2.1511,2.1511,1.9102,1.9102
2011-08-10,1.9791,1.9791,1.9791,1.9791
2011-08-11,1.9791,1.9791,1.9791,1.9791
2011-08-12,1.9791,1.9791,1.9791,1.9791
2011-08-16,1.8929,1.9015,1.8929,1.9015
2011-08-23,1.936,1.9791,1.936,1.9791
2011-08-29,1.9876,2.3748,1.9876,2.0737
2011-08-30,2.1683,2.4091,2.1683,2.2629
2011-08-31,2.273,2.482,2.273,2.482
2011-09-01,2.349,2.349,2.3404,2.3404
2011-09-02,2.2555,2.2555,2.1858,2.1858
2011-09-05,2.2025,2.5296,2.2025,2.5296
2011-09-07,2.273,2.273,2.2382,2.2382
2011-09-08,2.2642,2.334,2.2642,2.334
2011-09-09,2.392,2.392,2.392,2.392
2011-09-12,2.4264,2.4264,2.4264,2.4264
2011-09-13,2.435,2.5039,2.435,2.5039
2011-09-15,2.5039,2.5039,2.4091,2.4952
2011-09-16,2.4123,2.4123,2.4123,2.4123
2011-09-19,2.3404,2.3404,2.3404,2.3404
2011-09-20,2.3748,2.3748,2.3404,2.3404
2011-09-23,2.3426,2.3513,2.3426,2.3513
2011-09-26,2.2371,2.2371,2.2371,2.2371
2011-09-28,2.1511,2.2382,2.1511,2.2382
2011-09-29,2.1423,2.2382,2.1423,2.2382
2011-09-30,2.125,2.1336,2.1075,2.1075
2011-10-03,2.1511,2.1511,2.1511,2.1511
2011-10-05,2.1771,2.1771,2.1771,2.1771
2011-10-06,2.09,2.09,2.09,2.09
2011-10-07,2.0117,2.0117,1.9246,1.942
2011-10-10,1.9158,1.9246,1.8984,1.8984
2011-10-11,1.9072,1.9769,1.8898,1.9682
2011-10-12,1.881,1.8984,1.8027,1.8984
2011-10-13,1.8724,1.8724,1.8724,1.8724
2011-10-14,1.881,1.881,1.881,1.881
2011-10-18,1.8462,1.8462,1.829,1.829
2011-10-21,1.8898,1.8898,1.8898,1.8898
2011-10-25,1.8202,1.8202,1.8202,1.8202
2011-10-28,1.8548,1.8548,1.8548,1.8548
2011-10-31,1.8984,1.8984,1.8984,1.8984
2011-11-02,1.881,1.881,1.881,1.881
2011-11-04,1.8114,1.8114,1.8027,1.8027
2011-11-07,1.8114,1.8114,1.8114,1.8114
2011-11-09,1.7591,1.7679,1.7505,1.7679
2011-11-10,1.7679,1.7679,1.7679,1.7679
2011-11-14,1.7505,1.7505,1.7418,1.7418
2011-11-15,1.7418,1.8202,1.7418,1.8202
2011-11-16,1.8114,1.8114,1.8114,1.8114
2011-11-21,1.829,1.829,1.829,1.829
2011-11-25,1.7591,2.1771,1.7591,2.1771
2011-11-29,2.0204,2.6038,1.942,1.942
2011-12-01,1.9857,2.0727,1.9857,2.0727
2011-12-02,2.0465,2.0814,2.0465,2.0814
2011-12-08,1.9857,1.9857,1.9158,1.9158
2011-12-09,1.9158,1.9158,1.9158,1.9158
2011-12-12,1.9072,1.9072,1.9072,1.9072
2011-12-16,1.9332,1.9332,1.7591,1.7591
2011-12-19,1.8027,1.8027,1.4107,1.4107
2011-12-20,1.733,1.733,1.6111,1.6721
2011-12-22,1.7243,1.9158,1.6721,1.7767
2011-12-23,1.6982,1.6982,1.6982,1.6982
2011-12-27,1.6721,2.003,1.6286,2.003
2011-12-28,1.6895,2.212,1.6895,2.2032
2011-12-29,1.6721,2.1162,1.6721,2.1162
2012-01-02,2.0292,2.0292,1.8202,1.8202
2012-01-03,1.9158,2.003,1.9158,2.003
2012-01-10,1.8724,1.8724,1.6373,1.6373
2012-01-16,1.881,1.881,1.794,1.794
2012-01-17,1.9332,1.9332,1.9332,1.9332
2012-01-25,1.9158,1.9158,1.9158,1.9158
2012-01-27,1.9594,1.9857,1.9594,1.9857
2012-02-02,2.0465,2.0465,1.9594,1.9594
2012-02-03,1.9594,1.9857,1.9594,1.9857
2012-02-06,2.0465,2.0465,2.0465,2.0465
2012-02-08,2.1945,2.4123,2.1945,2.2207
2012-02-09,2.3078,2.3252,2.3078,2.3252
2012-02-14,2.2468,2.2468,2.2468,2.2468
2012-02-15,2.2468,2.2468,2.2468,2.2468
2012-02-16,2.1771,2.1771,2.1771,2.1771
2012-02-20,2.1771,2.1771,2.1771,2.1771
2012-02-21,2.1075,2.1336,2.1075,2.1336
2012-02-22,2.1075,2.1771,2.1075,2.1771
2012-02-23,2.1771,2.1771,2.1771,2.1771
2012-02-24,2.125,2.125,2.125,2.125
2012-02-27,2.1771,2.1771,2.1771,2.1771
2012-02-28,2.1771,2.1771,2.1771,2.1771
2012-03-05,2.1771,2.1771,2.1771,2.1771
2012-03-06,2.1336,2.1771,2.1336,2.1771
2012-03-07,2.1771,2.2294,2.1075,2.1075
2012-03-08,2.0987,2.0987,2.0987,2.0987
2012-03-09,2.1511,2.1945,2.1511,2.1771
2012-03-12,2.1075,2.1075,2.1075,2.1075
2012-03-13,2.064,2.064,2.064,2.064
2012-03-16,2.064,2.064,2.064,2.064
2012-03-20,1.9943,1.9943,1.9594,1.9594
2012-03-21,1.9072,1.9072,1.9072,1.9072
2012-03-26,1.8984,1.8984,1.8984,1.8984
2012-03-27,1.9857,1.9857,1.9857,1.9857
2012-04-02,2.0204,2.3688,2.0204,2.2642
2012-04-03,2.3252,2.3252,2.3078,2.3078
2012-04-04,2.2468,2.2468,2.2468,2.2468
2012-04-13,2.1771,2.1771,2.1771,2.1771
2012-04-23,2.1771,2.1771,2.1771,2.1771
2012-04-24,2.1162,2.1162,2.09,2.09
2012-05-14,2.09,2.09,2.0551,2.09
2012-05-15,2.0551,2.0551,2.0551,2.0551
2012-05-16,1.9682,1.9682,1.8984,1.8984
2012-05-17,1.9594,1.9594,1.9594,1.9594
2012-05-21,1.9332,1.9332,1.9332,1.9332
2012-05-23,1.9246,1.9246,1.5763,1.8724
2012-05-28,1.8462,1.8462,1.8462,1.8462
2012-05-29,1.733,1.8637,1.733,1.8637
2012-05-30,1.829,1.829,1.829,1.829
2012-05-31,1.8898,2.1771,1.8898,2.1771
2012-06-06,1.8637,1.8637,1.7418,1.8114
2012-06-08,1.7853,1.7853,1.7853,1.7853
2012-06-14,1.7853,1.7853,1.7853,1.7853
2012-06-15,1.6895,1.6895,1.6546,1.6546
2012-06-18,1.6633,1.6633,1.5763,1.6286
2012-06-19,1.6459,1.9332,1.6459,1.9332
2012-06-20,2.2642,2.2642,1.4544,1.4544
2012-06-21,1.6546,1.6546,1.55,1.5587
2012-06-22,1.5587,1.6199,1.5587,1.6199
2012-06-25,1.5587,1.5587,1.5587,1.5587
2012-06-26,1.6199,1.6721,1.5849,1.5849
2012-06-27,1.5587,1.5763,1.524,1.5763
2012-06-28,1.4806,1.8202,1.4806,1.4892
2012-06-29,1.628,1.7862,1.628,1.7422
2012-07-02,1.6024,1.6024,1.3933,1.3933
2012-07-03,1.437,1.437,1.1147,1.3325
2012-07-05,1.3325,1.4196,1.1234,1.3933
2012-07-06,1.437,1.437,1.437,1.437
2012-07-09,1.4456,1.7243,1.437,1.7157
2012-07-10,1.733,1.8202,1.4631,1.7243
2012-07-11,1.7243,1.7243,1.4806,1.4806
2012-07-12,1.5763,1.5763,1.437,1.5415
2012-07-13,1.4718,1.7068,1.4718,1.6982
2012-07-16,1.5066,1.6982,1.3585,1.6982
2012-07-18,1.498,1.5066,1.498,1.5066
2012-07-19,1.5066,1.8027,1.5066,1.794
2012-07-20,1.8114,2.1336,1.7243,2.1162
2012-07-23,1.733,2.0204,1.733,2.0204
2012-07-24,1.7418,2.421,1.7418,2.421
2012-07-26,2.003,2.2555,1.9332,2.2468
2012-07-27,2.2207,2.3513,2.0551,2.3513
2012-07-30,2.0551,2.4733,2.0551,2.1771
2012-07-31,2.2614,2.4814,1.7862,2.4814
2012-08-01,2.482,2.5169,2.3426,2.3426
2012-08-03,2.3078,2.3078,2.2468,2.2468
2012-08-06,2.2468,2.2468,2.1336,2.1336
2012-08-07,2.2207,2.4384,1.8027,2.3862
2012-08-08,2.064,2.3862,1.9943,1.9943
2012-08-09,1.9857,2.3688,1.8898,2.3688
2012-08-10,1.9682,2.2642,1.942,2.2642
2012-08-13,2.0292,2.2207,1.8114,2.2207
2012-08-14,1.9943,2.3775,1.9332,2.3775
2012-08-16,2.1685,2.3513,2.0814,2.3513
2012-08-22,2.064,2.2642,2.064,2.2642
2012-08-23,2.0814,2.2642,1.9682,2.0292
2012-08-24,2.1162,2.2642,2.0465,2.1945
2012-08-27,2.1598,2.1598,2.1598,2.1598
2012-08-30,2.3602,2.3602,2.3602,2.3602
2012-08-31,2.1822,2.3583,1.971,2.3583
2012-09-03,2.2382,2.2382,2.2382,2.2382
2012-09-04,2.1945,2.1945,2.1511,2.1511
2012-09-05,2.1734,2.1734,2.1734,2.1734
2012-09-06,2.09,2.09,2.0204,2.0204
2012-09-07,2.064,2.2642,1.9332,1.9332
2012-09-10,1.9158,2.1511,1.794,2.1511
2012-09-12,1.829,1.9072,1.8202,1.8202
2012-09-13,1.794,2.1423,1.4718,2.1336
2012-09-14,1.7068,2.1336,1.7068,2.125
2012-09-17,2.0727,2.0727,2.0727,2.0727
2012-09-18,1.829,2.1075,1.7679,2.0727
2012-09-20,1.829,2.1162,1.829,2.1162
2012-09-25,1.9072,2.09,1.9072,2.09
2012-10-04,1.883,2.3054,1.6719,2.3054
2012-10-05,1.9158,2.3949,1.9158,2.3949
2012-10-08,2.0814,2.6038,2.0814,2.6038
2012-10-09,2.5255,2.5863,2.1423,2.5255
2012-10-11,2.3602,2.6038,2.1423,2.6038
2012-10-18,2.3513,2.6038,2.1771,2.5605
2012-10-19,2.2614,2.5869,2.0591,2.5869
2012-10-23,2.3934,2.6045,2.3496,2.6045
2012-10-24,2.4199,2.4199,2.4199,2.4199
2012-10-26,2.4199,2.6045,2.1384,2.3934
2012-10-29,2.367,2.6045,2.367,2.6045
2012-10-30,2.4638,2.6045,2.4463,2.5343
2012-10-31,2.4638,2.9919,2.4638,2.9919
2012-11-02,2.9919,3.4053,2.9919,3.4053
2012-11-05,2.7278,3.1678,2.7278,3.1678
2012-11-06,2.7366,3.1237,2.191,3.1237
2012-11-07,2.6485,2.6485,2.5518,2.5518
2012-11-09,2.5518,2.5518,2.5518,2.5518
2012-11-12,2.4814,2.8951,2.4814,2.8951
2012-11-19,2.4638,2.6485,2.4638,2.6485
2012-11-20,2.4814,2.8422,2.3142,2.7982
2012-11-21,2.4814,2.8158,2.4814,2.7982
