<TICKER>,<DATE>,<CLOSE>
GTC,2004-05-06,7.9739
GTC,2004-05-07,8.2155
GTC,2004-05-10,7.8531
GTC,2004-05-11,7.837
GTC,2004-05-12,7.9257
GTC,2004-05-13,7.8933
GTC,2004-05-14,7.8208
GTC,2004-05-17,7.837
GTC,2004-05-18,7.9335
GTC,2004-05-19,7.9739
GTC,2004-05-20,7.9335
GTC,2004-05-21,7.9739
GTC,2004-05-24,7.9739
GTC,2004-05-25,7.9257
GTC,2004-05-26,7.8933
GTC,2004-05-27,7.9739
GTC,2004-05-28,8.0141
GTC,2004-05-31,7.9416
GTC,2004-06-01,8.0222
GTC,2004-06-02,8.0544
GTC,2004-06-03,8.2155
GTC,2004-06-04,8.3364
GTC,2004-06-07,8.4573
GTC,2004-06-08,8.4977
GTC,2004-06-09,8.537
GTC,2004-06-11,8.7796
GTC,2004-06-14,8.9399
GTC,2004-06-15,9.0209
GTC,2004-06-16,9.0209
GTC,2004-06-17,8.9003
GTC,2004-06-18,8.9804
GTC,2004-06-21,8.9399
GTC,2004-06-22,8.9399
GTC,2004-06-23,9.1017
GTC,2004-06-24,9.1017
GTC,2004-06-25,9.1017
GTC,2004-06-28,9.0209
GTC,2004-06-29,9.1429
GTC,2004-06-30,9.1821
GTC,2004-07-01,9.1429
GTC,2004-07-02,9.1017
GTC,2004-07-05,9.0615
GTC,2004-07-06,8.9003
GTC,2004-07-07,8.9003
GTC,2004-07-08,9.0209
GTC,2004-07-09,8.9399
GTC,2004-07-12,8.9399
GTC,2004-07-13,8.8598
GTC,2004-07-14,8.8193
GTC,2004-07-15,8.537
GTC,2004-07-16,8.537
GTC,2004-07-19,8.6185
GTC,2004-07-20,8.6185
GTC,2004-07-21,8.6185
GTC,2004-07-22,8.6989
GTC,2004-07-23,8.8598
GTC,2004-07-26,8.8598
GTC,2004-07-27,8.8598
GTC,2004-07-28,8.7796
GTC,2004-07-29,8.8193
GTC,2004-07-30,8.7796
GTC,2004-08-02,8.7796
GTC,2004-08-03,8.8193
GTC,2004-08-04,8.6989
GTC,2004-08-05,8.7391
GTC,2004-08-06,8.9003
GTC,2004-08-09,8.6989
GTC,2004-08-10,8.6185
GTC,2004-08-11,8.6587
GTC,2004-08-12,8.4573
GTC,2004-08-13,8.6989
GTC,2004-08-16,8.6185
GTC,2004-08-17,8.9399
GTC,2004-08-18,8.9804
GTC,2004-08-19,8.9003
GTC,2004-08-20,9.0615
GTC,2004-08-23,9.1017
GTC,2004-08-24,9.4234
GTC,2004-08-25,9.4234
GTC,2004-08-26,9.4234
GTC,2004-08-27,9.4234
GTC,2004-08-30,9.505
GTC,2004-08-31,9.706
GTC,2004-09-01,9.666
GTC,2004-09-02,9.666
GTC,2004-09-03,9.746
GTC,2004-09-06,9.706
GTC,2004-09-07,9.867
GTC,2004-09-08,9.827
GTC,2004-09-09,9.746
GTC,2004-09-10,9.505
GTC,2004-09-13,9.625
GTC,2004-09-14,9.746
GTC,2004-09-15,9.947
GTC,2004-09-16,10.028
GTC,2004-09-17,10.068
GTC,2004-09-20,10.028
GTC,2004-09-21,10.068
GTC,2004-09-22,10.23
GTC,2004-09-23,10.39
GTC,2004-09-24,10.148
GTC,2004-09-27,10.068
GTC,2004-09-28,9.987
GTC,2004-09-29,10.108
GTC,2004-09-30,10.108
GTC,2004-10-01,10.23
GTC,2004-10-04,10.309
GTC,2004-10-05,10.148
GTC,2004-10-06,10.108
GTC,2004-10-07,10.068
GTC,2004-10-08,9.987
GTC,2004-10-11,10.068
GTC,2004-10-12,9.947
GTC,2004-10-13,9.786
GTC,2004-10-14,9.3832
GTC,2004-10-15,9.343
GTC,2004-10-18,9.3037
GTC,2004-10-19,9.2626
GTC,2004-10-20,9.2626
GTC,2004-10-21,9.343
GTC,2004-10-22,9.3832
GTC,2004-10-25,9.343
GTC,2004-10-26,9.2626
GTC,2004-10-27,9.4234
GTC,2004-10-28,9.4636
GTC,2004-10-29,9.666
GTC,2004-11-02,9.666
GTC,2004-11-03,9.786
GTC,2004-11-04,9.867
GTC,2004-11-05,9.827
GTC,2004-11-08,9.746
GTC,2004-11-09,9.746
GTC,2004-11-10,9.706
GTC,2004-11-12,9.4234
GTC,2004-11-15,9.583
GTC,2004-11-16,9.505
GTC,2004-11-17,9.343
GTC,2004-11-18,9.343
GTC,2004-11-19,9.583
GTC,2004-11-22,9.343
GTC,2004-11-23,9.1017
GTC,2004-11-24,9.1017
GTC,2004-11-25,9.2626
GTC,2004-11-26,9.3832
GTC,2004-11-29,9.1017
GTC,2004-11-30,9.2626
GTC,2004-12-01,8.9804
GTC,2004-12-02,9.0615
GTC,2004-12-03,9.0615
GTC,2004-12-06,9.0209
GTC,2004-12-07,9.0209
GTC,2004-12-08,9.0209
GTC,2004-12-09,9.0209
GTC,2004-12-10,8.7796
GTC,2004-12-13,8.7796
GTC,2004-12-14,8.8598
GTC,2004-12-15,8.6989
GTC,2004-12-16,8.6185
GTC,2004-12-17,8.6185
GTC,2004-12-20,8.6587
GTC,2004-12-21,8.6185
GTC,2004-12-22,8.4977
GTC,2004-12-23,8.4977
GTC,2004-12-24,8.537
GTC,2004-12-27,8.4977
GTC,2004-12-28,8.4573
GTC,2004-12-29,8.537
GTC,2004-12-30,8.537
GTC,2004-12-31,8.537
GTC,2005-01-03,8.6587
GTC,2005-01-04,8.6185
GTC,2005-01-05,8.1753
GTC,2005-01-06,8.0383
GTC,2005-01-07,8.1349
GTC,2005-01-10,8.1349
GTC,2005-01-11,8.3364
GTC,2005-01-12,8.1753
GTC,2005-01-13,8.1753
GTC,2005-01-14,7.9739
GTC,2005-01-17,8.0544
GTC,2005-01-18,7.5711
GTC,2005-01-19,7.7726
GTC,2005-01-20,7.8208
GTC,2005-01-21,7.8933
GTC,2005-01-24,7.8933
GTC,2005-01-25,7.8933
GTC,2005-01-26,8.0947
GTC,2005-01-27,8.2155
GTC,2005-01-28,8.1753
GTC,2005-01-31,8.2155
GTC,2005-02-01,8.537
GTC,2005-02-02,8.537
GTC,2005-02-03,8.6185
GTC,2005-02-04,8.6989
GTC,2005-02-07,8.6185
GTC,2005-02-08,8.296
GTC,2005-02-09,8.4573
GTC,2005-02-10,8.7391
GTC,2005-02-11,8.6989
GTC,2005-02-14,8.7391
GTC,2005-02-15,8.6587
GTC,2005-02-16,8.537
GTC,2005-02-17,8.8193
GTC,2005-02-18,8.7796
GTC,2005-02-21,8.6989
GTC,2005-02-22,8.7391
GTC,2005-02-23,8.537
GTC,2005-02-24,8.4169
GTC,2005-02-25,8.5782
GTC,2005-02-28,8.4573
GTC,2005-03-01,8.4977
GTC,2005-03-02,8.296
GTC,2005-03-03,8.4169
GTC,2005-03-04,8.6587
GTC,2005-03-07,8.5782
GTC,2005-03-08,8.6185
GTC,2005-03-09,8.6185
GTC,2005-03-10,8.6185
GTC,2005-03-11,8.6989
GTC,2005-03-14,8.7391
GTC,2005-03-15,8.6587
GTC,2005-03-16,8.5782
GTC,2005-03-17,8.6587
GTC,2005-03-18,8.6989
GTC,2005-03-21,8.6989
GTC,2005-03-22,8.7796
GTC,2005-03-23,8.7391
GTC,2005-03-24,8.7391
GTC,2005-03-29,8.6989
GTC,2005-03-30,8.7796
GTC,2005-03-31,8.6989
GTC,2005-04-01,9.0615
GTC,2005-04-04,9.2214
GTC,2005-04-05,9.2214
GTC,2005-04-06,9.0615
GTC,2005-04-07,8.8598
GTC,2005-04-11,8.7796
GTC,2005-04-12,8.8598
GTC,2005-04-13,9.1017
GTC,2005-04-14,9.0615
GTC,2005-04-15,8.9399
GTC,2005-04-18,8.7391
GTC,2005-04-19,8.6185
GTC,2005-04-20,8.537
GTC,2005-04-21,9.1821
GTC,2005-04-22,9.1017
GTC,2005-04-25,9.1017
GTC,2005-04-26,8.8598
GTC,2005-04-27,9.0209
GTC,2005-04-28,8.9003
GTC,2005-04-29,8.8598
GTC,2005-05-04,8.9399
GTC,2005-05-05,9.0209
GTC,2005-05-06,8.9399
GTC,2005-05-09,8.8598
GTC,2005-05-10,8.9003
GTC,2005-05-11,8.6185
GTC,2005-05-12,8.5782
GTC,2005-05-13,8.7391
GTC,2005-05-16,8.4977
GTC,2005-05-17,8.6185
GTC,2005-05-18,8.9399
GTC,2005-05-19,8.9399
GTC,2005-05-20,9.0615
GTC,2005-05-23,9.1017
GTC,2005-05-24,9.0615
GTC,2005-05-25,9.1017
GTC,2005-05-27,9.1017
GTC,2005-05-30,8.7796
GTC,2005-05-31,9.583
GTC,2005-06-01,8.9804
GTC,2005-06-02,8.9804
GTC,2005-06-03,9.1017
GTC,2005-06-06,9.1017
GTC,2005-06-07,9.1017
GTC,2005-06-08,9.1821
GTC,2005-06-09,9.1429
GTC,2005-06-10,9.1017
GTC,2005-06-13,9.1017
GTC,2005-06-14,9.1821
GTC,2005-06-15,9.2214
GTC,2005-06-16,9.1821
GTC,2005-06-17,9.1017
GTC,2005-06-20,8.9399
GTC,2005-06-21,8.9804
GTC,2005-06-22,9.1821
GTC,2005-06-23,9.0209
GTC,2005-06-24,9.1821
GTC,2005-06-27,9.2214
GTC,2005-06-28,9.2626
GTC,2005-06-29,9.1821
GTC,2005-06-30,9.1017
GTC,2005-07-01,9.2214
GTC,2005-07-04,9.343
GTC,2005-07-05,9.505
GTC,2005-07-06,9.505
GTC,2005-07-07,9.505
GTC,2005-07-08,9.666
GTC,2005-07-11,9.746
GTC,2005-07-12,10.068
GTC,2005-07-13,10.068
GTC,2005-07-14,9.987
GTC,2005-07-15,9.987
GTC,2005-07-18,9.867
GTC,2005-07-19,9.987
GTC,2005-07-20,10.23
GTC,2005-07-21,10.148
GTC,2005-07-22,10.108
GTC,2005-07-25,10.068
GTC,2005-07-26,10.269
GTC,2005-07-27,10.269
GTC,2005-07-28,10.632
GTC,2005-07-29,10.632
GTC,2005-08-01,11.196
GTC,2005-08-02,11.679
GTC,2005-08-03,11.598
GTC,2005-08-04,11.598
GTC,2005-08-05,11.437
GTC,2005-08-08,11.518
GTC,2005-08-09,11.277
GTC,2005-08-10,10.954
GTC,2005-08-11,10.873
GTC,2005-08-12,10.39
GTC,2005-08-16,11.035
GTC,2005-08-17,10.632
GTC,2005-08-18,10.471
GTC,2005-08-19,10.632
GTC,2005-08-22,10.593
GTC,2005-08-23,10.752
GTC,2005-08-24,10.954
GTC,2005-08-25,10.793
GTC,2005-08-26,10.873
GTC,2005-08-29,10.954
GTC,2005-08-30,10.793
GTC,2005-08-31,10.873
GTC,2005-09-01,11.277
GTC,2005-09-02,11.437
GTC,2005-09-05,10.954
GTC,2005-09-06,11.277
GTC,2005-09-07,11.598
GTC,2005-09-08,11.437
GTC,2005-09-09,11.437
GTC,2005-09-12,11.437
GTC,2005-09-13,11.558
GTC,2005-09-14,11.518
GTC,2005-09-15,11.598
GTC,2005-09-16,11.679
GTC,2005-09-19,11.799
GTC,2005-09-20,11.437
GTC,2005-09-21,11.437
GTC,2005-09-22,11.277
GTC,2005-09-23,10.954
GTC,2005-09-26,11.196
GTC,2005-09-27,11.437
GTC,2005-09-28,11.437
GTC,2005-09-29,11.478
GTC,2005-09-30,11.598
GTC,2005-10-03,11.679
GTC,2005-10-04,11.679
GTC,2005-10-05,11.035
GTC,2005-10-06,10.873
GTC,2005-10-07,10.873
GTC,2005-10-10,11.196
GTC,2005-10-11,11.437
GTC,2005-10-12,11.518
GTC,2005-10-13,11.196
GTC,2005-10-14,10.914
GTC,2005-10-17,10.954
GTC,2005-10-18,11.277
GTC,2005-10-19,11.236
GTC,2005-10-20,11.277
GTC,2005-10-21,11.397
GTC,2005-10-24,11.277
GTC,2005-10-25,11.316
GTC,2005-10-26,11.277
GTC,2005-10-27,11.075
GTC,2005-10-28,10.954
GTC,2005-10-31,11.277
GTC,2005-11-02,11.277
GTC,2005-11-03,11.277
GTC,2005-11-04,11.357
GTC,2005-11-07,11.316
GTC,2005-11-08,11.518
GTC,2005-11-09,11.679
GTC,2005-11-10,12.002
GTC,2005-11-14,11.84
GTC,2005-11-15,11.84
GTC,2005-11-16,11.679
GTC,2005-11-17,11.679
GTC,2005-11-18,12.002
GTC,2005-11-21,12.041
GTC,2005-11-22,11.639
GTC,2005-11-23,11.518
GTC,2005-11-24,11.598
GTC,2005-11-25,11.518
GTC,2005-11-28,11.437
GTC,2005-11-29,11.316
GTC,2005-11-30,11.518
GTC,2005-12-01,11.84
GTC,2005-12-02,11.598
GTC,2005-12-05,11.719
GTC,2005-12-06,12.002
GTC,2005-12-07,12.846
GTC,2005-12-08,12.767
GTC,2005-12-09,12.323
GTC,2005-12-12,12.727
GTC,2005-12-13,12.888
GTC,2005-12-14,12.968
GTC,2005-12-15,13.047
GTC,2005-12-16,13.531
GTC,2005-12-19,13.452
GTC,2005-12-20,13.571
GTC,2005-12-21,13.653
GTC,2005-12-22,14.015
GTC,2005-12-23,14.095
GTC,2005-12-27,14.176
GTC,2005-12-28,14.095
GTC,2005-12-29,13.934
GTC,2005-12-30,13.934
GTC,2006-01-02,14.498
GTC,2006-01-03,15.303
GTC,2006-01-04,15.303
GTC,2006-01-05,15.949
GTC,2006-01-06,15.949
GTC,2006-01-09,15.062
GTC,2006-01-10,14.659
GTC,2006-01-11,14.82
GTC,2006-01-12,14.982
GTC,2006-01-13,15.303
GTC,2006-01-16,15.787
GTC,2006-01-17,15.827
GTC,2006-01-18,15.949
GTC,2006-01-19,16.512
GTC,2006-01-20,17.278
GTC,2006-01-23,17.116
GTC,2006-01-24,16.592
GTC,2006-01-25,16.269
GTC,2006-01-26,16.269
GTC,2006-01-27,16.512
GTC,2006-01-30,16.552
GTC,2006-01-31,16.351
GTC,2006-02-01,16.673
GTC,2006-02-02,16.673
GTC,2006-02-03,16.914
GTC,2006-02-06,17.479
GTC,2006-02-07,18.445
GTC,2006-02-08,18.726
GTC,2006-02-09,19.17
GTC,2006-02-10,18.606
GTC,2006-02-13,18.163
GTC,2006-02-14,18.525
GTC,2006-02-15,18.525
GTC,2006-02-16,18.525
GTC,2006-02-17,18.847
GTC,2006-02-20,20.339
GTC,2006-02-21,20.339
GTC,2006-02-22,20.096
GTC,2006-02-23,19.33
GTC,2006-02-24,22.753
GTC,2006-02-27,22.391
GTC,2006-02-28,21.264
GTC,2006-03-01,21.747
GTC,2006-03-02,22.391
GTC,2006-03-03,22.109
GTC,2006-03-06,22.432
GTC,2006-03-07,21.344
GTC,2006-03-08,21.424
GTC,2006-03-09,22.029
GTC,2006-03-10,22.029
GTC,2006-03-13,22.189
GTC,2006-03-14,22.311
GTC,2006-03-15,23.156
GTC,2006-03-16,25.372
GTC,2006-03-17,25.21
GTC,2006-03-20,24.969
GTC,2006-03-21,24.405
GTC,2006-03-22,23.68
GTC,2006-03-23,23.198
GTC,2006-03-24,23.358
GTC,2006-03-27,23.358
GTC,2006-03-28,23.116
GTC,2006-03-29,23.277
GTC,2006-03-30,23.198
GTC,2006-03-31,23.318
GTC,2006-04-03,23.156
GTC,2006-04-04,23.156
GTC,2006-04-05,22.955
GTC,2006-04-06,22.795
GTC,2006-04-07,23.036
GTC,2006-04-10,23.277
GTC,2006-04-11,23.036
GTC,2006-04-12,23.036
GTC,2006-04-13,22.955
GTC,2006-04-18,22.915
GTC,2006-04-19,22.753
GTC,2006-04-20,22.272
GTC,2006-04-21,20.942
GTC,2006-04-24,20.539
GTC,2006-04-25,20.942
GTC,2006-04-26,21.424
GTC,2006-04-27,21.586
GTC,2006-04-28,21.424
GTC,2006-05-02,21.626
GTC,2006-05-04,21.586
GTC,2006-05-05,22.795
GTC,2006-05-08,22.15
GTC,2006-05-09,22.15
GTC,2006-05-10,22.391
GTC,2006-05-11,22.391
GTC,2006-05-12,22.391
GTC,2006-05-15,22.109
GTC,2006-05-16,22.472
GTC,2006-05-17,21.184
GTC,2006-05-18,21.546
GTC,2006-05-19,21.062
GTC,2006-05-22,20.942
GTC,2006-05-23,20.136
GTC,2006-05-24,19.128
GTC,2006-05-25,19.49
GTC,2006-05-26,20.297
GTC,2006-05-29,20.297
GTC,2006-05-30,20.297
GTC,2006-05-31,20.055
GTC,2006-06-01,19.814
GTC,2006-06-02,20.055
GTC,2006-06-05,20.297
GTC,2006-06-06,19.814
GTC,2006-06-07,19.573
GTC,2006-06-08,18.928
GTC,2006-06-09,18.928
GTC,2006-06-12,18.042
GTC,2006-06-13,17.156
GTC,2006-06-14,17.317
GTC,2006-06-16,17.8
GTC,2006-06-19,18.606
GTC,2006-06-20,18.606
GTC,2006-06-21,19.573
GTC,2006-06-22,19.531
GTC,2006-06-23,19.693
GTC,2006-06-26,19.894
GTC,2006-06-27,20.539
GTC,2006-06-28,20.861
GTC,2006-06-29,20.942
GTC,2006-06-30,21.344
GTC,2006-07-03,21.264
GTC,2006-07-04,21.304
GTC,2006-07-05,20.942
GTC,2006-07-06,21.344
GTC,2006-07-07,21.344
GTC,2006-07-10,21.667
GTC,2006-07-11,21.586
GTC,2006-07-12,21.667
GTC,2006-07-13,20.982
GTC,2006-07-14,20.942
GTC,2006-07-17,20.539
GTC,2006-07-18,20.901
GTC,2006-07-19,20.982
GTC,2006-07-20,21.867
GTC,2006-07-21,22.552
GTC,2006-07-24,22.713
GTC,2006-07-25,23.116
GTC,2006-07-26,23.6
GTC,2006-07-27,24.969
GTC,2006-07-28,24.164
GTC,2006-07-31,23.439
GTC,2006-08-01,23.318
GTC,2006-08-02,22.955
GTC,2006-08-03,21.948
GTC,2006-08-04,22.432
GTC,2006-08-07,22.391
GTC,2006-08-08,22.875
GTC,2006-08-09,24.485
GTC,2006-08-10,24.164
GTC,2006-08-11,22.795
GTC,2006-08-14,23.036
GTC,2006-08-16,23.198
GTC,2006-08-17,22.068
GTC,2006-08-18,21.827
GTC,2006-08-21,22.23
GTC,2006-08-22,22.23
GTC,2006-08-23,22.391
GTC,2006-08-24,21.667
GTC,2006-08-25,21.344
GTC,2006-08-28,21.103
GTC,2006-08-29,22.15
GTC,2006-08-30,22.472
GTC,2006-08-31,21.747
GTC,2006-09-01,21.424
GTC,2006-09-04,22.552
GTC,2006-09-05,22.077
GTC,2006-09-06,22.391
GTC,2006-09-07,21.909
GTC,2006-09-08,21.988
GTC,2006-09-11,22.311
GTC,2006-09-12,22.753
GTC,2006-09-13,22.875
GTC,2006-09-14,22.827
GTC,2006-09-15,22.955
GTC,2006-09-18,23.519
GTC,2006-09-19,23.342
GTC,2006-09-20,23.439
GTC,2006-09-21,23.841
GTC,2006-09-22,23.439
GTC,2006-09-25,23.963
GTC,2006-09-26,24.164
GTC,2006-09-27,23.761
GTC,2006-09-28,23.761
GTC,2006-09-29,24.164
GTC,2006-10-02,25.283
GTC,2006-10-03,24.969
GTC,2006-10-04,24.566
GTC,2006-10-05,25.13
GTC,2006-10-06,25.106
GTC,2006-10-09,25.307
GTC,2006-10-10,25.484
GTC,2006-10-11,25.935
GTC,2006-10-12,27.386
GTC,2006-10-13,28.102
GTC,2006-10-16,27.386
GTC,2006-10-17,27.102
GTC,2006-10-18,27.941
GTC,2006-10-19,28.513
GTC,2006-10-20,29.391
GTC,2006-10-23,29.689
GTC,2006-10-24,31.01
GTC,2006-10-25,29.947
GTC,2006-10-26,29.285
GTC,2006-10-27,28.987
GTC,2006-10-30,27.788
GTC,2006-10-31,26.902
GTC,2006-11-02,28.19
GTC,2006-11-03,28.956
GTC,2006-11-06,29.398
GTC,2006-11-07,30.526
GTC,2006-11-08,29.962
GTC,2006-11-09,29.801
GTC,2006-11-10,29.398
GTC,2006-11-13,28.987
GTC,2006-11-14,29.398
GTC,2006-11-15,28.198
GTC,2006-11-16,29.592
GTC,2006-11-17,30.124
GTC,2006-11-20,29.641
GTC,2006-11-21,30.124
GTC,2006-11-22,30.316
GTC,2006-11-23,29.407
GTC,2006-11-24,29.801
GTC,2006-11-27,30.366
GTC,2006-11-28,30.124
GTC,2006-11-29,33.023
GTC,2006-11-30,32.926
GTC,2006-12-01,33.829
GTC,2006-12-04,34.312
GTC,2006-12-05,34.175
GTC,2006-12-06,33.708
GTC,2006-12-07,33.426
GTC,2006-12-08,32.701
GTC,2006-12-11,32.346
GTC,2006-12-12,31.791
GTC,2006-12-13,32.62
GTC,2006-12-14,33.748
GTC,2006-12-15,34.593
GTC,2006-12-18,35.439
GTC,2006-12-19,34.593
GTC,2006-12-20,32.861
GTC,2006-12-21,33.829
GTC,2006-12-22,33.184
GTC,2006-12-27,33.184
GTC,2006-12-28,32.572
GTC,2006-12-29,32.379
GTC,2007-01-02,34.352
GTC,2007-01-03,34.755
GTC,2007-01-04,34.32
GTC,2007-01-05,33.99
GTC,2007-01-08,33.346
GTC,2007-01-09,33.829
GTC,2007-01-10,32.581
GTC,2007-01-11,33.908
GTC,2007-01-12,35.439
GTC,2007-01-15,37.445
GTC,2007-01-16,36.568
GTC,2007-01-17,37.051
GTC,2007-01-18,37.856
GTC,2007-01-19,37.686
GTC,2007-01-22,36.817
GTC,2007-01-23,38.661
GTC,2007-01-24,38.501
GTC,2007-01-25,40.273
GTC,2007-01-26,42.286
GTC,2007-01-29,40.352
GTC,2007-01-30,40.031
GTC,2007-01-31,40.273
GTC,2007-02-01,42.205
GTC,2007-02-02,41.077
GTC,2007-02-05,39.829
GTC,2007-02-06,40.273
GTC,2007-02-07,40.835
GTC,2007-02-08,39.305
GTC,2007-02-09,39.064
GTC,2007-02-12,37.469
GTC,2007-02-13,37.856
GTC,2007-02-14,38.902
GTC,2007-02-15,39.547
GTC,2007-02-16,40.273
GTC,2007-02-19,42.689
GTC,2007-02-20,42.085
GTC,2007-02-21,42.366
GTC,2007-02-22,42.689
GTC,2007-02-23,42.93
GTC,2007-02-26,42.689
GTC,2007-02-27,39.95
GTC,2007-02-28,37.815
