<DATE>,<CLOSE>
2001-05-10,2.9164
2001-05-11,3.2096
2001-05-14,3.4544
2001-05-15,3.2096
2001-05-16,3.0304
2001-05-17,3.1608
2001-05-18,3.0956
2001-05-21,3.0956
2001-05-22,3.0144
2001-05-23,3.0468
2001-05-24,2.998
2001-05-25,2.998
2001-05-28,2.9816
2001-05-29,2.9328
2001-05-30,2.884
2001-05-31,2.884
2001-06-01,2.9328
2001-06-04,2.884
2001-06-05,2.884
2001-06-06,2.884
2001-06-07,2.884
2001-06-08,2.9656
2001-06-12,2.9004
2001-06-13,2.9164
2001-06-15,2.8028
2001-06-18,2.8028
2001-06-19,2.8028
2001-06-20,2.7536
2001-06-21,2.8352
2001-06-22,2.8352
2001-06-25,2.8028
2001-06-26,2.4768
2001-06-27,2.558
2001-06-28,2.5256
2001-06-29,2.3952
2001-07-02,2.4768
2001-07-03,2.3952
2001-07-04,2.2976
2001-07-05,2.3788
2001-07-06,2.3952
2001-07-09,2.314
2001-07-10,2.314
2001-07-11,2.2976
2001-07-12,2.33
2001-07-13,2.33
2001-07-16,2.3952
2001-07-17,2.558
2001-07-18,2.4768
2001-07-19,2.5092
2001-07-20,2.4768
2001-07-23,2.5904
2001-07-25,2.444
2001-07-26,2.444
2001-07-27,2.4928
2001-07-30,2.428
2001-07-31,2.4604
2001-08-01,2.4116
2001-08-02,2.444
2001-08-03,2.428
2001-08-06,2.3952
2001-08-07,2.1508
2001-08-08,2.118
2001-08-09,2.0204
2001-08-10,1.9716
2001-08-13,1.6944
2001-08-14,1.6132
2001-08-16,1.6132
2001-08-17,1.564
2001-08-20,1.548
2001-08-21,1.548
2001-08-22,1.5316
2001-08-23,1.548
2001-08-24,1.548
2001-08-27,1.564
2001-08-28,1.548
2001-08-29,1.4992
2001-08-30,1.4992
2001-08-31,1.5316
2001-09-03,1.5316
2001-09-04,1.4828
2001-09-05,1.45
2001-09-06,1.4828
2001-09-07,1.4828
2001-09-10,1.3852
2001-09-11,1.45
2001-09-12,1.336
2001-09-13,1.2876
2001-09-14,1.32
2001-09-18,1.2708
2001-09-19,1.32
2001-09-20,1.238
2001-09-21,1.222
2001-09-24,0.994
2001-09-25,1.0752
2001-09-26,1.222
2001-09-27,0.994
2001-09-28,0.994
2001-10-01,1.01
2001-10-02,1.0264
2001-10-03,1.0264
2001-10-04,1.0264
2001-10-09,1.0752
2001-10-10,1.0428
2001-10-11,1.0752
2001-10-12,1.0916
2001-10-15,1.0752
2001-10-16,1.4664
2001-10-17,1.5316
2001-10-18,1.3524
2001-10-19,1.2876
2001-10-22,1.5968
2001-10-23,1.6944
2001-10-24,1.6132
