<TICKER>,<DATE>,<CLOSE>
HRS,2006-12-06,6.2034
HRS,2006-12-07,6.0399
HRS,2006-12-08,6.0623
HRS,2006-12-11,5.8763
HRS,2006-12-12,5.5093
HRS,2006-12-13,5.1878
HRS,2006-12-14,5.2834
HRS,2006-12-15,4.9333
HRS,2006-12-18,5.086
HRS,2006-12-19,4.8151
HRS,2006-12-20,4.6683
HRS,2006-12-21,4.7639
HRS,2006-12-22,4.3181
HRS,2006-12-27,4.7978
HRS,2006-12-28,5.1988
HRS,2006-12-29,5.1878
HRS,2007-01-02,5.1988
HRS,2007-01-03,5.1878
HRS,2007-01-04,4.9562
HRS,2007-01-05,5.0466
HRS,2007-01-08,5.1142
HRS,2007-01-09,5.0975
HRS,2007-01-10,5.0687
HRS,2007-01-11,4.9787
HRS,2007-01-12,5.2495
HRS,2007-01-15,6.0852
HRS,2007-01-16,6.5139
HRS,2007-01-17,7.1464
HRS,2007-01-18,8.6652
HRS,2007-01-19,8.2075
HRS,2007-01-22,7.5981
HRS,2007-01-23,8.2696
HRS,2007-01-24,8.2582
HRS,2007-01-25,7.9477
HRS,2007-01-26,8.1002
HRS,2007-01-29,8.4227
HRS,2007-01-30,8.2582
HRS,2007-01-31,8.2754
HRS,2007-02-01,8.1399
HRS,2007-02-02,8.0945
HRS,2007-02-05,8.0663
HRS,2007-02-06,7.8802
HRS,2007-02-07,7.6942
HRS,2007-02-08,7.3439
HRS,2007-02-09,7.9084
HRS,2007-02-12,7.7558
HRS,2007-02-13,8.2528
HRS,2007-02-14,8.0663
HRS,2007-02-15,7.9764
HRS,2007-02-16,7.9707
HRS,2007-02-19,9.675
HRS,2007-02-20,9.2577
HRS,2007-02-21,9.3877
HRS,2007-02-22,9.569
HRS,2007-02-23,9.4945
HRS,2007-02-26,10.578
HRS,2007-02-27,9.862
HRS,2007-02-28,9.534
HRS,2007-03-01,9.534
HRS,2007-03-02,9.918
HRS,2007-03-05,9.4328
HRS,2007-03-06,9.793
HRS,2007-03-07,9.816
HRS,2007-03-08,10.167
HRS,2007-03-09,10.239
HRS,2007-03-12,10.093
HRS,2007-03-13,10.239
HRS,2007-03-14,10.149
HRS,2007-03-15,10.421
HRS,2007-03-16,11.086
HRS,2007-03-19,12.786
HRS,2007-03-20,13.164
HRS,2007-03-21,13.215
HRS,2007-03-22,14.203
HRS,2007-03-23,14.958
HRS,2007-03-26,16.94
HRS,2007-03-27,16.162
HRS,2007-03-28,15.405
HRS,2007-03-29,16.466
HRS,2007-03-30,15.902
HRS,2007-04-02,15.219
HRS,2007-04-03,15.36
HRS,2007-04-04,15.518
HRS,2007-04-05,15.426
HRS,2007-04-10,15.027
HRS,2007-04-11,15.477
HRS,2007-04-12,15.1
HRS,2007-04-13,15.761
HRS,2007-04-16,15.857
HRS,2007-04-17,15.806
HRS,2007-04-18,17.917
HRS,2007-04-19,18.189
HRS,2007-04-20,21.705
HRS,2007-04-23,27.321
HRS,2007-04-24,26.141
HRS,2007-04-25,24.628
HRS,2007-04-26,25.007
HRS,2007-04-27,24.019
HRS,2007-04-30,22.258
HRS,2007-05-02,25.481
HRS,2007-05-04,26.259
