<TICKER>,<DATE>,<CLOSE>
HUB,2012-03-14,12.64
HUB,2012-03-15,12.42
HUB,2012-03-16,12.45
HUB,2012-03-19,12.39
HUB,2012-03-20,12.25
HUB,2012-03-21,12.14
HUB,2012-03-22,12.12
HUB,2012-03-23,12
HUB,2012-03-26,12.15
HUB,2012-03-27,12
HUB,2012-03-28,11.98
HUB,2012-03-29,12.14
HUB,2012-03-30,12.15
HUB,2012-04-02,12.1
HUB,2012-04-03,12.1
HUB,2012-04-04,12
HUB,2012-04-05,12
HUB,2012-04-10,12.06
HUB,2012-04-11,11.91
HUB,2012-04-12,11.1
HUB,2012-04-13,10.88
HUB,2012-04-16,10.47
HUB,2012-04-17,10.5
HUB,2012-04-18,10.47
HUB,2012-04-19,10.47
HUB,2012-04-20,9.11
HUB,2012-04-23,8.93
HUB,2012-04-24,8.8
HUB,2012-04-25,8.8
HUB,2012-04-26,8.6
HUB,2012-04-27,8.78
HUB,2012-04-30,8.78
HUB,2012-05-02,8.69
HUB,2012-05-04,8.7
HUB,2012-05-07,8.73
HUB,2012-05-08,8.71
HUB,2012-05-09,8.39
HUB,2012-05-10,8.5
HUB,2012-05-11,8.69
HUB,2012-05-14,8.43
HUB,2012-05-15,8.4
HUB,2012-05-16,8.72
HUB,2012-05-17,8
HUB,2012-05-18,8.38
HUB,2012-05-21,8.59
HUB,2012-05-22,8.49
HUB,2012-05-23,8.39
HUB,2012-05-24,8
HUB,2012-05-25,8.35
HUB,2012-05-28,8.5
HUB,2012-05-29,8.72
HUB,2012-05-30,8.72
HUB,2012-05-31,8.72
HUB,2012-06-01,8.4
HUB,2012-06-04,8.55
HUB,2012-06-05,8.4
HUB,2012-06-06,8.74
HUB,2012-06-08,9.13
HUB,2012-06-11,8.89
HUB,2012-06-12,8.89
HUB,2012-06-13,8.8
HUB,2012-06-14,8.98
HUB,2012-06-15,9.18
HUB,2012-06-18,9.18
HUB,2012-06-19,9.2
HUB,2012-06-20,9.19
HUB,2012-06-21,9.29
HUB,2012-06-22,9.29
HUB,2012-06-25,9.1
HUB,2012-06-26,9.2
HUB,2012-06-27,9.3
HUB,2012-06-28,9.31
HUB,2012-06-29,9.33
HUB,2012-07-02,8.79
HUB,2012-07-03,8.4
HUB,2012-07-04,8.39
HUB,2012-07-05,8.57
HUB,2012-07-06,8.54
HUB,2012-07-09,8.73
HUB,2012-07-10,8.69
HUB,2012-07-11,8.3
HUB,2012-07-12,8.26
HUB,2012-07-13,8.26
HUB,2012-07-16,8.27
HUB,2012-07-17,8.27
HUB,2012-07-18,8.26
HUB,2012-07-19,7.91
HUB,2012-07-20,7.63
HUB,2012-07-23,7.7
HUB,2012-07-24,7.7
HUB,2012-07-25,7.99
HUB,2012-07-26,7.99
HUB,2012-07-27,7.99
HUB,2012-07-30,8.26
HUB,2012-07-31,8.26
HUB,2012-08-01,8.48
HUB,2012-08-02,8.48
HUB,2012-08-06,8.47
HUB,2012-08-07,8
HUB,2012-08-08,7.99
HUB,2012-08-09,7.99
HUB,2012-08-10,7.84
HUB,2012-08-13,7.63
HUB,2012-08-14,7.7
HUB,2012-08-16,7.7
HUB,2012-08-17,7.6
HUB,2012-08-20,7.6
HUB,2012-08-21,7.6
HUB,2012-08-22,7.6
HUB,2012-08-23,7.69
HUB,2012-08-24,7.7
HUB,2012-08-27,7.7
HUB,2012-08-28,7.7
HUB,2012-08-29,7.7
HUB,2012-08-30,7.7
HUB,2012-08-31,7.79
HUB,2012-09-03,8.35
HUB,2012-09-04,8.19
HUB,2012-09-05,8.19
HUB,2012-09-06,8.15
HUB,2012-09-07,8.21
HUB,2012-09-10,8.15
HUB,2012-09-11,7.85
HUB,2012-09-12,7.85
HUB,2012-09-13,7.85
HUB,2012-09-14,7.88
HUB,2012-09-17,8.11
HUB,2012-09-18,8.15
HUB,2012-09-19,8.15
HUB,2012-09-21,8.09
HUB,2012-09-24,8.02
HUB,2012-09-26,8
HUB,2012-09-28,8.02
HUB,2012-10-02,7.9
HUB,2012-10-03,7.78
HUB,2012-10-04,7.65
HUB,2012-10-05,7.7
HUB,2012-10-08,7.7
HUB,2012-10-09,7.7
HUB,2012-10-10,7.7
HUB,2012-10-11,7.7
HUB,2012-10-12,7.7
HUB,2012-10-15,7.7
HUB,2012-10-16,7.68
HUB,2012-10-17,7.49
HUB,2012-10-18,7.49
HUB,2012-10-19,7.49
HUB,2012-10-22,7.5
HUB,2012-10-24,7.7
HUB,2012-10-25,7.86
HUB,2012-10-26,7.85
HUB,2012-10-29,7.85
HUB,2012-10-30,7.86
HUB,2012-10-31,7.86
HUB,2012-11-05,7.99
HUB,2012-11-06,7.85
HUB,2012-11-07,7.96
HUB,2012-11-08,7.85
HUB,2012-11-09,7.6
HUB,2012-11-12,7.6
HUB,2012-11-13,7.6
HUB,2012-11-14,7.6
