<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2016-05-19,18.483,18.818,16.819,17.432
2016-05-20,17.424,17.424,16.81,17.424
2016-05-23,16.845,17.138,16.004,16.802
2016-05-24,16.382,16.802,16.382,16.802
2016-05-25,16.928,16.97,16.928,16.928
2016-05-31,16.214,16.802,16.214,16.802
2016-06-01,16.802,17.214,16.281,17.214
2016-06-02,16.466,16.802,16.466,16.802
2016-06-03,16.365,16.802,16.365,16.802
2016-06-07,16.046,16.088,15.214,16.088
2016-06-08,16.054,16.054,16.054,16.054
2016-06-09,16.054,16.802,16.054,16.802
2016-06-15,16.054,16.777,16.054,16.777
2016-06-16,16.054,16.752,16.054,16.752
2016-06-20,16.785,16.785,16.382,16.382
2016-06-21,16.299,16.634,16.299,16.634
2016-06-30,15.424,15.962,15.424,15.962
2016-07-01,16.299,16.299,16.13,16.13
2016-07-06,15.634,16.289,15.634,16.289
2016-07-07,16.289,16.289,16.289,16.289
2016-07-08,15.971,15.971,15.971,15.971
2016-07-13,15.971,15.971,15.971,15.971
2016-07-14,15.971,15.971,15.971,15.971
2016-07-15,15.971,15.971,15.962,15.962
2016-07-19,16.299,16.299,16.299,16.299
2016-07-22,16.802,16.802,16.802,16.802
2016-07-25,16.299,16.794,16.299,16.794
2016-07-26,16.794,16.886,16.029,16.886
2016-07-27,16.34,16.718,16.34,16.718
2016-07-28,16.382,16.634,16.34,16.634
2016-07-29,16.299,16.299,16.299,16.299
2016-08-01,16.214,16.214,16.214,16.214
2016-08-02,16.214,16.223,16.214,16.214
2016-08-05,16.147,16.147,15.971,15.971
2016-08-08,15.962,15.962,15.962,15.962
2016-08-09,15.962,16.332,15.962,16.332
2016-08-11,15.979,15.979,15.962,15.962
2016-08-12,15.962,15.962,15.962,15.962
2016-08-24,16.382,16.382,15.878,15.878
2016-08-26,15.878,15.878,15.878,15.878
2016-08-30,16.214,16.214,16.214,16.214
2016-09-02,15.895,15.895,15.878,15.878
2016-09-05,15.878,15.878,15.878,15.878
2016-09-08,15.458,15.962,15.458,15.962
2016-09-09,15.458,15.962,15.458,15.962
2016-09-12,15.962,15.962,15.962,15.962
2016-09-13,15.962,15.962,15.962,15.962
2016-09-14,15.878,15.878,15.878,15.878
2016-09-21,15.878,15.962,15.878,15.962
2016-09-22,16.198,16.289,16.198,16.289
2016-09-23,16.299,17.382,16.299,16.954
2016-09-26,16.954,16.954,16.752,16.954
2016-09-27,16.886,17.197,16.886,17.197
2016-09-28,16.76,16.76,16.76,16.76
2016-09-29,16.76,17.811,16.76,17.558
2016-09-30,17.222,17.222,17.088,17.088
2016-10-03,17.382,17.382,17.382,17.382
2016-10-04,17.382,17.382,17.382,17.382
2016-10-05,17.382,17.391,17.382,17.391
2016-10-06,17.391,18.012,17.391,18.012
2016-10-07,18.003,18.012,17.634,17.642
2016-10-10,17.902,18.062,17.642,18.062
2016-10-11,18.062,18.39,17.642,17.642
2016-10-13,17.642,18.373,17.356,18.373
2016-10-14,18.365,18.365,17.651,17.651
2016-10-17,17.474,17.886,17.474,17.886
2016-10-18,17.642,17.642,17.642,17.642
2016-10-19,17.466,17.466,17.466,17.466
2016-10-20,17.886,17.894,17.886,17.894
2016-10-21,17.894,17.894,17.894,17.894
2016-10-24,17.651,17.651,17.651,17.651
2016-10-25,17.651,17.651,17.5,17.5
2016-10-27,17.5,17.5,17.5,17.5
2016-10-28,17.474,17.474,17.474,17.474
2016-10-31,17.642,17.659,17.642,17.659
2016-11-02,17.449,17.491,17.449,17.474
2016-11-03,17.391,17.811,17.348,17.811
2016-11-08,17.23,18.297,17.23,18.289
2016-11-09,17.474,17.474,17.474,17.474
2016-11-10,18.289,18.289,18.289,18.289
2016-11-14,18.289,18.289,18.289,18.289
2016-11-15,17.474,17.474,17.474,17.474
2016-11-16,17.222,17.474,17.222,17.474
2016-11-17,16.81,17.558,16.81,17.558
2016-11-22,17.222,17.222,17.222,17.222
2016-11-23,17.886,17.886,17.222,17.222
2016-11-24,17.138,17.474,17.138,17.474
2016-11-25,17.466,17.525,17.138,17.138
2016-11-28,17.055,17.138,17.055,17.096
2016-11-29,17.516,17.516,17.516,17.516
2016-11-30,17.466,17.466,17.466,17.466
2016-12-01,17.432,17.432,17.432,17.432
2016-12-02,17.432,17.432,17.055,17.432
2016-12-05,17.424,17.424,17.424,17.424
2016-12-06,17.391,17.391,17.055,17.055
2016-12-07,17.055,17.055,17.055,17.055
2016-12-08,17.055,17.055,16.382,17.055
2016-12-09,17.055,17.407,17.055,17.407
2016-12-12,17.374,17.374,17.374,17.374
2016-12-13,17.391,17.391,17.391,17.391
2016-12-14,17.374,17.374,17.374,17.374
2016-12-15,17.374,17.374,16.97,17.222
2016-12-16,17.222,17.222,17.222,17.222
2016-12-19,17.374,17.374,17.138,17.306
2016-12-20,17.407,17.407,16.81,16.81
2016-12-21,17.055,17.055,16.802,16.802
2016-12-22,17.306,17.306,16.76,16.76
2016-12-23,16.81,16.81,16.55,16.81
2016-12-28,17.055,17.055,16.802,16.802
2016-12-29,17.055,17.055,16.382,16.39
2016-12-30,16.382,16.382,16.382,16.382
2017-01-02,16.382,16.382,16.382,16.382
2017-01-03,16.634,16.76,16.299,16.76
2017-01-05,16.299,16.718,16.299,16.382
2017-01-10,16.466,16.466,16.466,16.466
2017-01-11,16.592,16.592,16.466,16.466
2017-01-12,16.718,16.76,16.718,16.76
2017-01-13,16.718,16.718,16.718,16.718
2017-01-16,16.382,16.676,16.382,16.382
2017-01-17,16.676,16.802,16.382,16.382
2017-01-18,16.752,16.794,16.382,16.794
2017-01-19,16.794,16.794,16.399,16.399
2017-01-20,16.794,16.794,16.794,16.794
2017-01-23,16.794,16.794,16.794,16.794
2017-01-24,16.794,16.794,16.794,16.794
2017-01-25,16.794,16.794,16.794,16.794
2017-01-26,16.785,16.794,16.785,16.794
2017-01-27,16.785,16.794,16.273,16.794
2017-01-30,16.718,16.718,16.718,16.718
2017-01-31,16.709,16.709,16.709,16.709
2017-02-01,16.718,16.718,16.718,16.718
2017-02-02,16.718,16.718,16.214,16.374
2017-02-03,16.676,16.676,16.382,16.382
2017-02-06,16.13,16.13,16.13,16.13
2017-02-07,16.382,16.382,16.382,16.382
2017-02-09,16.256,16.256,15.878,15.887
2017-02-10,16.289,16.289,16.289,16.289
2017-02-13,16.289,16.289,16.289,16.289
2017-02-14,16.289,16.289,16.289,16.289
2017-02-15,16.289,16.289,16.289,16.289
2017-02-16,15.92,15.962,14.87,15.953
2017-02-17,16.289,16.289,16.289,16.289
2017-02-20,16.289,16.289,16.046,16.046
2017-02-21,16.046,16.289,16.046,16.289
2017-02-22,16.214,16.214,16.214,16.214
2017-02-23,16.289,16.382,16.289,16.382
2017-02-24,16.046,16.046,16.046,16.046
2017-02-27,16.382,16.382,16.046,16.046
2017-02-28,16.382,16.382,16.382,16.382
2017-03-01,15.794,16.382,15.794,16.382
2017-03-03,15.962,15.962,15.962,15.962
2017-03-06,15.962,16.382,15.962,16.382
2017-03-07,15.794,15.878,15.794,15.794
2017-03-08,16.172,16.172,15.794,15.794
2017-03-09,16.172,16.172,16.172,16.172
2017-03-10,16.172,16.172,16.172,16.172
2017-03-13,15.953,15.953,15.953,15.953
2017-03-14,15.878,15.878,15.878,15.878
2017-03-15,15.542,16.299,15.542,15.542
2017-03-16,15.542,15.962,15.542,15.962
2017-03-17,15.962,15.962,15.5,15.5
2017-03-20,15.542,15.542,15.29,15.29
2017-03-21,15.298,15.298,15.298,15.298
2017-03-22,15.298,15.298,14.45,14.878
2017-03-23,14.744,15.794,14.744,15.542
2017-03-24,15.542,16.382,15.542,15.962
2017-03-27,15.962,15.962,15.794,15.794
2017-03-28,16.206,16.206,16.206,16.206
2017-03-29,16.172,16.172,16.088,16.088
2017-03-30,15.962,15.962,15.962,15.962
2017-03-31,15.962,15.962,15.962,15.962
2017-04-03,16.172,16.172,15.962,15.962
2017-04-04,15.962,15.962,15.962,15.962
2017-04-05,15.626,15.626,15.542,15.626
2017-04-06,15.374,15.374,15.374,15.374
2017-04-07,15.29,15.29,15.29,15.29
2017-04-10,15.878,16.189,15.878,16.122
2017-04-11,16.122,16.122,15.945,15.945
2017-04-12,16.122,16.189,16.122,16.122
2017-04-18,16.13,16.163,16.13,16.163
2017-04-20,16.163,16.55,15.962,16.172
2017-04-21,16.307,16.634,16.307,16.382
2017-04-24,16.634,16.643,16.214,16.567
2017-04-25,16.382,16.676,16.382,16.382
2017-04-26,16.466,16.466,16.299,16.382
2017-04-27,16.466,16.634,16.299,16.382
2017-04-28,16.382,16.634,16.382,16.592
2017-05-02,16.634,16.634,16.592,16.634
2017-05-04,16.634,17.222,16.634,17.096
2017-05-05,17.189,17.205,16.987,17.205
2017-05-08,17.265,17.861,17.265,17.819
2017-05-09,17.819,17.836,17.474,17.558
2017-05-10,17.558,17.558,17.391,17.474
2017-05-11,17.516,17.626,17.306,17.306
2017-05-12,17.626,17.626,17.474,17.516
2017-05-15,17.466,17.533,17.13,17.13
2017-05-16,17.113,17.121,16.76,16.802
2017-05-17,16.802,16.97,16.785,16.97
2017-05-18,17.113,17.189,17.063,17.088
2017-05-19,17.113,17.332,17.113,17.315
2017-05-22,16.935,17.574,16.565,16.611
2017-05-23,16.658,17.028,16.565,16.611
2017-05-24,17.093,17.093,16.473,16.473
2017-05-25,16.389,16.473,16.287,16.473
2017-05-26,16.565,16.565,16.195,16.195
2017-05-29,16.241,16.621,16.112,16.621
2017-05-30,16.38,16.38,16.38,16.38
2017-05-31,16.195,16.38,15.964,16.38
2017-06-01,16.102,16.102,15.917,15.964
2017-06-02,15.741,15.982,15.547,15.982
2017-06-06,15.103,15.547,15.103,15.547
2017-06-07,15.547,15.547,15.084,15.084
2017-06-08,15.075,15.075,14.807,14.853
2017-06-09,14.714,15.168,14.344,14.344
2017-06-12,13.974,14.807,13.419,14.039
2017-06-13,13.428,13.65,13.428,13.465
2017-06-14,13.428,13.881,13.428,13.881
