<DATE>,<CLOSE>
2009-10-13,2380
2009-10-14,3240
2009-10-15,4000
2009-10-16,3700
2009-10-19,3180
2009-10-20,2700
2009-10-21,2320
2009-10-22,2800
2009-10-23,2500
2009-10-26,2420
2009-10-27,2420
2009-10-28,2200
2009-10-29,2460
2009-10-30,2260
2009-11-02,2340
2009-11-03,2080
2009-11-04,1880
2009-11-05,2060
2009-11-06,1920
2009-11-09,1900
2009-11-10,2100
2009-11-12,2460
2009-11-13,2240
2009-11-16,2240
2009-11-17,1960
2009-11-18,2160
2009-11-19,2080
2009-11-23,2000
2009-11-24,1800
2009-11-25,1860
2009-11-26,1700
2009-11-27,1800
2009-11-30,1720
2009-12-01,1700
2009-12-02,1520
2009-12-03,1700
2009-12-04,1540
2009-12-07,1560
2009-12-08,1560
2009-12-09,1420
2009-12-10,1380
2009-12-11,1480
2009-12-14,1560
2009-12-15,1500
2009-12-17,1500
2009-12-18,1480
2009-12-21,1280
2009-12-22,1440
2009-12-28,1300
2009-12-29,1560
2009-12-30,1600
2010-01-05,1720
2010-01-06,1440
2010-01-07,1720
2010-01-08,1720
2010-01-11,1800
2010-01-13,1700
2010-01-14,1700
2010-01-15,1620
2010-01-18,1580
2010-01-19,1660
2010-01-21,1740
2010-01-22,2180
2010-01-25,1940
2010-01-26,2000
2010-01-27,1900
2010-01-28,1920
2010-01-29,1720
2010-02-01,1800
2010-02-02,1740
2010-02-03,1620
2010-02-04,1620
2010-02-05,1580
2010-02-08,1600
2010-02-09,1560
2010-02-10,1660
2010-02-11,1600
2010-02-12,1640
2010-02-15,1580
2010-02-16,1640
2010-02-17,1920
2010-02-19,1840
2010-02-22,1760
2010-02-23,1800
2010-02-24,1780
2010-02-25,1860
2010-02-26,1860
2010-03-01,1980
2010-03-02,1880
2010-03-03,1720
2010-03-04,1740
2010-03-05,1680
2010-03-08,1620
2010-03-09,1620
2010-03-10,1600
2010-03-11,1680
2010-03-12,1680
2010-03-15,1800
2010-03-16,1920
2010-03-17,1900
2010-03-18,1840
2010-03-19,1900
2010-03-22,1780
2010-03-23,1700
2010-03-24,1680
2010-03-25,1680
2010-03-26,1660
2010-03-29,1600
2010-03-30,1680
2010-03-31,1660
2010-04-01,1600
2010-04-06,1620
2010-04-07,1640
2010-04-08,1640
2010-04-09,1660
2010-04-12,1680
2010-04-13,1540
2010-04-14,1660
2010-04-15,1680
2010-04-20,1680
2010-04-21,1640
2010-04-22,1740
2010-04-23,1740
2010-04-26,1620
2010-04-27,1640
2010-04-28,1640
2010-04-29,1720
2010-04-30,1720
2010-05-05,1700
2010-05-06,1680
2010-05-07,1680
2010-05-12,1680
2010-05-17,1680
2010-05-18,1580
2010-05-19,1280
2010-05-20,1460
2010-05-21,1580
2010-05-24,1640
2010-05-25,1600
2010-05-26,1480
2010-05-27,1380
2010-05-28,1360
2010-06-01,1360
2010-06-04,1300
2010-06-07,1300
2010-06-08,1300
2010-06-09,1320
2010-06-10,1220
2010-06-11,1300
2010-06-15,1320
2010-06-17,1320
2010-06-22,1320
2010-06-23,1300
2010-06-24,1300
2010-06-29,1300
2010-06-30,1260
2010-07-01,1280
2010-07-06,1280
2010-07-09,1280
2010-07-13,1220
2010-07-14,1160
2010-07-15,1160
2010-07-16,1240
2010-07-20,1200
2010-07-23,1160
2010-07-27,1160
2010-07-29,1160
2010-08-02,1180
2010-08-03,1140
2010-08-04,1040
2010-08-05,1160
2010-08-06,1040
2010-08-09,1040
2010-08-11,1040
2010-08-12,1160
2010-08-13,1160
2010-08-17,1100
2010-08-18,1020
2010-08-23,1020
2010-08-25,1020
2010-08-30,1160
2010-09-02,1020
2010-09-03,1040
2010-09-06,1140
2010-09-07,1020
2010-09-08,1160
2010-09-09,1160
2010-09-13,1260
2010-09-15,1160
2010-09-16,1260
2010-09-17,1260
2010-09-21,1280
2010-09-23,1380
2010-09-24,1340
2010-09-27,1340
2010-09-29,1380
2010-09-30,1340
2010-10-01,1260
2010-10-06,1260
2010-10-11,1260
2010-10-15,1240
2010-10-18,1220
2010-10-19,1060
2010-10-20,1060
2010-10-21,980
2010-10-22,1000
2010-10-26,1040
2010-10-27,1040
2010-10-28,1080
2010-10-29,1080
2010-11-02,1060
2010-11-03,1080
2010-11-04,1040
2010-11-05,1100
2010-11-08,1100
2010-11-09,1100
2010-11-10,1080
2010-11-12,1120
2010-11-15,1200
2010-11-16,1200
2010-11-17,1160
2010-11-18,1280
2010-11-19,1300
