<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2018-09-25,13.02,13.02,9.01,10.8
2018-09-26,10.78,11,9.9,9.9
2018-09-27,9.9,9.9,8.1,9
2018-09-28,9.5,9.5,8.7,8.7
2018-10-01,8.8,8.9,8.7,8.9
2018-10-02,9,9,7.9,7.9
2018-10-03,7.9,7.9,7.2,7.7
2018-10-04,7.7,7.7,7,7.6
2018-10-05,7.9,8.5,7.9,8.4
2018-10-08,8.39,8.39,7.95,8.2
2018-10-09,8.2,9,8.2,9
2018-10-10,9.2,9.2,8,8
2018-10-11,8.36,8.8,8.36,8.8
2018-10-12,8.8,8.8,7.7,8.5
2018-10-15,8.38,8.38,7.66,7.66
2018-10-16,7.66,7.7,7.3,7.45
2018-10-17,7.5,7.69,7.5,7.69
2018-10-18,7.69,7.69,7.69,7.69
2018-10-19,7.69,7.69,7.2,7.66
2018-10-22,7.3,7.3,7.11,7.11
2018-10-23,7.11,7.11,6.6,6.6
2018-10-24,6.52,6.52,6.52,6.52
2018-10-25,6.55,6.55,6.4,6.4
2018-10-26,6.3,6.3,6.1,6.25
2018-10-31,6.1,6.1,6.1,6.1
2018-11-02,6.3,6.5,6.3,6.5
2018-11-07,6.3,6.3,6.15,6.15
2018-11-08,6.15,6.55,6.15,6.55
2018-11-09,6.15,6.2,6.15,6.2
2018-11-13,6.2,7.44,5,7.44
2018-11-14,7.3,7.3,7.3,7.3
2018-11-15,7.3,7.3,7.3,7.3
2018-11-16,7.29,7.29,7.29,7.29
2018-11-19,7.19,7.19,7.19,7.19
2018-11-20,7.1,7.1,6.8,6.8
2018-11-28,6.8,6.8,6.65,6.65
2018-11-29,6.6,6.6,6.2,6.55
2018-11-30,6.55,6.55,6.55,6.55
2018-12-06,6.5,6.55,6.5,6.55
2018-12-07,6.5,6.5,5.6,6.25
2018-12-10,6,6.1,6,6.1
2018-12-11,6.1,6.7,6.1,6.5
2018-12-13,6.4,7.2,6.4,7.2
2018-12-14,7.19,7.19,6.85,6.85
2018-12-17,6.9,6.9,6.62,6.62
2018-12-18,6.6,6.65,6.4,6.4
2018-12-19,6.45,6.6,6.35,6.6
2018-12-20,6.5,7.5,6.5,6.9
2018-12-21,6.8,6.8,6.4,6.45
2018-12-27,6.45,6.45,6.45,6.45
2018-12-28,6.45,6.6,6.4,6.4
2019-01-03,6.6,7.6,6.6,7.6
2019-01-04,6.7,6.7,6.5,6.5
2019-01-09,6.5,6.5,6.4,6.4
2019-01-10,6.5,6.72,6.3,6.3
2019-01-11,6.25,6.4,6.2,6.21
2019-01-14,6.22,6.5,6.21,6.3
2019-01-15,6.46,6.5,6.46,6.5
2019-01-16,6.5,6.5,6.5,6.5
2019-01-17,6.5,6.5,6.5,6.5
2019-01-18,6.5,6.5,6.5,6.5
2019-01-21,6.49,6.49,6.43,6.44
2019-01-22,6.43,6.44,6.4,6.4
2019-01-23,6.55,7.15,6.55,6.78
2019-01-24,6.8,6.8,6.8,6.8
2019-01-25,6.88,7.1,6.64,6.64
2019-01-28,6.96,6.96,6.8,6.8
2019-01-29,6.86,6.86,6.84,6.86
2019-01-30,6.84,6.84,6.71,6.71
2019-01-31,6.62,6.88,6.62,6.88
2019-02-01,6.7,7,6.7,6.98
2019-02-04,6.98,7,6.61,6.61
2019-02-05,6.62,6.62,6.62,6.62
2019-02-06,6.61,6.61,6.61,6.61
2019-02-07,6.52,6.52,6.3,6.3
2019-02-11,6.23,6.23,6.23,6.23
2019-02-12,6.23,6.25,6.23,6.23
2019-02-13,6.23,6.23,6.23,6.23
2019-02-14,6.3,6.3,6.3,6.3
2019-02-15,6.3,6.5,6.3,6.5
2019-02-18,6.4,6.5,6.4,6.5
2019-02-19,6.5,6.6,6.5,6.5
2019-02-22,6.5,6.5,6.5,6.5
2019-02-25,4.95,6.1,4.95,6.1
2019-02-26,6.1,6.5,6.1,6.5
2019-02-27,6.7,6.86,6.7,6.86
2019-02-28,7,8.2,7,7.3
2019-03-01,7.4,8.3,7.4,8.3
2019-03-04,8.35,8.35,8.35,8.35
2019-03-05,8.35,8.35,8.35,8.35
2019-03-06,8.35,8.35,8.35,8.35
2019-03-07,8.35,8.35,8.35,8.35
2019-03-08,8.3,8.3,8,8
2019-03-11,7.9,7.9,7.9,7.9
2019-03-12,7.9,7.9,7.9,7.9
2019-03-13,7.9,7.9,7.4,7.5
2019-03-15,7.5,7.5,7.2,7.2
2019-03-18,7.2,7.2,7.2,7.2
2019-03-19,7.3,7.5,7.3,7.4
2019-03-20,7.4,7.4,6.7,7.3
2019-03-21,7.1,7.6,6.5,7.2
2019-03-22,7,7,6.5,6.95
2019-03-25,6.6,6.6,5.6,6.4
2019-03-27,6.4,7.3,6.4,7
2019-03-28,7,7,7,7
2019-03-29,7,7.5,7,7.25
2019-04-01,7.25,7.25,6.95,6.95
2019-04-02,6.95,6.95,6.95,6.95
2019-04-03,6.95,6.95,6.95,6.95
2019-04-04,6.95,6.95,6.6,6.95
2019-04-05,6.95,6.95,6.95,6.95
2019-04-08,6.95,6.95,6.95,6.95
2019-04-09,6.7,6.7,6,6.2
2019-04-10,6.1,6.2,6,6.2
2019-04-11,6.2,6.25,6.2,6.25
2019-04-12,6.15,6.15,5.6,5.6
2019-04-15,5.65,5.8,5.55,5.55
2019-04-16,5.5,5.5,5.4,5.4
2019-04-17,5.4,5.5,5.4,5.4
2019-04-18,5.45,5.5,5.45,5.45
2019-04-23,5.5,5.5,5.4,5.4
2019-04-24,5.5,5.5,5.4,5.4
2019-04-25,5.45,5.5,5.45,5.5
2019-04-26,5.5,5.5,5.5,5.5
2019-04-29,5.4,5.4,5.4,5.4
2019-04-30,5.55,6.3,5.55,6.3
2019-05-02,6.3,6.3,6.3,6.3
2019-05-06,6.2,6.2,5.6,5.6
2019-05-07,5.7,5.8,5.4,5.4
2019-05-08,5.45,5.45,5.3,5.3
2019-05-09,5.3,5.4,5.3,5.4
2019-05-10,5.4,5.65,5.4,5.65
2019-05-13,5.65,5.7,5.6,5.7
2019-05-14,5.6,5.6,5.5,5.5
2019-05-15,5.5,5.5,5.4,5.45
2019-05-16,5.55,5.6,5.5,5.5
2019-05-17,5.5,5.5,5,5.3
2019-05-20,5.25,5.4,5,5.4
2019-05-21,5.35,5.4,5,5.1
2019-05-22,5.25,5.9,5.25,5.9
2019-05-23,5.9,6.15,5.9,6.15
2019-05-24,6.1,6.1,6.1,6.1
2019-05-27,6.1,6.1,6.1,6.1
2019-05-29,6.15,7.3,6.15,6.65
2019-05-30,6.75,6.8,6.75,6.8
2019-05-31,6.8,6.8,6.45,6.45
2019-06-03,6.55,6.8,6.5,6.5
2019-06-04,6.7,7.4,6.7,6.7
2019-06-05,6.85,7.4,6.85,7
2019-06-06,7.2,7.35,7.2,7.35
2019-06-07,7.4,7.4,6.9,7.25
2019-06-10,7.2,7.25,6.85,7.25
2019-06-11,7.25,7.25,7.25,7.25
2019-06-12,7.25,7.25,7,7.25
2019-06-13,7.2,7.2,7.2,7.2
2019-06-14,7.2,7.2,6.8,6.95
2019-06-17,6.9,6.95,6.3,6.5
2019-06-18,6.5,6.8,6.3,6.8
2019-06-19,6.75,6.75,6.35,6.6
2019-06-21,6.65,6.75,6.4,6.75
2019-06-24,6.75,6.75,6.5,6.7
2019-06-25,6.6,6.65,6.5,6.65
2019-06-26,6.3,6.75,6.25,6.75
2019-06-27,6.35,6.75,6.3,6.75
2019-06-28,6.85,7.25,6.85,7.25
2019-07-01,7.3,8.6,7.3,8.4
2019-07-02,8,8.3,8,8.3
2019-07-03,7.9,8.7,7.9,8.7
2019-07-04,6.9,8.7,6.9,8.4
2019-07-05,8.4,8.7,8.35,8.35
2019-07-08,8.35,8.7,8.35,8.7
2019-07-09,8.7,8.7,8.35,8.35
2019-07-10,8.7,8.7,8,8.5
2019-07-11,8.5,8.7,8.5,8.7
2019-07-12,8.7,8.8,8.7,8.8
2019-07-15,8.8,8.8,8.6,8.8
2019-07-16,8.8,8.8,8.6,8.6
2019-07-17,8.8,8.8,8.8,8.8
2019-07-18,8.8,8.8,8.3,8.7
2019-07-19,8.8,8.8,8.8,8.8
2019-07-22,8.8,8.8,8.8,8.8
2019-07-23,8.8,8.8,8.35,8.6
2019-07-24,8.6,8.85,8.6,8.85
2019-07-25,8.85,8.85,8.7,8.85
2019-07-26,8.85,8.85,8.85,8.85
2019-07-29,8.95,8.95,8.95,8.95
2019-07-30,8.95,8.95,8.95,8.95
2019-07-31,9,9.7,9,9.7
2019-08-01,10,10.9,9.9,10.9
2019-08-02,10.8,12,10.8,12
2019-08-05,11.6,11.6,10,11
2019-08-06,10.8,12,10.5,12
2019-08-07,12,12.4,12,12.4
2019-08-08,12.6,12.6,12.6,12.6
2019-08-09,12.2,13,11.7,13
2019-08-12,12.9,13,12,12.1
2019-08-14,11.7,12,10.5,11.7
2019-08-19,11,11.6,11,11.6
2019-08-21,11.3,11.3,10.5,11.1
2019-08-22,11,11,10.5,11
2019-08-23,11,11.2,11,11.2
2019-08-27,11.5,11.5,11.5,11.5
2019-08-28,11.6,11.6,11.6,11.6
2019-08-29,11.6,11.9,11.5,11.9
2019-08-30,11.9,12.3,11.9,12.3
2019-09-02,12,12.3,12,12.3
2019-09-03,12.2,12.2,12,12
2019-09-04,12.1,12.2,12,12.2
2019-09-05,12.2,12.2,12,12.2
2019-09-06,12.2,12.2,12.2,12.2
2019-09-09,12,12,12,12
2019-09-10,12,12,12,12
2019-09-11,12,12.2,11.6,12.2
2019-09-13,12.1,12.1,12.1,12.1
2019-09-17,12.1,12.1,11.8,11.8
2019-09-18,12.1,12.1,11.8,12
2019-09-19,12.1,12.1,12.1,12.1
2019-09-20,12.1,12.1,12.1,12.1
2019-09-23,12.1,12.1,11,11.4
2019-09-24,11.4,11.4,11.4,11.4
2019-09-25,11,11,10.8,10.8
2019-09-26,10.8,11,10.5,11
2019-09-27,10.8,10.8,10.6,10.7
2019-09-30,10.2,11.2,9.7,10.4
2019-10-02,10,10,10,10
2019-10-07,9.7,9.7,9.5,9.5
2019-10-10,9.5,9.5,9.5,9.5
2019-10-11,9.6,10,9.6,10
2019-10-16,9.8,9.8,9.5,9.5
2019-10-17,9.75,9.75,9.75,9.75
2019-10-18,9.75,9.75,9.5,9.5
2019-10-21,9.3,9.3,8.9,8.9
2019-10-22,8.8,9.1,8.2,9.1
2019-10-24,9.1,9.1,9.1,9.1
2019-10-30,9,9,9,9
2019-10-31,9,9,9,9
2019-11-04,9,9,9,9
2019-11-05,9,9,9,9
2019-11-06,9,9,9,9
2019-11-07,9,9,9,9
2019-11-08,9,9,9,9
2019-11-12,9,9,9,9
2019-11-13,9,9,9,9
2019-11-14,9,9,8.8,8.8
2019-11-15,9,9,8.7,8.9
2019-11-19,8.7,8.9,8.7,8.9
2019-11-21,8.8,8.9,8.8,8.8
2019-11-22,8.95,9,8.95,9
2019-11-25,9,9,9,9
2019-11-26,9,9.5,9,9.5
2019-11-27,9.5,9.55,9.5,9.55
2019-11-28,9.8,9.95,9.3,9.55
2019-11-29,9.55,9.95,9.55,9.95
2019-12-02,9.95,9.95,9.1,9.85
2019-12-05,9.85,9.85,9.85,9.85
2019-12-06,9.85,9.85,9.85,9.85
2019-12-09,9.85,9.85,9.85,9.85
2019-12-10,9.85,9.85,9.85,9.85
2019-12-11,9.6,9.6,9.3,9.3
2019-12-12,9.4,9.4,9.4,9.4
2019-12-16,9.5,9.5,9.5,9.5
2019-12-17,9.5,9.5,9.5,9.5
2019-12-23,9.3,9.3,9.2,9.2
2019-12-27,9.5,9.5,9.5,9.5
2019-12-30,9.5,9.5,9.5,9.5
2020-01-03,9.5,10.2,9.5,10
2020-01-07,10.2,10.2,10.2,10.2
2020-01-08,10.2,10.2,10.2,10.2
2020-01-09,10.3,10.3,10,10
2020-01-10,9.7,9.7,7.5,7.65
2020-01-13,7.75,7.75,6.8,7
2020-01-14,7,7.3,7,7.3
2020-01-15,7.3,7.65,7.2,7.65
