<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2015-04-16,25,26.95,25,26.95
2015-04-17,27,28,26.22,26.45
2015-04-20,26.45,27.12,25.5,26.9
2015-04-21,26.66,26.7,26.49,26.49
2015-04-22,26.16,26.5,25.8,26.2
2015-04-23,26.3,26.3,25.61,25.75
2015-04-24,25.53,25.7,25.2,25.7
2015-04-27,25.25,25.9,25.25,25.7
2015-04-28,25.5,26.4,25.5,26.4
2015-04-29,25.85,26.39,25.8,26.39
2015-04-30,26,26.38,25.72,26.38
2015-05-04,26,27.19,26,27.19
2015-05-05,26.91,27.2,26.8,27.2
2015-05-06,27.2,28,26.9,28
2015-05-07,28.5,28.9,28,28.15
2015-05-08,28,28.5,27.8,28
2015-05-11,28,28,27.55,28
2015-05-12,27.98,27.98,26.33,27.87
2015-05-13,27.5,27.84,27.1,27.7
2015-05-14,27.7,28.05,27.1,28
2015-05-15,28,28.5,27.42,28.5
2015-05-18,28.4,28.5,27.58,27.58
2015-05-19,27.4,28.2,27.12,28.2
2015-05-20,28.48,28.48,27.4,28
2015-05-21,27.72,28,27.6,28
2015-05-22,28,28,27.6,27.85
2015-05-25,27.3,27.7,27.28,27.7
2015-05-26,27.5,27.6,26.91,27.28
2015-05-27,27,27.5,27,27.5
2015-05-28,27.55,28,27.03,28
2015-05-29,27.26,28,27.26,28
2015-06-01,27.5,27.8,27.2,27.8
2015-06-02,27.91,27.91,27.1,27.7
2015-06-03,27.7,27.7,27.12,27.32
2015-06-05,27,27,26.41,26.5
2015-06-08,26.5,26.5,25.33,26.45
2015-06-09,26.4,26.4,26.3,26.3
2015-06-10,25.63,26.1,25.18,26.1
2015-06-11,26.1,26.2,25.37,26.2
2015-06-12,25.52,26.4,25.52,26.4
2015-06-15,25.81,26.3,25.81,26.3
2015-06-16,25.71,26.29,25.71,26.15
2015-06-17,25.71,26.15,25.71,26.15
2015-06-18,26.12,26.12,24.5,25.38
2015-06-19,25.38,25.38,24.85,25.36
2015-06-22,24.8,25.29,24.8,25.29
2015-06-23,25.4,25.5,25,25.5
2015-06-24,26,26.2,25.5,25.7
2015-06-25,25.99,26.39,25.7,26
2015-06-26,26,26,25.46,26
2015-06-29,25.01,26,24.55,26
2015-06-30,25.5,26.26,25.5,26.26
2015-07-01,25.41,26.5,25.41,26
2015-07-02,26,26,25.76,26
2015-07-03,26,26,25.92,26
2015-07-06,25.55,25.87,25.25,25.8
2015-07-07,25.34,25.8,25.2,25.8
2015-07-08,25.4,25.4,24.8,25.19
2015-07-09,24.8,25.16,23.6,25.16
2015-07-10,25,25.87,25,25.87
2015-07-13,25.99,26,25.7,25.89
2015-07-14,25.04,25.69,25.04,25.69
2015-07-15,25,25.69,25,25.69
2015-07-16,25.69,25.69,25.69,25.69
2015-07-17,25.11,26,25.11,25.7
2015-07-20,26,26,25.69,25.69
2015-07-21,25.6,25.69,25.6,25.69
2015-07-22,25.42,25.58,24.68,25.58
2015-07-23,24.61,25.2,24.61,25.2
2015-07-24,24.64,25.2,24.64,25.15
2015-07-27,25.12,25.12,24.57,25.11
2015-07-28,25.11,25.5,25.1,25.5
2015-07-29,25.8,25.88,25.5,25.69
2015-07-30,25.6,26,25.6,25.9
2015-07-31,25.9,26.09,25.71,26
2015-08-03,26,26,26,26
2015-08-04,26,26,25.9,25.9
2015-08-05,25.9,25.9,25.8,25.8
2015-08-06,25,25.6,25,25.59
2015-08-07,25.2,26,25.08,26
2015-08-10,26,26,25.62,25.62
2015-08-11,26,26,25.6,25.6
2015-08-12,25.6,25.6,25.6,25.6
2015-08-13,25.6,25.6,25.6,25.6
2015-08-14,25.6,25.6,25.6,25.6
2015-08-17,25.55,25.6,25.5,25.6
2015-08-18,25.02,25.7,25.02,25.7
2015-08-19,24.32,25.9,24.32,25.85
2015-08-20,25.2,25.95,25.2,25.9
2015-08-21,25.9,25.9,25.6,25.6
2015-08-24,24.04,25,24.04,25
2015-08-25,25,25,25,25
2015-08-26,24.15,25,24.15,25
2015-08-27,24.95,24.95,24.9,24.9
2015-08-28,24.95,24.95,24.95,24.95
2015-08-31,24.95,25.77,24.95,25.77
2015-09-01,24.7,25.3,24.7,25.3
2015-09-02,24.77,25.5,24.77,25.5
2015-09-03,25.3,25.49,25.3,25.49
2015-09-04,25,25.49,25,25.49
2015-09-07,25.63,25.7,25.63,25.7
2015-09-08,25.21,25.8,25.21,25.8
2015-09-09,25.12,25.68,25.1,25.68
2015-09-10,25.57,25.57,25.57,25.57
2015-09-11,25.11,25.49,25.1,25.49
2015-09-14,25.1,25.43,25.1,25.43
2015-09-15,25.12,25.69,25.12,25.69
2015-09-16,25.21,25.21,25,25.1
2015-09-17,25.05,25.73,25.05,25.5
2015-09-18,24.91,25.39,24.91,25.39
2015-09-21,25.31,25.31,24.9,25.3
2015-09-22,24.91,25.36,24.91,25.35
2015-09-24,24.61,25.07,24.61,25.04
2015-09-25,25.19,25.2,24.99,25.2
2015-09-28,25.4,25.6,24.61,25.3
2015-09-29,25.5,25.6,25.3,25.6
2015-09-30,25.6,25.84,25.6,25.79
2015-10-01,25,25.5,25,25.5
2015-10-02,25.1,25.5,25.1,25.5
2015-10-05,25.12,25.6,25.12,25.6
2015-10-06,25.27,25.63,25.27,25.63
2015-10-07,25.64,25.65,25.36,25.65
2015-10-08,25.6,25.6,25.6,25.6
2015-10-09,25.27,25.8,25.27,25.8
2015-10-12,25.85,25.85,25.7,25.7
2015-10-13,25.5,25.7,25.5,25.7
2015-10-14,25.26,25.5,25.26,25.5
2015-10-15,25.5,25.55,25.5,25.55
2015-10-16,25.65,25.7,25.55,25.55
2015-10-19,25.55,25.55,25.55,25.55
2015-10-20,25.55,25.65,25.55,25.65
2015-10-21,25.55,25.55,25.54,25.54
2015-10-23,25.26,25.5,25.17,25.5
2015-10-26,24.99,25.47,24.91,25.47
2015-10-27,25.05,25.47,25.05,25.47
2015-10-28,25.1,26.29,25.1,25.9
2015-10-29,26,26.15,25.61,25.61
2015-10-30,25.6,25.9,25.6,25.9
2015-11-02,25.9,25.9,25.9,25.9
2015-11-03,25.6,25.88,25.02,25.88
2015-11-04,25.88,25.88,25.79,25.79
2015-11-05,25.31,25.7,25.31,25.7
2015-11-06,25.7,25.7,25.7,25.7
2015-11-09,25.69,25.69,24.9,24.9
2015-11-10,24.71,24.89,24.7,24.89
2015-11-12,24.61,24.9,24.6,24.9
2015-11-13,24.61,25,24.6,25
2015-11-16,24.8,25,24.8,24.8
2015-11-17,24.8,25,24.8,25
2015-11-18,25,25.35,25,25.35
2015-11-19,25.01,25.44,25,25.43
2015-11-20,25.5,25.5,25.01,25.49
2015-11-23,25.01,25.01,25,25
2015-11-24,25,25.02,25,25
2015-11-25,25,25,25,25
2015-11-26,24.95,25.84,24.95,25.84
2015-11-27,25.06,25.8,25.05,25.8
2015-11-30,25.26,25.7,25.25,25.7
2015-12-01,25.69,25.84,25.06,25.84
2015-12-02,25.8,25.8,25.01,25.65
2015-12-03,25.41,25.79,25.02,25.64
2015-12-04,25.64,25.64,24.6,25.44
2015-12-07,25.63,25.63,25.47,25.47
2015-12-08,25.47,25.47,25.42,25.43
2015-12-09,25.1,25.29,24.7,25.29
2015-12-10,25.2,25.25,24.61,25.25
2015-12-11,25.24,25.24,24.99,24.99
2015-12-14,24.99,24.99,24.2,24.99
2015-12-15,24.06,25.47,24.06,25.47
2015-12-16,25.47,25.5,24.92,25.5
2015-12-17,25,25.7,25,25.7
2015-12-18,25.78,25.8,25.78,25.8
2015-12-21,25.7,25.8,25.11,25.7
2015-12-22,25.29,25.7,25.29,25.5
2015-12-23,25.02,26,25.02,25.95
2015-12-28,25.9,25.9,25.53,25.55
2015-12-29,25.52,25.6,24.7,25.3
2015-12-30,25.8,25.8,24.9,25.3
2016-01-04,24.75,25.3,24.75,25.3
2016-01-05,25.3,25.3,24.88,24.88
2016-01-07,25.75,25.75,24.55,25.3
2016-01-08,25.3,25.3,24.79,25
2016-01-11,25.25,25.25,25,25.25
2016-01-12,25,25.49,25,25.49
2016-01-13,25.7,25.8,25.7,25.75
2016-01-14,25.7,25.7,25.5,25.5
2016-01-15,25.75,25.75,25.5,25.5
2016-01-18,25.15,25.5,25.15,25.5
2016-01-19,25.45,25.45,24.8,25.3
2016-01-20,25.3,25.3,24.65,25.29
2016-01-21,25.29,25.29,24.24,24.5
2016-01-22,25.1,25.21,24.05,24.99
2016-01-25,25.2,25.2,25.18,25.18
2016-01-26,25.18,25.18,24.3,24.99
2016-01-27,24.5,24.59,24.12,24.4
2016-01-28,25.1,25.1,24.21,24.39
2016-01-29,24.32,24.49,24.01,24.01
2016-02-01,23.92,24.49,23.92,24.45
2016-02-02,24.3,24.31,24.01,24.23
2016-02-03,24.23,24.23,23.92,24.04
2016-02-04,23.92,24,23.75,24
2016-02-05,23.78,24.23,23.78,24.1
2016-02-08,24.21,24.21,23,23.4
2016-02-09,23.4,23.5,22.3,23.5
2016-02-10,23.48,23.97,23,23.97
2016-02-11,23.97,23.97,22.8,22.8
2016-02-12,23.97,23.97,22.45,22.45
2016-02-15,22.7,22.98,22.4,22.98
2016-02-16,22.98,22.99,22.35,22.99
2016-02-17,22.34,23.8,22.34,23.74
2016-02-18,23.75,24.24,23.75,24.1
2016-02-19,24.53,24.6,24.1,24.49
2016-02-22,24,24.44,23.86,24.43
2016-02-23,24.43,24.43,24.43,24.43
2016-02-24,24.3,24.3,24.29,24.29
2016-02-25,24.3,24.5,23.8,24.5
2016-02-26,24.5,24.5,24,24.5
2016-02-29,24.5,24.5,24.4,24.4
2016-03-01,24.49,24.49,24.48,24.48
2016-03-02,24.48,24.48,24.39,24.39
2016-03-03,24.39,24.39,23.23,24
2016-03-04,24.48,24.48,23.5,23.9
2016-03-07,23.9,24.19,23,24.1
2016-03-08,24.34,24.37,23.18,24.3
2016-03-09,24.34,24.34,23.31,24.15
2016-03-10,24.27,24.27,23.39,23.39
2016-03-11,23.55,23.8,23,23
2016-03-14,23.54,23.54,23.3,23.3
2016-03-15,23.33,24.98,23.33,23.99
2016-03-16,24.89,24.89,23.33,23.33
2016-03-17,23.34,24,23.34,23.79
2016-03-18,23.34,23.85,23.33,23.85
2016-03-21,24.17,24.17,23.7,23.7
2016-03-22,23.9,23.9,23.41,23.43
2016-03-23,23.9,24.3,23.4,24.3
2016-03-24,23.89,24.46,23.45,24.46
2016-03-29,24.48,24.48,23.85,24.3
2016-03-30,24.3,24.49,23.85,24.49
2016-03-31,24.49,24.6,23.93,24.6
2016-04-01,24.6,24.6,24.51,24.51
2016-04-04,24.8,24.8,24.45,24.45
2016-04-05,24.45,24.45,24,24.4
2016-04-06,24.45,24.45,23.86,24.45
2016-04-07,24.45,24.45,24.25,24.39
2016-04-08,24.45,24.45,24.4,24.4
2016-04-11,24.45,24.45,24.25,24.3
2016-04-12,24.44,24.44,24.4,24.4
2016-04-13,24.4,24.4,24.4,24.4
2016-04-14,24.44,24.45,24,24.4
2016-04-15,24.4,24.4,24.1,24.4
2016-04-18,23.9,24.75,23.9,24.64
2016-04-19,24.49,24.49,24.25,24.25
2016-04-20,24.5,24.5,24.4,24.4
2016-04-21,24.4,24.5,24.4,24.4
2016-04-22,24.4,24.4,24.02,24.39
2016-04-25,24.39,24.39,23.82,24.39
2016-04-26,24.38,24.38,24.37,24.37
2016-04-27,24.37,24.37,23.93,24.35
2016-04-28,24.34,24.34,23.9,24.1
2016-04-29,24.34,24.34,23.91,23.91
2016-05-02,24.33,24.33,23.7,24.24
2016-05-04,24.2,24.2,24.13,24.13
2016-05-05,24.13,24.13,24.12,24.12
2016-05-06,24.13,24.13,23.67,24.11
2016-05-09,24.11,24.11,24,24
2016-05-10,24,24,23.59,23.59
2016-05-11,23.49,24,23.2,23.98
2016-05-12,23.96,23.96,23.55,23.55
2016-05-13,23.55,23.96,23.2,23.89
2016-05-16,23.89,23.95,23.22,23.88
2016-05-17,23.88,23.88,23.88,23.88
2016-05-18,23.88,23.88,23.25,23.3
2016-05-19,23.85,23.85,23.02,23.83
2016-05-20,23.84,24,23.83,23.83
2016-05-23,23.98,24.4,23.41,24.36
2016-05-24,24.36,24.36,23.85,24.35
2016-05-25,24.34,24.34,24.31,24.31
2016-05-27,24.36,24.36,23.85,24.36
2016-05-30,23.27,24.28,23.27,24.28
2016-05-31,24.27,24.3,24.27,24.27
2016-06-01,24,24,23.03,23.89
2016-06-02,24.2,24.2,23.4,23.4
2016-06-03,24.19,24.19,23.85,24.18
2016-06-06,24.18,24.18,24.17,24.17
2016-06-07,24.17,24.17,23.51,23.99
2016-06-08,24.15,24.15,24.13,24.13
2016-06-09,24.14,24.14,23.51,23.51
2016-06-10,24.13,24.13,23.2,23.5
2016-06-13,23.49,23.49,23.2,23.4
2016-06-14,23.49,23.49,23,23
2016-06-15,23.19,23.69,22.6,23.69
2016-06-16,23.69,23.69,23,23.29
2016-06-17,23.29,23.29,22.51,22.99
2016-06-20,22.99,24.1,22.99,24
2016-06-21,23.09,23.98,23.02,23.72
2016-06-22,23.02,23.72,23.02,23.69
2016-06-23,23.02,24.1,23.02,24.1
2016-06-24,22.5,23.5,22.5,23.49
2016-06-27,22.02,23.5,22.02,23.45
2016-06-28,23.45,23.45,23.31,23.43
2016-06-29,23.43,23.43,23.42,23.42
