<DATE>,<CLOSE>
2005-07-27,139.74
2005-07-28,135.26
2005-07-29,134.15
2005-08-01,135.26
2005-08-02,135.26
2005-08-03,134.15
2005-08-04,135.26
2005-08-05,135.26
2005-08-08,135.26
2005-08-09,134.15
2005-08-10,131.9
2005-08-11,128.56
2005-08-12,124.09
2005-08-16,124.09
2005-08-17,122.96
2005-08-18,126.32
2005-08-19,133.02
2005-08-22,133.02
2005-08-23,129.68
2005-08-24,128.56
2005-08-25,129.68
2005-08-26,128.56
2005-08-29,130.79
2005-08-30,130.79
2005-08-31,126.32
2005-09-01,128.56
2005-09-02,128.56
2005-09-05,128.56
2005-09-06,128.56
2005-09-07,128.56
2005-09-08,124.09
2005-09-09,126.32
2005-09-12,128.56
2005-09-13,126.32
2005-09-14,122.96
2005-09-15,121.84
2005-09-16,120.73
2005-09-19,120.73
2005-09-20,117.37
2005-09-21,116.26
2005-09-22,114.03
2005-09-23,115.14
2005-09-26,124.09
2005-09-27,121.84
2005-09-28,121.84
2005-09-29,120.73
2005-09-30,121.84
2005-10-03,119.62
2005-10-04,118.5
2005-10-05,117.37
2005-10-06,115.14
2005-10-07,116.26
2005-10-10,118.5
2005-10-11,120.73
2005-10-12,118.5
2005-10-13,117.37
2005-10-14,115.14
2005-10-17,115.14
2005-10-18,117.37
2005-10-19,115.14
2005-10-20,109.56
2005-10-21,109.56
2005-10-24,115.14
2005-10-25,118.5
2005-10-26,118.5
2005-10-27,117.37
2005-10-28,117.37
2005-10-31,117.37
2005-11-02,116.26
2005-11-03,117.37
2005-11-04,118.5
2005-11-07,116.26
2005-11-08,116.26
2005-11-09,117.37
2005-11-10,118.5
2005-11-14,125.2
2005-11-15,125.2
2005-11-16,126.32
2005-11-17,130.79
2005-11-18,129.68
2005-11-21,125.2
2005-11-22,127.43
2005-11-23,127.43
2005-11-24,127.43
2005-11-25,127.43
2005-11-28,128.56
2005-11-29,128.56
2005-11-30,128.56
2005-12-01,128.56
2005-12-02,130.79
2005-12-05,134.15
2005-12-06,137.49
2005-12-07,138.62
2005-12-08,139.74
2005-12-09,139.74
2005-12-12,140.85
2005-12-13,139.74
2005-12-14,140.85
2005-12-15,148.68
2005-12-16,149.8
2005-12-19,154.27
2005-12-20,165.44
2005-12-21,168.8
2005-12-22,178.86
2005-12-23,198.99
2005-12-27,200.1
2005-12-28,186.69
2005-12-29,196.74
2005-12-30,194.51
2006-01-02,195.63
2006-01-03,190.05
2006-01-04,182.21
2006-01-05,184.45
2006-01-06,186.69
2006-01-09,184.45
2006-01-10,186.69
2006-01-11,191.15
2006-01-12,190.05
2006-01-13,202.34
2006-01-16,201.22
2006-01-17,197.86
2006-01-18,192.27
2006-01-19,203.44
2006-01-20,200.1
2006-01-23,201.22
2006-01-24,206.8
2006-01-25,204.58
2006-01-26,201.22
2006-01-27,206.8
2006-01-30,204.58
2006-01-31,200.1
2006-02-01,201.22
2006-02-02,212.38
2006-02-03,203.44
2006-02-06,210.16
2006-02-07,207.92
2006-02-08,214.64
2006-02-09,236.99
2006-02-10,233.63
2006-02-13,232.51
2006-02-14,233.63
2006-02-15,234.75
2006-02-16,229.17
2006-02-17,231.39
2006-02-20,232.51
2006-02-21,244.82
2006-02-22,266.05
2006-02-23,282.82
2006-02-24,329.78
2006-02-27,317.47
2006-02-28,311.89
2006-03-01,305.18
2006-03-02,312.99
2006-03-03,312.99
2006-03-06,327.54
2006-03-07,324.18
2006-03-08,324.18
2006-03-09,323.06
2006-03-10,323.06
2006-03-13,335.36
2006-03-14,363.3
2006-03-15,375.62
2006-03-16,374.48
2006-03-17,393.49
2006-03-20,413.6
2006-03-21,412.5
2006-03-22,412.5
2006-03-23,415.86
2006-03-24,420.32
2006-03-27,420.32
2006-03-28,411.38
2006-03-29,402.43
2006-03-30,402.43
2006-03-31,409.14
2006-04-03,387.9
2006-04-04,373.36
2006-04-05,376.72
2006-04-06,396.85
2006-04-07,412.5
2006-04-10,406.91
2006-04-11,397.95
2006-04-12,401.31
2006-04-13,397.95
2006-04-18,395.73
2006-04-19,408.02
2006-04-20,408.02
2006-04-21,406.91
2006-04-24,421.44
2006-04-25,451.62
2006-04-26,491.87
2006-04-27,467.26
2006-04-28,488.51
2006-05-02,504.16
2006-05-04,546.64
2006-05-05,613.71
2006-05-08,659.54
2006-05-09,677.44
2006-05-10,693.09
2006-05-11,742.27
2006-05-12,741.14
2006-05-15,699.78
2006-05-16,696.42
2006-05-17,693.09
2006-05-18,655.07
2006-05-19,648.37
2006-05-22,547.76
2006-05-23,506.4
2006-05-24,547.76
2006-05-25,566.77
2006-05-26,627.14
2006-05-29,710.96
2006-05-30,664.02
2006-05-31,647.25
2006-06-01,623.78
2006-06-02,618.18
2006-06-05,612.59
2006-06-06,629.36
2006-06-07,639.42
2006-06-08,614.82
2006-06-09,615.94
2006-06-12,538.82
2006-06-13,508.62
2006-06-14,497.46
2006-06-16,526.53
2006-06-19,536.58
2006-06-20,538.82
2006-06-21,525.39
2006-06-22,513.1
2006-06-23,481.81
2006-06-26,471.74
2006-06-27,511.98
2006-06-28,489.62
2006-06-29,480.69
2006-06-30,472.86
2006-07-03,480.69
2006-07-04,494.1
2006-07-05,503.04
2006-07-06,529.86
2006-07-07,539.92
2006-07-10,536.58
2006-07-11,549.98
2006-07-12,621.54
2006-07-13,603.65
2006-07-14,593.58
2006-07-17,581.3
2006-07-18,585.76
2006-07-19,592.48
2006-07-20,615.94
2006-07-21,603.65
2006-07-24,608.13
2006-07-25,631.6
2006-07-26,652.83
2006-07-27,659.54
2006-07-28,652.83
2006-07-31,659.54
2006-08-01,657.31
2006-08-02,652.83
2006-08-03,633.82
2006-08-04,650.59
2006-08-07,648.37
2006-08-08,621.54
2006-08-09,638.3
2006-08-10,636.06
2006-08-11,623.78
2006-08-14,613.71
2006-08-16,596.94
2006-08-17,598.06
2006-08-18,653.95
2006-08-21,713.2
2006-08-22,718.78
2006-08-23,716.54
2006-08-24,693.09
2006-08-25,709.84
2006-08-28,726.61
2006-08-29,756.78
2006-08-30,751.2
2006-08-31,733.33
2006-09-01,731.07
2006-09-04,726.61
2006-09-05,765.73
2006-09-06,810.45
2006-09-07,810.45
2006-09-08,856.29
2006-09-11,881.98
2006-09-12,922.24
2006-09-13,864.11
2006-09-14,870.82
2006-09-15,871.94
2006-09-18,771.33
2006-09-19,704.26
2006-09-20,737.79
2006-09-21,732.21
2006-09-22,748.98
2006-09-25,782.51
2006-09-26,798.16
2006-09-27,781.38
2006-09-28,771.33
2006-09-29,782.51
2006-10-02,771.33
2006-10-03,748.98
2006-10-04,738.91
2006-10-05,753.44
2006-10-06,754.56
2006-10-09,754.56
2006-10-10,813.81
2006-10-11,793.7
2006-10-12,798.16
2006-10-13,782.51
2006-10-16,778.05
2006-10-17,773.57
2006-10-18,808.22
2006-10-19,799.28
2006-10-20,804.86
2006-10-23,811.57
2006-10-24,827.22
2006-10-25,832.82
2006-10-26,836.16
2006-10-27,835.04
2006-10-30,807.09
2006-10-31,814.93
2006-11-02,790.34
2006-11-03,801.5
2006-11-06,804.86
2006-11-07,800.38
2006-11-08,785.86
2006-11-09,782.51
2006-11-10,776.91
2006-11-13,756.78
2006-11-14,763.5
2006-11-15,770.21
2006-11-16,772.45
2006-11-17,770.21
2006-11-20,813.81
2006-11-21,848.46
2006-11-22,892.05
2006-11-23,902.11
2006-11-24,894.3
2006-11-27,889.82
2006-11-28,894.3
2006-11-29,915.54
2006-11-30,907.7
2006-12-01,898.77
2006-12-04,888.7
2006-12-05,888.7
2006-12-06,892.05
2006-12-07,898.77
2006-12-08,898.77
2006-12-11,892.05
2006-12-12,866.34
2006-12-13,889.82
2006-12-14,866.34
2006-12-15,848.46
2006-12-18,838.4
2006-12-19,804.86
2006-12-20,784.74
2006-12-21,783.63
2006-12-22,786.98
2006-12-27,803.74
2006-12-28,799.28
2006-12-29,795.92
2007-01-02,823.87
2007-01-03,852.94
2007-01-04,841.74
2007-01-05,838.4
2007-01-08,856.29
2007-01-09,877.52
2007-01-10,879.76
2007-01-11,886.46
2007-01-12,883.12
2007-01-15,883.12
2007-01-16,914.42
2007-01-17,966.94
2007-01-18,994.91
2007-01-19,1006.08
2007-01-22,1006.08
2007-01-23,1015.02
2007-01-24,1073.15
2007-01-25,1035.15
2007-01-26,1022.85
2007-01-29,1016.14
2007-01-30,1016.14
2007-01-31,1016.14
2007-02-01,1060.86
2007-02-02,1084.34
2007-02-05,1112.27
2007-02-06,1184.94
2007-02-07,1229.65
2007-02-08,1129.04
2007-02-09,1229.65
2007-02-12,1247.54
2007-02-13,1241.95
2007-02-14,1246.43
2007-02-15,1224.06
2007-02-16,1206.18
2007-02-19,1208.42
2007-02-20,1198.35
2007-02-21,1196.13
2007-02-22,1196.13
2007-02-23,1178.22
2007-02-26,1146.93
2007-02-27,1067.55
2007-02-28,1067.55
2007-03-01,1061.97
2007-03-02,1083.2
2007-03-05,1028.43
2007-03-06,1061.97
2007-03-07,1105.57
2007-03-08,1137.98
2007-03-09,1151.41
2007-03-12,1184.94
2007-03-13,1163.7
2007-03-14,1162.58
2007-03-15,1186.06
2007-03-16,1196.13
2007-03-19,1176
2007-03-20,1218.46
2007-03-21,1224.06
2007-03-22,1225.18
2007-03-23,1212.88
2007-03-26,1165.94
2007-03-27,1151.41
2007-03-28,1155.87
2007-03-29,1182.7
2007-03-30,1207.3
2007-04-02,1229.65
2007-04-03,1330.26
2007-04-04,1332.5
2007-04-05,1332.5
2007-04-10,1374.98
2007-04-11,1353.73
2007-04-12,1290.02
2007-04-13,1352.62
2007-04-16,1425.28
2007-04-17,1433.1
2007-04-18,1453.23
2007-04-19,1397.34
2007-04-20,1455.46
2007-04-23,1620.96
2007-04-24,1598.56
2007-04-25,1566.13
2007-04-26,1626.56
2007-04-27,1665.6
2007-04-30,1663.36
2007-05-02,1676.8
2007-05-04,1889.28
2007-05-07,1810.88
2007-05-08,1760.64
2007-05-09,1809.76
2007-05-10,1744.96
2007-05-11,1732.64
2007-05-14,1788.64
2007-05-15,1827.68
2007-05-16,1877.92
2007-05-17,1972.96
2007-05-18,2123.84
2007-05-21,2224.48
2007-05-22,2230.08
2007-05-23,2189.92
2007-05-24,2123.84
2007-05-25,2125.12
2007-05-28,2157.44
2007-05-29,2330.72
2007-05-30,2263.68
2007-05-31,2269.28
2007-06-01,2274.88
2007-06-04,2274.88
2007-06-05,2280.32
2007-06-06,2234.72
2007-06-08,2163.04
2007-06-11,2191.04
2007-06-12,2123.84
2007-06-13,2156.32
2007-06-14,2123.84
2007-06-15,2248.16
2007-06-18,2320.64
2007-06-19,2504
2007-06-20,2590.08
2007-06-21,2569.92
2007-06-22,2705.28
2007-06-25,2786.88
