<DATE>,<CLOSE>
2020-07-24,28.9
2020-07-27,37.4
2020-07-28,30
2020-07-29,26.9
2020-07-30,23.7
2020-08-04,25.8
2020-08-05,25.485
2020-08-06,23.96
2020-08-07,22.5
2020-08-10,21.945
2020-08-11,20
2020-08-12,19.77
2020-08-13,21.3
2020-08-14,22.35
2020-08-17,21.855
2020-08-18,21.355
2020-08-19,21.35
2020-08-20,21.945
2020-08-21,21.5
2020-08-24,22
2020-08-25,22
2020-08-26,22.97
2020-08-27,22.7
2020-08-28,22.65
2020-08-31,22.5
2020-09-01,21.75
2020-09-02,22.4
2020-09-03,22.155
2020-09-04,21.2
2020-09-07,20.5
2020-09-08,19.3
2020-09-09,19.3
2020-09-10,19.6
2020-09-11,20.1
2020-09-14,20
2020-09-15,19.13
2020-09-16,19.4
2020-09-17,19.4
2020-09-18,19.5
2020-09-21,19.18
2020-09-22,18.996
2020-09-23,17.252
2020-09-24,17.448
2020-09-25,17.3
2020-09-28,17.1
2020-09-29,17.85
2020-09-30,17.75
2020-10-01,17.9
2020-10-02,17.14
2020-10-05,17.3
2020-10-06,17.3
2020-10-07,16.9
2020-10-08,16.67
2020-10-09,16.3
2020-10-12,15.75
2020-10-13,15.37
2020-10-14,14.4
2020-10-15,15
2020-10-16,15.91
2020-10-19,16.8
2020-10-20,16.7
2020-10-21,17.2
2020-10-22,16.5
2020-10-23,16.1
