<DATE>,<CLOSE>
2007-05-28,41.436
2007-05-29,38.652
2007-05-30,35.964
2007-05-31,37.386
2007-06-01,35.732
2007-06-04,33.52
2007-06-05,31.48
2007-06-06,31.48
2007-06-08,30.954
2007-06-11,31.696
2007-06-12,32.3
2007-06-13,31.48
2007-06-14,30.984
2007-06-15,31.03
2007-06-18,30.924
2007-06-19,33.954
2007-06-20,32.856
2007-06-21,33.042
2007-06-22,32.004
2007-06-25,31.448
2007-06-26,31.388
2007-06-27,31
2007-06-28,32.422
2007-06-29,31.232
2007-07-02,30.536
2007-07-03,30.908
2007-07-04,30.536
2007-07-05,30.304
2007-07-06,30.148
2007-07-09,30.274
2007-07-10,28.958
2007-07-11,28.758
2007-07-12,27.522
2007-07-13,27.428
2007-07-16,26.268
2007-07-17,26.284
2007-07-18,26.67
2007-07-19,26.64
2007-07-20,26.284
2007-07-23,26.114
2007-07-24,25.48
2007-07-25,24.97
2007-07-26,24.892
2007-07-27,24.552
2007-07-30,25.51
2007-07-31,25.974
2007-08-01,25.356
2007-08-02,25.202
2007-08-03,24.892
2007-08-06,23.888
2007-08-07,24.12
2007-08-08,24.274
2007-08-09,23.964
2007-08-10,21.646
2007-08-13,22.42
2007-08-14,21.614
2007-08-16,17.347
2007-08-17,18.291
2007-08-20,18.338
2007-08-21,18.213
2007-08-22,18.832
2007-08-23,19.636
2007-08-24,19.636
2007-08-27,21.508
2007-08-28,21.044
2007-08-29,20.796
2007-08-30,20.564
2007-08-31,20.718
2007-09-03,20.642
2007-09-04,20.254
2007-09-05,19.836
2007-09-06,19.79
2007-09-07,19.326
2007-09-10,19.172
2007-09-11,19.172
2007-09-12,19.172
2007-09-13,18.662
2007-09-14,18.786
2007-09-17,18.57
2007-09-18,18.786
2007-09-19,18.786
2007-09-20,18.925
2007-09-21,18.987
2007-09-24,18.925
2007-09-25,18.987
2007-09-26,19.094
2007-09-27,19.588
2007-09-28,19.28
2007-10-01,18.925
2007-10-02,19.22
2007-10-03,19.358
2007-10-04,19.404
2007-10-05,19.466
2007-10-08,19.558
2007-10-09,19.636
2007-10-10,20.394
2007-10-11,20.812
2007-10-12,20.874
2007-10-15,22.884
2007-10-16,23.5
2007-10-17,23.64
2007-10-18,23.332
2007-10-19,23.192
2007-10-22,22.558
2007-10-23,23.192
2007-10-24,22.572
2007-10-25,23.116
2007-10-26,23.116
2007-10-29,23.176
2007-10-30,22.42
2007-10-31,23.006
2007-11-02,22.42
2007-11-05,22.264
2007-11-06,22.002
2007-11-07,19.326
2007-11-08,19.018
2007-11-09,20.084
2007-11-12,19.636
2007-11-13,19.636
2007-11-14,19.868
2007-11-15,19.326
2007-11-16,19.62
2007-11-19,20.1
2007-11-20,20.178
2007-11-21,20.1
2007-11-22,20.1
2007-11-23,20.1
2007-11-26,20.1
2007-11-27,20.1
2007-11-28,20.178
2007-11-29,20.41
2007-11-30,20.642
2007-12-03,20.254
2007-12-04,19.992
2007-12-05,20.068
2007-12-06,20.1
2007-12-07,19.636
2007-12-10,20.1
2007-12-11,20.1
2007-12-12,20.022
2007-12-13,19.342
2007-12-14,20.084
2007-12-17,20.1
2007-12-18,20.116
2007-12-19,20.038
2007-12-20,19.714
2007-12-21,18.848
2007-12-27,19.466
2007-12-28,18.166
2008-01-02,19.528
2008-01-03,19.992
2008-01-04,19.482
2008-01-07,19.25
2008-01-08,19.064
2008-01-09,19.326
2008-01-10,18.832
2008-01-11,18.862
2008-01-14,18.925
2008-01-15,18.398
2008-01-16,16.003
2008-01-17,16.992
2008-01-18,17.162
2008-01-21,16.235
2008-01-22,16.235
2008-01-23,17.301
2008-01-24,17.626
2008-01-25,18.229
2008-01-28,17.704
2008-01-29,18.538
2008-01-30,18.538
2008-01-31,18.461
2008-02-01,17.626
2008-02-04,18.229
2008-02-05,18.554
2008-02-06,18.523
2008-02-07,18.554
2008-02-08,18.554
2008-02-11,18.507
2008-02-12,18.554
2008-02-13,17.765
2008-02-14,18.291
2008-02-15,17.934
2008-02-18,18.275
2008-02-19,17.333
2008-02-20,17.317
2008-02-21,17.765
2008-02-22,17.781
2008-02-25,18.322
2008-02-26,17.194
2008-02-27,17.858
2008-02-28,18.182
2008-02-29,16.235
2008-03-03,15.477
2008-03-04,15.941
2008-03-05,16.976
2008-03-06,15.616
2008-03-07,15.616
2008-03-10,16.235
2008-03-11,16.235
2008-03-12,16.915
2008-03-13,16.235
2008-03-14,17.008
2008-03-17,16.853
2008-03-18,16.776
2008-03-19,16.853
2008-03-25,16.93
2008-03-26,16.93
2008-03-27,16.992
2008-03-28,16.837
2008-03-31,16.79
2008-04-02,15.925
2008-04-03,15.802
2008-04-04,16.466
2008-04-09,16.326
2008-04-10,15.894
2008-04-11,15.91
2008-04-14,16.142
2008-04-15,15.925
2008-04-16,15.941
2008-04-18,15.818
2008-04-21,15.925
2008-04-22,14.704
2008-04-23,14.534
2008-04-24,15.848
2008-04-25,15.755
2008-04-28,15.755
2008-04-29,14.456
2008-04-30,13.73
2008-05-05,13.683
2008-05-06,13.915
2008-05-07,15.152
2008-05-08,15.275
2008-05-09,15.152
2008-05-12,14.642
2008-05-13,15.152
2008-05-14,14.224
2008-05-15,13.915
2008-05-16,13.915
2008-05-19,13.529
2008-05-20,13.312
2008-05-21,13.761
2008-05-23,14.595
2008-05-26,14.054
2008-05-27,14.348
2008-05-28,14.302
2008-05-29,14.302
2008-05-30,14.302
2008-06-02,13.915
2008-06-03,14.304
2008-06-04,14.176
2008-06-05,13.76
2008-06-06,13.904
2008-06-09,13.776
2008-06-10,12.8
2008-06-11,12.64
2008-06-12,14.256
2008-06-16,14.144
2008-06-17,14.08
2008-06-18,13.84
2008-06-19,13.76
2008-06-20,13.744
2008-06-24,13.584
2008-06-25,13.104
2008-06-26,12.624
2008-06-27,11.968
2008-06-30,10.88
2008-07-01,10.4
2008-07-02,10.192
2008-07-03,8.48
2008-07-04,8.784
2008-07-07,8.72
2008-07-08,8.288
2008-07-09,8.624
2008-07-10,8.64
2008-07-11,8.32
2008-07-14,8.32
2008-07-15,8.24
2008-07-16,8.24
2008-07-17,8.608
2008-07-18,8.432
2008-07-21,8.256
2008-07-22,8.08
2008-07-23,8.096
2008-07-24,8.544
2008-07-25,8.4
2008-07-28,8.432
2008-07-29,7.968
2008-07-30,8.64
2008-07-31,8.768
2008-08-01,8.688
2008-08-04,8
2008-08-05,8.512
2008-08-06,8.032
