<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2000-01-03,159.54,159.54,157.12,159.54
2000-01-04,160.11,162.92,159.41,162.22
2000-01-05,161.46,163.57,160.41,162.86
2000-01-07,159.05,160.1,157.33,160.1
2000-01-10,159.07,159.42,157.02,159.42
2000-01-11,158.06,160.13,157.37,160.13
2000-01-12,157.19,160.28,157.19,159.6
2000-01-13,157.7,159.77,157.7,159.07
2000-01-14,158.02,158.02,155.3,158.02
2000-01-17,156.7,157.37,153.63,156.7
2000-01-18,155.59,157.62,154.56,157.62
2000-01-19,157.75,157.75,154.02,157.07
2000-01-20,153.92,157.32,153.92,156.64
2000-01-21,156.82,156.82,153.78,156.48
2000-01-24,155.34,156.7,153.65,156.7
2000-01-25,155.4,158.48,155.4,158.48
2000-01-26,157.74,157.74,155.36,157.4
2000-01-27,154.77,156.8,154.43,156.45
2000-01-28,153.28,156.31,153.28,156.31
2000-01-31,157.01,158.02,154.98,157.69
2000-02-01,155.99,158.37,155.31,158.03
2000-02-02,158.06,158.4,155,158.4
2000-02-03,155.21,158.95,155.21,158.61
2000-02-04,156.8,157.14,153.78,157.14
2000-02-07,154.79,158.16,154.79,158.16
2000-02-08,154.74,157.77,154.41,157.77
2000-02-09,156.31,158.68,155.3,158.34
2000-02-10,155.16,158.2,154.83,158.2
2000-02-11,154.93,158.29,154.93,157.96
2000-02-14,156.04,157.38,154.36,157.38
2000-02-16,154.45,157.48,154.45,157.48
2000-02-17,154.3,156.97,154.3,156.64
2000-02-18,154.59,156.59,154.25,156.25
2000-02-21,154.14,156.16,154.14,155.82
2000-02-22,156.67,158.01,156.33,158.01
2000-02-23,156.52,157.88,156.52,157.88
2000-02-24,157.04,157.04,155.37,157.04
2000-02-25,154.51,156.18,154.51,156.18
2000-02-28,154.14,155.81,154.14,155.81
2000-02-29,154.92,155.26,154.6,154.92
2000-03-01,153.72,154.7,152.73,154.7
2000-03-02,153.49,154.46,152.82,154.46
2000-03-03,152.5,153.81,152.17,153.81
2000-03-06,151.83,153.79,151.5,153.46
2000-03-07,153.71,153.71,151.43,153.71
2000-03-08,152.63,154.6,152.63,154.6
2000-03-09,151.77,153.73,151.77,153.73
2000-03-10,152.1,153.73,152.1,153.73
2000-03-14,151.79,153.09,151.47,153.09
2000-03-15,153.96,153.96,152.33,153.63
2000-03-16,152.71,154.02,152.06,153.69
2000-03-17,151.42,154.02,151.42,153.36
2000-03-20,152.88,153.2,151.25,152.88
2000-03-21,152.4,152.71,150.77,152.07
2000-03-22,149.82,151.43,149.82,150.78
2000-03-23,150.8,152.41,150.47,151.45
2000-03-24,150.77,152.4,150.77,151.75
2000-03-27,150.96,151.28,150,150.96
2000-03-28,150.03,151.96,150.03,151.64
2000-03-29,150.95,150.95,149.66,150.95
2000-03-30,152.13,153.77,151.49,153.44
2000-03-31,151.09,152.71,150.76,152.71
2000-04-03,152.46,154.1,152.46,153.77
2000-04-04,155.06,155.4,153.74,155.4
2000-04-05,155.31,156.66,155.31,156.66
2000-04-06,152.69,155.32,152.69,154.66
2000-04-07,151.72,154.34,151.72,154.34
2000-04-10,152.28,154.91,152.28,154.58
2000-04-11,155.3,155.3,152.66,155.3
2000-04-12,151.77,154.39,151.77,154.07
2000-04-13,152.54,154.84,151.89,154.51
2000-04-14,155.32,157.66,155.32,157.66
2000-04-17,158.04,158.04,155.37,157.71
2000-04-18,155.03,157.37,155.03,157.03
2000-04-19,153.79,156.44,153.79,156.44
2000-04-20,154.04,156.36,154.04,156.36
2000-04-25,154.58,154.9,152.93,154.9
2000-04-26,152.31,154.28,152.31,154.28
2000-04-27,152.38,153.69,152.38,153.69
2000-04-28,155.84,156.84,155.17,156.84
2000-05-02,155.03,157.04,155.03,157.04
2000-05-03,153.01,154.34,153.01,154.34
2000-05-04,154.98,157.32,154.98,157.32
2000-05-05,159.31,159.31,156.6,158.98
2000-05-08,154.2,154.54,152.89,154.54
2000-05-10,154.03,155.69,154.03,155.69
2000-05-11,153.29,154.95,153.29,154.95
2000-05-12,156.93,157.26,155.26,156.93
2000-05-15,155.04,156.04,155.04,156.04
2000-05-16,154.03,155.67,153.04,155.01
2000-05-17,156.13,156.45,153.82,156.13
2000-05-18,155.93,156.6,153.29,156.6
2000-05-19,155.33,159.34,155.33,159.02
2000-05-22,161.41,161.41,156.7,160.75
2000-05-23,157.25,160.95,157.25,160.95
2000-05-24,157.94,160.97,157.61,160.97
2000-05-25,159.62,161.99,159.62,161.66
2000-05-26,163.88,165.25,163.88,164.91
2000-05-29,162.03,165.47,162.03,165.47
2000-05-30,163.45,164.48,160.73,164.48
2000-05-31,163.23,163.23,159.85,162.54
2000-06-02,162.52,162.85,159.83,162.85
2000-06-05,163.67,163.67,159.63,162.99
2000-06-06,164.33,167.09,163.65,167.09
2000-06-07,164.54,167.29,163.86,166.6
2000-06-08,166.68,169.11,165.65,169.11
2000-06-09,168.45,169.49,168.45,169.49
2000-06-13,170.84,170.84,170.84,170.84
2000-06-14,170.15,170.85,167.02,170.15
2000-06-15,169.18,169.87,165.72,168.84
2000-06-16,168.02,171.18,168.02,171.18
2000-06-20,166.35,169.11,166.35,169.11
2000-06-21,168.78,168.78,165.69,168.44
2000-06-23,165.46,167.87,165.12,167.87
2000-06-26,165.62,168.71,165.62,168.02
2000-06-27,167.95,167.95,167.95,167.95
2000-06-28,165.23,168.31,165.23,167.97
2000-06-29,166.33,169.43,166.33,169.08
2000-06-30,167.99,168.68,165.25,168.33
2000-07-03,163.04,165.74,163.04,165.74
2000-07-04,165.99,166.66,163.29,165.99
2000-07-05,164.59,167.32,164.26,166.63
2000-07-06,167.19,167.19,164.48,166.52
2000-07-10,162.98,165.67,162.98,165.33
2000-07-11,163.75,164.76,162.42,164.42
2000-07-12,164.48,164.48,162.15,164.48
2000-07-13,163.05,164.71,161.71,163.71
2000-07-14,164.52,165.52,162.83,164.52
2000-07-17,161.48,164.48,161.48,163.8
2000-07-18,161.17,163.83,161.17,163.5
2000-07-19,161.13,163.11,161.13,162.78
2000-07-20,162.2,163.52,162.2,162.86
2000-07-21,163.03,163.37,161.05,162.71
2000-07-25,162.65,164.98,161.66,164.31
2000-07-26,162.58,164.92,162.58,164.26
2000-07-28,161.28,163.25,161.28,162.26
2000-07-31,161.63,164.27,161.63,163.28
2000-08-01,163.72,164.04,161.4,163.39
2000-08-02,163.02,163.36,161.05,163.36
2000-08-03,163.05,163.05,161.08,162.06
2000-08-04,162.39,162.39,160.76,162.06
2000-08-07,161.49,162.47,160.5,161.49
2000-08-08,159.3,160.91,159.3,159.94
2000-08-09,158.41,160.35,158.41,159.69
