<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2012-01-04,0.6508,0.9297,0.6437,0.7653
2012-01-05,0.7366,0.7366,0.6652,0.7081
2012-01-09,0.6795,0.7152,0.6437,0.7152
2012-01-10,0.6724,0.7152,0.6724,0.7009
2012-01-11,0.7081,0.7081,0.6795,0.7081
2012-01-12,0.7081,0.7152,0.6795,0.7152
2012-01-13,0.7081,0.7081,0.7081,0.7081
2012-01-16,0.6437,0.7081,0.5722,0.7081
2012-01-17,0.7152,0.7152,0.6437,0.7152
2012-01-18,0.6152,0.6724,0.608,0.6724
2012-01-19,0.6152,0.6724,0.608,0.6724
2012-01-20,0.6724,0.6724,0.6724,0.6724
2012-01-23,0.6724,0.6939,0.658,0.6939
2012-01-24,0.6939,0.6939,0.6795,0.6939
2012-01-25,0.7081,0.7081,0.6437,0.6652
2012-01-26,0.6652,0.7296,0.6652,0.7296
2012-01-27,0.7225,0.7366,0.7152,0.7296
2012-01-30,0.7296,0.7366,0.7296,0.7366
2012-01-31,0.7366,0.7366,0.7152,0.7152
2012-02-01,0.7366,0.7366,0.7152,0.7152
2012-02-02,0.7152,0.7152,0.6724,0.6795
2012-02-03,0.6795,0.6795,0.6795,0.6795
2012-02-06,0.6795,0.6795,0.6795,0.6795
2012-02-07,0.6795,0.6795,0.6652,0.6795
2012-02-08,0.6795,0.6795,0.6437,0.6795
2012-02-09,0.6795,0.7152,0.6724,0.7152
2012-02-10,0.7009,0.7653,0.7009,0.7152
2012-02-13,0.7868,0.7868,0.7868,0.7868
2012-02-14,0.7868,0.7868,0.7797,0.7797
2012-02-15,0.7868,0.9442,0.7868,0.9442
2012-02-16,0.9442,0.9442,0.9297,0.9297
2012-02-17,0.9297,1.037,0.9297,1.037
2012-02-20,1.1087,1.1087,1.1087,1.1087
2012-02-21,1.1087,1.1087,1.037,1.073
2012-02-22,1.1014,1.1087,1.0801,1.1087
2012-02-23,1.1087,1.1087,1.1087,1.1087
2012-02-24,1.1087,1.216,1.1087,1.216
2012-02-27,1.216,1.216,1.216,1.216
2012-02-28,1.3447,1.3447,1.216,1.216
2012-02-29,1.216,1.216,1.216,1.216
2012-03-01,1.2232,1.2517,1.2232,1.2232
2012-03-02,1.2302,1.2302,1.2017,1.2017
2012-03-05,1.1802,1.1802,1.1802,1.1802
2012-03-07,1.1802,1.1802,1.1445,1.1445
2012-03-13,1.1445,1.1445,1.1445,1.1445
2012-03-15,1.1373,1.1373,1.1228,1.1228
2012-03-16,1.1228,1.1228,1.1228,1.1228
2012-03-19,1.1158,1.1158,1.1087,1.1087
2012-03-20,1.1087,1.1087,1.1087,1.1087
2012-03-21,1.1087,1.1087,1.1087,1.1087
2012-03-22,1.1087,1.1087,1.1087,1.1087
2012-03-23,1.0301,1.0301,1.0301,1.0301
2012-03-28,1.0657,1.0657,1.0657,1.0657
2012-03-29,1.0657,1.0657,1.0657,1.0657
2012-04-05,1.0657,1.0657,1.0657,1.0657
2012-04-13,1.0657,1.0657,1.0657,1.0657
2012-04-16,1.0657,1.0657,1.0657,1.0657
2012-04-20,1.0014,1.0014,1.0014,1.0014
2012-04-24,1.0657,1.0657,1.0657,1.0657
2012-04-25,0.9942,0.9942,0.9942,0.9942
2012-04-26,0.9942,0.9942,0.9942,0.9942
2012-04-30,0.9942,0.9942,0.9942,0.9942
2012-05-08,0.9942,0.9942,0.9942,0.9942
2012-05-09,0.9297,0.9297,0.8585,0.8585
2012-05-10,0.8585,0.9942,0.8585,0.9942
2012-05-11,0.9942,0.9942,0.9942,0.9942
2012-05-14,0.9942,0.9942,0.9942,0.9942
2012-05-15,0.9942,0.9942,0.9942,0.9942
2012-05-16,0.9942,0.9942,0.9297,0.9297
2012-05-18,0.9656,0.9942,0.9656,0.9942
2012-05-21,0.9942,0.9942,0.9942,0.9942
2012-05-22,0.9942,0.9942,0.9584,0.9584
2012-05-23,0.9942,0.9942,0.9942,0.9942
2012-05-24,0.8869,0.8869,0.8869,0.8869
2012-06-04,0.8869,0.9942,0.8869,0.9942
2012-06-05,0.9584,0.9584,0.9584,0.9584
2012-06-15,0.9656,0.9656,0.9656,0.9656
2012-06-18,0.9656,0.9656,0.9656,0.9656
2012-06-19,0.9656,0.9656,0.9656,0.9656
2012-06-25,0.9871,0.9871,0.8941,0.8941
2012-06-26,0.8869,0.8869,0.8869,0.8869
2012-06-27,0.8226,0.8226,0.8226,0.8226
2012-06-28,0.8869,0.8869,0.8869,0.8869
2012-06-29,0.8869,0.8869,0.8512,0.8512
2012-07-03,0.8869,0.9013,0.8869,0.9013
2012-07-04,0.9013,0.9013,0.9013,0.9013
2012-07-10,0.8585,0.8585,0.8585,0.8585
2012-07-11,0.8585,0.8585,0.8585,0.8585
2012-07-12,0.8585,0.8585,0.8585,0.8585
2012-07-13,0.8585,0.8585,0.8585,0.8585
2012-07-16,0.8585,0.8585,0.8585,0.8585
2012-07-17,0.8585,0.8585,0.8585,0.8585
2012-07-18,0.8585,0.8585,0.8585,0.8585
2012-07-19,0.8585,0.8585,0.8585,0.8585
2012-07-20,0.8585,0.8585,0.8585,0.8585
2012-07-23,0.8585,0.8585,0.8585,0.8585
2012-07-24,0.8585,0.8585,0.8585,0.8585
2012-07-25,0.8585,0.8585,0.8585,0.8585
2012-07-26,0.7868,0.7868,0.7868,0.7868
2012-07-27,0.7868,0.7868,0.7296,0.7296
2012-07-31,0.7152,0.7152,0.7152,0.7152
2012-08-03,0.7225,0.7511,0.7225,0.7296
2012-08-27,0.7152,0.7152,0.7152,0.7152
2012-08-28,0.7152,0.7152,0.7152,0.7152
2012-08-29,0.7152,0.7152,0.7152,0.7152
2012-08-30,0.7152,0.7152,0.7152,0.7152
2012-08-31,0.7152,0.7152,0.7152,0.7152
