<TICKER>,<DATE>,<CLOSE>
ING,1994-01-25,52.895
ING,1994-01-27,52.895
ING,1994-01-31,47.605
ING,1994-02-01,42.864
ING,1994-02-03,38.593
ING,1994-02-07,35.263
ING,1994-02-08,38.79
ING,1994-02-10,38.79
ING,1994-02-14,36.83
ING,1994-02-15,36.046
ING,1994-02-17,36.046
ING,1994-02-21,32.913
ING,1994-02-22,36.203
ING,1994-02-24,39.808
ING,1994-02-28,42.317
ING,1994-03-01,42.277
ING,1994-03-03,41.925
ING,1994-03-07,39.808
ING,1994-03-08,39.181
ING,1994-03-10,39.142
ING,1994-03-14,37.614
ING,1994-03-15,37.221
ING,1994-03-17,38.399
ING,1994-03-21,37.221
ING,1994-03-22,33.539
ING,1994-03-24,35.616
ING,1994-03-28,33.344
ING,1994-03-29,30.013
ING,1994-03-31,27.585
ING,1994-04-05,29.778
ING,1994-04-07,30.954
ING,1994-04-08,28.994
ING,1994-04-11,26.096
ING,1994-04-12,23.509
ING,1994-04-14,23.509
ING,1994-04-18,25.076
ING,1994-04-19,25.86
ING,1994-04-21,31.032
ING,1994-04-25,30.954
ING,1994-04-26,27.859
ING,1994-04-28,25.076
ING,1994-05-05,27.035
ING,1994-05-06,24.332
ING,1994-05-09,24.684
ING,1994-05-10,24.293
ING,1994-05-12,24.763
ING,1994-05-16,25.9
ING,1994-05-17,25.9
ING,1994-05-19,25.781
ING,1994-05-23,25.86
ING,1994-05-24,25.86
ING,1994-05-26,25.39
ING,1994-05-30,22.882
ING,1994-05-31,23.313
ING,1994-06-01,21.55
ING,1994-06-06,20.375
ING,1994-06-07,18.337
ING,1994-06-09,17.239
ING,1994-06-13,15.517
ING,1994-06-14,13.987
ING,1994-06-16,15.359
ING,1994-06-20,14.145
ING,1994-06-21,13.009
ING,1994-06-23,12.617
ING,1994-06-27,13.869
ING,1994-06-28,14.496
ING,1994-06-30,14.105
ING,1994-07-04,14.145
ING,1994-07-05,14.889
ING,1994-07-06,14.889
ING,1994-07-07,15.672
ING,1994-07-11,16.849
ING,1994-07-12,18.534
ING,1994-07-13,20.375
ING,1994-07-14,18.729
ING,1994-07-18,18.415
ING,1994-07-19,19.591
ING,1994-07-20,17.631
ING,1994-07-21,16.849
ING,1994-07-25,15.633
ING,1994-07-26,15.594
ING,1994-07-27,15.712
ING,1994-07-28,15.908
ING,1994-08-01,15.908
ING,1994-08-02,15.672
ING,1994-08-03,15.672
ING,1994-08-04,16.456
ING,1994-08-08,16.692
ING,1994-08-09,16.692
ING,1994-08-10,16.025
ING,1994-08-11,16.456
ING,1994-08-16,16.066
ING,1994-08-17,16.456
ING,1994-08-18,17.239
ING,1994-08-22,18.415
ING,1994-08-23,18.729
ING,1994-08-24,18.729
ING,1994-08-25,18.337
ING,1994-08-29,17.593
ING,1994-08-30,17.908
ING,1994-08-31,17.908
ING,1994-09-01,16.143
ING,1994-09-05,16.456
ING,1994-09-06,15.79
ING,1994-09-07,14.496
ING,1994-09-08,15.947
ING,1994-09-12,15.908
ING,1994-09-13,15.122
ING,1994-09-14,15.202
ING,1994-09-15,15.282
ING,1994-09-19,15.672
ING,1994-09-20,14.889
ING,1994-09-21,14.183
ING,1994-09-22,14.224
ING,1994-09-26,13.713
ING,1994-09-27,13.478
ING,1994-09-28,13.322
ING,1994-09-29,13.949
ING,1994-10-03,14.419
ING,1994-10-04,14.34
ING,1994-10-05,14.496
ING,1994-10-06,14.105
ING,1994-10-07,14.105
ING,1994-10-10,12.694
ING,1994-10-11,13.4
ING,1994-10-12,13.087
ING,1994-10-13,13.164
ING,1994-10-14,13.048
ING,1994-10-17,12.93
ING,1994-10-18,13.243
ING,1994-10-19,12.539
ING,1994-10-20,12.617
ING,1994-10-21,12.499
ING,1994-10-24,11.675
ING,1994-10-25,10.541
ING,1994-10-26,10.108
ING,1994-10-27,9.4038
ING,1994-10-28,8.4628
ING,1994-11-02,9.2856
ING,1994-11-03,9.874
ING,1994-11-04,9.874
ING,1994-11-07,9.4038
ING,1994-11-08,9.4038
ING,1994-11-09,9.0113
ING,1994-11-10,9.0113
ING,1994-11-14,8.7773
ING,1994-11-15,8.6198
ING,1994-11-16,8.0712
ING,1994-11-17,8.8553
ING,1994-11-18,9.0113
ING,1994-11-21,8.2283
ING,1994-11-22,8.7773
ING,1994-11-23,8.7773
ING,1994-11-24,9.4038
ING,1994-11-25,9.0113
ING,1994-11-28,9.1682
ING,1994-11-29,9.757
ING,1994-11-30,10.305
ING,1994-12-01,11.128
ING,1994-12-02,10.579
ING,1994-12-05,10.814
ING,1994-12-06,10.579
ING,1994-12-07,10.265
ING,1994-12-08,9.2479
ING,1994-12-09,8.6982
ING,1994-12-12,9.56
ING,1994-12-13,9.0113
ING,1994-12-14,9.4038
ING,1994-12-15,9.4038
ING,1994-12-16,9.4038
ING,1994-12-19,9.4038
ING,1994-12-20,9.2856
ING,1994-12-21,9.0113
ING,1994-12-22,9.0515
ING,1994-12-23,9.0113
ING,1994-12-27,9.0113
ING,1994-12-28,8.8553
ING,1994-12-29,8.8553
ING,1995-01-02,9.2856
ING,1995-01-03,9.3262
ING,1995-01-04,9.2073
ING,1995-01-05,9.3636
ING,1995-01-06,9.0907
ING,1995-01-09,9.0113
ING,1995-01-10,8.8553
ING,1995-01-11,9.0113
ING,1995-01-12,8.7773
ING,1995-01-13,8.9339
ING,1995-01-16,9.0907
ING,1995-01-17,8.8946
ING,1995-01-18,8.8553
ING,1995-01-19,8.8553
ING,1995-01-20,8.8553
ING,1995-01-23,7.9927
ING,1995-01-24,8.0712
ING,1995-01-25,7.7581
ING,1995-01-26,7.288
ING,1995-01-27,7.131
ING,1995-01-30,6.7393
ING,1995-01-31,6.3477
ING,1995-02-01,6.5823
ING,1995-02-02,6.4651
ING,1995-02-03,6.3477
ING,1995-02-06,6.7393
ING,1995-02-07,7.4052
ING,1995-02-08,7.131
ING,1995-02-09,7.0136
ING,1995-02-10,6.8964
ING,1995-02-13,6.8964
ING,1995-02-14,7.0524
ING,1995-02-15,7.2095
