<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1999-04-28,3.2324,3.2324,3.2324,3.2324
1999-04-29,2.9055,2.9055,2.9055,2.9055
1999-04-30,2.9055,2.9055,2.9055,2.9055
1999-05-04,3.196,3.196,3.196,3.196
1999-05-05,3.4867,3.4867,3.4867,3.4867
1999-05-06,3.7336,3.7336,3.7336,3.7336
1999-05-07,3.5882,3.5882,3.5882,3.5882
1999-05-10,3.414,3.414,3.414,3.414
1999-05-11,3.305,3.305,3.305,3.305
1999-05-12,3.4503,3.4503,3.4503,3.4503
1999-05-13,3.3777,3.3777,3.3777,3.3777
1999-05-14,3.3777,3.3777,3.3777,3.3777
1999-05-17,3.2324,3.2324,3.2324,3.2324
1999-05-18,3.3413,3.3413,3.3413,3.3413
1999-05-19,3.4503,3.4503,3.4503,3.4503
1999-05-20,3.4503,3.4503,3.4503,3.4503
1999-05-21,3.3777,3.3777,3.3777,3.3777
1999-05-24,3.4503,3.4503,3.4503,3.4503
1999-05-25,3.3777,3.3777,3.3777,3.3777
1999-05-26,3.305,3.305,3.305,3.305
1999-05-27,3.3777,3.3777,3.3777,3.3777
1999-05-28,3.305,3.305,3.305,3.305
1999-05-31,3.3413,3.3413,3.3413,3.3413
1999-06-01,3.3777,3.3777,3.3777,3.3777
1999-06-02,3.2689,3.2689,3.2689,3.2689
1999-06-07,3.305,3.305,3.305,3.305
1999-06-08,3.2324,3.2324,3.2324,3.2324
1999-06-09,3.2324,3.2324,3.2324,3.2324
1999-06-10,3.305,3.305,3.305,3.305
1999-06-11,3.3413,3.3413,3.3413,3.3413
1999-06-14,3.2324,3.2324,3.2324,3.2324
1999-06-15,3.305,3.305,3.305,3.305
1999-06-16,3.305,3.305,3.305,3.305
1999-06-17,3.305,3.305,3.305,3.305
1999-06-18,3.305,3.305,3.305,3.305
1999-06-21,3.2324,3.2324,3.2324,3.2324
1999-06-22,3.305,3.305,3.305,3.305
1999-06-23,3.3777,3.3777,3.3777,3.3777
1999-06-24,3.5157,3.5157,3.5157,3.5157
1999-06-25,3.4503,3.4503,3.4503,3.4503
1999-06-28,3.305,3.305,3.305,3.305
1999-06-29,3.3777,3.3777,3.3777,3.3777
1999-06-30,3.5882,3.5882,3.5882,3.5882
1999-07-01,3.5882,3.5882,3.5882,3.5882
1999-07-02,3.4867,3.4867,3.4867,3.4867
1999-07-05,3.4867,3.4867,3.4867,3.4867
1999-07-06,3.4867,3.4867,3.4867,3.4867
1999-07-07,3.3777,3.3777,3.3777,3.3777
1999-07-08,3.4503,3.4503,3.4503,3.4503
1999-07-09,3.4503,3.4503,3.4503,3.4503
1999-07-12,3.4503,3.4503,3.4503,3.4503
1999-07-13,3.414,3.414,3.414,3.414
1999-07-14,3.3777,3.3777,3.3777,3.3777
1999-07-15,3.414,3.414,3.414,3.414
1999-07-16,3.414,3.414,3.414,3.414
1999-07-19,3.305,3.305,3.305,3.305
