<DATE>,<CLOSE>
2011-02-17,4.6602
2011-02-18,4.7646
2011-02-21,4.869
2011-02-22,4.869
2011-02-23,4.8479
2011-02-24,4.7437
2011-02-25,4.716
2011-02-28,4.802
2011-03-01,4.8132
2011-03-02,4.8758
2011-03-03,4.9037
2011-03-04,4.9037
2011-03-07,4.9176
2011-03-08,4.9245
2011-03-09,4.9454
2011-03-10,4.9524
2011-03-11,4.9385
2011-03-14,4.8967
2011-03-15,4.8758
2011-03-16,4.8758
2011-03-17,4.9176
2011-03-18,4.8829
2011-03-21,4.9315
2011-03-22,4.9524
2011-03-23,4.9315
2011-03-24,4.869
2011-03-25,4.7993
2011-03-28,4.855
2011-03-29,4.869
2011-03-30,4.9176
2011-03-31,4.9238
2011-04-01,4.9176
2011-04-04,4.9037
2011-04-05,4.9315
2011-04-06,4.9037
2011-04-07,5.1193
2011-04-08,5.0774
2011-04-11,5.0427
2011-04-12,4.994
2011-04-13,4.9385
2011-04-14,4.9385
2011-04-15,4.9593
2011-04-18,4.9593
2011-04-19,4.9524
2011-04-20,4.9593
2011-04-21,4.9385
2011-04-26,4.9454
2011-04-27,4.9593
2011-04-28,4.9385
2011-04-29,4.9524
2011-05-02,4.9385
2011-05-04,4.9385
2011-05-05,4.9315
2011-05-06,4.9037
2011-05-09,4.9385
2011-05-10,4.9385
2011-05-11,4.9176
2011-05-12,4.8341
2011-05-13,4.9245
2011-05-16,4.855
2011-05-17,4.9037
2011-05-18,4.9037
2011-05-19,4.8967
2011-05-20,4.8967
2011-05-23,4.8967
2011-05-24,4.869
2011-05-25,4.9106
2011-05-26,4.869
2011-05-27,4.9037
2011-05-30,4.9037
2011-05-31,4.8879
2011-06-01,4.869
2011-06-02,4.8479
2011-06-03,4.8479
2011-06-06,4.8341
2011-06-07,4.8306
2011-06-08,4.8306
2011-06-09,4.9021
2011-06-10,4.8306
2011-06-13,4.9733
2011-06-14,4.9385
2011-06-15,4.9037
2011-06-16,4.8879
2011-06-17,4.8879
2011-06-20,4.8897
2011-06-21,4.9021
2011-06-22,4.8664
2011-06-24,4.9165
2011-06-27,4.9021
2011-06-28,4.9238
2011-06-29,4.9238
2011-06-30,4.9524
2011-07-01,5.1098
2011-07-04,5.0955
2011-07-05,5.0811
2011-07-06,5.0811
2011-07-07,5.0097
2011-07-08,5.0454
2011-07-11,5.031
2011-07-12,4.9094
2011-07-13,4.9094
2011-07-14,4.9094
2011-07-15,4.9094
2011-07-18,4.9094
2011-07-19,4.9094
2011-07-20,4.9094
2011-07-21,4.8808
2011-07-22,4.8664
2011-07-25,4.9667
2011-07-26,4.9667
2011-07-27,4.9667
2011-07-28,4.7305
2011-07-29,4.5444
2011-08-01,4.3441
2011-08-02,4.3657
2011-08-03,4.3657
2011-08-04,4.151
2011-08-05,4.3297
2011-08-08,3.9004
2011-08-10,3.7858
2011-08-11,3.8002
2011-08-12,3.7931
2011-08-17,3.9363
2011-08-19,3.9363
2011-08-22,3.9363
2011-08-23,3.9363
2011-08-24,3.9218
2011-08-30,3.7501
2011-08-31,3.7501
2011-09-01,3.5783
2011-09-05,3.0774
2011-09-07,3.0774
2011-09-08,3.0774
2011-09-09,2.9342
2011-09-12,2.8125
2011-09-13,2.8125
2011-09-14,2.8125
2011-09-15,2.8125
2011-09-26,2.7768
2011-09-27,2.6479
2011-09-28,2.5047
2011-09-29,2.5047
2011-09-30,2.4046
2011-10-04,2.3616
2011-10-11,2.2186
2011-10-12,2.4977
2011-10-13,2.5406
2011-10-14,2.7481
2011-10-17,2.8269
2011-10-19,2.8125
2011-10-21,2.7052
2011-10-25,2.6121
2011-10-27,2.8269
2011-10-28,2.7553
2011-10-31,2.7195
2011-11-02,2.5621
2011-11-03,2.5406
2011-11-04,2.5477
2011-11-07,2.6049
2011-11-08,2.5047
2011-11-09,2.4333
2011-11-21,2.2899
2011-11-23,2.1971
2011-11-24,2.1826
2011-11-25,2.1469
2011-11-28,2.0753
2011-11-30,2.1327
