<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2009-05-26,4.903,4.903,4.2324,4.2324
2009-05-27,4.355,4.6001,4.326,4.3333
2009-05-28,4.5279,4.5279,4.1675,4.1819
2009-05-29,4.1625,4.5418,4.1247,4.5418
2009-06-01,4.7227,5.3716,4.7227,5.0471
2009-06-02,5.2634,5.3716,4.903,5.011
2009-06-03,5.1768,5.1915,4.6867,4.8309
2009-06-04,4.8309,4.9751,4.7587,4.8957
2009-06-05,5.011,5.0471,4.9173,4.9678
2009-06-08,5.011,5.011,4.4775,4.8309
2009-06-09,4.7587,4.903,4.7587,4.8093
2009-06-10,4.7587,4.9607,4.7587,4.7587
2009-06-12,4.8309,4.8309,4.6145,4.7948
2009-06-15,4.7515,4.7515,4.5064,4.6723
2009-06-16,4.5064,4.6361,4.5064,4.5424
2009-06-17,4.5279,4.6867,4.326,4.5424
2009-06-18,4.3838,4.5496,4.326,4.5496
2009-06-19,4.6651,4.6651,4.4343,4.6145
2009-06-22,4.6145,4.6145,4.3333,4.3404
2009-06-23,4.4702,4.8886,4.4702,4.7587
2009-06-24,4.903,4.903,4.6145,4.7515
2009-06-25,4.7587,4.7587,4.4991,4.4991
2009-06-26,4.7515,4.7948,4.7515,4.7587
2009-06-29,4.6434,4.8957,4.6434,4.8957
2009-06-30,4.8668,4.8957,4.6867,4.8957
2009-07-01,4.6938,4.7227,4.6867,4.7227
2009-07-02,4.766,4.8309,4.6505,4.6505
2009-07-03,4.6145,4.8165,4.5568,4.8165
2009-07-06,4.8093,4.8093,4.8093,4.8093
2009-07-07,4.7948,4.7948,4.4343,4.6073
2009-07-08,4.3621,4.4702,4.326,4.4702
2009-07-09,4.5424,4.5424,4.3621,4.4487
2009-07-10,4.5424,4.5424,4.3333,4.3333
2009-07-13,4.3333,4.4343,4.3333,4.4343
2009-07-14,4.4343,4.4343,4.3333,4.4198
2009-07-15,4.4271,4.4702,4.3621,4.4487
2009-07-16,4.3982,4.4632,4.3766,4.3838
2009-07-17,4.3982,4.3982,4.391,4.391
2009-07-20,4.3694,4.4054,4.326,4.4054
2009-07-21,4.4271,4.4271,4.3766,4.3766
2009-07-22,4.3982,4.3982,4.3621,4.3982
2009-07-23,4.3621,4.4127,4.326,4.326
2009-07-24,4.3982,4.3982,4.218,4.3046
2009-07-27,4.3116,4.4343,4.2539,4.4127
2009-07-28,4.4127,4.4271,4.326,4.391
2009-07-29,4.3189,4.3478,4.2395,4.326
2009-07-30,4.326,4.3621,4.2612,4.3478
2009-07-31,4.3694,4.391,4.3478,4.3838
2009-08-03,4.3982,4.6505,4.326,4.5786
2009-08-04,4.5786,4.8165,4.5786,4.6723
2009-08-05,4.6723,5.2634,4.6723,4.8165
2009-08-06,4.9389,5.1121,4.903,4.9751
2009-08-07,4.9738,5.2392,4.9738,5.1559
