<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-07-16,8.9868,9.526,8.9551,9.4926
2007-07-17,9.647,9.75,9.4644,9.4644
2007-07-18,9.4644,9.628,9.4644,9.577
2007-07-19,9.622,9.673,9.3311,9.583
2007-07-20,9.628,9.789,9.0465,9.0465
2007-07-23,9.3885,9.577,9.2005,9.4089
2007-07-24,9.589,9.589,8.6847,8.6847
2007-07-25,8.7487,9.04,8.4062,8.9943
2007-07-26,9.0717,9.1809,8.5088,8.5088
2007-07-27,8.2245,8.3982,7.6216,7.8634
2007-07-30,7.9129,8.2512,7.6558,7.6558
2007-07-31,7.9913,8.023,7.8634,8.0051
2007-08-01,7.8356,8.2752,7.6351,8.0874
2007-08-02,8.1595,8.1595,7.7582,7.8936
2007-08-03,7.9913,7.9913,7.5963,7.6999
2007-08-06,7.6558,7.7582,7.4606,7.5511
2007-08-07,7.7319,7.803,7.4543,7.5581
2007-08-08,7.6999,7.7518,7.4412,7.5245
2007-08-09,7.4675,7.6486,7.4348,7.5378
2007-08-10,7.3885,7.5963,7.1433,7.3182
2007-08-13,7.4348,7.5058,6.755,7.1887
2007-08-14,7.1045,7.1112,6.6968,6.7486
2007-08-15,6.6194,6.9493,6.2636,6.8781
2007-08-16,6.7747,6.7747,6.3085,6.4835
2007-08-17,6.3411,7.0335,6.3411,6.9105
2007-08-20,6.9881,7.1306,6.5223,6.8781
2007-08-21,7.1306,7.1306,6.5802,6.5802
2007-08-22,6.4705,6.9235,6.4705,6.8781
2007-08-23,7.0138,7.2148,6.917,7.0786
2007-08-24,6.8328,7.1375,6.8328,7.0335
2007-08-28,7.0138,7.0917,6.9235,6.9235
2007-08-29,6.8652,7.053,6.8393,6.9623
2007-08-30,7.0917,7.221,6.9687,7.0658
2007-08-31,7.1955,7.1955,6.9946,7.1306
2007-09-03,7.053,7.4412,7.0335,7.4154
2007-09-04,7.2733,7.8739,7.2467,7.7518
2007-09-05,7.9848,8.6447,7.9848,8.2058
2007-09-06,8.2692,8.2692,7.8674,8.1595
2007-09-07,8.2692,8.5739,7.9978,8.2177
2007-09-10,7.9587,8.2108,7.9587,8.1714
2007-09-11,8.1004,8.6054,8.1004,8.4447
2007-09-12,8.5351,8.5351,8.0051,8.0051
2007-09-13,8.1209,8.1209,7.856,7.856
2007-09-14,7.79,7.9643,7.4412,7.5378
2007-09-17,7.4087,7.7253,7.2924,7.5713
