<TICKER>,<DATE>,<CLOSE>
IRL,2012-12-18,8.4961
IRL,2012-12-19,8.6791
IRL,2012-12-20,8.5788
IRL,2012-12-21,8.6515
IRL,2012-12-27,8.741
IRL,2012-12-28,8.7911
IRL,2013-01-02,8.8856
IRL,2013-01-03,8.8764
IRL,2013-01-04,8.8923
IRL,2013-01-07,8.6256
IRL,2013-01-08,8.6056
IRL,2013-01-09,8.6791
IRL,2013-01-10,8.7243
IRL,2013-01-11,8.8037
IRL,2013-01-14,8.8705
IRL,2013-01-15,8.8379
IRL,2013-01-16,8.8313
IRL,2013-01-17,8.9107
IRL,2013-01-18,8.9424
IRL,2013-01-21,8.8923
IRL,2013-01-22,8.8597
IRL,2013-01-23,8.4635
IRL,2013-01-24,8.4635
IRL,2013-01-25,8.4635
IRL,2013-01-28,8.5471
IRL,2013-01-29,8.5638
IRL,2013-01-30,8.5763
IRL,2013-01-31,8.583
IRL,2013-02-01,8.7117
IRL,2013-02-04,8.8271
IRL,2013-02-05,8.8271
IRL,2013-02-06,8.8923
IRL,2013-02-07,8.8822
IRL,2013-02-08,8.9107
IRL,2013-02-11,8.8998
IRL,2013-02-12,8.8597
IRL,2013-02-13,8.8764
IRL,2013-02-14,8.8438
IRL,2013-02-15,8.8705
IRL,2013-02-18,8.8463
IRL,2013-02-19,8.853
IRL,2013-02-20,8.8496
IRL,2013-02-21,8.761
IRL,2013-02-22,8.8438
IRL,2013-02-25,8.9065
IRL,2013-02-26,8.8923
IRL,2013-02-27,8.9483
IRL,2013-02-28,9.567
IRL,2013-03-01,9.4874
IRL,2013-03-04,9.4874
IRL,2013-03-05,9.504
IRL,2013-03-06,9.504
IRL,2013-03-07,9.569
IRL,2013-03-08,9.635
IRL,2013-03-11,9.62
IRL,2013-03-12,9.62
IRL,2013-03-13,9.669
IRL,2013-03-14,9.651
IRL,2013-03-15,9.669
IRL,2013-03-18,9.4966
IRL,2013-03-19,9.4373
IRL,2013-03-20,9.504
IRL,2013-03-21,9.536
IRL,2013-03-22,9.533
IRL,2013-03-25,9.635
IRL,2013-03-26,9.651
IRL,2013-03-27,9.625
IRL,2013-03-28,9.669
IRL,2013-04-02,9.799
IRL,2013-04-03,9.708
IRL,2013-04-04,9.734
IRL,2013-04-05,9.4047
IRL,2013-04-08,9.563
IRL,2013-04-09,9.639
IRL,2013-04-10,9.719
IRL,2013-04-11,9.8
IRL,2013-04-12,9.718
IRL,2013-04-15,9.543
IRL,2013-04-17,9.469
IRL,2013-04-18,9.4206
IRL,2013-04-19,9.469
IRL,2013-04-22,9.553
IRL,2013-04-23,9.641
IRL,2013-04-24,9.718
IRL,2013-04-25,9.734
IRL,2013-04-26,9.671
IRL,2013-04-29,9.734
IRL,2013-04-30,9.869
IRL,2013-05-02,9.915
IRL,2013-05-06,10.063
IRL,2013-05-07,10.231
IRL,2013-05-08,10.297
IRL,2013-05-09,10.27
IRL,2013-05-10,10.328
IRL,2013-05-13,10.265
IRL,2013-05-14,10.317
IRL,2013-05-15,9.604
IRL,2013-05-16,9.656
IRL,2013-05-17,9.762
IRL,2013-05-20,9.708
IRL,2013-05-21,9.667
IRL,2013-05-22,9.656
IRL,2013-05-23,9.65
IRL,2013-05-24,9.849
IRL,2013-05-27,9.865
IRL,2013-05-28,10.04
IRL,2013-05-29,10.008
IRL,2013-05-31,10.106
IRL,2013-06-03,10.029
IRL,2013-06-04,10.057
IRL,2013-06-05,10.022
IRL,2013-06-06,10.04
IRL,2013-06-07,10.008
IRL,2013-06-10,9.918
IRL,2013-06-11,9.708
IRL,2013-06-12,9.865
IRL,2013-06-13,9.849
IRL,2013-06-14,9.893
IRL,2013-06-17,9.886
IRL,2013-06-18,9.9
IRL,2013-06-19,9.883
IRL,2013-06-20,9.782
IRL,2013-06-21,9.57
IRL,2013-06-24,9.671
IRL,2013-06-25,9.748
IRL,2013-06-26,9.3955
IRL,2013-06-27,9.685
IRL,2013-06-28,9.744
IRL,2013-07-01,9.744
IRL,2013-07-02,9.813
IRL,2013-07-03,9.872
IRL,2013-07-04,10.074
IRL,2013-07-05,10.196
IRL,2013-07-08,10.333
IRL,2013-07-09,10.301
IRL,2013-07-10,10.249
IRL,2013-07-11,10.092
IRL,2013-07-12,10.265
IRL,2013-07-15,10.283
IRL,2013-07-16,10.179
IRL,2013-07-17,10.237
IRL,2013-07-18,10.241
IRL,2013-07-19,10.228
IRL,2013-07-22,10.161
IRL,2013-07-23,10.159
IRL,2013-07-24,10.092
IRL,2013-07-25,10.057
IRL,2013-07-26,10.213
IRL,2013-07-29,10.126
IRL,2013-07-30,10.092
IRL,2013-07-31,10.074
IRL,2013-08-01,10.057
IRL,2013-08-02,10.078
IRL,2013-08-05,9.883
IRL,2013-08-06,9.777
IRL,2013-08-07,9.64
IRL,2013-08-08,9.656
IRL,2013-08-09,9.622
IRL,2013-08-12,9.535
IRL,2013-08-13,9.588
IRL,2013-08-14,9.594
IRL,2013-08-16,9.604
IRL,2013-08-19,9.622
IRL,2013-08-20,9.507
IRL,2013-08-21,9.517
IRL,2013-08-22,9.542
IRL,2013-08-23,9.744
IRL,2013-08-26,9.723
IRL,2013-08-27,9.708
IRL,2013-08-28,9.741
IRL,2013-08-29,9.765
IRL,2013-08-30,9.757
IRL,2013-09-02,8.8806
IRL,2013-09-03,8.8212
IRL,2013-09-04,8.8388
IRL,2013-09-05,8.9115
IRL,2013-09-06,9.0126
IRL,2013-09-09,9.0511
IRL,2013-09-10,9.1932
IRL,2013-09-11,9.2041
IRL,2013-09-12,9.2141
IRL,2013-09-13,9.1932
IRL,2013-09-16,9.3788
IRL,2013-09-17,9.3679
IRL,2013-09-18,9.3604
IRL,2013-09-19,9.3403
IRL,2013-09-20,9.3295
IRL,2013-09-23,9.3437
IRL,2013-09-24,9.3328
IRL,2013-09-25,9.347
IRL,2013-09-26,9.291
IRL,2013-09-27,9.2977
IRL,2013-09-30,9.2952
IRL,2013-10-01,9.3186
IRL,2013-10-02,9.3437
IRL,2013-10-03,9.3888
IRL,2013-10-04,9.3821
IRL,2013-10-07,9.3955
IRL,2013-10-08,9.3503
IRL,2013-10-09,9.3604
IRL,2013-10-10,9.3646
IRL,2013-10-11,9.3503
IRL,2013-10-14,9.3604
IRL,2013-10-15,9.3679
IRL,2013-10-16,9.1489
IRL,2013-10-17,9.0887
