<TICKER>,<DATE>,<CLOSE>
ITB,2010-10-12,15.875
ITB,2010-10-13,16.746
ITB,2010-10-14,16.746
ITB,2010-10-15,17.407
ITB,2010-10-18,17.435
ITB,2010-10-19,17.251
ITB,2010-10-20,17.251
ITB,2010-10-21,17.022
ITB,2010-10-22,17.389
ITB,2010-10-25,17.435
ITB,2010-10-26,18.077
ITB,2010-10-27,18.068
ITB,2010-10-28,18.554
ITB,2010-10-29,18.444
ITB,2010-11-02,18.352
ITB,2010-11-03,18.352
ITB,2010-11-04,17.857
ITB,2010-11-05,18.352
ITB,2010-11-08,18.352
ITB,2010-11-09,18.352
ITB,2010-11-10,18.306
ITB,2010-11-12,18.123
ITB,2010-11-15,17.756
ITB,2010-11-16,17.637
ITB,2010-11-17,18.077
ITB,2010-11-18,17.664
ITB,2010-11-19,17.976
ITB,2010-11-22,17.802
ITB,2010-11-23,17.802
ITB,2010-11-24,17.884
ITB,2010-11-25,18.077
ITB,2010-11-26,17.793
ITB,2010-11-29,17.398
ITB,2010-11-30,17.866
ITB,2010-12-01,17.857
ITB,2010-12-02,17.802
ITB,2010-12-03,17.793
ITB,2010-12-06,17.783
ITB,2010-12-07,17.774
ITB,2010-12-08,17.783
ITB,2010-12-09,17.71
ITB,2010-12-10,17.38
ITB,2010-12-13,17.242
ITB,2010-12-14,16.802
ITB,2010-12-15,16.499
ITB,2010-12-16,16.49
ITB,2010-12-17,16.508
ITB,2010-12-22,16.077
ITB,2010-12-23,15.967
ITB,2010-12-27,15.967
ITB,2010-12-28,16.416
ITB,2010-12-29,16.306
ITB,2010-12-31,16.471
ITB,2011-01-03,16.462
ITB,2011-01-04,16.058
ITB,2011-01-05,15.508
ITB,2011-01-07,15.599
ITB,2011-01-10,15.287
ITB,2011-01-11,15.957
ITB,2011-01-12,15.508
ITB,2011-01-18,14.498
ITB,2011-01-19,14.673
ITB,2011-01-21,14.581
ITB,2011-01-24,13.489
ITB,2011-01-25,13.764
ITB,2011-01-26,13.948
ITB,2011-01-27,14.076
ITB,2011-01-28,14.076
ITB,2011-02-01,13.764
ITB,2011-02-02,14.186
ITB,2011-02-03,14.682
ITB,2011-02-04,14.407
ITB,2011-02-07,14.315
ITB,2011-02-08,14.728
ITB,2011-02-09,15.003
ITB,2011-02-10,14.682
ITB,2011-02-11,14.957
ITB,2011-02-15,14.682
ITB,2011-02-16,14.93
ITB,2011-02-17,15.04
ITB,2011-02-18,15.232
ITB,2011-02-21,15.232
ITB,2011-02-22,15.324
ITB,2011-02-23,15.508
ITB,2011-02-24,15.59
ITB,2011-02-25,15.416
ITB,2011-02-28,15.508
ITB,2011-03-01,15.37
ITB,2011-03-02,15.37
ITB,2011-03-03,15.141
ITB,2011-03-04,15.141
ITB,2011-03-07,15.049
ITB,2011-03-08,15.131
ITB,2011-03-09,14.884
ITB,2011-03-10,14.911
ITB,2011-03-11,15.049
ITB,2011-03-14,14.911
ITB,2011-03-15,14.865
ITB,2011-03-16,14.911
ITB,2011-03-17,15.049
ITB,2011-03-18,15.315
ITB,2011-03-21,15.141
ITB,2011-03-22,15.141
ITB,2011-03-24,14.957
ITB,2011-03-25,14.774
ITB,2011-03-28,14.682
ITB,2011-03-29,14.682
ITB,2011-03-30,14.682
