<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2011-08-10,5.51,5.69,4.83,5
2011-08-11,5.03,5.5,4.4,5.5
2011-08-12,5.5,6.5,5.5,6.35
2011-08-16,6.03,6.6,5.75,6.6
2011-08-17,6.25,6.55,6.21,6.5
2011-08-18,6.5,7,6.5,7
2011-08-19,6.51,7,6.2,7
2011-08-22,6.61,7.2,6.5,7.03
2011-08-23,7.1,7.63,7,7.63
2011-08-24,7.1,7.8,7.1,7.7
2011-08-25,7.8,7.8,7.5,7.7
2011-08-26,7.7,7.8,7.13,7.7
2011-08-29,7.7,7.7,7.11,7.7
2011-08-30,7.6,7.6,7.3,7.6
2011-08-31,7.3,7.8,7.1,7.8
2011-09-01,7.45,7.79,7.15,7.79
2011-09-02,7.39,7.95,7.2,7.95
2011-09-05,7.9,7.9,7.9,7.9
2011-09-06,7.9,7.9,7.5,7.87
2011-09-07,7.8,7.9,7.66,7.9
2011-09-08,7.9,7.9,7.9,7.9
2011-09-09,7.9,7.9,7.58,7.58
2011-09-12,7.5,7.82,7.5,7.82
2011-09-13,7.51,7.59,7.23,7.59
2011-09-14,7.6,7.6,7.6,7.6
2011-09-15,7.6,7.6,7.6,7.6
2011-09-16,7.6,7.6,7.23,7.55
2011-09-19,7.6,7.6,7.25,7.6
2011-09-20,7.6,7.6,7.6,7.6
2011-09-21,7,7.6,6.4,7.6
2011-09-22,7.14,7.8,7.14,7.8
2011-09-23,7,7.8,7,7.8
2011-09-26,7.75,7.75,7.4,7.4
2011-09-27,7.55,7.56,7.55,7.56
2011-09-28,7.7,7.7,7.7,7.7
2011-09-29,7.8,7.8,7.4,7.7
2011-09-30,7.65,7.65,7.65,7.65
2011-10-03,7.5,7.5,7.5,7.5
2011-10-04,7.5,7.5,7.5,7.5
2011-10-06,7.5,7.5,7.48,7.48
2011-10-07,7.14,7.49,7.14,7.49
2011-10-10,7.5,7.5,7.5,7.5
2011-10-11,7.5,7.5,7.5,7.5
2011-10-12,7.5,7.5,7.5,7.5
2011-10-13,7.5,7.5,7.5,7.5
2011-10-14,7.5,7.7,7.48,7.7
2011-10-17,7.7,7.7,7.7,7.7
2011-10-18,7.7,7.7,7.01,7.7
2011-10-20,7.7,7.7,7.7,7.7
2011-10-21,7.6,7.6,7.6,7.6
2011-10-24,7.3,7.6,6.96,7.57
2011-10-25,7.57,7.57,7.57,7.57
2011-10-26,7.57,7.57,7.57,7.57
2011-10-27,7.57,7.57,7.57,7.57
2011-10-28,7.57,7.57,7.57,7.57
2011-11-02,7.57,7.57,7.57,7.57
2011-11-03,7.57,7.57,7.57,7.57
2011-11-04,7.57,7.57,7.57,7.57
2011-11-07,7.57,7.57,7.57,7.57
2011-11-08,7.57,7.57,7.57,7.57
2011-11-09,7.6,7.6,7.6,7.6
2011-11-10,7.6,7.6,7.6,7.6
2011-11-14,7.6,7.6,7.39,7.55
2011-11-15,7.58,7.58,7.5,7.57
2011-11-16,7.5,7.6,7.49,7.6
2011-11-17,7.6,7.6,7.6,7.6
2011-11-18,7.4,7.6,7.4,7.6
2011-11-21,7.6,7.6,7.6,7.6
2011-11-22,7.6,7.7,7.4,7.7
2011-11-23,7.52,7.55,7.22,7.5
2011-11-24,7.7,7.7,7.5,7.5
2011-11-25,7.7,7.7,7.7,7.7
2011-11-28,7.54,8.7,7.54,8.7
2011-11-29,8.97,10.5,8.97,10.5
2011-11-30,10.76,10.76,10,10
2011-12-01,9.7,9.7,9.7,9.7
2011-12-02,9.81,9.81,9.81,9.81
2011-12-05,10,10,9.15,9.6
2011-12-06,9.6,9.6,9.6,9.6
2011-12-07,9.57,10.76,8.97,9.24
2011-12-08,8.8,9.5,7.8,9.48
2011-12-09,9.42,9.42,9.42,9.42
2011-12-12,9.5,10,9.5,10
2011-12-13,10,10,9.5,10
2011-12-14,9.97,10.76,9,9.84
2011-12-16,9.77,10.49,9.77,10.49
2011-12-19,10.5,10.5,9.8,9.8
2011-12-21,10.75,10.75,10.75,10.75
2011-12-22,9.97,10.76,9.51,10.76
2011-12-23,10.97,10.97,10.2,10.97
2011-12-27,10.45,10.6,10.05,10.59
2011-12-28,10.12,10.58,10.12,10.4
2011-12-29,10.4,10.4,10.4,10.4
2011-12-30,10.4,10.9,10.4,10.9
2012-01-02,10.92,13,10.92,13
2012-01-03,12.96,15.6,12,13.9
2012-01-04,13.9,15,12,14.5
2012-01-05,14.5,14.5,14.5,14.5
2012-01-09,13.82,14.2,13.3,14.2
2012-01-10,13.59,14,12,13.4
2012-01-11,12.78,13.5,12,13.5
2012-01-12,13.5,13.5,11.6,13.5
2012-01-13,12.78,13.39,12.18,13.2
2012-01-16,13.02,13.02,12.4,13.02
2012-01-17,12.4,13,12.4,13
2012-01-18,13,13,13,13
2012-01-20,13,13,12.35,12.96
2012-01-23,13,13,13,13
2012-01-24,13,13,12.35,12.55
2012-01-25,12.7,12.7,12.7,12.7
2012-01-26,12.7,13,12.5,13
2012-01-27,12.35,13.25,12.35,13.25
2012-01-30,12.59,13.2,12.5,13.2
2012-01-31,13.15,13.15,13.15,13.15
2012-02-01,12.5,13.06,12.45,13.06
2012-02-02,12.35,14.1,12.35,13.9
2012-02-03,12.83,14.8,12.83,14.8
2012-02-06,13.87,15.5,13.87,15.5
2012-02-07,14.54,14.54,13,13.4
2012-02-08,13.4,13.4,12.71,13.3
2012-02-09,12.64,13,12.13,12.13
2012-02-10,13,13,11,11
2012-02-14,11.7,11.7,11.7,11.7
2012-02-21,11,11,11,11
2012-02-29,11,11,11,11
2012-03-01,11.02,12,11.02,12
2012-03-02,11.91,13,11.91,13
2012-03-05,13,13.5,13,13.5
2012-03-15,12.16,12.16,12.16,12.16
2012-03-16,12.07,13,12.07,13
2012-03-20,12.16,13.5,12,13.5
2012-03-26,13,13,12.91,13
2012-03-27,13,13,13,13
2012-03-28,13,13,12.96,13
2012-03-29,13,13,12.5,13
2012-03-30,13,13,13,13
2012-04-02,13,13,12.5,13
2012-04-03,13,13,13,13
2012-04-04,13,13,12.5,13
2012-04-05,13,13,12.4,13
2012-04-10,12.6,13,12.2,12.95
2012-04-11,13,13,13,13
2012-04-12,13,13,13,13
2012-04-13,13,13,12.38,12.38
2012-04-16,11.75,11.9,11.75,11.9
2012-04-17,12,12,12,12
2012-04-18,12,12,12,12
2012-04-19,11.4,11.9,10,11.9
2012-04-20,11.84,11.85,11.84,11.85
2012-04-23,12.07,13,11.01,12.89
2012-04-24,11.49,14,11.49,13.9
2012-04-25,13.9,13.9,13.9,13.9
2012-04-26,13.65,14.9,13.65,14.9
2012-04-30,14,16,14,16
2012-05-02,15,15,12.8,15
2012-05-08,15.5,16.5,15,15
2012-05-11,15.5,15.5,15,15
2012-05-15,14.99,14.99,14.99,14.99
2012-05-16,14.99,14.99,14.99,14.99
2012-05-17,14,15,14,15
2012-05-25,14.99,14.99,14.99,14.99
2012-05-28,14.85,14.99,14,14.84
2012-05-29,14,14.66,14,14.66
2012-06-11,14,14.9,14,14.9
2012-06-27,14,14.95,14,14.95
2012-06-28,14,14.49,14,14.05
2012-06-29,14,14.56,14,14.56
2012-07-05,15,15,15,15
2012-07-06,14.5,14.5,14.5,14.5
2012-07-09,13.5,13.5,13.5,13.5
2012-07-10,14,14,14,14
2012-07-12,14,16,14,15
2012-07-20,14.1,14.9,14.1,14.9
2012-07-23,14.9,14.9,14.9,14.9
2012-07-26,14.9,14.9,14.9,14.9
2012-08-02,14.95,14.95,14.95,14.95
2012-08-14,13.87,14.5,13.87,14.4
2012-08-16,14.8,14.8,14.8,14.8
2012-08-28,14.3,14.8,13.55,14.1
2012-08-31,14.67,14.67,14.67,14.67
2012-10-03,14.39,14.39,14.39,14.39
2012-10-12,13.85,13.85,13.85,13.85
2012-10-15,13.03,13.88,13.03,13.88
2012-10-16,13.3,14.4,13.3,13.5
2012-10-17,13.5,14.2,13.5,14.19
2012-10-18,13.27,14.25,13.27,14.25
2012-11-06,13.25,13.25,13.25,13.25
2012-11-07,12.34,13.3,12.34,13.3
2012-11-21,13.79,13.79,13.79,13.79
2012-11-28,13.7,13.7,13.7,13.7
2012-12-14,13.7,14.25,13.7,14.25
2012-12-17,14.49,14.49,14.49,14.49
2012-12-18,14.24,14.4,13.27,14.4
2012-12-20,14,14.49,14,14.49
2012-12-21,13.27,14.1,13.27,14.1
2012-12-27,13.27,14.38,11.9,14.29
2012-12-28,14.69,14.69,13,14.4
2013-01-02,14.5,17,14.5,17
2013-01-03,18,21,18,21
2013-01-04,23,23,20.95,20.95
2013-01-07,20.94,20.94,20.94,20.94
2013-01-11,20.44,20.44,18.15,18.85
2013-01-14,17.5,18.75,17.5,18.75
2013-01-15,18.2,20,18.2,20
2013-01-16,18.2,19.3,18,19.3
2013-01-17,18,18.15,17.8,18.1
2013-01-18,17.9,17.9,17.9,17.9
2013-01-23,18,18,18,18
2013-01-25,18,18,18,18
2013-01-31,18,18,18,18
2013-02-01,18,18,18,18
2013-02-08,18,18,18,18
2013-02-14,16.86,18,16.86,17
2013-02-15,17,17,17,17
2013-02-19,15.73,16.9,15.73,16.9
2013-02-28,17.4,17.4,17.4,17.4
2013-03-08,17.35,17.35,17.35,17.35
2013-03-11,17.35,17.35,17.35,17.35
2013-03-13,17.3,17.3,17.3,17.3
2013-03-15,16.7,17.3,16.7,17.3
2013-03-18,17,17,17,17
2013-04-05,14.43,15.2,14.43,15.2
2013-04-08,15.2,15.2,15.2,15.2
2013-04-09,15.3,15.3,15.3,15.3
2013-04-11,14.2,14.2,14.2,14.2
2013-04-15,14.5,14.5,13.5,14.5
2013-04-30,13.6,15.5,13.6,15.5
2013-05-10,15.5,15.5,15.5,15.5
2013-05-14,15,16.98,15,16.98
2013-05-15,15.99,17.97,14.9,17.97
2013-05-20,15.64,16.79,15,16.79
2013-05-21,17.5,17.5,17.5,17.5
2013-05-27,14.9,17.88,14.9,17.88
2013-05-28,15.83,17.88,15.83,17.88
2013-05-29,15.83,16.5,15.36,16.5
2013-06-04,14.9,15.5,14.9,15.5
2013-06-10,15.4,15.4,15.4,15.4
2013-06-12,14.48,16.8,14.48,16.8
2013-06-13,14.71,15.6,14.71,15.6
2013-06-14,14.95,14.95,14.95,14.95
2013-06-17,15.6,15.6,15.6,15.6
2013-06-18,15.6,15.6,15.6,15.6
2013-06-19,15.6,15.6,15.6,15.6
2013-06-20,15.6,15.6,15.6,15.6
2013-06-21,15.6,15.6,15.6,15.6
2013-06-25,15.6,15.6,15.6,15.6
2013-06-28,14.43,16,14.43,16
2013-07-15,16,16,16,16
2013-07-16,16,16,16,16
2013-07-17,15.5,16,15.5,16
2013-07-18,16,16,14.77,15.49
2013-07-19,14.77,15.6,12.5,15
2013-07-22,15,15,15,15
2013-07-23,13.5,15,11,15
2013-07-24,15.5,15.5,13.97,15.5
2013-07-25,15.1,15.1,13.97,15
2013-07-26,15.1,15.1,13.99,14.5
2013-07-29,13.58,14.45,11.1,14
2013-07-30,14.2,15.4,13.97,14.98
2013-07-31,14.99,14.99,12,14.97
2013-08-01,14.55,14.55,14.06,14.35
2013-08-02,14.35,14.35,14.35,14.35
2013-08-05,14.35,14.35,13.37,13.37
2013-08-07,14.35,14.35,14.35,14.35
2013-08-08,14.35,14.35,14.35,14.35
2013-08-14,13.87,15.4,13.87,15.4
2013-08-16,14.24,15.25,14.24,15.25
2013-08-19,14.24,15.09,14.24,15.09
2013-08-21,14.85,14.85,13.83,14.85
2013-08-22,14.85,14.85,14.85,14.85
2013-08-23,13.83,13.83,13.83,13.83
2013-08-26,14.4,14.4,14.4,14.4
2013-08-27,13.5,15.99,13.5,15.75
2013-08-28,13.5,16.9,13.5,16.9
2013-08-29,16.9,18.5,16.9,16.9
2013-08-30,17.5,17.5,17.5,17.5
2013-09-02,15.73,15.73,14.9,15.3
2013-09-03,14.25,15.9,14.24,15.9
2013-09-04,15.9,15.9,15.9,15.9
2013-09-05,14.74,15.98,14.74,15.98
2013-09-06,14.74,17.5,14.74,15.3
2013-09-09,16.1,16.1,16.1,16.1
2013-09-11,14.9,15,12.5,15
2013-09-12,14.7,15.69,14.43,14.83
2013-09-16,15.1,15.1,15.1,15.1
2013-09-17,15.1,16,15.1,16
2013-09-18,14.9,15.35,14.9,15.35
2013-09-19,15.35,15.35,15.35,15.35
2013-09-24,14.43,14.43,14.43,14.43
2013-09-25,14.83,15.6,12,15
2013-09-30,15.6,15.6,15.6,15.6
2013-10-02,14.24,14.84,13.82,14.65
2013-10-15,14.25,15.2,14.25,15.2
2013-10-21,13.97,15,13.97,15
