<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2011-12-22,22.9,22.9,22.9,22.9
2011-12-23,22.9,22.9,22.9,22.9
2011-12-27,22.9,22.9,22.9,22.9
2012-02-21,23,23,23,23
2012-02-27,23.02,23.02,23.02,23.02
2012-02-28,25.9,27,25.9,27
2012-02-29,27,32.4,27,32
2012-03-01,32.03,33.5,31,33.5
2012-03-02,32.5,32.6,32.5,32.6
2012-03-05,32.49,32.9,32.49,32.9
2012-03-06,35.7,35.7,32.8,32.8
2012-03-13,28.01,28.01,28,28
2012-03-14,28,28,28,28
2012-03-15,28,28,28,28
2012-03-20,29.3,29.3,29.3,29.3
2012-04-16,28,28,28,28
2012-04-17,28.98,28.98,28.98,28.98
2012-04-18,24,28.98,24,28.98
2012-04-19,26,28.98,26,28.98
2012-04-20,25.6,28.97,25.6,28.97
2012-04-23,25.5,28.95,25.5,28.95
2012-04-24,25,25,25,25
2012-05-08,28.95,28.95,28.95,28.95
2012-05-17,24.12,24.12,24.12,24.12
2012-05-18,24.12,28.98,24.12,28.98
2012-05-21,27.99,28.98,27.99,28.98
2012-05-23,28.98,28.98,28.98,28.98
2012-05-24,25.1,25.1,25.1,25.1
2012-06-08,28.8,28.8,28.8,28.8
2012-06-11,28.7,28.7,28.7,28.7
2012-06-12,28.7,28.7,28.7,28.7
2012-06-14,28.7,28.7,28.7,28.7
2012-06-19,28.7,28.7,28.7,28.7
2012-06-20,28.7,28.7,28.7,28.7
2012-06-21,28.7,28.7,28.7,28.7
2012-07-13,28.79,28.79,28.7,28.7
2012-07-20,24.51,24.51,24.51,24.51
2012-07-24,20,20,20,20
2012-08-01,25,28.7,25,28.7
2012-08-02,26,26,26,26
2012-08-09,28,28,28,28
2012-09-07,27.9,27.95,27.9,27.95
2012-10-10,25.91,25.91,25.91,25.91
2012-10-15,24,24,24,24
2012-10-22,24.18,24.18,24.18,24.18
2012-10-23,23,23,23,23
2012-10-26,21.68,21.68,21.68,21.68
2012-10-31,21.68,25.87,21.68,25.87
2012-11-06,21.5,23.5,21.5,23.5
2012-11-07,20,20,20,20
2012-11-09,18.31,19.99,18.31,19.99
2012-11-19,20,20,20,20
2012-11-21,20,20,20,20
2012-11-23,20,20,20,20
2012-11-26,20,20,20,20
2012-11-29,20,20,20,20
2012-12-04,20,20,19.99,20
2012-12-11,19.99,19.99,19.99,19.99
2012-12-13,19.99,19.99,19.99,19.99
2012-12-19,20,20,20,20
