<DATE>,<CLOSE>
2008-04-24,15.278
2008-04-25,15.501
2008-04-28,15.539
2008-04-29,15.526
2008-05-05,15.474
2008-05-06,15.454
2008-05-07,15.442
2008-05-08,15.442
2008-05-09,15.442
2008-05-12,15.442
2008-05-13,15.442
2008-05-14,15.442
2008-05-15,15.442
2008-05-16,15.442
2008-05-19,15.442
2008-05-20,15.442
2008-05-21,15.429
2008-05-23,15.442
2008-05-26,15.41
2008-05-27,15.41
2008-05-28,15.41
2008-05-29,15.345
2008-05-30,15.41
2008-06-02,15.442
2008-06-03,15.442
2008-06-04,15.442
2008-06-05,15.442
2008-06-06,14.629
2008-06-09,15.214
2008-06-10,14.954
2008-06-11,14.304
2008-06-12,14.694
2008-06-13,14.949
2008-06-16,14.949
2008-06-17,14.949
2008-06-18,14.941
2008-06-19,14.941
2008-06-20,14.941
2008-06-23,14.935
2008-06-24,14.304
2008-06-25,14.629
2008-06-26,14.629
2008-06-27,14.629
2008-06-30,13.458
2008-07-01,13.849
2008-07-04,13.458
2008-07-08,12.97
2008-07-09,12.906
2008-07-10,12.939
2008-07-11,13.295
2008-07-14,13.295
2008-07-15,13.648
2008-07-16,12.939
2008-07-17,12.789
2008-07-21,12.549
2008-07-22,12.679
2008-07-23,12.671
2008-07-24,12.665
2008-07-25,12.646
2008-07-28,12.34
2008-07-30,12.549
2008-07-31,12.607
2008-08-01,12.612
2008-08-04,12.58
2008-08-05,12.348
2008-08-06,12.34
2008-08-07,12.418
2008-08-08,12.412
2008-08-11,12.464
2008-08-12,12.451
2008-08-13,12.445
2008-08-14,12.451
2008-08-18,12.438
2008-08-19,12.445
2008-08-20,12.438
2008-08-21,12.445
2008-08-22,12.405
2008-08-25,12.405
2008-08-26,12.405
2008-08-27,12.405
2008-08-28,12.405
2008-08-29,12.405
2008-09-01,12.353
2008-09-02,12.34
2008-09-03,12.348
2008-09-04,12.348
2008-09-05,12.348
2008-09-08,12.348
2008-09-09,12.348
2008-09-10,12.288
2008-09-11,12.276
2008-09-12,12.276
2008-09-15,12.256
2008-09-16,11.566
2008-09-17,11.566
2008-09-18,11.529
2008-09-19,11.547
2008-09-22,11.502
2008-09-23,11.482
2008-09-24,10.402
2008-09-25,10.396
2008-09-26,10.396
2008-09-29,10.396
2008-09-30,10.402
2008-10-01,10.396
2008-10-02,10.207
2008-10-03,10.267
2008-10-06,10.267
2008-10-08,10.267
2008-10-09,10.261
2008-10-10,10.261
2008-10-13,10.261
2008-10-14,10.241
2008-10-15,10.241
2008-10-16,10.241
2008-10-17,10.241
2008-10-20,10.241
2008-10-21,10.071
2008-10-22,10.071
2008-10-23,10.071
2008-10-24,9.947
2008-10-27,9.947
2008-10-28,9.947
2008-10-29,9.947
2008-10-30,8.8429
2008-10-31,8.9727
2008-11-03,9.1677
2008-11-04,9.2984
2008-11-05,9.2643
2008-11-06,9.2984
2008-11-07,9.1355
2008-11-10,9.2331
2008-11-12,9.1023
2008-11-13,9.1023
2008-11-14,9.1023
2008-11-17,8.9727
2008-11-18,9.0379
2008-11-19,9.0379
2008-11-20,8.9595
2008-11-21,9.1023
2008-11-24,9.1023
2008-11-25,9.1023
2008-11-26,9.1023
2008-11-27,9.1023
2008-11-28,9.1023
2008-12-01,9.1023
2008-12-02,9.1023
2008-12-03,9.1023
2008-12-04,9.1023
2008-12-05,9.1023
2008-12-08,9.0966
2008-12-09,9.0966
2008-12-10,9.0966
2008-12-11,9.0966
2008-12-12,9.0966
2008-12-15,9.0966
2008-12-16,9.0966
2008-12-17,9.0966
2008-12-18,8.9727
2008-12-19,9.0966
2008-12-22,9.0966
2008-12-23,9.0966
2008-12-29,9.0966
2008-12-30,9.0966
2008-12-31,9.0966
2009-01-05,9.0834
2009-01-06,9.0578
2009-01-07,9.0891
2009-01-08,9.0891
2009-01-09,9.0379
2009-01-12,9.0322
2009-01-13,9.0322
2009-01-14,9.0322
2009-01-15,9.0322
2009-01-16,9.0322
2009-01-19,9.0322
2009-01-20,8.9727
2009-01-21,9.0322
2009-01-22,9.0322
2009-01-23,9.0322
2009-01-26,9.0322
2009-01-27,9.0322
2009-01-28,9.1023
2009-01-29,9.1023
2009-01-30,9.1023
2009-02-02,9.1023
2009-02-03,9.1023
2009-02-04,9.1099
2009-02-05,9.1099
2009-02-06,9.1611
2009-02-09,9.1611
2009-02-10,9.1611
2009-02-11,9.1611
2009-02-12,9.2264
2009-02-13,9.2264
2009-02-16,9.2264
2009-02-17,8.1266
2009-02-18,7.8019
2009-02-19,7.5415
2009-02-20,8.055
2009-02-23,8.4458
2009-02-24,7.6068
2009-02-25,8.1266
2009-03-02,8.7711
2009-03-03,8.7378
2009-03-04,8.7378
2009-03-05,8.9657
2009-03-06,8.9657
2009-03-09,8.9657
2009-03-10,8.9657
2009-03-11,8.4528
2009-03-12,8.4528
2009-03-16,8.7772
2009-03-17,8.1266
2009-03-18,7.7374
2009-03-20,7.5415
2009-03-23,8.1917
2009-03-24,8.5834
2009-03-26,9.0379
2009-03-30,9.0379
2009-04-01,8.4528
2009-04-02,9.0701
2009-04-03,8.4528
2009-04-06,8.4528
2009-04-07,9.0379
2009-04-08,8.907
2009-04-09,8.9333
2009-04-14,8.4528
2009-04-15,8.7114
2009-04-16,8.907
2009-04-17,8.907
2009-04-20,8.6159
2009-04-21,8.608
2009-04-22,8.907
2009-04-23,8.907
2009-04-24,8.8429
2009-04-27,9.0246
2009-04-28,9.018
2009-04-29,9.1023
2009-04-30,8.907
2009-05-04,8.8429
2009-05-05,8.9657
2009-05-06,8.5834
2009-05-07,8.8097
2009-05-08,8.7772
2009-05-11,8.907
2009-05-12,8.4581
2009-05-13,8.7711
2009-05-14,8.7711
2009-05-15,8.7711
2009-05-18,8.466
2009-05-19,8.4528
2009-05-20,8.4204
2009-05-21,8.466
2009-05-22,8.4528
2009-05-25,8.4528
2009-05-26,8.4528
2009-05-27,8.4528
2009-05-28,8.4844
2009-05-29,8.4528
2009-06-01,8.7579
2009-06-02,8.7114
2009-06-03,8.7114
2009-06-04,8.9727
2009-06-05,8.4528
2009-06-08,8.3871
2009-06-09,7.8674
2009-06-10,7.6721
2009-06-12,7.8019
2009-06-15,7.8019
2009-06-16,7.8345
2009-06-17,7.4439
2009-06-18,7.1127
2009-06-19,6.9957
2009-06-22,7.5415
2009-06-23,7.4125
2009-06-24,7.3403
2009-06-25,7.2495
2009-06-26,7.2817
2009-06-29,7.1521
2009-06-30,7.6721
2009-07-01,7.6068
2009-07-02,7.9324
