<DATE>,<CLOSE>
2008-12-22,0.7
2008-12-23,0.76
2008-12-29,0.81
2008-12-30,0.78
2008-12-31,0.78
2009-01-05,0.78
2009-01-06,0.91
2009-01-07,0.89
2009-01-08,0.89
2009-01-09,0.9
2009-01-12,0.87
2009-01-13,0.83
2009-01-14,0.8
2009-01-15,0.77
2009-01-16,0.83
2009-01-19,0.81
2009-01-20,0.79
2009-01-21,0.82
2009-01-22,0.8
2009-01-23,0.82
2009-01-26,0.86
2009-01-27,0.84
2009-01-28,0.87
2009-01-29,0.87
2009-01-30,0.86
2009-02-02,0.82
2009-02-03,0.8
2009-02-04,0.82
2009-02-05,0.83
2009-02-06,0.88
2009-02-09,0.86
2009-02-10,0.87
2009-02-11,1.11
2009-02-12,1.18
2009-02-13,1.19
2009-02-16,1.2
2009-02-17,1
2009-02-18,1.15
2009-02-19,1.23
2009-02-20,1.22
2009-02-23,1.25
2009-02-24,1.42
2009-02-25,1.45
2009-02-26,1.51
2009-02-27,1.57
2009-03-02,1.52
2009-03-03,1.56
2009-03-04,1.55
2009-03-05,1.65
2009-03-06,1.71
2009-03-09,1.68
2009-03-10,1.63
2009-03-11,1.5
2009-03-12,1.58
2009-03-13,1.59
2009-03-16,1.49
2009-03-17,1.41
2009-03-18,1.43
2009-03-19,1.67
2009-03-20,1.74
2009-03-23,1.79
2009-03-24,1.81
2009-03-25,1.73
2009-03-26,1.67
2009-03-27,1.73
2009-03-30,1.67
2009-03-31,1.67
2009-04-01,1.7
2009-04-02,1.85
2009-04-03,1.92
2009-04-06,1.9
2009-04-07,1.87
2009-04-08,1.89
2009-04-09,1.86
2009-04-14,1.95
2009-04-15,1.93
2009-04-16,1.89
2009-04-17,1.74
2009-04-20,1.68
2009-04-21,1.74
2009-04-22,1.84
2009-04-23,1.85
2009-04-24,1.85
2009-04-27,1.76
2009-04-28,1.74
2009-04-29,1.78
2009-04-30,1.79
2009-05-04,1.79
2009-05-05,1.77
2009-05-06,1.76
2009-05-07,1.74
2009-05-08,1.86
2009-05-11,1.85
2009-05-12,1.84
2009-05-13,1.72
2009-05-14,1.76
2009-05-15,1.93
2009-05-18,1.84
2009-05-19,2
2009-05-20,1.88
2009-05-21,1.78
2009-05-22,1.79
2009-05-25,1.84
2009-05-26,1.78
2009-05-27,1.76
2009-05-28,1.77
2009-05-29,2.18
2009-06-01,2.2
2009-06-02,2.66
2009-06-03,2.54
2009-06-04,2.7
2009-06-05,2.71
2009-06-08,2.55
2009-06-09,2.54
2009-06-10,2.53
2009-06-12,2.6
2009-06-15,2.58
2009-06-16,2.58
2009-06-17,2.56
2009-06-18,2.55
2009-06-19,2.57
2009-06-22,2.54
2009-06-23,2.5
2009-06-24,2.65
2009-06-25,2.73
2009-06-26,2.7
2009-06-29,2.69
2009-06-30,2.76
2009-07-01,2.62
2009-07-02,2.44
2009-07-03,2.5
2009-07-06,2.58
2009-07-07,2.54
2009-07-08,2.5
2009-07-09,2.48
2009-07-10,2.4
2009-07-13,2.44
2009-07-14,2.47
2009-07-15,2.48
2009-07-16,2.5
2009-07-17,2.47
2009-07-20,2.41
2009-07-21,2.47
2009-07-22,2.46
2009-07-23,2.28
2009-07-24,2.35
2009-07-27,2.35
2009-07-28,2.45
2009-07-29,2.84
2009-07-30,2.82
2009-07-31,2.85
2009-08-03,2.91
2009-08-04,2.84
2009-08-05,2.77
2009-08-06,2.71
2009-08-07,2.85
2009-08-10,2.95
2009-08-11,2.94
2009-08-12,2.86
2009-08-13,2.94
2009-08-14,2.96
2009-08-17,2.89
2009-08-18,2.98
2009-08-19,3.08
2009-08-20,3.09
2009-08-21,3.14
2009-08-24,3.14
2009-08-25,3.11
2009-08-26,3.04
2009-08-27,3.15
2009-08-28,3.15
2009-08-31,3.14
2009-09-01,2.94
2009-09-02,2.9
2009-09-03,2.89
2009-09-04,2.8
2009-09-07,2.9
2009-09-08,2.82
2009-09-09,2.93
2009-09-10,2.89
2009-09-11,2.89
2009-09-14,2.86
2009-09-15,2.65
2009-09-16,2.65
2009-09-17,2.64
2009-09-18,2.74
2009-09-21,2.6
2009-09-22,2.55
2009-09-23,2.64
2009-09-24,2.6
2009-09-25,2.55
2009-09-28,2.47
2009-09-29,2.5
2009-09-30,2.53
2009-10-01,2.43
2009-10-02,2.73
2009-10-05,2.63
2009-10-06,2.72
2009-10-07,2.53
2009-10-08,2.58
2009-10-09,2.69
2009-10-12,2.75
2009-10-13,2.78
2009-10-14,2.72
2009-10-15,2.75
2009-10-16,2.7
2009-10-19,2.75
2009-10-20,2.72
2009-10-21,2.63
2009-10-22,2.75
2009-10-23,2.63
2009-10-26,2.68
2009-10-27,2.68
2009-10-28,2.67
2009-10-29,2.53
2009-10-30,2.56
2009-11-02,2.64
2009-11-03,2.72
2009-11-04,2.79
2009-11-05,2.94
2009-11-06,3.1
2009-11-09,3.25
2009-11-10,3.82
2009-11-12,4.13
2009-11-13,4.18
2009-11-16,4.49
2009-11-17,4.6
2009-11-18,4.2
2009-11-19,4.17
2009-11-20,4.32
2009-11-23,4.6
2009-11-24,4.48
2009-11-25,4.54
2009-11-26,4.48
2009-11-27,4.5
2009-11-30,4.5
2009-12-01,4.5
2009-12-03,4.39
2009-12-04,4.31
2009-12-07,4.69
2009-12-08,4.57
2009-12-09,4.5
2009-12-10,4.52
2009-12-11,4.87
2009-12-14,5.02
2009-12-15,4.82
2009-12-16,5.1
2009-12-17,5
2009-12-18,4.95
2009-12-21,4.89
2009-12-22,4.85
2009-12-23,4.94
2009-12-28,4.82
2009-12-29,4.91
2009-12-30,4.8
2009-12-31,4.9
2010-01-04,4.76
2010-01-05,4.24
2010-01-06,4.23
2010-01-07,4.33
2010-01-08,4.3
2010-01-11,4.36
2010-01-12,4.36
2010-01-13,4.42
2010-01-14,4.37
2010-01-15,4.32
2010-01-18,4.18
2010-01-19,4.23
2010-01-20,4.31
2010-01-21,4.27
2010-01-22,4.23
2010-01-25,4.2
2010-01-26,4.15
2010-01-27,4.2
2010-01-28,4.07
2010-01-29,4.12
2010-02-01,4.13
2010-02-02,4.13
2010-02-03,4.17
2010-02-04,4.16
2010-02-05,4.09
2010-02-08,4.06
2010-02-09,4.09
2010-02-10,4.1
2010-02-11,4.09
2010-02-12,4.08
2010-02-15,4.08
2010-02-16,4
2010-02-17,4
2010-02-18,4.25
2010-02-19,4.53
2010-02-22,4.49
2010-02-23,4.6
2010-02-24,4.64
2010-02-25,4.39
2010-02-26,4.41
2010-03-01,4.3
2010-03-02,4.34
2010-03-03,4.19
2010-03-04,4.15
2010-03-05,4.05
2010-03-08,4.13
2010-03-09,3.99
2010-03-10,3.9
2010-03-11,4.05
2010-03-12,4.2
2010-03-15,4.24
2010-03-16,3.9
2010-03-17,3.9
2010-03-18,3.9
2010-03-19,3.9
2010-03-22,3.84
2010-03-23,3.7
2010-03-24,3.54
2010-03-25,3.6
2010-03-26,3.49
2010-03-29,3.47
2010-03-30,3.55
2010-03-31,3.45
2010-04-01,3.45
2010-04-06,3.3
2010-04-07,3.32
2010-04-08,3.29
2010-04-09,3.23
2010-04-12,3.23
2010-04-13,3.32
2010-04-14,3.31
2010-04-15,3.3
2010-04-16,3.3
2010-04-19,3.28
2010-04-20,3.32
2010-04-21,3.36
2010-04-22,3.55
2010-04-23,3.53
2010-04-26,3.56
2010-04-27,3.3
2010-04-28,3.15
2010-04-29,3.25
2010-04-30,3.25
2010-05-04,3.21
2010-05-05,3.15
2010-05-06,3.07
2010-05-07,3.03
2010-05-10,3.03
2010-05-11,2.85
2010-05-12,2.98
2010-05-13,2.92
2010-05-14,2.85
2010-05-17,2.82
2010-05-18,2.78
2010-05-19,2.78
2010-05-20,2.62
2010-05-21,2.7
2010-05-24,2.74
2010-05-25,2.89
2010-05-26,3.08
2010-05-27,2.97
2010-05-28,2.92
2010-05-31,2.98
2010-06-01,2.93
2010-06-02,2.99
2010-06-04,2.9
2010-06-07,2.83
2010-06-08,2.67
2010-06-09,2.69
2010-06-10,2.69
2010-06-11,2.66
2010-06-14,2.71
2010-06-15,2.75
2010-06-16,2.8
2010-06-17,2.94
2010-06-18,2.77
2010-06-21,2.7
2010-06-22,2.71
2010-06-23,2.51
2010-06-24,2.68
2010-06-25,2.58
2010-06-28,2.58
2010-06-29,2.45
2010-06-30,2.28
2010-07-01,2.18
2010-07-02,2.54
2010-07-05,2.51
2010-07-06,2.64
2010-07-07,2.69
2010-07-08,2.83
2010-07-09,2.82
2010-07-12,3.05
2010-07-13,3
2010-07-14,3.05
2010-07-15,3.1
2010-07-16,2.91
2010-07-19,2.87
2010-07-20,2.9
2010-07-21,2.94
2010-07-22,2.93
2010-07-23,2.99
2010-07-26,3.02
2010-07-27,2.97
2010-07-28,2.87
2010-07-29,2.83
2010-07-30,2.91
2010-08-02,2.85
2010-08-03,3.01
2010-08-04,3.1
2010-08-05,3.19
2010-08-06,3.09
2010-08-09,2.88
2010-08-10,2.86
2010-08-11,2.93
2010-08-12,3.02
2010-08-13,2.93
2010-08-16,2.91
2010-08-17,2.9
2010-08-18,2.88
2010-08-19,2.82
