<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1998-01-19,4.144,4.144,4.144,4.144
1998-01-20,3.808,3.808,3.808,3.808
1998-01-21,3.78,3.78,3.78,3.78
1998-01-22,3.416,3.416,3.416,3.416
1998-01-23,3.472,3.472,3.472,3.472
1998-01-26,3.528,3.528,3.528,3.528
1998-01-27,3.528,3.528,3.528,3.528
1998-01-28,3.584,3.584,3.584,3.584
1998-01-29,3.836,3.836,3.836,3.836
1998-01-30,3.948,3.948,3.948,3.948
1998-02-02,4.144,4.144,4.144,4.144
1998-02-03,4.116,4.116,4.116,4.116
1998-02-04,3.696,3.696,3.696,3.696
1998-02-05,3.808,3.808,3.808,3.808
1998-02-06,3.92,3.92,3.92,3.92
1998-02-09,4.032,4.032,4.032,4.032
1998-02-10,4.032,4.032,4.032,4.032
1998-02-11,3.976,3.976,3.976,3.976
1998-02-12,3.584,3.584,3.584,3.584
1998-02-13,3.64,3.64,3.64,3.64
1998-02-16,3.808,3.808,3.808,3.808
1998-02-17,3.948,3.948,3.948,3.948
1998-02-18,4.088,4.088,4.088,4.088
1998-02-19,4.032,4.032,4.032,4.032
1998-02-20,3.808,3.808,3.808,3.808
1998-02-23,3.92,3.92,3.92,3.92
1998-02-24,3.92,3.92,3.92,3.92
1998-02-25,3.836,3.836,3.836,3.836
1998-02-26,3.864,3.864,3.864,3.864
1998-02-27,3.92,3.92,3.92,3.92
1998-03-02,3.892,3.892,3.892,3.892
1998-03-03,3.864,3.864,3.864,3.864
1998-03-04,3.78,3.78,3.78,3.78
1998-03-05,3.724,3.724,3.724,3.724
1998-03-06,3.724,3.724,3.724,3.724
1998-03-09,3.808,3.808,3.808,3.808
1998-03-10,3.864,3.864,3.864,3.864
1998-03-11,3.612,3.612,3.612,3.612
1998-03-12,3.668,3.668,3.668,3.668
1998-03-13,3.864,3.864,3.864,3.864
1998-03-16,3.808,3.808,3.808,3.808
1998-03-17,3.724,3.724,3.724,3.724
1998-03-18,3.668,3.668,3.668,3.668
1998-03-19,3.78,3.78,3.78,3.78
1998-03-20,3.808,3.808,3.808,3.808
1998-03-23,3.64,3.64,3.64,3.64
1998-03-24,3.528,3.528,3.528,3.528
1998-03-25,3.612,3.612,3.612,3.612
1998-03-26,3.332,3.332,3.332,3.332
1998-03-27,3.444,3.444,3.444,3.444
1998-03-30,3.444,3.444,3.444,3.444
1998-03-31,3.388,3.388,3.388,3.388
1998-04-01,3.444,3.444,3.444,3.444
1998-04-02,3.388,3.388,3.388,3.388
1998-04-06,3.332,3.332,3.332,3.332
1998-04-07,3.388,3.388,3.388,3.388
1998-04-08,3.416,3.416,3.416,3.416
1998-04-09,3.332,3.332,3.332,3.332
1998-04-14,3.332,3.332,3.332,3.332
1998-04-15,3.332,3.332,3.332,3.332
1998-04-16,3.248,3.248,3.248,3.248
1998-04-17,3.192,3.192,3.192,3.192
1998-04-20,3.08,3.08,3.08,3.08
1998-04-21,3.192,3.192,3.192,3.192
1998-04-22,3.192,3.192,3.192,3.192
1998-04-23,3.108,3.108,3.108,3.108
1998-04-24,3.164,3.164,3.164,3.164
1998-04-27,3.248,3.248,3.248,3.248
1998-04-28,3.248,3.248,3.248,3.248
1998-04-29,3.332,3.332,3.332,3.332
1998-04-30,3.556,3.556,3.556,3.556
1998-05-04,3.556,3.556,3.556,3.556
1998-05-05,3.528,3.528,3.528,3.528
1998-05-06,3.192,3.192,3.192,3.192
1998-05-07,3.304,3.304,3.304,3.304
1998-05-08,3.304,3.304,3.304,3.304
1998-05-11,3.304,3.304,3.304,3.304
1998-05-12,3.248,3.248,3.248,3.248
1998-05-13,3.248,3.248,3.248,3.248
1998-05-14,3.22,3.22,3.22,3.22
1998-05-15,3.192,3.192,3.192,3.192
1998-05-18,3.08,3.08,3.08,3.08
1998-05-19,3.192,3.192,3.192,3.192
1998-05-20,2.884,2.884,2.884,2.884
1998-05-21,2.604,2.604,2.604,2.604
1998-05-22,2.856,2.856,2.856,2.856
1998-05-25,2.968,2.968,2.968,2.968
1998-05-26,2.968,2.968,2.968,2.968
1998-05-27,2.968,2.968,2.968,2.968
1998-05-28,2.968,2.968,2.968,2.968
1998-05-29,2.968,2.968,2.968,2.968
1998-06-01,2.856,2.856,2.856,2.856
1998-06-02,2.856,2.856,2.856,2.856
1998-06-03,2.828,2.828,2.828,2.828
1998-06-04,2.548,2.548,2.548,2.548
1998-06-05,2.324,2.324,2.324,2.324
1998-06-08,2.1,2.1,2.1,2.1
1998-06-09,2.128,2.128,2.128,2.128
1998-06-10,2.1,2.1,2.1,2.1
1998-06-15,1.96,1.96,1.96,1.96
1998-06-16,1.96,1.96,1.96,1.96
1998-06-17,2.1,2.1,2.1,2.1
1998-06-18,2.1,2.1,2.1,2.1
1998-06-19,1.904,1.904,1.904,1.904
1998-06-22,1.904,1.904,1.904,1.904
1998-06-23,1.96,1.96,1.96,1.96
1998-06-24,1.904,1.904,1.904,1.904
1998-06-25,1.904,1.904,1.904,1.904
1998-06-26,2.016,2.016,2.016,2.016
1998-06-29,2.016,2.016,2.016,2.016
1998-06-30,2.016,2.016,2.016,2.016
1998-07-01,2.044,2.044,2.044,2.044
1998-07-02,2.1,2.1,2.1,2.1
1998-07-03,2.184,2.184,2.184,2.184
1998-07-06,2.408,2.408,2.408,2.408
1998-07-07,2.492,2.492,2.492,2.492
1998-07-08,2.324,2.324,2.324,2.324
1998-07-09,2.128,2.128,2.128,2.128
1998-07-10,2.24,2.24,2.24,2.24
1998-07-13,2.24,2.24,2.24,2.24
1998-07-14,2.324,2.324,2.324,2.324
1998-07-15,2.38,2.38,2.38,2.38
1998-07-16,2.24,2.24,2.24,2.24
1998-07-17,2.24,2.24,2.24,2.24
1998-07-20,2.24,2.24,2.24,2.24
1998-07-21,2.24,2.24,2.24,2.24
1998-07-22,2.016,2.016,2.016,2.016
1998-07-23,2.016,2.016,2.016,2.016
1998-07-24,2.072,2.072,2.072,2.072
1998-07-27,2.268,2.268,2.268,2.268
1998-07-28,2.324,2.324,2.324,2.324
1998-07-29,2.1,2.1,2.1,2.1
1998-07-30,2.1,2.1,2.1,2.1
1998-07-31,1.932,1.932,1.932,1.932
1998-08-03,1.736,1.736,1.736,1.736
1998-08-04,1.652,1.652,1.652,1.652
1998-08-05,1.792,1.792,1.792,1.792
1998-08-06,1.876,1.876,1.876,1.876
1998-08-07,1.848,1.848,1.848,1.848
1998-08-10,1.932,1.932,1.932,1.932
1998-08-11,1.82,1.82,1.82,1.82
1998-08-12,1.708,1.708,1.708,1.708
1998-08-13,1.792,1.792,1.792,1.792
1998-08-14,1.708,1.708,1.708,1.708
1998-08-17,1.764,1.764,1.764,1.764
1998-08-18,1.736,1.736,1.736,1.736
1998-08-19,1.568,1.568,1.568,1.568
1998-08-20,1.652,1.652,1.652,1.652
1998-08-21,1.568,1.568,1.568,1.568
1998-08-24,1.624,1.624,1.624,1.624
1998-08-25,1.652,1.652,1.652,1.652
1998-08-26,1.596,1.596,1.596,1.596
1998-08-27,1.456,1.456,1.456,1.456
1998-08-28,1.316,1.316,1.316,1.316
1998-08-31,1.26,1.26,1.26,1.26
1998-09-01,1.12,1.12,1.12,1.12
1998-09-02,1.008,1.008,1.008,1.008
1998-09-03,1.064,1.064,1.064,1.064
1998-09-04,1.12,1.12,1.12,1.12
1998-09-07,1.12,1.12,1.12,1.12
1998-09-08,1.12,1.12,1.12,1.12
1998-09-09,1.148,1.148,1.148,1.148
1998-09-10,1.148,1.148,1.148,1.148
1998-09-11,1.148,1.148,1.148,1.148
1998-09-14,1.036,1.036,1.036,1.036
1998-09-15,1.12,1.12,1.12,1.12
1998-09-16,1.092,1.092,1.092,1.092
1998-09-17,1.064,1.064,1.064,1.064
1998-09-18,1.008,1.008,1.008,1.008
1998-09-21,1.008,1.008,1.008,1.008
1998-09-22,1.036,1.036,1.036,1.036
1998-09-23,1.036,1.036,1.036,1.036
1998-09-24,1.064,1.064,1.064,1.064
1998-09-25,1.064,1.064,1.064,1.064
1998-09-28,1.064,1.064,1.064,1.064
1998-09-29,1.064,1.064,1.064,1.064
1998-09-30,1.008,1.008,1.008,1.008
1998-10-01,0.952,0.952,0.952,0.952
1998-10-02,0.868,0.868,0.868,0.868
1998-10-05,0.784,0.784,0.784,0.784
1998-10-06,0.812,0.812,0.812,0.812
1998-10-07,0.784,0.784,0.784,0.784
1998-10-08,0.84,0.84,0.84,0.84
1998-10-09,0.756,0.756,0.756,0.756
1998-10-12,0.784,0.784,0.784,0.784
1998-10-13,0.812,0.812,0.812,0.812
1998-10-14,0.784,0.784,0.784,0.784
1998-10-15,0.784,0.784,0.784,0.784
1998-10-16,0.812,0.812,0.812,0.812
1998-10-19,0.868,0.868,0.868,0.868
1998-10-20,0.812,0.812,0.812,0.812
1998-10-21,0.84,0.84,0.84,0.84
1998-10-22,0.84,0.84,0.84,0.84
1998-10-23,0.868,0.868,0.868,0.868
1998-10-26,0.924,0.924,0.924,0.924
1998-10-27,0.98,0.98,0.98,0.98
1998-10-28,0.924,0.924,0.924,0.924
1998-10-29,0.924,0.924,0.924,0.924
1998-10-30,0.896,0.896,0.896,0.896
1998-11-02,0.84,0.84,0.84,0.84
1998-11-03,0.84,0.84,0.84,0.84
1998-11-04,0.868,0.868,0.868,0.868
1998-11-05,0.84,0.84,0.84,0.84
1998-11-06,0.84,0.84,0.84,0.84
1998-11-09,0.868,0.868,0.868,0.868
1998-11-10,0.812,0.812,0.812,0.812
1998-11-12,0.812,0.812,0.812,0.812
1998-11-13,0.812,0.812,0.812,0.812
1998-11-16,0.84,0.84,0.84,0.84
1998-11-17,0.924,0.924,0.924,0.924
1998-11-18,0.952,0.952,0.952,0.952
1998-11-19,0.896,0.896,0.896,0.896
1998-11-20,0.84,0.84,0.84,0.84
1998-11-23,0.868,0.868,0.868,0.868
1998-11-24,0.924,0.924,0.924,0.924
1998-11-25,0.896,0.896,0.896,0.896
1998-11-26,0.896,0.896,0.896,0.896
1998-11-27,0.924,0.924,0.924,0.924
1998-11-30,0.98,0.98,0.98,0.98
1998-12-01,1.008,1.008,1.008,1.008
1998-12-02,1.008,1.008,1.008,1.008
1998-12-03,1.008,1.008,1.008,1.008
1998-12-04,0.924,0.924,0.924,0.924
1998-12-07,1.008,1.008,1.008,1.008
1998-12-08,1.008,1.008,1.008,1.008
1998-12-09,1.008,1.008,1.008,1.008
1998-12-10,1.008,1.008,1.008,1.008
1998-12-11,0.896,0.896,0.896,0.896
1998-12-14,0.896,0.896,0.896,0.896
1998-12-15,0.84,0.84,0.84,0.84
1998-12-16,0.84,0.84,0.84,0.84
1998-12-17,0.924,0.924,0.924,0.924
1998-12-18,0.896,0.896,0.896,0.896
1998-12-21,0.896,0.896,0.896,0.896
1998-12-22,0.924,0.924,0.924,0.924
1998-12-23,1.008,1.008,1.008,1.008
1998-12-28,1.064,1.064,1.064,1.064
1998-12-29,1.064,1.064,1.064,1.064
1998-12-30,1.036,1.036,1.036,1.036
1998-12-31,1.064,1.064,1.064,1.064
1999-01-04,1.036,1.036,1.036,1.036
1999-01-05,1.092,1.092,1.092,1.092
1999-01-06,1.064,1.064,1.064,1.064
1999-01-07,1.12,1.12,1.12,1.12
1999-01-08,1.204,1.204,1.204,1.204
