<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-11-23,21.318,21.719,21.116,21.318
2007-11-26,22.208,22.208,21.318,21.391
2007-11-27,21.318,21.338,21.318,21.338
2007-11-28,21.409,21.675,21.328,21.409
2007-11-29,21.318,21.409,21.318,21.409
2007-11-30,21.409,21.409,21.399,21.399
2007-12-03,21.338,21.347,21.338,21.347
2007-12-04,21.347,21.363,21.347,21.347
2007-12-05,21.328,22.208,21.328,22.208
2007-12-06,21.461,21.461,21.454,21.454
2007-12-07,21.764,22.563,21.764,22.208
2007-12-10,22.208,22.208,22.163,22.208
2007-12-11,22.208,24.519,22.155,24.429
2007-12-12,23.096,25.762,23.096,25.762
2007-12-13,25.139,27.538,24.438,26.659
2007-12-14,26.606,27.077,26.206,26.659
2007-12-17,26.65,27.005,26.65,27.005
2007-12-18,27.005,29.315,25.762,26.65
2007-12-19,26.65,27.538,26.65,27.538
2007-12-20,27.538,30.097,26.65,30.097
2007-12-21,31.98,31.98,29.315,30.088
2007-12-27,30.204,31.891,29.759,30.204
2007-12-28,30.132,30.204,29.759,30.204
2008-01-02,34.645,34.645,28.161,31.092
2008-01-03,31.048,31.048,29.315,30.113
2008-01-04,29.315,29.759,28.178,28.178
2008-01-07,26.827,29.315,26.827,27.538
2008-01-08,27.982,29.315,27.538,29.048
2008-01-09,29.048,29.048,27.449,28.426
2008-01-10,27.057,27.449,27.057,27.449
2008-01-11,27.093,28.426,26.917,28.426
2008-01-14,27.699,28.426,26.703,28.426
2008-01-15,28.96,29.048,28.338,28.338
2008-01-16,28.161,28.161,27.272,27.272
2008-01-17,28.782,28.782,27.36,27.538
2008-01-18,27.982,27.982,27.982,27.982
2008-01-21,27.36,27.982,25.762,26.516
2008-01-22,25.762,26.516,25.762,26.463
2008-01-23,26.516,27.433,25.762,27.093
2008-01-24,27.982,27.982,26.65,27.093
2008-01-25,26.917,27.093,26.917,27.093
2008-01-28,27.093,27.433,27.049,27.433
2008-01-29,27.538,27.538,27.093,27.093
2008-01-30,27.093,27.093,27.093,27.093
2008-01-31,26.88,28.87,26.871,27.093
2008-02-01,27.538,27.538,27.093,27.102
2008-02-04,28.417,28.426,27.093,27.093
2008-02-05,27.102,27.102,27.102,27.102
2008-02-06,27.093,27.538,27.093,27.538
2008-02-07,27.538,27.538,27.538,27.538
2008-02-08,27.894,27.982,27.449,27.982
2008-02-11,27.982,28.845,27.538,27.982
2008-02-12,27.982,28.071,27.982,28.071
2008-02-13,28.845,28.87,27.555,28.87
2008-02-14,28.861,28.87,28.426,28.87
2008-02-15,28.861,29.315,28.852,29.315
2008-02-18,28.426,29.315,28.426,29.315
2008-02-19,29.315,29.315,28.426,28.426
2008-02-20,28.426,29.315,28.426,29.315
2008-02-21,30.204,31.092,30.204,31.092
2008-02-22,31.092,32.157,31.092,31.536
2008-02-25,31.268,33.091,31.092,32.866
2008-02-26,32.866,36.154,32.211,35.622
2008-02-27,35.533,35.533,33.765,33.765
2008-02-28,34.201,34.245,33.891,34.156
2008-02-29,33.978,33.978,33.926,33.926
2008-03-03,33.756,33.756,31.98,33.756
2008-03-04,34.645,34.645,33.313,33.624
2008-03-05,32.424,32.424,31.678,32.415
2008-03-06,31.865,34.191,31.625,34.112
2008-03-07,31.98,33.313,31.98,32.866
2008-03-10,32.513,32.866,32.113,32.779
2008-03-11,32.424,32.866,31.987,32.866
2008-03-12,32.866,35.258,32.866,33.579
2008-03-13,33.579,34.555,32.886,34.555
2008-03-14,34.645,35.888,33.756,33.756
2008-03-17,33.365,33.365,31.668,31.98
2008-03-18,32.69,32.69,31.997,31.997
2008-03-19,31.98,33.134,31.536,32.866
2008-03-20,32.246,32.246,31.536,31.536
2008-03-25,31.536,32.866,30.291,32.424
2008-03-26,31.98,32.866,31.98,32.424
2008-03-27,32.086,33.285,32.086,32.866
2008-03-28,32.779,32.779,32.157,32.424
2008-03-31,32.031,32.031,31.891,31.891
2008-04-01,31.455,31.536,31.092,31.109
2008-04-02,31.109,31.109,30.213,30.869
2008-04-03,30.648,31.092,30.648,31.092
2008-04-04,30.648,31.092,30.648,30.648
2008-04-07,30.301,30.31,30.301,30.301
2008-04-08,30.301,30.38,30.113,30.204
2008-04-09,30.204,30.204,30.026,30.204
2008-04-10,30.026,30.026,29.768,29.839
2008-04-11,29.936,29.936,28.453,28.453
2008-04-14,28.506,28.506,28.001,28.338
2008-04-15,27.982,27.991,27.982,27.982
2008-04-16,27.982,29.297,27.982,28.87
2008-04-17,28.426,28.426,27.965,28.426
2008-04-18,27.982,28.426,27.538,27.982
2008-04-21,27.555,27.867,27.555,27.867
2008-04-22,27.538,27.538,26.65,26.65
2008-04-23,26.206,26.206,24.882,25.762
2008-04-24,25.762,26.65,25.762,26.027
2008-04-25,27.529,27.805,26.65,27.805
2008-04-28,27.538,31.802,27.538,31.802
2008-04-29,32.318,32.798,30.523,32.424
2008-04-30,31.092,31.935,30.993,30.993
2008-05-05,31.182,31.182,30.31,30.656
2008-05-06,30.648,31.971,30.648,31.971
2008-05-07,31.962,31.971,31.544,31.971
2008-05-08,31.714,31.98,31.358,31.358
2008-05-09,31.882,31.882,31.26,31.26
2008-05-12,31.092,31.092,30.204,30.559
2008-05-13,30.648,30.648,30.549,30.639
2008-05-14,30.612,30.735,30.477,30.477
2008-05-15,30.469,31.845,30.424,31.845
2008-05-16,32.335,32.558,31.092,31.98
2008-05-19,32.549,32.549,30.781,32.513
2008-05-20,32.246,32.246,31.182,31.182
2008-05-21,30.291,31.802,30.291,31.802
2008-05-23,30.477,31.092,30.477,31.056
2008-05-26,30.469,31.073,30.291,31.073
2008-05-27,31.403,31.403,30.204,30.204
2008-05-28,29.847,31.678,29.847,31.615
2008-05-29,31.536,31.971,31.092,31.092
2008-05-30,30.213,31.536,30.213,31.536
2008-06-02,31.092,31.536,30.39,30.487
2008-06-03,30.204,30.221,30.194,30.204
2008-06-04,29.759,29.759,28.96,29.048
2008-06-05,29.671,30.976,28.87,29.138
2008-06-06,29.759,30.648,29.759,30.648
2008-06-09,30.648,30.648,30.204,30.204
2008-06-10,30.648,30.648,30.204,30.204
2008-06-11,30.914,31.714,30.825,31.358
2008-06-12,31.962,31.962,31.092,31.536
2008-06-13,31.98,32.504,31.092,31.536
2008-06-16,32.424,32.424,31.98,31.98
2008-06-17,31.98,33.756,31.98,32.866
2008-06-18,31.98,32.866,31.98,31.98
2008-06-19,31.092,31.98,29.581,29.581
2008-06-20,29.589,31.527,29.589,31.092
2008-06-23,30.648,31.182,29.581,30.648
2008-06-24,31.083,31.083,30.213,30.648
2008-06-25,30.213,31.092,30.213,31.048
2008-06-26,31.182,31.182,29.946,30.735
2008-06-27,30.38,31.98,30.38,31.98
2008-06-30,31.536,33.224,31.491,32.69
2008-07-01,31.987,32.246,30.842,31.98
2008-07-02,31.845,31.891,30.755,31.092
2008-07-03,31.802,31.802,28.604,28.604
2008-07-04,29.581,29.75,27.379,29.307
2008-07-07,29.307,29.307,27.538,27.982
2008-07-08,26.917,28.515,26.917,27.005
2008-07-09,27.005,27.184,26.65,27.184
2008-07-10,24.89,27.138,24.89,26.393
2008-07-11,23.763,27.093,23.763,26.65
2008-07-14,26.739,28.604,26.739,26.917
2008-07-15,27.538,27.538,26.961,27.093
2008-07-16,24.874,26.871,24.874,26.65
2008-07-17,27.093,27.538,27.093,27.093
2008-07-18,26.561,26.561,26.294,26.294
2008-07-21,24.89,26.339,24.89,26.339
2008-07-22,25.762,26.561,25.762,26.294
2008-07-23,28.684,28.684,26.418,26.472
