<DATE>,<CLOSE>
2015-12-10,17.225
2015-12-11,18.389
2015-12-14,18.247
2015-12-15,17.916
2015-12-16,17.916
2015-12-17,17.916
2015-12-21,17.963
2015-12-22,18.105
2015-12-28,18.095
2015-12-30,18.153
2016-01-04,18.435
2016-01-15,18.228
2016-01-20,17.963
2016-01-21,17.963
2016-01-22,17.963
2016-01-28,17.963
2016-01-29,17.963
2016-02-03,17.945
2016-02-04,17.963
2016-02-05,17.585
2016-02-08,17.963
2016-02-09,17.633
2016-02-10,17.623
2016-02-11,17.869
2016-02-17,17.869
2016-02-22,17.774
2016-02-25,17.859
2016-03-01,17.963
2016-03-02,17.955
2016-03-09,17.897
2016-03-11,17.963
2016-03-14,17.963
2016-03-15,17.955
2016-03-16,17.869
2016-03-17,17.869
2016-03-18,17.963
2016-03-21,17.869
2016-03-22,17.414
2016-03-23,17.869
2016-03-24,17.869
2016-03-30,17.869
2016-04-04,17.869
2016-04-05,17.869
2016-04-08,17.869
2016-04-11,18.343
2016-04-12,18.908
2016-04-13,19.759
2016-04-14,18.719
2016-04-15,20.8
2016-04-18,20.8
2016-04-19,21.178
2016-04-20,20.989
2016-04-21,20.8
2016-04-25,20.8
2016-04-26,20.043
2016-04-27,19.949
2016-04-28,19.949
2016-04-29,20.705
2016-05-04,20.327
2016-05-05,20.516
2016-05-10,20.516
2016-05-11,21.451
2016-05-17,21.075
2016-05-18,21.075
2016-05-19,20.79
2016-05-20,20.8
2016-05-23,20.8
2016-05-27,20.8
2016-05-30,20.611
2016-06-01,20.611
2016-06-06,20.611
2016-06-07,21.13
2016-06-09,20.611
2016-06-15,21.556
2016-06-16,19.571
2016-06-17,21.272
2016-06-20,20.752
2016-06-21,20.468
2016-06-22,21.083
2016-06-23,20.468
2016-06-24,19.853
2016-06-29,20.459
2016-07-05,20.468
2016-07-12,20.421
2016-07-14,20.516
2016-07-19,20.327
2016-07-25,20.327
2016-07-26,20.327
2016-08-05,20.327
2016-08-11,20.28
2016-08-16,20.28
2016-08-19,20.327
2016-08-22,20.327
2016-08-23,20.327
2016-09-01,19.853
2016-09-05,19.287
2016-09-07,19.003
2016-09-08,19.003
2016-09-09,19.853
2016-09-13,19.949
2016-09-26,19.93
2016-09-27,19.939
2016-09-28,19.939
2016-09-30,19.911
2016-10-03,19.939
2016-10-04,19.902
2016-10-19,19.853
2016-10-26,19.845
2016-10-31,19.845
2016-11-02,19.845
2016-11-03,19.845
2016-11-08,19.759
2016-11-09,19.845
2016-11-14,19.759
2016-11-15,19.845
2016-11-16,19.759
2016-11-18,19.759
2016-11-21,19.759
2016-11-25,19.845
2016-11-28,19.845
2016-11-29,19.845
2016-12-07,19.853
2016-12-08,19.666
2016-12-09,19.381
2016-12-12,19.381
2016-12-15,20.705
2016-12-21,19.853
2016-12-22,19.863
2016-12-23,19.381
2016-12-29,19.853
2016-12-30,19.381
2017-01-02,19.845
2017-01-05,19.845
2017-01-11,18.918
2017-01-17,19.845
2017-01-23,19.845
2017-01-26,19.845
2017-01-31,19.835
2017-02-03,19.845
2017-02-06,19.845
2017-02-07,19.845
2017-02-08,20.138
2017-02-10,21.272
2017-02-17,21.461
2017-02-21,23.777
2017-02-22,26.074
2017-02-23,25.337
2017-02-24,24.393
2017-02-27,25.99
2017-03-01,26.614
2017-03-02,28.353
2017-03-03,28.353
2017-03-06,27.607
2017-03-07,27.322
2017-03-08,26.85
2017-03-09,26.472
2017-03-10,26.472
2017-03-20,25.81
2017-03-21,26.472
2017-03-24,24.118
2017-03-27,25.149
2017-03-28,24.013
2017-03-29,25.405
2017-03-30,25.328
2017-03-31,24.108
2017-04-03,23.541
2017-04-04,23.731
2017-04-06,23.872
2017-04-07,23.824
2017-04-10,23.636
2017-04-11,24.79
2017-04-12,24.581
2017-04-13,23.92
2017-04-20,23.92
2017-04-21,23.636
2017-04-24,23.92
2017-04-25,24.013
2017-04-26,23.824
2017-04-27,24.005
2017-04-28,23.996
2017-05-04,26.387
2017-05-05,26.889
2017-05-08,24.202
2017-05-09,24.581
2017-05-12,26.889
2017-05-19,24.108
2017-05-22,24.571
2017-05-23,24.571
2017-05-24,24.571
2017-05-25,24.571
2017-05-26,24.561
2017-05-29,24.561
2017-06-01,24.544
2017-06-02,24.534
2017-06-05,24.534
2017-06-06,24.534
2017-06-07,24.534
2017-06-08,24.534
2017-06-09,24.534
2017-06-12,24.534
2017-06-13,24.534
2017-06-14,24.534
2017-06-16,24.534
2017-06-19,24.534
2017-06-20,24.477
2017-06-21,24.477
2017-06-22,24.477
2017-06-23,24.477
2017-06-27,24.393
2017-06-29,23.465
2017-06-30,23.399
2017-07-06,23.92
2017-07-07,23.626
2017-07-11,23.808
2017-07-14,23.808
2017-07-18,23.817
2017-07-19,23.817
2017-07-21,23.808
2017-07-26,23.817
2017-07-28,23.817
2017-07-31,24.198
2017-08-04,24.77
2017-08-08,22.768
2017-08-09,23.836
2017-08-10,24.102
2017-08-11,24.007
2017-08-14,23.999
2017-08-16,23.96
2017-08-17,23.817
2017-08-18,23.788
2017-08-21,23.798
2017-08-22,23.798
2017-08-23,23.722
2017-08-24,23.646
2017-08-25,23.646
2017-08-28,23.626
2017-08-29,23.559
2017-08-30,23.522
2017-08-31,23.512
2017-09-01,23.798
2017-09-04,23.788
2017-09-05,23.77
2017-09-07,23.674
2017-09-08,23.341
2017-09-11,23.636
2017-09-12,23.341
2017-09-13,23.617
2017-09-14,23.608
2017-09-15,23.341
2017-09-18,23.578
2017-09-19,23.522
2017-09-20,23.617
2017-09-21,23.626
2017-09-22,23.617
2017-09-25,23.608
2017-09-26,23.559
2017-09-27,23.341
2017-09-28,23.522
2017-10-02,23.473
2017-10-04,23.198
2017-10-05,23.159
2017-10-06,23.141
2017-10-09,23.131
2017-10-10,23.198
2017-10-11,23.188
2017-10-12,23.179
2017-10-13,23.103
2017-10-16,23.188
2017-10-17,23.179
2017-10-18,22.883
2017-10-19,22.883
2017-10-20,22.682
2017-10-23,23.331
2017-10-24,23.321
2017-10-25,22.198
2017-10-26,23.321
2017-10-27,23.311
2017-10-30,23.235
2017-10-31,23.149
2017-11-06,23.121
2017-11-08,22.675
2017-11-09,22.606
2017-11-10,22.606
2017-11-14,22.436
2017-11-20,22.016
2017-11-21,22.007
2017-11-22,21.997
2017-11-23,21.987
2017-11-27,21.968
2017-11-28,21.807
2017-11-29,21.797
2017-11-30,21.788
2017-12-01,21.779
2017-12-04,23.788
2017-12-05,23.722
2017-12-06,23.693
2017-12-08,23.674
2017-12-12,23.341
2017-12-18,20.959
2017-12-19,21.388
2017-12-20,21.245
2017-12-27,20.006
2017-12-28,19.997
2018-01-03,20.006
2018-01-04,19.435
2018-01-05,19.435
2018-01-08,19.244
2018-01-09,19.244
2018-01-11,18.959
2018-01-16,19.244
2018-01-17,19.244
2018-01-22,18.768
2018-01-23,19.053
2018-01-24,18.959
2018-01-25,18.959
2018-01-26,18.959
2018-01-29,18.959
2018-01-30,19.053
2018-01-31,19.244
2018-02-01,19.053
2018-02-02,19.816
2018-02-05,18.768
2018-02-06,18.578
2018-02-07,19.053
2018-02-08,18.672
2018-02-09,19.053
2018-02-12,18.959
2018-02-13,18.959
2018-02-14,18.959
2018-02-15,19.053
2018-02-16,19.053
2018-02-19,19.053
2018-02-20,19.053
2018-02-21,18.959
2018-02-22,18.672
2018-02-23,18.578
2018-02-26,18.863
2018-02-27,19.244
2018-02-28,19.435
2018-03-01,19.244
2018-03-02,18.959
2018-03-05,20.577
2018-03-06,19.625
2018-03-07,19.244
2018-03-08,18.672
2018-03-09,18.863
2018-03-12,18.959
2018-03-13,18.959
2018-03-14,18.959
2018-03-15,18.959
2018-03-16,18.959
2018-03-19,18.387
2018-03-20,18.768
2018-03-21,19.435
2018-03-22,19.816
2018-03-23,19.435
2018-03-26,19.435
2018-03-27,19.053
2018-03-28,18.863
2018-03-29,18.863
2018-04-03,18.863
2018-04-04,18.863
2018-04-05,18.863
2018-04-06,18.672
2018-04-09,18.672
2018-04-10,19.244
2018-04-11,19.244
2018-04-12,19.244
2018-04-13,19.816
2018-04-16,19.244
2018-04-17,19.244
2018-04-18,19.816
2018-04-19,19.053
2018-04-20,19.816
2018-04-23,19.053
2018-04-24,19.053
2018-04-25,19.053
2018-04-26,18.959
2018-04-27,18.959
2018-04-30,19.053
2018-05-02,19.053
2018-05-04,19.053
2018-05-07,19.053
2018-05-08,19.053
2018-05-09,19.053
2018-05-10,19.053
2018-05-11,19.244
2018-05-14,19.435
2018-05-15,19.435
2018-05-16,19.244
2018-05-17,19.244
2018-05-18,19.244
2018-05-21,19.244
2018-05-22,19.244
2018-05-23,18.291
2018-05-24,18.387
2018-05-25,18.959
2018-05-28,18.005
2018-05-29,17.91
2018-05-30,16.957
2018-06-01,16.672
2018-06-04,16.576
2018-06-05,16.767
2018-06-06,16.862
2018-06-07,16.481
2018-06-08,16.005
2018-06-11,16.005
2018-06-12,16.1
2018-06-13,16.1
2018-06-14,16.957
2018-06-15,16.957
2018-06-18,16.957
2018-06-19,16.387
2018-06-20,16.387
2018-06-21,16.387
2018-06-22,16.387
2018-06-25,16.387
2018-06-26,16.196
2018-06-27,16.1
2018-06-28,16.1
2018-06-29,15.91
2018-07-02,15.91
2018-07-03,15.91
2018-07-04,15.91
2018-07-05,15.91
2018-07-06,15.91
2018-07-09,15.91
2018-07-10,15.815
2018-07-11,15.719
2018-07-12,15.719
2018-07-13,14.948
2018-07-16,14.948
2018-07-17,14.948
2018-07-18,14.948
2018-07-19,15.429
2018-07-20,15.429
2018-07-23,14.948
2018-07-24,14.948
2018-07-25,14.465
2018-07-26,14.465
2018-07-27,14.465
2018-07-30,14.369
2018-07-31,14.369
2018-08-01,14.369
2018-08-02,14.369
2018-08-03,14.948
2018-08-06,15.912
2018-08-07,16.298
2018-08-08,15.237
2018-08-09,15.912
2018-08-10,15.141
2018-08-13,15.719
2018-08-14,15.622
2018-08-16,14.658
2018-08-17,14.273
2018-08-20,14.177
2018-08-21,14.273
2018-08-22,14.369
2018-08-23,14.273
2018-08-24,14.465
2018-08-27,15.719
2018-08-28,15.526
2018-08-29,15.429
2018-08-30,15.429
2018-08-31,15.429
2018-09-03,15.526
2018-09-04,15.334
2018-09-05,15.237
2018-09-06,15.044
2018-09-07,15.237
2018-09-10,14.369
2018-09-11,14.369
2018-09-12,14.177
2018-09-13,14.369
2018-09-14,14.369
2018-09-17,14.369
2018-09-18,14.369
2018-09-19,14.369
2018-09-20,14.369
2018-09-21,14.369
2018-09-24,14.369
2018-09-25,15.334
2018-09-26,15.429
2018-09-27,15.912
2018-09-28,16.105
2018-10-01,16.105
2018-10-02,15.815
2018-10-03,15.815
2018-10-04,15.719
2018-10-05,15.815
2018-10-08,16.105
2018-10-09,15.912
2018-10-10,16.105
2018-10-11,16.395
2018-10-12,16.395
2018-10-15,16.395
2018-10-16,16.395
2018-10-17,15.719
2018-10-18,16.395
2018-10-19,16.395
2018-10-22,16.395
2018-10-23,16.395
2018-10-24,16.202
2018-10-25,16.395
2018-10-26,15.429
2018-10-29,15.912
2018-10-30,16.105
2018-10-31,16.298
2018-11-02,16.49
2018-11-05,16.49
2018-11-06,16.49
2018-11-07,16.49
2018-11-08,17.744
2018-11-09,16.202
2018-11-13,15.429
2018-11-14,15.912
2018-11-15,15.912
2018-11-16,15.044
2018-11-19,14.948
2018-11-20,16.009
2018-11-21,15.526
2018-11-22,16.009
2018-11-23,15.912
2018-11-26,15.912
2018-11-27,15.237
2018-11-28,16.009
2018-11-29,16.009
2018-11-30,16.009
2018-12-03,16.009
2018-12-04,16.009
2018-12-05,15.334
2018-12-06,16.009
2018-12-07,16.009
2018-12-10,16.009
2018-12-11,15.912
2018-12-12,16.009
2018-12-13,15.815
2018-12-14,15.334
2018-12-17,15.334
2018-12-18,15.334
2018-12-19,14.948
2018-12-20,14.08
2018-12-21,13.597
2018-12-27,12.923
2018-12-28,12.537
2019-01-02,11.572
2019-01-03,11.186
2019-01-04,11.862
2019-01-07,11.862
2019-01-08,12.055
2019-01-09,11.669
2019-01-10,11.765
2019-01-11,11.572
2019-01-14,11.476
2019-01-15,11.765
2019-01-16,11.862
2019-01-17,11.572
2019-01-18,11.572
2019-01-21,12.055
2019-01-22,11.862
2019-01-23,12.055
2019-01-24,12.055
2019-01-25,12.344
2019-01-30,13.019
2019-02-04,13.404
2019-02-06,16.683
2019-02-07,16.202
2019-02-08,15.429
2019-02-11,14.851
2019-02-12,15.141
2019-02-13,13.694
2019-02-14,12.44
2019-02-15,11.958
2019-02-18,12.537
2019-02-19,11.572
2019-02-20,11.862
2019-02-21,11.862
2019-02-22,11.091
2019-02-25,11.476
2019-02-26,11.476
2019-02-27,11.476
2019-02-28,11.476
2019-03-01,11.476
2019-03-04,11.476
2019-03-05,11.476
2019-03-06,11.476
2019-03-07,11.476
2019-03-08,11.476
2019-03-11,11.476
2019-03-12,11.476
2019-03-13,11.476
2019-03-14,11.476
2019-03-15,12.151
2019-03-18,12.055
2019-03-19,11.862
2019-03-20,11.572
2019-03-21,12.151
2019-03-22,11.572
2019-03-25,11.572
2019-03-26,11.572
2019-03-27,11.572
2019-03-28,11.572
2019-03-29,12.055
2019-04-01,13.26
2019-04-02,13.308
2019-04-03,13.308
2019-04-04,13.212
2019-04-05,13.212
2019-04-08,13.212
2019-04-09,13.212
2019-04-10,13.212
2019-04-11,12.537
2019-04-12,13.212
2019-04-15,13.212
2019-04-16,13.212
2019-04-17,12.826
2019-04-18,12.682
2019-04-23,12.489
2019-04-24,12.97
2019-04-25,13.404
2019-04-26,13.404
2019-04-29,12.247
2019-04-30,12.73
2019-05-02,13.308
2019-05-06,13.308
2019-05-07,13.357
2019-05-08,12.777
2019-05-09,13.55
2019-05-10,13.55
2019-05-13,13.55
2019-05-14,13.55
2019-05-15,13.55
2019-05-16,13.55
2019-05-17,13.55
2019-05-20,13.55
2019-05-21,13.55
2019-05-22,13.501
2019-05-23,13.501
2019-05-24,13.501
2019-05-27,13.501
2019-05-28,13.163
2019-05-29,13.163
2019-05-30,13.163
2019-05-31,13.163
2019-06-03,12.923
2019-06-04,12.923
