<TICKER>,<DATE>,<CLOSE>
KOM,2007-07-09,39.315
KOM,2007-07-10,39.512
KOM,2007-07-11,41.013
KOM,2007-07-12,42.515
KOM,2007-07-13,47.849
KOM,2007-07-16,47.296
KOM,2007-07-17,44.412
KOM,2007-07-18,41.882
KOM,2007-07-19,42.001
KOM,2007-07-20,42.673
KOM,2007-07-23,41.092
KOM,2007-07-24,39.512
KOM,2007-07-25,38.707
KOM,2007-07-26,39.512
KOM,2007-07-27,39.512
KOM,2007-07-30,40.618
KOM,2007-07-31,41.488
KOM,2007-08-01,40.302
KOM,2007-08-02,41.092
KOM,2007-08-03,41.013
KOM,2007-08-06,38.998
KOM,2007-08-07,38.248
KOM,2007-08-08,37.536
KOM,2007-08-09,36.51
KOM,2007-08-10,34.612
KOM,2007-08-13,34.77
KOM,2007-08-14,34.06
KOM,2007-08-16,30.424
KOM,2007-08-17,31.926
KOM,2007-08-20,33.182
KOM,2007-08-21,33.095
KOM,2007-08-22,32.708
KOM,2007-08-23,33.19
KOM,2007-08-24,32.716
KOM,2007-08-27,32.795
KOM,2007-08-28,34.763
KOM,2007-08-29,34.691
KOM,2007-08-30,34.139
KOM,2007-08-31,35.118
KOM,2007-09-03,35.482
KOM,2007-09-04,35.987
KOM,2007-09-05,35.015
KOM,2007-09-06,35.798
KOM,2007-09-07,35.774
KOM,2007-09-10,35.955
KOM,2007-09-11,37.457
KOM,2007-09-12,37.536
KOM,2007-09-13,37.536
KOM,2007-09-14,37.457
KOM,2007-09-17,37.457
KOM,2007-09-18,37.457
KOM,2007-09-19,38.327
KOM,2007-09-20,39.434
KOM,2007-09-21,39.473
KOM,2007-09-24,40.302
KOM,2007-09-25,40.302
KOM,2007-09-26,39.868
KOM,2007-09-27,39.512
KOM,2007-09-28,37.536
KOM,2007-10-01,37.853
KOM,2007-10-02,37.528
KOM,2007-10-03,37.575
KOM,2007-10-04,37.3
KOM,2007-10-05,37.046
KOM,2007-10-08,38.327
KOM,2007-10-09,38.634
KOM,2007-10-10,37.908
KOM,2007-10-11,37.932
KOM,2007-10-12,38.24
KOM,2007-10-15,38.169
KOM,2007-10-16,37.142
KOM,2007-10-17,37.932
KOM,2007-10-18,38.31
KOM,2007-10-19,39.101
KOM,2007-10-22,39.101
KOM,2007-10-23,38.722
KOM,2007-10-24,39.355
KOM,2007-10-25,39.512
KOM,2007-10-26,39.037
KOM,2007-10-29,40.302
KOM,2007-10-30,39.512
KOM,2007-10-31,40.144
KOM,2007-11-02,40.144
KOM,2007-11-05,39.67
KOM,2007-11-06,39.512
KOM,2007-11-07,38.722
KOM,2007-11-08,36.422
KOM,2007-11-09,36.343
KOM,2007-11-12,35.166
KOM,2007-11-13,35.166
KOM,2007-11-14,35.442
KOM,2007-11-15,33.19
KOM,2007-11-16,32.4
KOM,2007-11-19,32.858
KOM,2007-11-20,33.167
KOM,2007-11-21,31.609
KOM,2007-11-22,32.4
KOM,2007-11-23,32.795
KOM,2007-11-26,32.321
KOM,2007-11-27,32.321
KOM,2007-11-28,32.005
KOM,2007-11-29,32.005
KOM,2007-11-30,32.005
KOM,2007-12-03,32.787
KOM,2007-12-04,31.381
KOM,2007-12-05,32.234
KOM,2007-12-06,31.688
KOM,2007-12-07,30.503
KOM,2007-12-10,31.609
KOM,2007-12-11,31.767
KOM,2007-12-12,31.926
KOM,2007-12-13,31.981
KOM,2007-12-14,31.973
KOM,2007-12-17,32.005
KOM,2007-12-18,31.839
KOM,2007-12-19,31.53
KOM,2007-12-20,30.812
KOM,2007-12-21,30.424
KOM,2007-12-27,30.006
KOM,2007-12-28,30.006
KOM,2008-01-02,33.111
KOM,2008-01-03,32.4
KOM,2008-01-04,31.53
KOM,2008-01-07,30.029
KOM,2008-01-08,29.238
KOM,2008-01-09,29.238
KOM,2008-01-10,29.927
KOM,2008-01-11,28.685
KOM,2008-01-14,27.658
KOM,2008-01-15,27.658
KOM,2008-01-16,27.579
KOM,2008-01-17,26.078
KOM,2008-01-18,29.942
KOM,2008-01-21,29.238
KOM,2008-01-22,29.832
KOM,2008-01-23,28.725
KOM,2008-01-24,30.503
KOM,2008-01-25,31.215
KOM,2008-01-28,29.238
KOM,2008-01-29,31.965
KOM,2008-01-30,30.029
KOM,2008-01-31,30.029
KOM,2008-02-01,30.108
KOM,2008-02-04,29.238
KOM,2008-02-05,29.397
KOM,2008-02-06,28.449
KOM,2008-02-07,31.53
KOM,2008-02-08,29.405
KOM,2008-02-11,31.057
KOM,2008-02-12,30.819
KOM,2008-02-13,30.582
KOM,2008-02-14,30.819
KOM,2008-02-15,30.819
KOM,2008-02-18,30.424
KOM,2008-02-19,30.021
KOM,2008-02-20,30.029
KOM,2008-02-21,29.397
KOM,2008-02-22,29.634
KOM,2008-02-25,29.238
KOM,2008-02-26,29.634
KOM,2008-02-27,29.863
KOM,2008-02-28,30.021
KOM,2008-02-29,30.401
KOM,2008-03-03,29.634
KOM,2008-03-04,30.179
KOM,2008-03-05,30.029
KOM,2008-03-06,29.231
KOM,2008-03-07,29.555
KOM,2008-03-10,30.013
KOM,2008-03-11,28.923
KOM,2008-03-12,28.449
KOM,2008-03-13,29.476
KOM,2008-03-14,29.634
KOM,2008-03-17,28.441
KOM,2008-03-18,28.41
KOM,2008-03-19,27.579
KOM,2008-03-20,29.16
KOM,2008-03-25,28.449
KOM,2008-03-26,28.441
KOM,2008-03-28,28.401
KOM,2008-03-31,27.776
KOM,2008-04-01,28.765
KOM,2008-04-02,29.238
KOM,2008-04-03,29.238
KOM,2008-04-04,29.238
KOM,2008-04-07,29.073
KOM,2008-04-08,29.16
KOM,2008-04-09,28.979
KOM,2008-04-10,30.582
KOM,2008-04-11,30.187
KOM,2008-04-14,30.029
KOM,2008-04-15,29.872
KOM,2008-04-16,29.238
KOM,2008-04-17,30.029
KOM,2008-04-18,30.029
KOM,2008-04-21,30.029
KOM,2008-04-22,29.872
KOM,2008-04-23,30.029
KOM,2008-04-24,30.029
KOM,2008-04-25,29.238
KOM,2008-04-28,27.643
KOM,2008-04-29,27.658
KOM,2008-04-30,28.685
KOM,2008-05-05,29.942
KOM,2008-05-06,29.832
KOM,2008-05-07,28.449
KOM,2008-05-08,29.942
KOM,2008-05-09,28.63
KOM,2008-05-12,29.863
KOM,2008-05-13,30.021
KOM,2008-05-14,29.95
KOM,2008-05-15,29.989
KOM,2008-05-16,29.989
KOM,2008-05-19,29.95
KOM,2008-05-20,29.096
KOM,2008-05-21,30.029
KOM,2008-05-23,30.029
KOM,2008-05-26,29.238
KOM,2008-05-27,28.527
KOM,2008-05-28,28.449
KOM,2008-05-29,28.472
KOM,2008-05-30,28.655
KOM,2008-06-02,28.662
KOM,2008-06-04,28.702
KOM,2008-06-05,28.449
KOM,2008-06-06,28.093
KOM,2008-06-09,29.238
KOM,2008-06-10,28.606
KOM,2008-06-11,27.54
KOM,2008-06-12,29.476
KOM,2008-06-13,27.832
KOM,2008-06-16,28.757
KOM,2008-06-17,27.817
