<DATE>,<CLOSE>
2003-01-15,9.695
2003-01-16,9.2106
2003-01-17,9.2106
2003-02-24,7.1746
2003-02-25,9.1137
2003-02-26,5.6233
2003-03-04,4.8477
2003-03-05,4.8477
2003-03-10,4.8477
2003-03-12,4.8477
2003-03-17,4.8477
2003-03-21,4.8477
2003-03-24,4.8477
2003-03-25,4.8477
2003-03-26,5.0901
2003-03-28,5.0901
2003-03-31,4.8477
2003-04-08,6.7868
2003-04-09,5.8172
2003-04-10,5.8172
2003-04-17,5.5264
2003-04-23,6.7868
2003-04-24,6.6898
2003-04-25,4.8962
2003-05-05,4.8477
2003-05-12,4.8477
2003-05-14,4.8477
2003-05-15,5.5264
2003-05-23,5.3325
2003-05-26,5.8172
2003-05-27,5.3325
2003-05-28,5.8172
2003-05-29,5.8172
2003-06-02,6.9807
2003-06-03,6.7868
2003-06-04,7.2715
2003-06-23,4.8477
2003-06-27,6.7868
2003-07-01,6.7868
2003-07-08,6.7868
2003-07-10,6.205
2003-07-21,8.435
2003-07-24,4.9446
2003-07-25,5.8657
2003-07-28,6.6898
2003-08-01,6.0111
2003-08-05,6.399
2003-08-08,6.302
2003-08-11,6.302
2003-08-12,6.302
2003-08-14,5.8657
2003-08-18,5.9142
2003-08-19,5.8172
2003-08-20,5.8172
2003-08-21,5.8172
2003-08-25,5.8172
2003-09-18,5.9142
2003-09-26,5.9627
2003-09-29,4.9446
2003-10-13,5.8172
2003-10-14,6.0111
2003-10-15,5.8172
2003-10-17,6.302
2003-10-20,6.6898
2003-10-21,6.6898
2003-10-23,7.6109
2003-10-27,6.7868
2003-10-29,7.7563
2003-10-31,7.6109
2003-11-03,7.6109
2003-11-04,7.5624
2003-11-12,7.5624
2003-11-13,7.6109
2003-11-14,7.7078
2003-11-26,6.205
2003-12-01,6.205
2003-12-02,6.9807
2003-12-04,7.2715
2003-12-09,7.7078
2003-12-15,7.5624
2003-12-17,8.1441
2003-12-18,7.5624
2003-12-23,8.2411
2003-12-29,8.6289
2003-12-30,8.6289
2003-12-31,9.1137
2004-01-02,9.1137
2004-01-06,8.7258
2004-01-07,8.7258
2004-01-13,8.7258
2004-01-21,7.9502
2004-01-22,8.7258
2004-01-23,13.574
2004-01-27,9.598
2004-01-30,9.3076
2004-02-02,9.598
2004-02-03,9.598
2004-02-04,9.3076
2004-02-05,9.356
2004-02-06,10.083
2004-02-09,10.083
2004-02-10,10.277
2004-02-11,10.18
2004-02-12,10.132
2004-02-18,10.035
2004-02-24,9.938
2004-02-26,8.8228
2004-02-27,9.55
2004-03-01,8.2411
2004-03-02,9.502
2004-03-03,9.2106
2004-03-04,9.2106
2004-03-05,9.2106
2004-03-08,9.2106
2004-03-09,9.453
2004-03-10,9.2106
2004-03-11,9.2106
2004-03-12,9.0167
2004-03-15,8.7743
2004-03-16,8.8228
2004-03-18,9.0652
2004-03-19,8.9682
2004-03-23,9.0167
2004-03-24,9.0167
2004-03-26,9.1137
2004-03-29,9.55
2004-03-30,10.18
2004-03-31,10.859
2004-04-01,10.277
2004-04-02,10.665
2004-04-05,11.635
2004-04-06,11.635
2004-04-07,12.119
2004-04-08,12.119
2004-04-13,12.022
2004-04-14,12.119
2004-04-15,12.216
2004-04-16,11.828
2004-04-19,11.683
2004-04-20,12.022
2004-04-21,12.119
2004-04-22,12.216
2004-04-23,12.507
2004-04-26,13.574
2004-04-27,14.543
2004-04-28,16.482
2004-04-29,17.452
2004-04-30,17.258
2004-05-04,16.482
2004-05-05,15.513
2004-05-06,16.385
2004-05-07,17.452
2004-05-10,16.967
2004-05-11,16.482
2004-05-12,16.482
2004-05-13,16.482
2004-05-18,15.997
2004-05-19,17.161
2004-05-20,18.809
2004-05-21,18.906
2004-05-24,19.342
2004-05-25,19.391
2004-05-26,21.815
2004-05-27,21.815
2004-05-28,22.299
2004-05-31,23.269
2004-06-01,25.208
2004-06-02,25.693
2004-06-03,25.208
2004-06-04,23.754
2004-06-07,25.208
2004-06-09,21.912
2004-06-11,24.239
2004-06-14,23.269
2004-06-16,23.269
2004-06-17,23.269
2004-06-18,23.269
2004-06-21,22.299
2004-06-23,20.845
2004-06-24,21.815
2004-06-25,21.815
2004-06-29,21.815
2004-06-30,22.106
2004-07-01,22.106
2004-07-02,22.106
2004-07-05,22.009
2004-07-06,21.912
2004-07-07,22.106
2004-07-08,22.009
2004-07-09,22.009
2004-07-12,22.009
2004-07-15,21.621
2004-07-16,20.845
2004-07-19,21.233
2004-07-20,23.269
2004-07-23,23.172
2004-07-26,23.172
2004-07-27,22.784
2004-07-28,23.172
2004-07-29,19.876
2004-07-30,22.687
2004-08-03,22.299
2004-08-04,22.106
2004-08-05,22.299
2004-08-06,22.299
2004-08-10,22.202
2004-08-11,20.36
2004-08-12,19.391
2004-08-13,19.391
2004-08-16,19.391
2004-08-17,19.391
2004-08-18,19.391
2004-08-19,19.391
2004-08-20,21.136
2004-08-23,20.942
2004-08-24,19.245
2004-08-25,18.421
2004-08-26,19.245
2004-08-27,17.452
2004-08-30,19.245
2004-08-31,19.391
2004-09-01,19.391
2004-09-02,19.488
2004-09-03,19.245
2004-09-06,18.518
2004-09-07,19.197
2004-09-08,19.1
2004-09-09,19.391
2004-09-10,18.615
2004-09-13,17.452
2004-09-14,17.452
2004-09-15,16.482
2004-09-16,14.543
2004-09-17,15.27
2004-09-20,15.513
2004-09-21,16.337
2004-09-23,15.513
2004-09-24,16.725
2004-09-28,16.531
2004-09-29,16.385
2004-09-30,16.434
2004-10-01,16.434
2004-10-05,17.258
2004-10-07,17.064
2004-10-12,16.967
2004-10-14,15.61
2004-10-15,16.191
2004-10-18,15.707
2004-10-19,16.482
2004-10-20,16.482
2004-10-21,16.482
2004-10-22,15.513
2004-10-25,16.434
2004-10-26,16.434
2004-10-29,15.125
2004-11-02,15.513
2004-11-03,16.967
2004-11-05,15.222
2004-11-08,14.931
2004-11-09,15.9
2004-11-12,14.931
2004-11-15,15.319
2004-11-17,14.931
2004-11-19,16.482
2004-11-22,17.743
2004-11-23,17.937
2004-11-24,17.209
2004-11-25,18.761
2004-11-26,18.421
2004-11-30,17.84
2004-12-01,18.324
2004-12-02,18.227
2004-12-03,18.13
2004-12-07,18.13
2004-12-14,16.579
2004-12-15,17.888
2004-12-16,18.858
2004-12-20,17.743
2004-12-21,17.064
2004-12-22,18.712
2004-12-23,18.712
2004-12-27,18.712
2005-01-05,18.13
2005-01-06,18.227
2005-01-11,18.421
2005-01-12,17.597
2005-01-13,18.082
2005-01-14,18.082
2005-01-17,16.773
2005-01-18,17.84
2005-01-19,17.646
2005-01-20,17.646
2005-01-21,17.646
2005-01-24,16.482
2005-01-25,17.403
2005-01-26,16.385
2005-01-27,17.403
2005-01-28,16.482
2005-01-31,17.306
2005-02-01,16.773
2005-02-02,16.482
2005-02-03,16.482
2005-02-04,16.482
2005-02-09,15.997
2005-02-14,17.355
2005-02-15,17.306
2005-02-17,17.355
2005-02-18,17.452
2005-02-21,18.082
2005-02-22,17.985
2005-02-23,17.985
2005-02-24,18.082
2005-02-25,17.355
2005-02-28,17.937
2005-03-03,18.615
2005-03-04,17.646
2005-03-07,17.452
2005-03-08,18.615
2005-03-11,17.452
2005-03-14,17.937
2005-03-15,16.676
2005-03-16,17.452
2005-03-17,17.888
2005-03-18,17.646
2005-03-21,17.452
2005-03-22,17.937
2005-03-23,18.324
2005-03-24,18.227
2005-03-29,18.276
2005-03-30,17.937
2005-03-31,17.84
2005-04-01,17.937
2005-04-04,18.906
2005-04-05,18.421
2005-04-06,18.615
2005-04-07,18.421
2005-04-12,18.373
2005-04-13,18.227
2005-04-14,18.227
2005-04-18,17.355
2005-04-19,16.967
2005-04-20,16.967
2005-04-21,17.937
2005-04-22,17.743
2005-04-25,16.482
2005-04-26,17.743
2005-04-27,17.258
2005-05-04,17.452
2005-05-06,17.355
2005-05-09,16.531
2005-05-10,17.452
2005-05-11,17.403
2005-05-12,17.403
2005-05-13,17.403
2005-05-18,16.482
2005-05-19,16.482
2005-05-20,16.385
2005-05-23,17.209
2005-05-24,17.549
2005-05-25,18.858
2005-05-27,19.391
2005-05-30,20.07
2005-05-31,21.233
2005-06-01,21.718
2005-06-02,20.166
2005-06-03,19.391
2005-06-06,19.876
2005-06-07,21.136
2005-06-08,20.166
2005-06-09,22.202
2005-06-10,21.136
2005-06-13,21.233
2005-06-14,20.36
2005-06-16,20.07
2005-06-23,19.391
2005-06-24,19.391
2005-06-27,21.233
2005-06-29,20.36
2005-06-30,19.488
2005-07-01,20.36
2005-07-04,20.36
2005-07-06,19.391
2005-07-07,19.391
2005-07-08,18.13
2005-07-11,19.682
2005-07-13,18.421
2005-07-14,18.421
2005-07-15,17.452
2005-07-18,17.597
2005-07-20,17.937
2005-07-21,17.937
2005-07-22,17.937
2005-07-25,17.937
2005-07-29,18.712
2005-08-01,17.452
2005-08-04,18.421
2005-08-05,17.549
2005-08-08,17.015
2005-08-10,16.482
2005-08-11,16.531
2005-08-12,16.385
2005-08-16,17.403
2005-08-19,16.482
2005-08-24,16.288
2005-08-25,16.434
2005-08-26,16.046
2005-08-29,15.513
2005-08-30,15.513
2005-09-01,15.755
2005-09-02,15.513
2005-09-07,15.707
2005-09-12,15.561
2005-09-13,16.046
2005-09-15,16.385
2005-09-23,18.033
2005-09-28,18.033
2005-09-29,17.306
2005-10-12,16.628
2005-10-24,15.513
2005-10-25,15.513
2005-11-03,15.513
2005-11-07,14.882
2005-11-14,14.107
2005-11-16,14.107
2005-11-23,13.234
2005-11-24,13.089
2005-11-25,13.961
2005-11-28,14.931
2005-12-06,12.119
2005-12-12,12.313
2005-12-15,12.41
2005-12-19,12.604
2005-12-20,12.653
2005-12-21,12.943
2005-12-27,13.574
2005-12-28,13.089
2005-12-30,13.137
2006-01-02,13.574
2006-01-03,14.543
2006-01-04,13.574
2006-01-05,14.204
2006-01-09,14.204
2006-01-11,13.137
2006-01-12,12.749
2006-01-13,12.604
2006-01-16,14.058
2006-01-17,12.604
2006-01-18,13.574
2006-01-19,12.604
2006-01-20,13.525
2006-01-23,12.604
2006-01-25,13.574
2006-02-06,14.737
2006-02-07,14.543
2006-02-09,14.737
2006-02-10,14.543
2006-02-13,15.513
2006-02-15,13.622
2006-02-16,12.653
2006-02-17,13.525
2006-02-24,12.604
2006-02-28,14.107
2006-03-02,13.089
2006-03-09,12.604
2006-03-10,12.119
2006-03-16,12.119
2006-03-20,12.216
2006-03-22,12.216
2006-03-24,12.362
2006-03-27,12.604
2006-03-28,12.604
2006-04-03,12.604
2006-04-11,14.058
2006-04-13,16.967
2006-04-21,13.234
2006-04-27,14.058
2006-05-02,14.252
2006-05-08,12.313
2006-05-10,13.477
2006-05-12,13.864
2006-05-18,13.186
2006-05-23,13.574
2006-05-24,13.574
2006-05-25,13.767
2006-05-26,13.816
2006-06-02,14.543
2006-06-07,14.543
2006-06-08,15.028
2006-06-12,13.574
2006-06-13,13.574
2006-06-14,13.04
2006-06-19,13.089
2006-06-22,14.543
2006-06-26,14.543
2006-06-30,14.543
2006-07-04,14.543
2006-07-07,14.64
2006-07-10,14.64
2006-07-21,14.543
2006-08-03,13.864
2006-08-07,15.028
2006-08-08,15.028
2006-08-10,14.543
2006-08-17,14.737
2006-08-18,14.543
2006-08-21,14.834
2006-08-23,14.834
2006-08-24,15.028
2006-08-28,14.543
2006-08-30,15.028
2006-08-31,15.513
2006-09-01,16.482
2006-09-05,18.033
2006-09-07,16.967
2006-09-08,16.967
2006-09-11,16.967
2006-09-12,16.967
2006-09-18,15.997
2006-09-19,15.513
2006-09-28,16.967
2006-10-03,15.513
2006-10-10,17.258
2006-10-11,16.482
2006-10-12,16.967
2006-10-13,15.658
2006-10-16,18.373
2006-10-18,18.421
2006-10-19,16.87
2006-10-20,16.919
2006-10-23,16.967
2006-10-26,17.452
2006-10-30,18.906
2006-10-31,19.391
2006-11-02,19.391
2006-11-06,19.391
2006-11-07,22.106
2006-11-08,19.391
2006-11-09,19.391
2006-11-15,18.421
2006-11-16,19.391
2006-11-17,19.779
2006-11-20,19.779
2006-11-21,19.779
2006-11-23,18.567
2006-11-24,17.743
2006-11-27,18.906
2006-11-29,17.888
2006-11-30,17.985
2006-12-06,18.421
2006-12-07,18.809
2006-12-08,20.263
2006-12-11,22.881
2006-12-12,23.269
