<DATE>,<CLOSE>
2011-04-12,5.9602
2011-04-13,5.9542
2011-04-14,5.8486
2011-04-15,5.8075
2011-04-18,5.8661
2011-04-19,5.9777
2011-04-20,5.9249
2011-04-21,5.9953
2011-04-26,6.2534
2011-04-27,6.5468
2011-04-28,6.5936
2011-04-29,6.5526
2011-05-02,6.488
2011-05-04,6.5408
2011-05-05,6.576
2011-05-06,6.6463
2011-05-09,6.5996
2011-05-10,6.5996
2011-05-11,6.5936
2011-05-12,6.6169
2011-05-13,6.5878
2011-05-16,6.5408
2011-05-17,6.4529
2011-05-18,6.6287
2011-05-19,6.8284
2011-05-20,6.8462
2011-05-23,6.7462
2011-05-24,6.752
2011-05-25,6.6876
2011-05-26,6.6757
2011-05-27,6.5996
2011-05-30,6.705
2011-05-31,6.5114
2011-06-01,6.5702
2011-06-02,6.5996
2011-06-03,6.6287
2011-06-06,6.5114
2011-06-07,6.447
2011-06-08,6.5408
2011-06-09,6.4529
2011-06-10,6.4529
2011-06-13,6.447
2011-06-14,6.3884
2011-06-15,6.3355
2011-06-16,6.2182
2011-06-17,6.0597
2011-06-20,5.9777
2011-06-21,5.8661
2011-06-22,5.8661
2011-06-24,5.79
2011-06-27,5.8603
2011-06-28,5.6902
2011-06-29,5.8603
2011-06-30,5.8311
2011-07-01,5.8486
2011-07-04,5.8486
2011-07-05,5.7488
2011-07-06,5.7488
2011-07-07,5.7431
2011-07-08,5.7077
2011-07-11,5.7371
2011-07-12,5.6962
2011-07-13,5.7137
2011-07-14,5.6139
2011-07-15,5.5669
2011-07-18,5.2795
2011-07-19,5.0743
2011-07-20,5.0978
2011-07-21,5.0978
2011-07-22,5.1155
2011-07-25,5.0156
2011-07-26,4.9862
2011-07-27,5.0156
2011-07-28,5.0156
2011-07-29,4.8103
2011-08-01,4.5346
2011-08-02,4.6872
2011-08-03,4.6285
2011-08-04,4.3998
2011-08-05,4.3998
2011-08-08,4.2473
2011-08-09,3.5784
2011-08-10,3.5784
2011-08-11,3.6957
2011-08-12,3.989
2011-08-16,4.3879
2011-08-17,4.3527
2011-08-18,4.1356
2011-08-19,4.0946
2011-08-22,3.989
2011-08-23,3.8129
2011-08-24,3.8129
2011-08-25,3.8129
2011-08-26,3.8129
2011-08-29,3.5491
2011-08-30,3.6371
2011-08-31,3.5373
2011-09-01,3.5197
2011-09-02,3.2851
2011-09-05,3.0622
2011-09-06,2.9917
2011-09-07,3.2207
2011-09-08,3.2264
2011-09-09,3.6663
2011-09-12,3.461
2011-09-13,3.4553
2011-09-14,3.4553
2011-09-15,3.6957
2011-09-16,3.7132
2011-09-19,3.7073
2011-09-21,3.461
2011-09-22,3.5726
2011-09-23,3.6078
2011-09-26,3.4083
2011-09-27,3.3966
2011-09-29,3.2558
2011-09-30,3.2264
2011-10-03,3.1384
2011-10-04,3.2441
2011-10-05,3.2264
2011-10-06,3.0562
2011-10-07,3.1091
2011-10-10,3.115
2011-10-11,3.1209
2011-10-12,3.1443
2011-10-13,3.1679
2011-10-14,3.2323
2011-10-17,3.2616
2011-10-18,3.2616
2011-10-19,3.2558
2011-10-20,3.2558
2011-10-21,3.2851
2011-10-24,3.3438
2011-10-25,3.6371
2011-10-26,3.4083
2011-10-27,3.7426
2011-10-28,3.7426
2011-10-31,3.7426
2011-11-02,3.4727
2011-11-03,3.5666
2011-11-04,3.5726
2011-11-07,3.5843
2011-11-08,3.6899
2011-11-09,3.2851
2011-11-10,3.6078
2011-11-14,3.6078
2011-11-15,3.6019
2011-11-16,3.6019
2011-11-17,3.5197
2011-11-18,3.6078
2011-11-23,3.5197
2011-11-25,3.5138
2011-11-29,3.5197
2011-11-30,3.5184
2011-12-01,3.4905
2011-12-02,3.5197
2011-12-05,3.5079
2011-12-06,3.461
2011-12-07,3.461
2011-12-08,3.5197
2011-12-09,3.6663
2011-12-12,3.6957
2011-12-13,3.6957
2011-12-14,3.5138
2011-12-15,3.461
2011-12-16,3.5726
2011-12-19,3.4963
2011-12-20,3.4492
2011-12-21,3.4025
2011-12-22,3.2323
2011-12-23,3.3848
2011-12-27,3.1384
2011-12-28,3.1384
2011-12-29,3.1384
2011-12-30,3.3242
2012-01-02,3.5021
2012-01-03,3.8129
2012-01-04,3.6078
2012-01-05,3.5491
2012-01-09,3.461
2012-01-10,3.5138
2012-01-11,3.5138
2012-01-12,3.461
2012-01-13,3.3202
2012-01-16,3.5197
2012-01-17,3.6839
2012-01-18,3.5491
2012-01-19,3.5315
2012-01-20,3.5784
2012-01-23,3.4963
2012-01-24,3.5491
2012-01-25,3.6078
2012-01-26,3.6371
2012-01-27,3.6957
2012-01-30,3.5784
2012-01-31,3.646
2012-02-01,3.6663
2012-02-02,3.5784
2012-02-03,3.5784
2012-02-06,3.5784
2012-02-07,3.6371
2012-02-08,3.7838
2012-02-09,3.8658
2012-02-10,3.7544
2012-02-13,3.9009
2012-02-14,4.0476
2012-02-15,4.2412
2012-02-16,4.2647
2012-02-17,4.3
2012-02-20,4.3117
2012-02-21,4.218
2012-02-22,4.165
2012-02-23,4.3702
2012-02-24,4.6166
2012-02-27,4.6344
2012-02-28,4.4819
2012-02-29,4.5774
2012-03-01,4.9275
2012-03-02,4.9862
2012-03-05,4.7927
2012-03-06,4.7927
2012-03-07,4.7809
2012-03-08,4.9335
2012-03-09,4.9275
2012-03-12,4.9275
2012-03-13,4.8983
2012-03-14,5.0156
2012-03-15,4.9275
2012-03-16,4.8513
2012-03-19,4.9275
2012-03-20,4.693
