<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1997-02-10,35.852,35.852,35.852,35.852
1997-02-11,28.248,28.248,28.248,28.248
1997-02-12,22.013,22.013,22.013,22.013
1997-02-13,24.906,24.906,24.906,24.906
1997-02-14,27.464,27.464,27.464,27.464
1997-02-17,31.164,31.164,31.164,31.164
1997-02-18,29.15,29.15,29.15,29.15
1997-02-19,27.843,27.843,27.843,27.843
1997-02-20,27.541,27.541,27.541,27.541
1997-02-21,27.225,27.225,27.225,27.225
1997-02-24,27.252,27.252,27.252,27.252
1997-02-25,27.244,27.244,27.244,27.244
1997-02-26,27.046,27.046,27.046,27.046
1997-02-27,27.065,27.065,27.065,27.065
1997-02-28,28.36,28.36,28.36,28.36
1997-03-03,27.835,27.835,27.835,27.835
1997-03-04,26.887,26.887,26.887,26.887
1997-03-05,25.952,25.952,25.952,25.952
1997-03-06,25.869,25.869,25.869,25.869
1997-03-07,25.533,25.533,25.533,25.533
1997-03-10,25.327,25.327,25.327,25.327
1997-03-11,25.176,25.176,25.176,25.176
1997-03-12,25.355,25.355,25.355,25.355
1997-03-13,25.306,25.306,25.306,25.306
1997-03-14,25.258,25.258,25.258,25.258
1997-03-17,25.052,25.052,25.052,25.052
1997-03-18,24.515,24.515,24.515,24.515
1997-03-19,24.4,24.4,24.4,24.4
1997-03-20,24.247,24.247,24.247,24.247
1997-03-21,23.6,23.6,23.6,23.6
1997-03-24,23.305,23.305,23.305,23.305
1997-03-25,22.811,22.811,22.811,22.811
1997-03-26,22.135,22.135,22.135,22.135
1997-03-27,22.873,22.873,22.873,22.873
1997-03-28,22.639,22.639,22.639,22.639
1997-04-01,22.439,22.439,22.439,22.439
1997-04-02,23.045,23.045,23.045,23.045
1997-04-03,24.963,24.963,24.963,24.963
1997-04-04,24.358,24.358,24.358,24.358
1997-04-07,23.271,23.271,23.271,23.271
1997-04-08,23.835,23.835,23.835,23.835
1997-04-09,23.876,23.876,23.876,23.876
1997-04-10,23.733,23.733,23.733,23.733
1997-04-11,24.344,24.344,24.344,24.344
1997-04-14,24.151,24.151,24.151,24.151
1997-04-15,23.937,23.937,23.937,23.937
1997-04-16,23.821,23.821,23.821,23.821
1997-04-17,24.358,24.358,24.358,24.358
1997-04-18,24.289,24.289,24.289,24.289
1997-04-21,24.035,24.035,24.035,24.035
1997-04-22,23.828,23.828,23.828,23.828
1997-04-23,23.93,23.93,23.93,23.93
1997-04-24,24.013,24.013,24.013,24.013
1997-04-25,24.096,24.096,24.096,24.096
1997-04-28,23.821,23.821,23.821,23.821
1997-04-29,23.691,23.691,23.691,23.691
1997-04-30,23.767,23.767,23.767,23.767
1997-05-05,23.753,23.753,23.753,23.753
1997-05-06,23.759,23.759,23.759,23.759
1997-05-07,23.876,23.876,23.876,23.876
1997-05-08,24.413,24.413,24.413,24.413
1997-05-09,24.894,24.894,24.894,24.894
1997-05-12,24.171,24.171,24.171,24.171
1997-05-13,23.869,23.869,23.869,23.869
1997-05-14,23.759,23.759,23.759,23.759
1997-05-15,23.298,23.298,23.298,23.298
1997-05-16,23.347,23.347,23.347,23.347
1997-05-19,23.216,23.216,23.216,23.216
1997-05-20,23.32,23.32,23.32,23.32
1997-05-21,23.724,23.724,23.724,23.724
1997-05-22,23.691,23.691,23.691,23.691
1997-05-23,23.759,23.759,23.759,23.759
1997-05-26,23.669,23.669,23.669,23.669
1997-05-27,23.629,23.629,23.629,23.629
1997-05-28,23.291,23.291,23.291,23.291
1997-05-29,23.767,23.767,23.767,23.767
1997-05-30,23.683,23.683,23.683,23.683
1997-06-02,23.223,23.223,23.223,23.223
1997-06-03,23.382,23.382,23.382,23.382
1997-06-04,23.341,23.341,23.341,23.341
1997-06-05,23.154,23.154,23.154,23.154
1997-06-06,22.543,22.543,22.543,22.543
1997-06-09,22.487,22.487,22.487,22.487
1997-06-10,22.502,22.502,22.502,22.502
1997-06-11,22.096,22.096,22.096,22.096
1997-06-12,21.876,21.876,21.876,21.876
1997-06-13,21.455,21.455,21.455,21.455
1997-06-16,21.174,21.174,21.174,21.174
1997-06-17,21.14,21.14,21.14,21.14
1997-06-18,21.113,21.113,21.113,21.113
1997-06-19,21.758,21.758,21.758,21.758
1997-06-20,21.931,21.931,21.931,21.931
1997-06-23,22.116,22.116,22.116,22.116
1997-06-24,22.122,22.122,22.122,22.122
1997-06-26,22.543,22.543,22.543,22.543
1997-06-27,23.525,23.525,23.525,23.525
1997-06-30,24.323,24.323,24.323,24.323
1997-07-01,27.169,27.169,27.169,27.169
1997-07-02,31.817,31.817,31.817,31.817
1997-07-03,30.998,30.998,30.998,30.998
1997-07-04,32.682,32.682,32.682,32.682
1997-07-07,31.239,31.239,31.239,31.239
1997-07-08,29.329,29.329,29.329,29.329
1997-07-09,30.353,30.353,30.353,30.353
1997-07-10,32.332,32.332,32.332,32.332
1997-07-11,32.924,32.924,32.924,32.924
1997-07-14,33.857,33.857,33.857,33.857
1997-07-15,34.854,34.854,34.854,34.854
1997-07-16,34.332,34.332,34.332,34.332
1997-07-17,33.885,33.885,33.885,33.885
1997-07-18,33.707,33.707,33.707,33.707
1997-07-21,33.624,33.624,33.624,33.624
1997-07-22,33.72,33.72,33.72,33.72
1997-07-23,33.72,33.72,33.72,33.72
1997-07-24,34.174,34.174,34.174,34.174
1997-07-25,34.93,34.93,34.93,34.93
1997-07-28,35.68,35.68,35.68,35.68
1997-07-29,35.59,35.59,35.59,35.59
1997-07-30,35.462,35.462,35.462,35.462
