<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2011-05-10,36.869,38.844,36.258,38.668
2011-05-11,38.574,38.574,38.018,38.018
2011-05-12,37.731,38.473,36.925,38.01
2011-05-13,37.639,37.714,37.454,37.574
2011-05-16,37.592,37.917,37.528,37.816
2011-05-17,37.731,37.807,37.454,37.463
2011-05-18,37.545,37.667,37.463,37.545
2011-05-19,37.545,37.602,36.572,37.592
2011-05-20,37.621,37.621,37.295,37.545
2011-05-23,37.555,37.555,37.286,37.362
2011-05-24,37.082,37.545,36.712,37.545
2011-05-25,37.454,38.01,37.454,38.01
2011-05-26,37.778,38.381,37.731,37.731
2011-05-27,37.463,37.824,37.463,37.778
2011-05-30,37.509,37.639,37.176,37.185
2011-05-31,37.119,38.641,37.074,38.435
2011-06-01,38.435,38.435,37.545,38.334
2011-06-02,38.288,38.288,37.545,38.186
2011-06-03,37.592,38.148,37.545,37.592
2011-06-06,37.463,38.01,37.268,38.01
2011-06-07,37.545,38.01,37.545,38.01
2011-06-08,37.545,38.01,37.545,38.01
2011-06-09,37.824,37.824,37.545,37.545
2011-06-10,37.454,37.545,37.176,37.545
2011-06-13,37.454,37.639,37.454,37.592
2011-06-14,37.119,37.37,37.119,37.37
2011-06-15,37.092,37.545,37.092,37.528
2011-06-16,35.414,37.129,35.414,37.082
2011-06-17,36.943,37.082,36.526,37.082
2011-06-20,35.692,37.082,35.692,36.804
2011-06-21,36.619,37.082,36.619,36.804
2011-06-22,36.629,37.537,36.629,37.082
2011-06-24,37.074,37.268,36.907,37.082
2011-06-27,37.009,37.176,36.99,37.082
2011-06-28,36.341,37.082,36.341,37.082
2011-06-29,36.99,37.268,36.99,37.268
2011-06-30,37.545,37.545,37.082,37.545
2011-07-01,38.01,39.818,38.01,39.687
2011-07-04,39.633,40.327,39.633,40.327
2011-07-05,40.467,40.512,39.883,40.141
2011-07-06,40.013,40.141,39.122,40.141
2011-07-07,40.141,40.605,39.531,40.327
2011-07-08,40.141,40.56,38.983,38.983
2011-07-11,38.956,39.77,38.909,39.029
2011-07-12,39.604,39.604,36.693,38.919
2011-07-13,38.01,39.4,38.01,38.936
2011-07-14,38.111,38.927,38.111,38.919
2011-07-15,38.919,38.919,38.473,38.751
2011-07-18,38.12,38.12,37.545,37.917
2011-07-19,37.731,37.917,37.1,37.545
2011-07-20,37.545,37.87,37.203,37.213
2011-07-21,37.454,37.454,36.629,37.082
2011-07-22,37.092,37.87,37.092,37.87
2011-07-25,37.982,37.982,37.362,37.964
2011-07-26,37.972,38.465,37.824,38.01
2011-07-27,38.01,38.196,37.545,37.545
2011-07-28,37.545,37.545,36.804,37.176
2011-07-29,37.74,37.74,37,37.731
2011-08-01,37.092,37.315,36.517,36.619
2011-08-02,36.943,36.943,36.526,36.526
2011-08-03,36.898,36.898,34.764,35.785
2011-08-04,34.301,36.063,34.301,34.486
2011-08-05,29.666,34.764,29.666,34.117
2011-08-08,31.613,33.838,31.521,32.354
2011-08-09,31.521,31.567,28.47,31.057
2011-08-10,31.891,32.447,28.841,29.666
2011-08-11,30.129,31.521,29.388,31.521
2011-08-12,32.865,33.281,31.984,33.124
2011-08-16,34.117,34.117,31.799,32.818
2011-08-17,33.995,33.995,32.447,32.447
2011-08-18,32.429,33.217,30.778,30.778
2011-08-19,30.778,32.067,30.778,32.049
2011-08-22,32.447,33.004,31.984,32.912
2011-08-23,33.095,33.095,32.447,32.447
2011-08-24,32.262,32.447,32.262,32.447
2011-08-25,32.539,33.375,32.539,32.912
2011-08-26,33.689,33.689,32.912,33.375
2011-08-29,33.745,34.117,32.912,34.117
2011-08-30,34.117,34.117,33.745,33.931
2011-08-31,35.061,36.434,34.117,34.95
2011-09-01,35.692,35.692,33.375,34.755
2011-09-02,34.07,34.774,34.07,34.645
2011-09-05,33.838,34.301,33.095,34.301
2011-09-06,34.282,34.579,33.931,34.579
2011-09-07,34.579,35.191,34.534,34.858
2011-09-08,37.082,37.082,36.294,37.082
2011-09-09,37.064,37.176,35.247,36.712
2011-09-12,36.712,36.712,34.905,35.32
2011-09-13,35.32,36.165,34.764,35.228
2011-09-14,35.228,35.32,35.228,35.228
2011-09-15,35.971,35.971,35.608,35.654
2011-09-16,35.237,36.601,35.237,36.572
2011-09-19,36.619,36.619,35.507,36.249
2011-09-20,36.249,36.804,36.249,36.804
2011-09-21,36.619,37.88,36.619,37.454
2011-09-22,37.082,37.082,36.294,36.434
2011-09-23,35.525,36.934,35.525,35.971
2011-09-26,36.619,37.378,36.323,37.378
2011-09-27,37.362,38.936,37.362,38.473
2011-09-28,38.566,40.058,38.566,39.956
2011-09-29,39.863,40.67,39.863,40.67
2011-09-30,39.4,41.087,39.4,39.863
2011-10-03,39.863,39.863,38.104,39.112
