<DATE>,<CLOSE>
1997-01-03,11.13
1997-01-06,11.13
1997-01-07,11.176
1997-01-08,11.613
1997-01-09,12.097
1997-01-10,12.58
1997-01-13,12.821
1997-01-14,12.58
1997-01-15,12.097
1997-01-16,12.097
1997-01-17,12.097
1997-01-20,11.613
1997-01-21,11.613
1997-01-22,11.372
1997-01-23,11.372
1997-01-24,11.613
1997-01-27,11.13
1997-01-28,10.256
1997-01-29,10.648
1997-01-30,10.648
1997-01-31,10.595
1997-02-03,11.13
1997-02-04,11.13
1997-02-05,11.032
1997-02-06,11.13
1997-02-07,11.372
1997-02-10,11.32
1997-02-11,11.13
1997-02-12,11.032
1997-02-13,10.648
1997-02-14,10.838
1997-02-17,10.55
1997-02-18,10.453
1997-02-19,10.21
1997-02-20,10.159
1997-02-21,10.648
1997-02-24,10.981
1997-02-25,11.613
1997-02-26,12.58
1997-02-27,12.097
1997-02-28,12.58
1997-03-03,12.58
1997-03-04,13.16
1997-03-05,13.551
1997-03-06,13.551
1997-03-07,13.551
1997-03-10,13.304
1997-03-11,13.16
1997-03-12,13.016
1997-03-13,12.58
1997-03-14,11.855
1997-03-17,11.855
1997-03-18,11.711
1997-03-19,11.372
1997-03-20,11.176
1997-03-21,11.372
1997-03-24,11.468
1997-03-25,11.757
1997-03-26,11.809
1997-03-27,11.999
1997-04-01,11.613
1997-04-02,11.659
1997-04-03,11.613
1997-04-04,11.516
1997-04-07,11.659
1997-04-08,11.613
1997-04-09,11.613
1997-04-10,11.613
1997-04-11,11.711
1997-04-14,11.711
1997-04-15,11.809
1997-04-16,12.097
1997-04-17,12.097
1997-04-18,11.809
1997-04-21,12.097
1997-04-22,12.294
1997-04-23,12.533
1997-04-24,12.58
1997-04-25,12.143
1997-04-28,11.999
1997-04-29,11.855
1997-04-30,12.481
1997-05-05,12.676
1997-05-06,12.821
1997-05-07,12.242
1997-05-08,12.195
1997-05-09,12.676
1997-05-12,12.631
1997-05-13,12.631
1997-05-14,12.631
1997-05-15,12.821
1997-05-16,12.58
1997-05-19,12.481
1997-05-20,12.339
1997-05-21,12.195
1997-05-22,12.097
1997-05-23,11.953
1997-05-26,11.999
1997-05-27,11.855
1997-05-28,11.902
1997-05-30,12.533
1997-06-02,12.722
1997-06-03,12.58
1997-06-04,12.391
1997-06-05,12.58
1997-06-06,12.722
1997-06-09,12.821
1997-06-10,12.676
1997-06-11,12.919
1997-06-12,13.16
1997-06-13,14.466
1997-06-16,14.033
1997-06-17,13.792
1997-06-18,13.5
1997-06-19,13.304
1997-06-20,13.114
1997-06-23,13.016
1997-06-24,12.722
1997-06-25,13.063
1997-06-26,13.063
1997-06-27,13.792
1997-06-30,13.5
1997-07-01,12.391
1997-07-02,12.821
1997-07-03,12.631
1997-07-04,13.063
1997-07-07,12.919
1997-07-08,13.114
1997-07-09,14.033
1997-07-10,13.792
1997-07-11,14.033
1997-07-14,13.212
1997-07-15,13.063
1997-07-16,13.694
1997-07-17,14.08
1997-07-18,14.033
1997-07-21,14.517
1997-07-22,14.517
1997-07-23,15.439
1997-07-24,14.517
1997-07-25,13.304
1997-07-28,12.872
1997-07-29,12.58
1997-07-30,12.58
1997-07-31,12.775
1997-08-01,12.195
1997-08-04,12.097
1997-08-05,11.711
1997-08-06,11.613
