<TICKER>,<DATE>,<CLOSE>
LEN,2005-06-01,3.5673
LEN,2005-06-02,3.924
LEN,2005-06-03,3.829
LEN,2005-06-06,3.829
LEN,2005-06-07,3.805
LEN,2005-06-08,3.8526
LEN,2005-06-09,3.9715
LEN,2005-06-10,4.1381
LEN,2005-06-13,4.1381
LEN,2005-06-14,3.9954
LEN,2005-06-15,4.0666
LEN,2005-06-16,4.0429
LEN,2005-06-17,4.0666
LEN,2005-06-20,4.0429
LEN,2005-06-21,3.9954
LEN,2005-06-22,3.9715
LEN,2005-06-23,3.9715
LEN,2005-06-27,3.9479
LEN,2005-06-28,3.924
LEN,2005-06-29,3.8526
LEN,2005-06-30,3.9002
LEN,2005-07-01,3.8764
LEN,2005-07-04,3.9002
LEN,2005-07-06,3.8764
LEN,2005-07-07,3.9002
LEN,2005-07-08,3.9002
LEN,2005-07-11,3.9002
LEN,2005-07-12,3.829
LEN,2005-07-13,3.8526
LEN,2005-07-14,3.8526
LEN,2005-07-15,3.8526
LEN,2005-07-18,3.8526
LEN,2005-07-19,3.8764
LEN,2005-07-20,4.0429
LEN,2005-07-21,4.0429
LEN,2005-07-22,4.0191
LEN,2005-07-25,4.0666
LEN,2005-07-26,3.9954
LEN,2005-07-27,3.9954
LEN,2005-07-28,3.924
LEN,2005-07-29,3.9479
LEN,2005-08-01,4.1381
LEN,2005-08-02,4.1381
LEN,2005-08-03,4.0905
LEN,2005-08-04,4.257
LEN,2005-08-05,4.2094
LEN,2005-08-08,4.2094
LEN,2005-08-10,4.1857
LEN,2005-08-12,4.0191
LEN,2005-08-16,3.924
LEN,2005-08-17,4.0429
LEN,2005-08-18,4.0429
LEN,2005-08-19,3.9954
LEN,2005-08-22,3.924
LEN,2005-08-23,3.924
LEN,2005-08-24,3.924
LEN,2005-08-25,3.924
LEN,2005-08-26,3.9002
LEN,2005-08-29,3.829
LEN,2005-08-30,4.1142
LEN,2005-08-31,4.1142
LEN,2005-09-01,4.0429
LEN,2005-09-02,4.0191
LEN,2005-09-06,4.0429
LEN,2005-09-07,3.9954
LEN,2005-09-08,4.0429
LEN,2005-09-09,3.805
LEN,2005-09-12,3.805
LEN,2005-09-13,3.829
LEN,2005-09-16,3.805
LEN,2005-09-19,3.829
LEN,2005-09-20,3.7813
LEN,2005-09-21,3.805
LEN,2005-09-23,3.805
LEN,2005-09-26,3.8526
LEN,2005-09-27,3.9715
LEN,2005-09-28,4.1142
LEN,2005-09-29,3.8764
LEN,2005-09-30,4.0429
LEN,2005-10-03,3.9002
LEN,2005-10-04,3.9002
LEN,2005-10-05,3.8764
LEN,2005-10-06,3.7813
LEN,2005-10-07,3.7337
LEN,2005-10-10,3.7813
LEN,2005-10-11,3.7101
LEN,2005-10-12,3.7101
LEN,2005-10-13,3.5911
LEN,2005-10-14,3.6862
LEN,2005-10-17,3.6862
LEN,2005-10-19,3.5673
LEN,2005-10-20,3.6862
LEN,2005-10-21,3.7337
LEN,2005-10-25,3.7813
LEN,2005-10-26,3.805
LEN,2005-10-27,3.805
LEN,2005-10-28,3.6624
LEN,2005-10-31,3.7101
LEN,2005-11-02,3.9002
LEN,2005-11-03,3.8526
LEN,2005-11-04,3.924
LEN,2005-11-07,3.6387
LEN,2005-11-08,3.7101
LEN,2005-11-14,3.6862
LEN,2005-11-15,3.5911
LEN,2005-11-16,3.5911
LEN,2005-11-17,3.5673
LEN,2005-11-18,3.5196
LEN,2005-11-21,3.5196
LEN,2005-11-22,3.5196
LEN,2005-11-23,3.6148
LEN,2005-11-24,3.5673
LEN,2005-11-25,3.6148
LEN,2005-11-28,3.7337
LEN,2005-11-29,3.7576
LEN,2005-11-30,3.7576
LEN,2005-12-01,3.7576
LEN,2005-12-02,3.7576
LEN,2005-12-05,3.7813
LEN,2005-12-06,3.8526
LEN,2005-12-07,4.0429
LEN,2005-12-08,3.8764
LEN,2005-12-09,3.9002
LEN,2005-12-12,3.8764
LEN,2005-12-13,3.805
LEN,2005-12-14,3.7101
LEN,2005-12-15,3.8764
LEN,2005-12-19,3.7813
LEN,2005-12-20,3.805
LEN,2005-12-22,3.8764
LEN,2005-12-23,3.8526
LEN,2005-12-27,3.7101
LEN,2005-12-28,3.8764
LEN,2005-12-29,3.8764
LEN,2005-12-30,3.9002
LEN,2006-01-02,3.7813
LEN,2006-01-03,3.8526
LEN,2006-01-04,3.9002
LEN,2006-01-06,3.8764
LEN,2006-01-09,3.805
LEN,2006-01-11,3.805
LEN,2006-01-12,3.7813
LEN,2006-01-13,3.805
LEN,2006-01-16,3.9715
LEN,2006-01-17,3.8526
LEN,2006-01-18,3.8526
LEN,2006-01-19,3.9002
LEN,2006-01-20,3.805
LEN,2006-01-23,3.7101
LEN,2006-01-25,3.7101
LEN,2006-01-26,3.8526
LEN,2006-01-27,3.8764
LEN,2006-01-30,3.8526
LEN,2006-01-31,3.805
LEN,2006-02-01,4.0666
LEN,2006-02-02,4.0191
LEN,2006-02-03,3.9479
LEN,2006-02-06,3.9715
LEN,2006-02-07,3.9715
LEN,2006-02-08,4.0905
LEN,2006-02-09,4.1857
LEN,2006-02-10,4.1381
LEN,2006-02-13,4.1857
LEN,2006-02-14,3.9954
LEN,2006-02-15,4.2807
LEN,2006-02-16,4.7564
LEN,2006-02-17,4.685
LEN,2006-02-20,4.6613
LEN,2006-02-21,4.5661
LEN,2006-02-22,4.4949
LEN,2006-02-23,4.5422
LEN,2006-02-24,4.7564
LEN,2006-02-27,4.6613
LEN,2006-02-28,4.5184
LEN,2006-03-01,4.685
LEN,2006-03-02,4.5898
LEN,2006-03-03,4.6374
LEN,2006-03-06,4.5898
LEN,2006-03-07,4.5661
LEN,2006-03-08,4.4949
LEN,2006-03-09,4.5184
LEN,2006-03-10,4.471
LEN,2006-03-13,4.471
LEN,2006-03-14,4.4949
LEN,2006-03-15,4.6613
LEN,2006-03-16,4.804
LEN,2006-03-17,4.9466
