<TICKER>,<DATE>,<CLOSE>
LRQ,2008-05-07,10.603
LRQ,2008-05-08,10.632
LRQ,2008-05-09,10.652
LRQ,2008-05-12,10.701
LRQ,2008-05-13,10.799
LRQ,2008-05-14,10.799
LRQ,2008-05-15,10.848
LRQ,2008-05-16,10.848
LRQ,2008-05-19,10.799
LRQ,2008-05-20,10.505
LRQ,2008-05-21,10.505
LRQ,2008-05-26,10.407
LRQ,2008-05-27,10.407
LRQ,2008-05-28,10.377
LRQ,2008-05-30,10.505
LRQ,2008-06-03,10.495
LRQ,2008-06-04,10.485
LRQ,2008-06-06,10.407
LRQ,2008-06-10,9.916
LRQ,2008-06-11,10.299
LRQ,2008-06-13,9.837
LRQ,2008-06-16,9.837
LRQ,2008-06-17,9.916
LRQ,2008-06-18,10.21
LRQ,2008-06-19,10.299
LRQ,2008-06-20,10.299
LRQ,2008-06-23,9.818
LRQ,2008-06-24,10.112
LRQ,2008-06-25,10.299
LRQ,2008-06-26,10.299
LRQ,2008-06-27,10.112
LRQ,2008-06-30,10.112
LRQ,2008-07-01,9.651
LRQ,2008-07-08,9.67
LRQ,2008-07-09,10.112
LRQ,2008-07-10,10.308
LRQ,2008-07-11,10.308
LRQ,2008-07-14,10.308
LRQ,2008-07-15,10.308
LRQ,2008-07-16,9.818
LRQ,2008-07-17,9.818
LRQ,2008-07-18,9.818
LRQ,2008-07-21,9.818
LRQ,2008-07-22,10.21
LRQ,2008-07-23,10.21
LRQ,2008-07-24,10.74
LRQ,2008-07-25,10.819
LRQ,2008-07-28,10.799
LRQ,2008-07-29,10.289
LRQ,2008-07-30,10.603
LRQ,2008-07-31,10.75
LRQ,2008-08-01,10.701
LRQ,2008-08-04,10.77
LRQ,2008-08-05,10.77
LRQ,2008-08-06,10.259
LRQ,2008-08-07,10.259
LRQ,2008-08-11,10.2
LRQ,2008-08-12,10.259
LRQ,2008-08-13,10.259
LRQ,2008-08-14,10.77
LRQ,2008-08-18,10.524
LRQ,2008-08-19,10.77
LRQ,2008-08-20,10.75
LRQ,2008-08-21,10.76
LRQ,2008-08-22,10.77
LRQ,2008-08-25,10.77
LRQ,2008-08-26,10.308
LRQ,2008-08-27,9.798
LRQ,2008-08-28,9.808
LRQ,2008-08-29,9.798
LRQ,2008-09-01,9.818
LRQ,2008-09-02,9.818
LRQ,2008-09-03,10.308
LRQ,2008-09-04,10.308
LRQ,2008-09-05,10.102
LRQ,2008-09-08,10.308
LRQ,2008-09-09,10.308
LRQ,2008-09-10,10.308
LRQ,2008-09-11,10.308
LRQ,2008-09-12,10.308
LRQ,2008-09-15,10.308
LRQ,2008-09-16,10.308
LRQ,2008-09-17,10.308
LRQ,2008-09-18,10.308
LRQ,2008-09-19,10.308
LRQ,2008-09-22,10.75
LRQ,2008-09-23,10.505
LRQ,2008-09-24,10.505
LRQ,2008-09-25,10.603
LRQ,2008-09-26,10.112
LRQ,2008-09-29,10.308
LRQ,2008-09-30,10.308
LRQ,2008-10-01,10.308
LRQ,2008-10-02,9.818
LRQ,2008-10-03,9.818
LRQ,2008-10-06,10.299
LRQ,2008-10-07,10.299
LRQ,2008-10-08,9.818
LRQ,2008-10-09,9.818
