<DATE>,<CLOSE>
2009-06-25,45.648
2009-06-26,46.601
2009-06-29,47.236
2009-06-30,48.387
2009-07-01,48.308
2009-07-02,46.76
2009-07-03,46.045
2009-07-06,46.244
2009-07-07,46.045
2009-07-08,45.489
2009-07-09,45.648
2009-07-10,45.648
2009-07-13,45.251
2009-07-14,46.839
2009-07-15,48.031
2009-07-16,48.031
2009-07-17,48.108
2009-07-20,48.744
2009-07-21,48.784
2009-07-22,48.506
2009-07-23,49.815
2009-07-24,53.111
2009-07-27,53.587
2009-07-28,53.111
2009-07-29,53.984
2009-07-30,54.261
2009-07-31,54.778
2009-08-03,54.381
2009-08-04,53.627
2009-08-05,53.19
2009-08-06,53.348
2009-08-07,55.175
2009-08-10,55.572
2009-08-11,55.572
2009-08-12,55.175
2009-08-13,57.556
2009-08-14,57.239
2009-08-17,55.572
2009-08-18,55.333
2009-08-19,56.365
2009-08-20,57.159
2009-08-21,57.953
2009-08-24,57.159
2009-08-25,55.81
2009-08-26,55.493
2009-08-27,55.572
2009-08-28,56.206
2009-08-31,56.604
2009-09-01,55.413
2009-09-02,53.587
2009-09-03,54.699
2009-09-04,54.778
2009-09-07,54.063
2009-09-08,53.15
2009-09-09,52.397
2009-09-10,50.967
2009-09-11,52.397
2009-09-14,50.571
2009-09-15,51.205
2009-09-16,52.555
2009-09-17,54.539
2009-09-18,55.413
2009-09-21,56.445
2009-09-22,58.351
2009-09-23,58.351
2009-09-24,58.668
2009-09-25,58.351
2009-09-28,58.39
2009-09-29,58.351
2009-09-30,58.509
2009-10-01,57.994
2009-10-02,58.509
2009-10-05,58.668
2009-10-06,59.501
2009-10-07,59.144
2009-10-08,58.985
2009-10-09,59.541
2009-10-12,61.526
2009-10-13,60.375
2009-10-14,60.732
2009-10-15,60.454
2009-10-16,59.938
2009-10-19,59.144
2009-10-20,58.509
2009-10-21,58.746
2009-10-22,59.144
2009-10-23,58.746
2009-10-26,59.541
2009-10-27,58.668
2009-10-28,58.746
2009-10-29,59.778
2009-10-30,59.938
2009-11-02,60.335
2009-11-03,59.898
2009-11-04,59.144
2009-11-05,58.746
2009-11-06,57.953
2009-11-09,59.144
2009-11-10,59.541
2009-11-12,59.778
2009-11-13,59.144
2009-11-16,59.541
2009-11-17,58.746
2009-11-18,58.351
2009-11-19,58.072
2009-11-20,58.628
2009-11-23,57.873
2009-11-24,56.365
2009-11-25,56.365
2009-11-26,55.175
2009-11-27,55.493
2009-11-30,56.286
2009-12-01,55.967
2009-12-02,56.206
2009-12-03,56.365
2009-12-04,55.533
2009-12-07,55.533
2009-12-08,56.365
2009-12-09,55.333
2009-12-10,55.095
2009-12-11,55.533
2009-12-14,55.572
2009-12-15,55.651
2009-12-16,56.445
2009-12-17,56.762
2009-12-18,56.286
2009-12-21,56.365
2009-12-22,57.081
2009-12-23,57.477
2009-12-28,57.159
2009-12-29,57.556
2009-12-30,57.159
2009-12-31,56.365
2010-01-04,57.516
2010-01-05,57.477
2010-01-06,57.953
2010-01-07,57.953
2010-01-08,57.953
2010-01-11,59.065
2010-01-12,61.287
2010-01-13,64.185
2010-01-14,65.694
2010-01-15,66.288
2010-01-18,64.94
2010-01-19,64.305
2010-01-20,63.827
2010-01-21,63.271
2010-01-22,61.526
2010-01-25,62.717
2010-01-26,62.32
2010-01-27,61.923
2010-01-28,60.335
2010-01-29,61.089
2010-02-01,59.62
2010-02-02,61.13
2010-02-03,62.32
2010-02-04,60.414
2010-02-05,59.541
