<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2010-08-10,14.15,14.15,13.21,13.48
2010-08-11,13.75,13.75,12.53,13.45
2010-08-12,13.5,13.54,13.3,13.5
2010-08-13,13.41,13.51,13.4,13.4
2010-08-16,13.45,13.45,13.1,13.39
2010-08-17,13.33,13.4,13.3,13.32
2010-08-18,13,13.2,12.6,13.18
2010-08-19,13.1,13.1,12.81,12.9
2010-08-20,12.81,13.02,12.81,12.9
2010-08-23,12.5,12.95,12.5,12.8
2010-08-24,12.9,12.94,12.9,12.94
2010-08-25,12.9,12.9,12.9,12.9
2010-08-26,12.96,12.96,12.9,12.9
2010-08-27,12.95,12.95,12.8,12.84
2010-08-30,12.95,12.95,12.9,12.9
2010-08-31,12.96,12.96,12.9,12.9
2010-09-01,12.9,12.9,12.9,12.9
2010-09-02,12.91,12.91,12.64,12.84
2010-09-03,13,13,12.87,12.87
2010-09-06,12.6,12.6,12.35,12.5
2010-09-07,12.87,12.87,12.3,12.45
2010-09-08,12.2,12.4,12.2,12.4
2010-09-09,12.5,12.85,12.5,12.85
2010-09-10,12.85,12.85,12.85,12.85
2010-09-13,12.8,12.8,12.41,12.78
2010-09-14,12.78,13.37,12.78,13.28
2010-09-15,13.28,13.28,13.28,13.28
2010-09-16,13.05,13.29,13,13.29
2010-09-17,13.22,13.29,13.22,13.25
2010-09-20,13.3,13.3,13.01,13.29
2010-09-21,13.15,13.15,12.7,12.98
2010-09-22,12.8,12.8,12.7,12.7
2010-09-23,12.42,12.45,12.4,12.4
2010-09-24,12.37,13.38,12.37,12.8
2010-09-27,12.99,13.1,12.7,12.85
2010-09-28,12.85,12.9,12.75,12.88
2010-09-29,13,13,12.97,13
2010-09-30,12.99,13.25,12.7,13.24
2010-10-01,13.56,14.8,13.5,14.79
2010-10-04,14.85,16.93,14.85,16.43
2010-10-05,16.92,16.92,15.55,16
2010-10-06,16.26,16.27,15.8,15.8
2010-10-07,16,16,15.68,16
2010-10-08,16,16,15,15.9
2010-10-11,16.47,16.47,15.9,15.99
2010-10-12,15.99,15.99,15.83,15.98
2010-10-13,16.47,16.5,15,15.7
2010-10-14,16.39,16.4,15.3,15.3
2010-10-15,15.29,15.95,15.2,15.68
2010-10-18,15.95,16,15.7,15.8
2010-10-19,15.95,15.95,15.3,15.69
2010-10-20,15.71,15.95,15.16,15.48
2010-10-21,15.5,15.69,15.2,15.48
2010-10-22,15.45,15.46,15.15,15.36
2010-10-25,15.49,15.87,15.41,15.7
2010-10-26,15.7,15.9,15.5,15.7
2010-10-27,15.75,15.95,15.54,15.7
2010-10-28,15.7,15.9,15.5,15.65
2010-10-29,16.29,17.91,15.1,15.28
2010-11-02,15.65,15.65,15.05,15.1
2010-11-03,15.2,15.48,15.01,15.35
2010-11-04,15.4,15.48,15.21,15.44
2010-11-05,15.48,15.48,15.36,15.4
2010-11-08,15.49,15.72,15.49,15.59
2010-11-09,15.79,16.99,15.73,16.7
2010-11-10,16.7,16.75,16.16,16.38
2010-11-12,16.24,16.35,16,16.34
2010-11-15,16.35,16.35,15.9,16.16
2010-11-16,16.3,16.6,15.97,16.3
2010-11-17,16.43,16.5,15.96,15.99
2010-11-18,16,16.41,15.87,16.39
2010-11-19,16.34,16.34,15.88,15.99
2010-11-22,16,16.19,15.81,16.19
2010-11-23,15.83,15.94,15.22,15.4
2010-11-24,15.25,16,15.13,16
2010-11-25,16.48,16.48,15.5,15.52
2010-11-26,15.78,15.78,15.25,15.47
2010-11-29,15.45,15.75,15.16,15.5
2010-11-30,15.5,15.68,15.25,15.31
2010-12-01,15.32,15.64,15.11,15.46
2010-12-02,15.2,15.7,15.2,15.4
2010-12-03,15.5,15.93,15.5,15.88
2010-12-06,15.99,16.44,15.95,16.42
2010-12-07,16.39,17.58,16.1,17.22
2010-12-08,17.2,17.47,16.9,16.99
2010-12-09,17.34,17.34,17,17.05
2010-12-10,16.9,17.3,16.7,17
2010-12-13,17,17,16.95,17
2010-12-14,16.98,17.97,16.98,17.3
2010-12-15,17.4,18,16.7,16.8
2010-12-16,16.8,16.8,16.5,16.5
