<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-04-18,8.9876,8.9876,7.0914,7.2286
2007-04-19,7.2438,7.8454,7.1599,7.6398
2007-04-20,7.7693,7.8756,7.5333,7.8454
2007-04-23,8.0741,8.0741,7.5411,7.6243
2007-04-24,7.5789,7.5789,7.4267,7.4644
2007-04-25,7.4644,7.6933,7.3124,7.6854
2007-04-26,7.6933,7.6933,7.4878,7.5638
2007-04-27,7.5411,7.6626,7.4494,7.6172
2007-04-30,7.8077,7.921,7.7011,7.8454
2007-05-02,7.8454,7.9145,7.7773,7.7843
2007-05-04,7.7773,7.9981,7.6933,7.9981
2007-05-07,7.9981,7.9981,7.7693,7.9367
2007-05-08,7.8533,7.8533,7.6172,7.6172
2007-05-09,7.6172,7.7239,7.5638,7.6172
2007-05-10,7.6933,7.6933,7.4644,7.6016
2007-05-11,7.6016,7.6016,7.1295,7.6016
2007-05-14,7.6095,7.6172,7.4644,7.5411
2007-05-15,7.5709,7.6172,7.4644,7.6016
2007-05-16,7.6095,7.6095,7.4644,7.5866
2007-05-17,7.5106,7.5106,7.3276,7.3886
2007-05-18,7.5028,7.5028,7.259,7.3124
2007-05-21,7.3352,7.4267,7.3276,7.3276
2007-05-22,7.396,7.396,7.2895,7.3428
2007-05-23,7.3352,7.3352,7.2819,7.3124
2007-05-24,7.2361,7.3504,7.2209,7.3124
2007-05-25,7.2819,7.5255,7.2819,7.5255
2007-05-28,7.5028,7.8077,7.5028,7.7309
2007-05-29,7.7309,7.7309,7.5789,7.6172
2007-05-30,7.5411,7.6172,7.3352,7.6172
2007-05-31,7.4721,7.7693,7.4267,7.7309
2007-06-01,7.6172,7.7843,7.6172,7.7083
2007-06-04,7.6172,7.8375,7.6172,7.8077
2007-06-05,7.8839,7.921,7.7693,7.8077
2007-06-06,7.8454,8.0741,7.7693,7.9062
2007-06-08,7.8077,7.8077,7.6398,7.6776
2007-06-11,7.6933,7.8454,7.6933,7.8077
2007-06-12,7.8077,7.8077,7.7544,7.7693
2007-06-13,7.8533,7.9292,7.7387,7.8454
2007-06-14,7.8839,7.8839,7.8077,7.8454
2007-06-15,7.8987,7.8987,7.6172,7.7693
2007-06-18,7.8305,7.8375,7.7387,7.7693
2007-06-19,7.7693,8.3407,7.7387,8.3027
2007-06-20,8.2656,8.3786,7.8681,7.9981
2007-06-21,7.9145,7.9981,7.8077,7.8756
2007-06-22,7.8839,7.9823,7.8839,7.921
2007-06-25,8.0054,8.0054,7.8839,7.9906
2007-06-26,7.921,8.0584,7.921,8.0584
2007-06-27,8.1047,8.1047,7.9062,7.9062
2007-06-28,7.9062,8.1883,7.9062,7.921
2007-06-29,7.921,7.921,7.8454,7.8606
2007-07-02,7.8149,7.8149,7.7843,7.7843
2007-07-03,7.7693,8.1502,7.7693,8.1279
2007-07-04,8.1122,8.1122,7.9981,8.0741
2007-07-05,8.1122,8.1122,7.9981,8.0129
2007-07-06,8.0741,8.0741,8.0361,8.0667
2007-07-09,8.1122,8.1122,7.9981,8.0361
2007-07-10,7.9981,8.0361,7.921,7.9367
2007-07-11,7.921,7.921,7.6243,7.8839
2007-07-12,7.96,8.0129,7.8756,7.9443
2007-07-13,7.8606,7.96,7.8606,7.96
2007-07-16,7.8756,7.8756,7.6933,7.8077
2007-07-17,7.7239,7.8839,7.7011,7.8839
2007-07-18,7.8077,7.8606,7.7693,7.8606
2007-07-19,7.7843,7.9906,7.7843,7.9906
2007-07-20,7.9981,7.9981,7.6705,7.6705
2007-07-23,7.7544,7.7544,7.6479,7.6549
2007-07-24,7.7387,7.7544,7.7387,7.7387
2007-07-25,7.6549,7.6549,7.2361,7.6172
2007-07-26,7.5411,7.5411,7.1599,7.198
2007-07-27,6.8553,7.0458,6.7792,7.0458
2007-07-30,7.1219,7.3124,7.0534,7.1219
2007-07-31,7.1295,7.2361,7.0077,7.1219
2007-08-01,7.0458,7.0458,6.8553,6.8553
2007-08-02,6.8782,7.023,6.8553,7.023
2007-08-03,7.0914,7.0914,6.9543,7.0077
2007-08-06,7.0762,7.1599,6.9468,7.0686
2007-08-07,7.1144,7.4644,7.1144,7.3124
2007-08-08,7.3886,7.5255,7.32,7.32
2007-08-09,7.396,7.396,7.2742,7.2742
2007-08-10,6.8553,6.9314,6.8553,6.8934
2007-08-13,6.8857,7,6.8857,6.9239
2007-08-14,6.8857,7.0077,6.8553,6.9314
2007-08-16,6.6648,6.8553,6.4746,6.8553
2007-08-17,6.4746,6.8553,6.4212,6.8553
2007-08-20,6.8553,7.0611,6.4897,6.8782
2007-08-21,6.8553,6.8553,6.5506,6.7488
2007-08-22,6.6648,6.8857,6.6648,6.8857
2007-08-23,6.9314,7.1752,6.8934,7
2007-08-24,7.0382,7.0382,6.8096,6.9163
2007-08-27,6.9543,6.9543,6.8323,6.8706
2007-08-28,6.9239,6.9239,6.703,6.703
2007-08-29,6.6267,6.7411,6.6267,6.7411
2007-08-30,6.8096,6.8096,6.6648,6.6648
2007-08-31,6.7181,6.7181,6.5964,6.7181
2007-09-03,6.6497,6.7181,6.6497,6.703
2007-09-04,6.6726,6.6954,6.5887,6.6954
2007-09-05,6.6267,6.6878,6.5964,6.5964
2007-09-06,6.5278,6.6267,6.4365,6.4365
2007-09-07,6.4746,6.4746,6.2459,6.4287
2007-09-10,6.3602,6.3906,6.1318,6.1318
2007-09-11,6.2003,6.2535,6.1698,6.185
2007-09-12,6.1166,6.1698,5.9414,5.9414
2007-09-13,6.0098,6.0175,5.9414,5.9414
2007-09-14,6.0022,6.0175,5.8879,5.8879
2007-09-17,5.9414,5.9414,5.7889,5.9337
2007-09-18,5.9259,5.9337,5.7889,5.9337
2007-09-19,5.8803,5.9794,5.8803,5.9414
2007-09-20,5.9032,5.9032,5.7128,5.8652
2007-09-21,5.7889,5.9414,5.7889,5.9414
2007-09-24,5.8879,5.9337,5.7128,5.8956
2007-09-25,5.7509,5.8956,5.7128,5.7509
2007-09-26,5.7128,5.7509,5.6747,5.7509
2007-09-27,5.7889,5.8118,5.7128,5.8118
2007-09-28,5.8118,5.8118,5.7128,5.7356
2007-10-01,5.7356,6.0936,5.7128,6.0936
2007-10-02,6.2459,6.3525,6.0936,6.1318
2007-10-03,6.2459,6.2459,6.0175,6.1318
2007-10-04,6.0175,6.086,5.9947,6.086
2007-10-05,6.0175,6.2993,6.0175,6.2916
2007-10-08,6.4822,6.4822,6.3984,6.4822
2007-10-09,6.3602,6.5126,6.3222,6.406
2007-10-10,6.4365,6.4592,6.3906,6.406
2007-10-11,6.4365,6.444,6.3832,6.4365
2007-10-12,6.406,6.4212,6.406,6.4212
2007-10-15,6.4365,6.4365,6.1774,6.307
2007-10-16,6.1774,6.1774,5.7128,5.7889
2007-10-17,5.7128,5.7128,5.4081,5.4081
2007-10-18,5.4843,5.4843,5.3624,5.4385
2007-10-19,5.5604,5.7051,5.4462,5.6747
2007-10-22,5.5985,5.5985,5.4081,5.5529
2007-10-23,5.6672,5.6672,5.5222,5.5376
2007-10-24,5.5604,5.5604,5.5529,5.5529
2007-10-25,5.4843,5.5222,5.3624,5.3624
2007-10-26,5.37,5.37,5.3319,5.3624
2007-10-29,5.3319,5.37,5.3319,5.3395
2007-10-30,5.4156,5.4156,5.4081,5.4156
2007-10-31,5.3395,5.4462,5.3395,5.4462
2007-11-02,5.3395,5.4081,5.2176,5.4081
2007-11-05,5.2939,5.3319,5.1034,5.1263
2007-11-06,5.1111,5.2939,5.1111,5.1491
2007-11-07,5.1491,5.1795,5.1111,5.134
2007-11-08,5.1111,5.1111,4.951,5.0958
2007-11-09,5.012,5.0272,4.5626,4.5703
2007-11-12,4.418,4.5626,4.3417,4.3493
2007-11-13,4.2275,4.5551,4.2275,4.494
2007-11-14,4.5703,4.8369,4.5092,4.5092
2007-11-15,4.6236,4.6236,4.418,4.5626
2007-11-16,4.3417,4.494,4.2731,4.456
2007-11-19,4.494,4.494,4.2656,4.3341
2007-11-20,4.3036,4.3036,4.0751,4.0828
2007-11-21,4.159,4.159,3.7476,3.7704
2007-11-22,3.7172,3.7628,3.4276,3.7476
2007-11-23,3.8009,3.8009,3.6258,3.679
2007-11-26,3.7552,3.8313,3.6943,3.7857
2007-11-27,3.7934,3.8009,3.6943,3.7704
2007-11-28,3.8085,4.0217,3.7704,4.0217
2007-11-29,4.0751,4.2656,3.8085,3.9075
2007-11-30,3.9914,3.9914,3.9608,3.9608
2007-12-03,4.0217,4.0217,3.9608,3.9685
2007-12-04,3.9608,3.9989,3.8467,3.9608
2007-12-05,3.9989,3.9989,3.8619,3.877
2007-12-06,3.9533,3.9533,3.9,3.9227
2007-12-07,3.9837,3.9837,3.8847,3.9456
2007-12-10,3.9608,3.9989,3.8923,3.9608
2007-12-11,3.9608,3.9608,3.8467,3.9533
2007-12-12,3.8467,3.8694,3.7323,3.7323
2007-12-13,3.778,3.778,3.6181,3.6561
