<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2010-06-29,90.653,91.109,73.799,75.621
2010-06-30,71.976,82.909,71.976,75.165
2010-07-01,75.985,75.985,72.887,73.799
2010-07-02,75.621,76.35,75.621,76.35
2010-07-05,75.621,75.621,75.621,75.621
2010-07-06,79.265,90.198,79.265,80.175
2010-07-07,79.72,104.77,79.72,104.77
2010-07-08,105.23,105.23,104.77,104.77
2010-07-13,104.77,104.77,103.86,103.86
2010-07-14,104.77,104.77,104.77,104.77
2010-07-16,104.05,104.31,104.05,104.31
2010-07-21,91.109,103.86,88.831,103.86
2010-07-22,88.831,104.14,88.831,88.831
2010-07-23,100.04,100.04,88.831,88.831
2010-07-26,88.831,97.4,88.831,88.831
2010-07-27,89.287,89.287,89.287,89.287
2010-07-29,97.027,97.027,89.287,89.287
2010-07-30,97.4,97.4,89.743,89.743
2010-08-02,89.743,97.304,89.743,90.198
2010-08-03,91.564,91.564,91.564,91.564
2010-08-04,97.4,97.4,92.02,92.02
2010-08-05,93.847,93.847,93.847,93.847
2010-08-09,93.847,93.847,93.847,93.847
2010-08-11,95.667,105.33,95.667,104.77
2010-08-13,90.198,102.95,89.287,95.667
2010-08-16,95.667,95.667,95.667,95.667
2010-08-18,100.22,100.22,100.22,100.22
2010-08-23,100.22,104.77,100.22,104.77
2010-08-24,104.77,104.77,104.77,104.77
2010-08-30,104.77,104.77,104.77,104.77
2010-09-01,104.77,104.87,104.31,104.77
2010-09-02,104.77,107.05,104.68,107.05
2010-09-03,107.05,107.05,105.69,106.96
2010-09-06,107.05,107.05,106.96,106.96
2010-09-07,106.96,107.51,106.96,107.51
2010-09-08,107.51,108.14,107.51,108.14
2010-09-09,108.14,108.87,108.14,108.87
2010-09-10,108.87,108.87,108.87,108.87
2010-09-13,109.33,109.33,109.33,109.33
2010-09-14,109.33,113.89,109.33,113.89
2010-09-15,117.81,117.81,117.81,117.81
2010-09-16,117.99,117.99,117.99,117.99
2010-09-20,117.53,117.53,117.53,117.53
2010-09-22,117.07,117.07,116.17,116.17
2010-09-23,116.17,116.17,116.17,116.17
2010-09-24,113.89,114.8,112.97,113.89
2010-09-27,117.53,117.53,117.53,117.53
2010-09-28,115.71,118.44,115.71,118.35
2010-09-29,117.53,117.53,116.62,117.53
2010-09-30,118.44,118.44,117.53,118.44
2010-10-01,118.72,118.72,118.62,118.72
2010-10-04,118.72,118.72,118.72,118.72
2010-10-05,117.07,117.07,117.07,117.07
2010-10-06,118.8,119.81,118.8,119.81
2010-10-07,120.09,120.26,119.81,119.81
2010-10-08,114.8,119.89,113.89,119.89
2010-10-11,120.62,121.26,119.35,121.26
2010-10-12,121.63,122.27,121.63,122.27
2010-10-13,123.63,126.83,123.63,126.55
2010-10-14,126.64,127.46,123.18,126.83
2010-10-15,127.1,127.46,127.1,127.46
2010-10-18,123,127.1,122.09,123
2010-10-19,123,123,122.17,123
2010-10-20,121.18,123,118.44,123
2010-10-21,123,124.72,123,124.72
2010-10-22,123,123,123,123
2010-10-25,126.64,126.64,124.82,124.82
2010-10-26,126.46,126.46,126.46,126.46
2010-10-27,126.64,126.64,123,123
2010-10-28,126.64,126.64,126.64,126.64
2010-10-29,125.28,125.28,121.18,125.28
2010-11-02,123,124.82,123,124.82
2010-11-03,123,124.82,121.18,124.64
2010-11-04,120.26,125.18,120.26,125.18
2010-11-05,123,125.18,122.54,125.18
2010-11-08,125.23,126.46,122.09,126.46
2010-11-09,126.46,126.46,126.46,126.46
2010-11-10,126.15,126.55,123,126.55
2010-11-12,126.46,126.64,123,126.64
2010-11-15,126.64,126.64,126.64,126.64
2010-11-16,126.64,126.64,126.64,126.64
2010-11-17,126.64,126.64,126.64,126.64
2010-11-18,128.82,129.23,128.82,129.23
2010-11-19,128.46,128.92,128.46,128.92
2010-11-23,127.56,133.01,126.64,133.01
2010-11-24,136.53,136.66,136.53,136.66
2010-11-25,147.6,147.6,147.6,147.6
2010-11-26,146.68,147.6,146.68,147.6
2010-11-29,147.6,147.6,147.6,147.6
2010-11-30,147.5,152.16,147.5,147.6
2010-12-01,147.6,147.6,147.6,147.6
2010-12-02,147.6,147.6,147.6,147.6
2010-12-03,147.6,147.6,147.6,147.6
2010-12-07,147.6,147.6,147.6,147.6
2010-12-08,147.6,147.6,147.6,147.6
2010-12-09,145.68,145.78,145.68,145.78
2010-12-13,136.66,145.68,136.66,145.68
2010-12-14,125.74,145.64,125.28,145.64
2010-12-16,144.81,144.81,144.81,144.81
2010-12-17,144.81,144.81,144.81,144.81
2010-12-20,144.77,144.77,144.77,144.77
2010-12-21,144.77,144.77,144.77,144.77
2010-12-22,144.69,144.69,126.65,144.69
2010-12-23,144.69,144.69,126.64,143.95
2010-12-27,136.66,143.91,136.66,143.91
2010-12-28,143.95,143.95,126.65,142.54
2010-12-29,142.13,142.49,142.13,142.49
2010-12-30,141.22,141.22,141.22,141.22
2010-12-31,141.22,141.22,141.22,141.22
2011-01-03,134.84,141.22,134.84,141.22
2011-01-04,141.22,141.22,141.22,141.22
2011-01-05,141.22,141.22,141.22,141.22
2011-01-07,136.66,140.31,135.75,140.31
2011-01-10,136.66,136.66,136.66,136.66
2011-01-11,136.66,136.66,136.66,136.66
2011-01-12,135.75,135.75,135.75,135.75
2011-01-13,124.82,132.02,120.26,131.56
2011-01-14,131.19,131.19,131.19,131.19
2011-01-18,130.74,130.74,130.74,130.74
2011-01-19,131.19,131.19,118.44,127.56
2011-01-21,118.44,127.1,118.44,126.64
2011-01-24,126.64,126.64,118.44,126.46
2011-01-26,126.19,126.19,126.19,126.19
2011-01-27,126.19,126.19,126.19,126.19
2011-01-28,126.19,126.19,126.19,126.19
2011-01-31,118.9,123.91,109.33,123.91
2011-02-01,113.89,118.44,109.33,116.62
2011-02-02,114.8,118.44,114.8,118.44
2011-02-03,113.89,115.71,109.33,115.71
2011-02-04,109.5,115.71,109.33,115.71
2011-02-10,115.71,115.71,115.71,115.71
2011-02-15,114.8,117.53,114.8,117.53
2011-02-16,116.17,116.17,116.17,116.17
2011-02-18,114.8,114.8,114.8,114.8
2011-02-21,114.8,116.17,114.8,116.17
