<TICKER>,<DATE>,<CLOSE>
MCI,2001-02-01,8.95
MCI,2001-02-02,8.85
MCI,2001-02-05,8.85
MCI,2001-02-06,8.85
MCI,2001-02-07,8.8
MCI,2001-02-08,9.4
MCI,2001-02-09,10.75
MCI,2001-02-12,10.05
MCI,2001-02-13,10
MCI,2001-02-14,9.75
MCI,2001-02-15,9.4
MCI,2001-02-16,9.05
MCI,2001-02-19,8.75
MCI,2001-02-20,8.65
MCI,2001-02-21,8.7
MCI,2001-02-22,8.75
MCI,2001-02-23,8.6
MCI,2001-02-26,9
MCI,2001-02-27,9.05
MCI,2001-02-28,8.95
MCI,2001-03-01,8.7
MCI,2001-03-02,8.8
MCI,2001-03-05,8.75
MCI,2001-03-06,8.6
MCI,2001-03-07,8.05
MCI,2001-03-08,7.8
MCI,2001-03-09,7.6
MCI,2001-03-12,7.2
MCI,2001-03-13,7.15
MCI,2001-03-14,7.15
MCI,2001-03-15,7.2
MCI,2001-03-16,7.1
MCI,2001-03-19,7.1
MCI,2001-03-20,7.2
MCI,2001-03-21,7.2
MCI,2001-03-22,7.25
MCI,2001-03-23,7.75
MCI,2001-03-26,7.8
MCI,2001-03-27,7.6
MCI,2001-03-28,7.7
MCI,2001-03-29,7.65
MCI,2001-03-30,7.7
MCI,2001-04-02,7.5
MCI,2001-04-03,7.5
MCI,2001-04-04,7.3
MCI,2001-04-05,7.35
MCI,2001-04-06,7.4
MCI,2001-04-09,7.45
MCI,2001-04-10,7.3
MCI,2001-04-11,7.1
MCI,2001-04-12,7.05
MCI,2001-04-17,7
MCI,2001-04-18,7
MCI,2001-04-19,7
MCI,2001-04-20,6.8
MCI,2001-04-23,6.7
MCI,2001-04-24,6.5
MCI,2001-04-25,6.45
MCI,2001-04-26,6.4
MCI,2001-04-27,6.15
MCI,2001-04-30,6.15
MCI,2001-05-02,5.8
MCI,2001-05-04,5.45
MCI,2001-05-07,5.25
MCI,2001-05-08,5
MCI,2001-05-09,4.31
MCI,2001-05-10,4.75
MCI,2001-05-11,5.2
MCI,2001-05-14,5.2
MCI,2001-05-15,5
MCI,2001-05-16,4.9
MCI,2001-05-17,4.95
MCI,2001-05-18,4.84
MCI,2001-05-21,5.1
MCI,2001-05-22,5.2
MCI,2001-05-23,5.2
MCI,2001-05-24,5.05
MCI,2001-05-25,4.9
MCI,2001-05-28,4.91
MCI,2001-05-29,4.9
MCI,2001-05-30,4.94
MCI,2001-05-31,4.91
MCI,2001-06-01,4.85
MCI,2001-06-04,4.75
MCI,2001-06-05,4.6
MCI,2001-06-06,4.4
MCI,2001-06-07,4.3
MCI,2001-06-08,4.2
MCI,2001-06-11,4
MCI,2001-06-12,3.88
MCI,2001-06-13,3.61
MCI,2001-06-15,3.4
MCI,2001-06-18,3.4
MCI,2001-06-19,3.6
MCI,2001-06-20,3.49
MCI,2001-06-21,3.56
MCI,2001-06-22,3.45
MCI,2001-06-25,3.54
MCI,2001-06-26,3.5
MCI,2001-06-27,3.5
MCI,2001-06-28,3.35
MCI,2001-06-29,3.39
MCI,2001-07-02,3.17
MCI,2001-07-03,2.81
MCI,2001-07-04,2.34
MCI,2001-07-05,2.5
MCI,2001-07-06,2.61
MCI,2001-07-09,2.52
MCI,2001-07-10,2.37
MCI,2001-07-11,2.3
MCI,2001-07-12,2.4
MCI,2001-07-13,2.38
MCI,2001-07-16,2.38
MCI,2001-07-17,2.25
MCI,2001-07-18,2.25
MCI,2001-07-19,2.25
MCI,2001-07-20,2.17
MCI,2001-07-23,2.06
MCI,2001-07-24,1.98
MCI,2001-07-25,1.88
MCI,2001-07-26,1.87
MCI,2001-07-27,1.87
MCI,2001-07-30,1.93
MCI,2001-07-31,1.93
MCI,2001-08-01,1.94
MCI,2001-08-02,1.97
MCI,2001-08-03,1.98
MCI,2001-08-06,1.97
MCI,2001-08-07,1.95
MCI,2001-08-08,1.89
MCI,2001-08-09,1.9
MCI,2001-08-10,1.84
MCI,2001-08-13,1.74
MCI,2001-08-14,1.68
MCI,2001-08-16,1.6
MCI,2001-08-17,1.49
MCI,2001-08-20,1.52
MCI,2001-08-21,1.5
MCI,2001-08-22,1.48
MCI,2001-08-23,1.54
MCI,2001-08-24,1.6
MCI,2001-08-27,1.61
MCI,2001-08-28,1.61
MCI,2001-08-29,1.59
MCI,2001-08-30,1.59
MCI,2001-08-31,1.58
MCI,2001-09-03,1.41
MCI,2001-09-04,1.29
MCI,2001-09-05,1.29
MCI,2001-09-06,1.3
MCI,2001-09-07,1.25
MCI,2001-09-10,1.23
MCI,2001-09-11,1.2
MCI,2001-09-12,1.15
MCI,2001-09-13,1.15
MCI,2001-09-14,1.08
MCI,2001-09-17,1.04
MCI,2001-09-18,1.03
MCI,2001-09-19,1.05
MCI,2001-09-20,1
MCI,2001-09-21,1
MCI,2001-09-24,1.07
MCI,2001-09-25,1.1
MCI,2001-09-26,1.02
MCI,2001-09-27,0.98
MCI,2001-09-28,0.95
MCI,2001-10-01,0.93
MCI,2001-10-02,0.96
MCI,2001-10-03,0.96
MCI,2001-10-04,1.02
MCI,2001-10-05,1.06
MCI,2001-10-08,1.03
MCI,2001-10-09,1.07
MCI,2001-10-10,1.15
MCI,2001-10-11,1.14
MCI,2001-10-12,1.14
MCI,2001-10-15,1.21
MCI,2001-10-16,1.47
MCI,2001-10-17,1.48
MCI,2001-10-18,1.25
MCI,2001-10-19,1.26
MCI,2001-10-22,1.68
MCI,2001-10-23,1.54
MCI,2001-10-24,1.57
MCI,2001-10-25,1.49
MCI,2001-10-26,1.51
MCI,2001-10-29,1.51
MCI,2001-10-30,1.4
