<DATE>,<CLOSE>
2007-07-19,22.431
2007-07-20,20.829
2007-07-23,20.429
2007-07-24,20.829
2007-07-25,20.027
2007-07-26,19.632
2007-07-27,19.627
2007-07-30,19.227
2007-07-31,20.268
2007-08-01,19.928
2007-08-02,19.667
2007-08-03,19.627
2007-08-06,18.426
2007-08-07,19.066
2007-08-08,19.146
2007-08-09,19.006
2007-08-10,18.426
2007-08-13,19.187
2007-08-14,18.565
2007-08-16,16.022
2007-08-17,16.022
2007-08-20,16.022
2007-08-21,15.622
2007-08-22,17.224
2007-08-23,17.904
2007-08-24,18.385
2007-08-27,18.426
2007-08-28,18.345
2007-08-29,17.904
2007-08-30,18.065
2007-08-31,18.07
2007-09-03,18.626
2007-09-04,18.626
2007-09-05,18.586
2007-09-06,18.786
2007-09-07,18.826
2007-09-10,18.626
2007-09-11,18.747
2007-09-12,18.582
2007-09-13,18.618
2007-09-14,18.225
2007-09-17,18.422
2007-09-18,18.586
2007-09-19,18.225
2007-09-20,18.165
2007-09-21,18.426
2007-09-24,18.506
2007-09-25,18.621
2007-09-26,18.626
2007-09-27,18.506
2007-09-28,18.706
2007-10-01,18.826
2007-10-02,18.666
2007-10-03,18.265
2007-10-04,17.957
2007-10-05,18.426
2007-10-08,17.684
2007-10-09,18.106
2007-10-10,18.101
2007-10-11,18.582
2007-10-12,18.822
2007-10-15,19.026
2007-10-16,18.225
2007-10-17,18.974
2007-10-18,18.626
2007-10-19,19.194
2007-10-22,19.182
2007-10-23,19.367
2007-10-24,19.327
2007-10-25,19.227
2007-10-26,18.983
2007-10-29,18.906
2007-10-30,18.826
2007-10-31,18.786
2007-11-02,19.187
2007-11-05,18.926
2007-11-06,18.426
2007-11-07,18.706
2007-11-08,18.225
2007-11-09,18.422
2007-11-12,18.342
2007-11-13,18.542
2007-11-14,18.547
2007-11-15,17.625
2007-11-16,17.545
2007-11-19,17.62
2007-11-20,17.341
2007-11-21,17.184
2007-11-22,16.424
2007-11-23,16.823
2007-11-26,17.224
2007-11-27,17.2
2007-11-28,17.205
2007-11-29,17.22
2007-11-30,17.224
2007-12-03,17.665
2007-12-05,17.625
2007-12-06,18.025
2007-12-07,18.141
2007-12-10,18.021
2007-12-11,17.609
2007-12-12,18.106
2007-12-13,18.106
2007-12-14,18.186
2007-12-18,18.225
2007-12-19,18.406
2007-12-20,18.621
2007-12-21,19.194
2007-12-27,19.026
2007-12-28,19.387
2008-01-02,19.227
2008-01-03,19.146
2008-01-04,19.026
2008-01-07,18.826
2008-01-08,18.426
2008-01-09,16.819
2008-01-10,16.022
2008-01-11,15.983
2008-01-14,15.422
2008-01-15,15.341
2008-01-16,14.816
2008-01-17,13.339
2008-01-18,13.539
2008-01-21,13.219
2008-01-22,13.219
2008-01-23,14.408
2008-01-24,14.66
2008-01-25,14.82
2008-01-29,15.182
2008-01-30,16.823
2008-01-31,15.581
2008-02-01,16.424
2008-02-04,16.619
2008-02-05,16.623
2008-02-06,16.755
2008-02-07,15.822
2008-02-08,16.022
2008-02-11,16.424
2008-02-12,17.425
2008-02-13,17.425
2008-02-14,17.545
2008-02-15,17.224
2008-02-18,17.224
2008-02-19,17.776
2008-02-20,18.225
2008-02-21,18.506
2008-02-22,18.145
2008-02-25,18.021
2008-02-26,18.017
2008-02-27,18.021
2008-02-28,18.005
2008-02-29,17.821
2008-03-03,17.564
2008-03-04,16.823
2008-03-05,16.823
2008-03-06,16.823
2008-03-07,16.816
2008-03-10,17.425
2008-03-11,17.625
2008-03-12,17.804
2008-03-17,17.604
2008-03-18,17.425
2008-03-19,17.625
2008-03-20,17.825
2008-03-27,18.374
2008-03-28,18.186
2008-03-31,18.626
2008-04-01,18.786
2008-04-02,18.786
2008-04-03,18.786
2008-04-04,18.767
2008-04-07,18.767
2008-04-08,18.786
2008-04-09,18.621
2008-04-10,18.621
2008-04-11,18.547
2008-04-14,18.501
2008-04-15,18.025
2008-04-16,18.374
2008-04-17,18.786
2008-04-18,18.726
2008-04-21,18.786
2008-04-22,18.422
2008-04-23,18.222
2008-04-24,18.186
2008-04-25,18.065
2008-04-28,18.806
2008-04-29,18.802
2008-04-30,18.786
2008-05-05,18.626
2008-05-06,18.606
2008-05-07,18.774
2008-05-08,18.706
2008-05-09,18.106
2008-05-12,18.586
2008-05-13,19.026
2008-05-14,18.634
2008-05-15,19.227
2008-05-16,19.227
2008-05-19,19.227
2008-05-23,19.219
2008-05-26,19.174
2008-05-27,18.742
2008-05-28,18.025
2008-05-29,18.225
2008-06-02,18.222
2008-06-03,18.747
2008-06-06,18.385
2008-06-09,18.342
2008-06-10,17.825
2008-06-11,18.025
2008-06-12,18.025
2008-06-16,18.025
2008-06-18,18.025
2008-06-19,18.506
2008-06-23,18.225
2008-06-25,17.625
2008-06-26,17.766
2008-06-27,17.825
2008-07-01,17.62
2008-07-07,15.89
2008-07-08,16.583
2008-07-09,16.419
2008-07-10,16.395
2008-07-11,16.35
2008-07-14,15.722
2008-07-15,15.221
2008-07-16,13.519
2008-07-17,14.019
2008-07-18,13.739
2008-07-21,13.619
2008-07-22,13.859
2008-07-23,14.019
2008-07-24,14.019
2008-07-25,15.622
2008-07-28,14.625
2008-07-29,16.019
2008-07-30,16.019
