<DATE>,<CLOSE>
2011-11-09,19.415
2011-11-10,19.898
2011-11-14,20.372
2011-11-15,20.847
2011-11-16,20.75
2011-11-17,18.942
2011-11-21,18.098
2011-11-22,18.761
2011-11-23,17.53
2011-11-24,17.007
2011-11-25,17.055
2011-11-28,16.582
2011-11-29,16.297
2011-11-30,17.007
2011-12-01,17.52
2011-12-02,16.865
2011-12-05,16.345
2011-12-06,16.202
2011-12-07,16.297
2011-12-08,16.676
2011-12-13,16.392
2011-12-14,16.345
2011-12-15,16.307
2011-12-20,16.297
2011-12-21,16.676
2011-12-22,16.676
2011-12-23,16.676
2011-12-27,18.666
2011-12-28,18.666
2011-12-29,18.666
2011-12-30,24.162
2012-01-02,24.162
2012-01-03,25.11
2012-01-04,26.048
2012-01-05,25.868
2012-01-09,25.11
2012-01-10,26.058
2012-01-11,30.312
2012-01-12,34.584
2012-01-13,35.437
2012-01-16,36.007
2012-01-17,34.111
2012-01-18,33.164
2012-01-19,34.111
2012-01-20,33.447
2012-01-23,32.406
2012-01-24,34.063
2012-01-25,34.394
2012-01-26,35.153
2012-01-27,34.963
2012-01-30,34.111
2012-01-31,35.524
2012-02-01,34.111
2012-02-02,34.87
2012-02-03,37.853
2012-02-06,37.853
2012-02-07,37.049
2012-02-08,37.789
2012-02-09,38.754
2012-02-10,42.592
2012-02-13,43.577
2012-02-14,51.165
2012-02-15,52.579
2012-02-16,51.734
2012-02-17,50.456
2012-02-20,50.589
2012-02-21,49.271
2012-02-22,49.223
2012-02-23,49.12
2012-02-24,55.838
2012-02-27,65.38
2012-02-28,62.281
2012-02-29,63.958
2012-03-01,64.669
2012-03-02,72.438
2012-03-05,70.117
2012-03-06,68.506
2012-03-07,65.852
2012-03-08,68.117
2012-03-09,66.327
2012-03-12,64.431
2012-03-13,62.157
2012-03-14,61.589
2012-03-15,61.589
2012-03-16,64.337
2012-03-19,65.332
2012-03-20,65.17
2012-03-21,64.905
2012-03-22,63.2
2012-03-23,61.496
2012-03-26,61.589
2012-03-27,59.884
2012-03-28,56.852
2012-03-29,56.843
2012-03-30,57.591
2012-04-02,56.862
2012-04-03,56.605
2012-04-04,59.03
2012-04-10,64.386
2012-04-11,62.632
2012-04-12,59.694
2012-04-13,61.496
2012-04-16,57.8
2012-04-17,56.377
2012-04-18,58.273
2012-04-19,58.273
2012-04-20,57.8
2012-04-23,54.416
2012-04-24,54.957
2012-04-25,56.359
2012-04-26,56.206
2012-04-27,56.311
2012-04-30,56.367
2012-05-04,56.359
2012-05-07,54.245
2012-05-08,54.245
2012-05-09,54.293
2012-05-10,55.336
2012-05-11,54.957
2012-05-14,53.952
2012-05-15,52.919
2012-05-16,53.013
2012-05-17,51.261
2012-05-18,50.693
2012-05-21,51.165
2012-05-22,54.009
2012-05-23,54.2
2012-05-24,53.999
2012-05-25,52.919
2012-05-28,50.219
2012-05-29,50.219
2012-05-30,52.113
2012-05-31,51.631
2012-06-01,52.113
2012-06-04,49.082
2012-06-05,49.252
2012-06-06,51.165
2012-06-11,47.898
2012-06-12,47.376
2012-06-13,48.798
2012-06-14,49.271
2012-06-15,53.061
2012-06-18,57.704
2012-06-19,56.321
2012-06-20,56.852
2012-06-21,57.704
2012-06-22,58.65
2012-06-25,57.324
2012-06-27,56.852
2012-06-28,56.907
2012-06-29,56.852
2012-07-02,57.324
