<DATE>,<CLOSE>
2011-02-25,16.136
2011-02-28,15.781
2011-03-01,15.076
2011-03-02,14.664
2011-03-03,15.076
2011-03-04,15.664
2011-03-07,15.241
2011-03-08,14.723
2011-03-09,14.494
2011-03-10,15.105
2011-03-11,14.605
2011-03-14,14.576
2011-03-15,14.605
2011-03-16,14.552
2011-03-17,14.937
2011-03-18,15.313
2011-03-21,15.018
2011-03-22,14.728
2011-03-23,14.812
2011-03-24,14.783
2011-03-25,14.87
2011-03-28,14.723
2011-03-29,14.783
2011-03-30,14.841
2011-03-31,14.721
2011-04-01,15.018
2011-04-04,15.018
2011-04-05,15.605
2011-04-06,15.047
2011-04-07,15.135
2011-04-08,15.018
2011-04-11,15.294
2011-04-12,14.936
2011-04-13,15.047
2011-04-14,15.018
2011-04-15,15.076
2011-04-18,14.988
2011-04-19,15.135
2011-04-20,14.958
2011-04-21,14.958
2011-04-26,15.247
2011-04-27,14.958
2011-04-28,14.988
2011-04-29,15.016
2011-05-02,15.018
2011-05-04,15.018
2011-05-05,15.075
2011-05-06,14.946
2011-05-09,14.946
2011-05-10,14.946
2011-05-11,14.891
2011-05-12,15.018
2011-05-13,15.018
2011-05-16,15.018
2011-05-17,15.018
2011-05-18,14.816
2011-05-20,15.309
2011-05-23,14.288
2011-05-24,15.076
2011-05-25,14.847
2011-05-26,14.812
2011-05-27,15.255
2011-05-30,14.753
2011-05-31,14.696
2011-06-02,15.018
2011-06-03,15.015
2011-06-06,15.018
2011-06-07,15.195
2011-06-08,14.764
2011-06-09,14.872
2011-06-10,14.872
2011-06-13,14.835
2011-06-14,14.723
2011-06-15,14.735
2011-06-16,14.735
2011-06-17,14.735
2011-06-20,14.645
2011-06-21,14.226
2011-06-22,14.937
2011-06-24,14.269
2011-06-27,13.809
2011-06-28,14.639
2011-06-29,14.645
2011-06-30,15.244
2011-07-01,15.206
2011-07-04,15.152
2011-07-05,15.063
2011-07-08,15.063
2011-07-11,14.382
2011-07-12,14.998
2011-07-14,15.004
2011-07-19,14.945
2011-07-21,14.945
2011-07-22,14.945
2011-07-25,14.382
2011-07-26,14.382
2011-07-27,14.382
2011-07-28,14.281
2011-07-29,13.78
2011-08-01,13.809
2011-08-02,13.748
2011-08-03,13.748
2011-08-04,13.091
2011-08-05,11.96
2011-08-08,11.656
2011-08-09,10.312
2011-08-10,10.461
2011-08-11,11.232
2011-08-12,12.248
2011-08-16,13.15
2011-08-17,12.852
2011-08-18,12.315
2011-08-19,13.15
2011-08-24,13.15
2011-08-25,13.144
2011-08-26,13.139
2011-08-31,13.115
2011-09-02,13.091
2011-09-14,12.852
2011-09-15,12.852
2011-09-16,12.852
2011-09-19,12.852
2011-09-21,12.852
2011-10-10,12.551
2011-10-11,12.551
2011-10-24,12.254
2011-10-26,12.492
2011-10-27,12.492
2011-10-31,10.318
2011-11-02,12.492
2011-11-04,12.434
2011-11-21,13.664
2011-12-07,13.527
2011-12-09,11.996
2011-12-12,12.297
2011-12-13,12.297
2011-12-20,12.297
2011-12-21,12.297
2011-12-23,12.297
2011-12-27,12.297
2011-12-30,12.61
2012-01-02,13.22
