<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-02-13,174.69,174.69,160.96,168.45
2007-02-14,173.44,173.44,167.2,169.7
2007-02-15,170.53,170.53,164.29,165.12
2007-02-16,166.37,167.2,164.71,165.12
2007-02-19,165.12,166.79,161.8,162.21
2007-02-20,165.12,170.12,162.21,163.46
2007-02-21,164.71,166.79,162.21,163.46
2007-02-22,165.12,165.12,162.21,163.04
2007-02-23,163.46,164.29,162.21,162.63
2007-02-26,162.21,162.63,159.72,160.13
2007-02-27,159.72,159.72,149.73,150.98
2007-02-28,145.58,150.57,142.25,149.73
2007-03-01,153.89,155.14,143.91,147.65
2007-03-02,150.98,152.65,145.99,152.23
2007-03-05,146.82,149.73,145.16,149.32
2007-03-06,151.4,151.81,147.24,151.81
2007-03-07,153.06,153.48,147.65,149.73
2007-03-08,151.4,153.89,150.57,150.57
2007-03-09,151.81,151.81,148.9,149.32
2007-03-12,149.73,151.81,147.65,148.07
2007-03-13,149.32,149.32,146.41,147.65
2007-03-14,147.65,157.64,145.99,155.97
2007-03-15,159.72,162.21,156.39,157.64
2007-03-16,159.72,159.72,153.89,157.64
2007-03-19,155.14,159.3,154.31,157.22
2007-03-20,158.05,158.05,153.06,155.97
2007-03-21,156.39,158.47,153.06,155.14
2007-03-22,156.39,157.64,153.89,154.31
2007-03-23,153.89,155.14,153.06,153.89
2007-03-26,154.73,156.81,153.06,153.89
2007-03-27,153.06,168.04,153.06,166.37
2007-03-28,167.2,167.2,160.13,160.55
2007-03-29,162.21,163.88,160.13,161.38
2007-03-30,168.45,168.87,162.21,167.62
2007-04-02,168.45,178.43,162.21,176.77
2007-04-03,177.6,183.84,175.11,183.01
2007-04-04,183.01,183.84,175.11,178.02
2007-04-05,178.02,178.85,171.78,172.61
2007-04-10,174.69,178.85,172.61,177.19
2007-04-11,178.85,178.85,173.03,173.44
2007-04-12,176.35,176.35,165.96,168.45
2007-04-13,170.53,182.18,170.53,177.6
2007-04-16,174.69,175.11,166.37,168.87
2007-04-17,169.28,176.77,169.28,174.69
2007-04-18,177.19,177.19,166.37,167.2
2007-04-19,169.28,170.53,164.29,166.37
2007-04-20,166.37,166.79,161.38,163.88
2007-04-23,163.88,164.29,155.97,158.05
2007-04-24,157.22,163.04,153.06,158.05
2007-04-25,159.72,160.96,157.22,157.22
2007-04-26,158.05,161.8,157.22,158.05
2007-04-27,158.05,158.05,155.97,155.97
2007-04-30,158.05,161.8,155.97,158.47
2007-05-02,161.38,164.29,158.47,163.46
2007-05-04,164.29,168.87,164.29,167.2
2007-05-07,168.87,168.87,163.46,167.2
2007-05-08,167.2,167.2,160.55,162.21
2007-05-09,161.8,162.63,158.47,160.55
2007-05-10,160.55,162.21,154.73,155.97
2007-05-11,158.05,159.3,152.65,158.88
2007-05-14,161.8,163.04,158.88,161.8
2007-05-15,164.29,177.6,162.21,169.28
2007-05-16,171.36,172.61,165.54,167.2
2007-05-17,168.87,184.67,165.96,181.76
2007-05-18,183.42,197.15,183.42,187.58
2007-05-21,192.58,205.47,192.58,205.05
