<TICKER>,<DATE>,<CLOSE>
MLG,2013-10-28,27.842
MLG,2013-10-29,27.515
MLG,2013-10-30,26.676
MLG,2013-10-31,25.65
MLG,2013-11-04,26.116
MLG,2013-11-05,25.212
MLG,2013-11-06,26.107
MLG,2013-11-07,26.098
MLG,2013-11-14,24.643
MLG,2013-11-15,27.049
MLG,2013-11-18,26.116
MLG,2013-11-19,25.761
MLG,2013-11-20,25.93
MLG,2013-11-22,25.65
MLG,2013-11-25,26.07
MLG,2013-11-26,25.184
MLG,2013-11-27,25.23
MLG,2013-11-28,24.773
MLG,2013-11-29,25.184
MLG,2013-12-02,25.92
MLG,2013-12-04,25.184
MLG,2013-12-05,24.438
MLG,2013-12-06,25.184
MLG,2013-12-09,25.37
MLG,2013-12-16,25.091
MLG,2013-12-20,25.091
MLG,2013-12-23,25.184
MLG,2013-12-27,26.116
MLG,2013-12-30,26.116
MLG,2014-01-03,26.116
MLG,2014-01-07,26.07
MLG,2014-01-08,26.07
MLG,2014-01-13,23.915
MLG,2014-01-14,24.717
MLG,2014-01-16,24.81
MLG,2014-01-20,25.184
MLG,2014-01-21,24.744
MLG,2014-01-22,26.116
MLG,2014-01-23,26.116
MLG,2014-01-24,26.116
MLG,2014-01-28,26.116
MLG,2014-01-30,26.116
MLG,2014-02-05,26.116
MLG,2014-02-12,25.277
MLG,2014-02-13,25.277
MLG,2014-02-14,25.277
MLG,2014-02-17,26.209
MLG,2014-02-19,26.209
MLG,2014-02-20,26.676
MLG,2014-02-21,26.116
MLG,2014-02-24,26.116
MLG,2014-02-25,23.877
MLG,2014-02-26,26.116
MLG,2014-02-27,25.091
MLG,2014-02-28,25.65
MLG,2014-03-03,25.184
MLG,2014-03-04,25.091
MLG,2014-03-06,26.116
MLG,2014-03-07,26.116
MLG,2014-03-12,26.051
MLG,2014-03-14,25.184
MLG,2014-03-17,25.65
MLG,2014-03-18,26.023
MLG,2014-04-03,23.504
MLG,2014-04-07,25.65
MLG,2014-04-08,25.65
MLG,2014-04-09,25.985
MLG,2014-04-11,25.985
MLG,2014-04-23,26.013
MLG,2014-05-08,25.93
MLG,2014-05-09,25.93
MLG,2014-05-13,25.827
MLG,2014-05-22,24.26
MLG,2014-05-30,26.116
MLG,2014-06-03,24.391
MLG,2014-06-18,24.53
MLG,2014-06-25,25.837
MLG,2014-06-26,24.689
MLG,2014-06-27,24.492
MLG,2014-06-30,24.492
MLG,2014-07-03,23.877
MLG,2014-07-08,23.504
MLG,2014-07-09,23.504
MLG,2014-07-10,23.318
MLG,2014-07-11,22.758
MLG,2014-07-14,23.308
MLG,2014-07-15,23.318
MLG,2014-07-16,23.308
MLG,2014-07-17,23.262
MLG,2014-07-18,22.684
MLG,2014-07-21,22.59
MLG,2014-07-22,22.395
MLG,2014-07-23,23.318
MLG,2014-07-24,23.318
MLG,2014-07-25,23.318
MLG,2014-07-28,23.962
MLG,2014-07-29,24.671
MLG,2014-07-30,23.682
MLG,2014-07-31,23.318
MLG,2014-08-01,23.318
MLG,2014-08-04,23.318
MLG,2014-08-05,23.7
MLG,2014-08-06,23.318
MLG,2014-08-07,23.775
MLG,2014-08-08,23.831
MLG,2014-08-11,23.869
MLG,2014-08-12,23.71
MLG,2014-08-13,23.318
MLG,2014-08-14,23.318
MLG,2014-08-18,23.318
MLG,2014-08-19,23.318
MLG,2014-08-20,23.318
MLG,2014-08-21,23.225
MLG,2014-08-22,23.318
MLG,2014-08-25,24.717
MLG,2014-08-26,24.791
MLG,2014-08-27,24.717
MLG,2014-08-28,24.717
MLG,2014-08-29,24.717
MLG,2014-09-01,25.65
MLG,2014-09-02,25.976
MLG,2014-09-03,25.65
MLG,2014-09-04,25.976
MLG,2014-09-05,25.65
MLG,2014-09-08,25.65
MLG,2014-09-09,25.65
MLG,2014-09-10,25.65
MLG,2014-09-11,25.65
MLG,2014-09-12,25.65
MLG,2014-09-15,25.65
MLG,2014-09-16,25.65
MLG,2014-09-17,25.65
MLG,2014-09-18,25.65
MLG,2014-09-19,25.65
MLG,2014-09-22,25.855
MLG,2014-09-23,25.65
MLG,2014-09-24,25.65
MLG,2014-09-25,26.116
MLG,2014-09-26,25.65
MLG,2014-09-29,25.65
MLG,2014-09-30,25.65
MLG,2014-10-01,26.116
MLG,2014-10-02,26.116
MLG,2014-10-03,26.107
MLG,2014-10-06,26.107
MLG,2014-10-07,26.107
MLG,2014-10-08,26.107
MLG,2014-10-09,26.107
MLG,2014-10-10,26.107
MLG,2014-10-13,26.107
MLG,2014-10-14,26.107
MLG,2014-10-15,25.463
MLG,2014-10-16,26.116
MLG,2014-10-20,26.107
MLG,2014-10-21,26.107
MLG,2014-10-22,26.107
MLG,2014-10-23,26.107
MLG,2014-10-24,26.098
MLG,2014-10-27,26.098
MLG,2014-10-28,25.184
MLG,2014-10-29,24.492
MLG,2014-10-30,25.455
MLG,2014-10-31,25.789
MLG,2014-11-03,25.184
MLG,2014-11-04,26.107
MLG,2014-11-05,26.107
MLG,2014-11-06,26.107
MLG,2014-11-07,26.107
MLG,2014-11-10,25.37
MLG,2014-11-14,24.997
MLG,2014-11-17,24.997
MLG,2014-11-18,24.997
MLG,2014-11-19,26.116
MLG,2014-11-20,26.116
MLG,2014-11-21,26.089
MLG,2014-11-24,26.089
MLG,2014-11-25,26.089
MLG,2014-11-26,25.184
MLG,2014-11-27,25.742
MLG,2014-12-02,26.116
MLG,2014-12-03,26.116
MLG,2014-12-05,26.303
MLG,2014-12-08,26.303
MLG,2014-12-09,27.049
MLG,2014-12-10,28.075
MLG,2014-12-11,30.314
MLG,2014-12-12,33.466
MLG,2014-12-15,32.552
MLG,2014-12-16,32.011
MLG,2014-12-17,32.645
MLG,2014-12-18,33.344
MLG,2014-12-19,31.712
MLG,2014-12-22,31.712
MLG,2014-12-23,31.712
MLG,2014-12-29,31.712
MLG,2014-12-30,32.552
MLG,2015-01-02,31.554
MLG,2015-01-05,32.645
MLG,2015-01-07,31.507
MLG,2015-01-08,32.319
MLG,2015-01-09,32.645
MLG,2015-01-12,32.645
MLG,2015-01-13,32.319
MLG,2015-01-14,32.458
MLG,2015-01-15,32.338
MLG,2015-01-16,32.347
MLG,2015-01-19,31.712
MLG,2015-01-20,31.34
MLG,2015-01-21,31.526
MLG,2015-01-22,30.789
