<TICKER>,<DATE>,<CLOSE>
MOJ,2007-06-13,6.633
MOJ,2007-06-14,6.5304
MOJ,2007-06-15,6.9502
MOJ,2007-06-18,8.0231
MOJ,2007-06-19,8.0231
MOJ,2007-06-20,8.4056
MOJ,2007-06-21,8.6761
MOJ,2007-06-22,9.0493
MOJ,2007-06-25,9.0212
MOJ,2007-06-26,8.8254
MOJ,2007-06-27,8.3962
MOJ,2007-06-28,8.4242
MOJ,2007-06-29,8.1163
MOJ,2007-07-02,7.7805
MOJ,2007-07-03,7.6125
MOJ,2007-07-04,7.3887
MOJ,2007-07-05,7.4633
MOJ,2007-07-06,7.454
MOJ,2007-07-09,7.2488
MOJ,2007-07-10,7.0901
MOJ,2007-07-11,6.9222
MOJ,2007-07-12,7.2301
MOJ,2007-07-13,7.1181
MOJ,2007-07-16,6.9689
MOJ,2007-07-17,7.2301
MOJ,2007-07-18,7.0995
MOJ,2007-07-19,7.2114
MOJ,2007-07-20,7.2114
MOJ,2007-07-23,7.4353
MOJ,2007-07-24,7.2301
MOJ,2007-07-25,7.1648
MOJ,2007-07-26,7.0248
MOJ,2007-07-27,6.9502
MOJ,2007-07-30,6.8196
MOJ,2007-07-31,6.9782
MOJ,2007-08-01,6.8943
MOJ,2007-08-02,6.9408
MOJ,2007-08-03,6.7076
MOJ,2007-08-06,6.5771
MOJ,2007-08-07,6.1573
MOJ,2007-08-08,6.2505
MOJ,2007-08-09,5.98
MOJ,2007-08-10,5.4109
MOJ,2007-08-13,5.7747
MOJ,2007-08-14,5.5974
MOJ,2007-08-16,4.7578
MOJ,2007-08-17,5.1311
MOJ,2007-08-20,5.4389
MOJ,2007-08-21,5.299
MOJ,2007-08-22,5.3083
MOJ,2007-08-23,5.1776
MOJ,2007-08-24,5.0097
MOJ,2007-08-27,5.299
MOJ,2007-08-28,4.9444
MOJ,2007-08-29,4.6646
MOJ,2007-08-30,4.6646
MOJ,2007-08-31,4.7205
MOJ,2007-09-03,4.7392
MOJ,2007-09-04,4.7485
MOJ,2007-09-05,4.6179
MOJ,2007-09-06,4.7019
MOJ,2007-09-07,4.6552
MOJ,2007-09-10,4.5993
MOJ,2007-09-11,4.562
MOJ,2007-09-12,4.3847
MOJ,2007-09-13,4.5246
MOJ,2007-09-14,4.4967
MOJ,2007-09-17,4.338
MOJ,2007-09-18,4.1328
MOJ,2007-09-19,4.2634
MOJ,2007-09-20,4.2634
MOJ,2007-09-21,4.2914
MOJ,2007-09-24,4.2354
MOJ,2007-09-25,4.2727
MOJ,2007-09-26,4.3287
MOJ,2007-09-27,4.338
MOJ,2007-09-28,4.2448
MOJ,2007-10-01,4.1887
MOJ,2007-10-02,4.1328
MOJ,2007-10-03,4.1701
MOJ,2007-10-04,4.1514
MOJ,2007-10-05,4.562
MOJ,2007-10-08,4.5993
MOJ,2007-10-09,4.534
MOJ,2007-10-10,4.5806
MOJ,2007-10-11,4.6739
MOJ,2007-10-12,4.7858
MOJ,2007-10-15,4.6832
MOJ,2007-10-16,4.9165
MOJ,2007-10-17,6.5584
MOJ,2007-10-18,6.2038
MOJ,2007-10-19,6.2505
MOJ,2007-10-22,6.1386
MOJ,2007-10-23,6.2412
MOJ,2007-10-24,5.924
MOJ,2007-10-25,5.5321
MOJ,2007-10-26,5.7934
MOJ,2007-10-29,6.0639
MOJ,2007-10-30,6.0266
MOJ,2007-10-31,6.0639
MOJ,2007-11-02,5.9613
MOJ,2007-11-05,5.8587
MOJ,2007-11-06,5.6814
MOJ,2007-11-07,5.5042
MOJ,2007-11-08,5.4575
MOJ,2007-11-09,5.299
MOJ,2007-11-12,5.1776
MOJ,2007-11-13,5.4575
MOJ,2007-11-14,5.3642
MOJ,2007-11-15,4.6459
MOJ,2007-11-16,4.6552
MOJ,2007-11-19,4.338
MOJ,2007-11-20,4.3847
MOJ,2007-11-21,3.6384
MOJ,2007-11-22,4.2914
MOJ,2007-11-23,4.366
MOJ,2007-11-26,4.3847
