<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2006-12-20,21.799,22.479,21.483,21.868
2006-12-21,22.183,22.627,21.897,22.627
2006-12-22,22.676,23.633,22.676,23.633
2006-12-27,23.859,24.628,23.662,24.333
2006-12-28,24.313,24.313,23.672,24.047
2006-12-29,24.057,24.737,23.652,24.648
2007-01-02,23.721,24.648,23.721,24.648
2007-01-03,24.648,24.944,24.155,24.944
2007-01-04,24.648,24.796,24.254,24.796
2007-01-05,24.835,24.835,24.451,24.648
2007-01-08,24.855,27.31,24.855,26.413
2007-01-09,26.521,27.507,26.196,27.507
2007-01-10,27.024,27.803,26.433,26.472
2007-01-11,26.916,27.409,26.62,27.162
2007-01-12,27.212,27.606,27.113,27.212
2007-01-15,27.409,27.507,26.62,26.719
2007-01-16,26.62,27.507,25.644,27.458
2007-01-17,27.596,29.381,26.866,29.085
2007-01-18,29.568,29.676,28.493,29.568
2007-01-19,29.459,29.459,28.099,28.493
2007-01-22,28.493,28.493,26.62,26.817
2007-01-23,27.803,28.099,25.782,26.117
2007-01-24,26.028,26.857,25.052,25.161
2007-01-25,25.338,25.881,25.141,25.151
2007-01-26,25.535,25.831,24.944,25.417
2007-01-29,25.92,27.32,25.831,25.979
2007-01-30,26.226,27.133,26.226,27.103
2007-01-31,27.271,27.606,27.162,27.576
2007-02-01,27.902,28.148,26.728,28.148
2007-02-02,27.902,28.188,27.409,28
2007-02-05,27.517,28.188,27.507,28.099
2007-02-06,27.902,28.05,27.705,27.764
2007-02-07,28.099,28.128,27.803,28.099
2007-02-08,28.188,28.493,27.714,28.099
2007-02-09,27.606,28.089,27.409,28.079
2007-02-12,27.606,27.705,25.93,27.705
2007-02-13,27.606,27.606,26.719,27.606
2007-02-14,27.606,27.902,27.606,27.705
2007-02-15,27.803,28.454,27.803,28.454
2007-02-16,28.395,28.888,27.705,28.592
2007-02-19,28.641,28.74,28.099,28.335
2007-02-20,28.493,28.592,28.099,28.197
2007-02-21,28.099,28.395,28.099,28.345
2007-02-22,28.099,28.247,28.099,28.197
2007-02-23,28.197,30.564,28.197,29.578
2007-02-26,30.021,30.071,29.292,29.578
2007-02-27,29.578,29.578,27.113,28.099
2007-02-28,26.62,29.282,26.62,29.085
2007-03-01,28.592,29.558,28.592,29.183
2007-03-02,29.479,29.479,28.651,29.43
2007-03-05,28.493,28.592,28.109,28.493
2007-03-06,29.085,29.568,28.493,29.558
2007-03-07,29.568,34.014,29.568,33.521
2007-03-08,35.355,38.352,35,36.44
2007-03-09,36.282,36.371,34.606,35.69
2007-03-12,35.69,37.948,35.69,37.86
2007-03-13,37.86,42.878,37.465,39.831
2007-03-14,38.057,41.409,37.82,41.409
2007-03-15,44.169,44.367,42.395,44.091
2007-03-16,44.317,44.564,42.592,44.179
2007-03-19,44.367,44.367,42.207,44.219
2007-03-20,44.219,44.367,43.41,43.923
2007-03-21,43.923,43.923,42.405,43.371
2007-03-22,43.381,44.268,42.198,43.578
2007-03-23,43.134,43.381,39.536,42.395
2007-03-26,41.32,41.803,41.014,41.113
2007-03-27,41.212,41.902,40.423,40.916
2007-03-28,40.916,41.409,39.536,39.536
2007-03-29,39.595,40.216,38.491,38.944
2007-03-30,39.043,39.634,39.043,39.536
2007-04-02,39.831,43.134,39.437,42.395
2007-04-03,42.395,42.878,40.916,41.606
2007-04-04,41.705,45.846,40.433,44.86
2007-04-05,45.353,45.826,44.465,44.86
2007-04-10,46.338,48.803,43.529,44.653
2007-04-11,44.367,44.367,42.198,43.381
2007-04-12,42,42.444,40.522,40.916
2007-04-13,40.965,43.381,40.916,42.888
2007-04-16,42.198,42.937,41.902,42.691
2007-04-17,42.681,42.681,41.014,42.296
2007-04-18,42,42,41.014,41.212
2007-04-19,41.103,41.103,39.733,41.014
2007-04-20,40.423,42.148,40.423,41.409
2007-04-23,40.64,40.916,39.93,40.443
2007-04-24,40.038,41.902,40.038,41.902
2007-04-25,41.941,43.174,41.507,43.085
2007-04-26,44.367,44.86,42.799,43.371
2007-04-27,43.381,43.558,42.395,43.391
2007-04-30,42.888,43.558,41.153,43.558
2007-05-02,43.775,43.874,43.331,43.381
2007-05-04,42.888,43.272,41.606,42.986
2007-05-07,43.233,43.529,43.184,43.43
2007-05-08,43.519,44.13,41.409,41.409
2007-05-09,40.916,41.31,39.486,39.93
2007-05-10,39.437,39.93,37.662,37.662
2007-05-11,34.705,37.445,34.705,36.479
2007-05-14,36.726,38.885,36.302,36.331
2007-05-15,36.676,37.938,35.493,35.592
2007-05-16,35.789,36.479,35.296,35.395
2007-05-17,35.405,36.282,33.521,33.827
2007-05-18,33.729,35,33.531,34.902
2007-05-21,36.479,36.479,34.902,35.198
2007-05-22,35.493,35.493,33.541,35
2007-05-23,36.144,37.958,35,35.493
2007-05-24,36.174,37.948,36.085,37.258
2007-05-25,37.761,37.761,36.479,37.258
2007-05-28,37.603,37.761,35.986,37.268
2007-05-29,37.021,37.367,36.085,36.962
2007-05-30,36.568,37.465,36.479,37.268
2007-05-31,37.465,39.881,36.795,38.52
2007-06-01,39.831,39.881,38.55,39.141
2007-06-04,39.92,39.92,37.672,38.845
2007-06-05,39.565,39.565,38.451,39.141
2007-06-06,38.944,38.944,37.672,37.781
2007-06-08,36.529,36.972,36.292,36.331
2007-06-11,36.962,36.962,35.69,36.479
2007-06-12,35.848,36.765,35.848,36.479
2007-06-13,35.888,36.479,35.7,36.469
2007-06-14,35.937,36.844,35.937,35.986
2007-06-15,35.937,36.824,35.937,36.676
2007-06-18,37.465,37.465,36.085,36.331
2007-06-19,36.282,36.469,36.154,36.469
2007-06-20,36.479,36.745,36.085,36.183
2007-06-21,36.183,36.479,36.183,36.479
2007-06-22,36.489,37.455,36.381,36.479
2007-06-25,36.578,36.962,36.381,36.676
2007-06-26,36.479,38.352,36.479,38.352
2007-06-27,37.958,38.352,36.686,36.686
2007-06-28,36.588,37.238,36.282,36.479
2007-06-29,36.775,36.775,35,36.183
2007-07-02,36.183,36.183,35.05,35.296
2007-07-03,34.803,36.479,34.803,35.493
2007-07-04,35.306,35.306,34.527,35.188
2007-07-05,35.838,35.838,34.714,34.783
2007-07-06,34.764,34.764,33.423,33.472
2007-07-09,33.817,34.014,33.078,33.423
2007-07-10,33.324,34.507,32.733,33.236
2007-07-11,33.038,34.507,33.038,34.507
2007-07-12,34.507,36.676,34.409,36.676
2007-07-13,37.465,38.451,35,35.099
2007-07-16,35.493,35.888,33.63,34.507
2007-07-17,34.823,37.268,34.113,36.775
2007-07-18,37.021,37.071,35.602,36.874
2007-07-19,36.775,36.775,35.789,36.479
2007-07-20,36.085,36.952,34.705,35.395
2007-07-23,34.705,35.69,34.527,35.69
2007-07-24,35.158,36.381,35.099,35.395
2007-07-25,34.606,35.198,34.212,35.198
2007-07-26,35.69,35.69,34.557,34.567
2007-07-27,33.768,33.995,32.545,33.995
2007-07-30,34.803,35.493,33.995,34.31
2007-07-31,35.493,35.493,33.965,34.99
2007-08-01,34.113,34.409,33.63,34.113
2007-08-02,34.014,35,33.916,34.113
2007-08-03,34.507,34.507,34.113,34.113
2007-08-06,34.507,34.507,33.521,33.62
2007-08-07,34.507,34.507,33.531,33.531
2007-08-08,33.62,34.014,33.324,34.014
2007-08-09,34.261,34.261,33.817,34.014
2007-08-10,32.979,33.029,30.465,30.623
2007-08-13,29.578,31.845,29.578,31.165
2007-08-14,31.993,32.536,30.071,31.352
2007-08-16,29.676,29.676,25.24,26.916
2007-08-17,26.127,29.292,25.24,29.292
2007-08-20,31.559,31.559,28.592,29.39
2007-08-21,29.095,29.39,28.69,28.71
2007-08-22,28.7,30.564,28.592,30.465
2007-08-23,30.751,31.53,29.874,30.859
2007-08-24,31.392,31.55,30.564,31.55
