<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2016-04-28,5.9718,6.3231,5.5766,6.0596
2016-04-29,6.1475,6.1475,5.9279,6.042
2016-05-02,6.042,6.0596,6.042,6.0596
2016-05-04,6.0596,6.0596,6.0157,6.0508
2016-05-05,6.0508,6.0508,5.9015,6.0508
2016-05-06,6.3231,6.3231,5.9015,6.0596
2016-05-09,6.0596,6.0596,6.0596,6.0596
2016-05-10,5.9279,5.9279,5.9279,5.9279
2016-05-11,5.9279,6.0947,5.9279,6.0947
2016-05-12,6.0947,6.0947,6.0947,6.0947
2016-05-13,6.0947,6.1386,6.0245,6.0245
2016-05-16,5.9894,6.1475,5.9894,6.1475
2016-05-17,6.0245,6.0245,6.0157,6.0157
2016-05-18,6.0596,6.0947,6.0596,6.0947
2016-05-19,6.0684,6.0947,5.9981,6.0947
2016-05-20,5.9981,6.0947,5.9981,6.0596
2016-05-23,5.9981,6.0596,5.9981,6.0596
2016-05-24,5.9981,6.0596,5.9981,6.0596
2016-05-25,6.1036,6.1036,6.1036,6.1036
2016-05-27,6.1475,6.1475,6.1475,6.1475
2016-05-30,6.1036,6.1036,6.0947,6.0947
2016-05-31,6.0947,6.121,5.9015,6.121
2016-06-01,6.1123,6.1123,5.8753,5.9191
2016-06-02,5.7698,6.1123,5.761,6.1123
2016-06-03,6.1123,6.1123,5.9367,5.9367
2016-06-06,5.9367,6.1123,5.9367,6.1123
2016-06-07,6.1123,6.1123,6.1123,6.1123
2016-06-08,6.1123,6.1123,5.9367,5.9367
2016-06-09,6.1123,6.1123,5.9103,5.9103
2016-06-10,6.086,6.086,6.086,6.086
2016-06-13,6.1123,6.1123,5.884,5.9718
2016-06-14,6.1123,6.1123,5.8753,5.8927
2016-06-15,6.1123,6.1123,5.8664,5.8927
2016-06-16,6.1123,6.1123,6.0596,6.0596
2016-06-17,6.1123,6.1123,6.1123,6.1123
2016-06-20,6.1123,6.1123,6.1123,6.1123
2016-06-21,6.0947,6.0947,5.84,5.9981
2016-06-22,6.0948,6.0948,5.9981,5.9981
2016-06-23,6.1036,6.1036,5.9981,6.0508
2016-06-24,5.7083,5.7083,5.2692,5.7083
2016-06-27,5.6995,5.84,5.6995,5.84
2016-06-28,5.8576,6.0157,5.8576,6.0069
2016-06-29,6.1036,6.1036,6.0069,6.0069
2016-06-30,6.0069,6.4109,5.9893,6.1036
2016-07-01,6.1123,6.1123,6.0596,6.0596
2016-07-04,6.0684,6.2704,6.0684,6.2704
2016-07-05,6.2792,6.3846,6.2792,6.3846
2016-07-06,6.5829,6.5829,6.0148,6.3395
2016-07-07,6.3395,6.3395,6.2763,6.3395
2016-07-08,6.3215,6.3215,6.3215,6.3215
2016-07-11,6.3215,6.3215,6.2583,6.3124
2016-07-12,6.3215,6.3215,6.1771,6.1771
2016-07-13,6.3215,6.3215,6.3215,6.3215
2016-07-14,6.3124,6.3124,6.3124,6.3124
2016-07-15,6.3215,6.3215,6.1321,6.2944
2016-07-18,6.1321,6.1321,5.7984,6.1321
2016-07-19,6.1321,6.1321,6.1321,6.1321
2016-07-20,6.1321,6.1321,5.8074,6.096
2016-07-21,6.0419,6.0419,6.0419,6.0419
2016-07-22,6.0419,6.0419,6.0419,6.0419
2016-07-25,6.096,6.3034,5.9066,6.3034
2016-07-26,6.3034,6.3034,5.9517,6.0599
2016-07-27,6.3034,6.3034,6.3034,6.3034
2016-07-28,6.3034,6.3034,6.2583,6.2583
2016-07-29,6.3034,6.3034,6.1681,6.1681
2016-08-01,6.3034,6.3034,6.3034,6.3034
2016-08-02,6.3034,6.3034,6.1681,6.3034
2016-08-03,6.3034,6.3034,5.9517,6.0419
2016-08-04,6.3034,6.3034,5.9517,6.087
2016-08-05,6.3034,6.3034,6.3034,6.3034
2016-08-08,6.3034,6.3034,6.3034,6.3034
2016-08-09,6.3034,6.3034,6.1321,6.1321
2016-08-10,6.3034,6.3034,6.0329,6.0329
2016-08-11,6.0329,6.1321,5.9517,6.1321
2016-08-12,6.0419,6.1321,6.0419,6.1321
2016-08-16,6.2222,6.2222,6.0599,6.2222
2016-08-17,6.2222,6.2222,5.9427,6.2222
2016-08-18,6.2222,6.2222,6.096,6.2222
2016-08-19,6.2222,6.2222,6.087,6.087
2016-08-22,6.087,6.087,6.0329,6.087
2016-08-23,6.087,6.087,5.9517,5.9517
2016-08-24,6.087,6.087,5.8345,6.0419
2016-08-25,6.0419,6.0419,5.9698,6.0419
2016-08-26,6.0419,6.0419,5.9517,5.9517
2016-08-29,6.0419,6.0419,5.9607,6.0238
2016-08-30,6.0419,6.0419,6.0419,6.0419
2016-08-31,6.0419,6.3124,5.8074,6.3124
