<DATE>,<CLOSE>
2013-11-21,15.497
2013-11-22,15.487
2013-11-25,15.487
2013-11-26,15.535
2013-11-27,15.448
2013-11-28,15.372
2013-11-29,15.487
2013-12-02,15.196
2013-12-03,14.712
2013-12-04,14.519
2013-12-05,14.887
2013-12-06,15.38
2013-12-09,15.245
2013-12-10,15.003
2013-12-11,14.945
2013-12-12,14.887
2013-12-13,14.896
2013-12-16,15.245
2013-12-17,15.196
2013-12-18,15.129
2013-12-19,14.945
2013-12-20,14.78
2013-12-23,14.945
2013-12-27,15.332
2013-12-30,15.293
2014-01-02,14.945
2014-01-03,14.597
2014-01-07,14.587
2014-01-08,14.607
2014-01-09,14.49
2014-01-10,14.305
2014-01-13,14.296
2014-01-14,14.335
2014-01-15,14.249
2014-01-16,14.199
2014-01-17,14.181
2014-01-20,14.325
2014-01-21,14.315
2014-01-22,14.305
2014-01-23,14.229
2014-01-24,14.229
2014-01-27,14.199
2014-01-28,14.161
2014-01-29,14.113
2014-01-30,14.113
2014-01-31,14.471
2014-02-03,14.287
2014-02-04,14.412
2014-02-05,14.421
2014-02-06,14.354
2014-02-07,14.335
2014-02-10,14.421
2014-02-11,14.509
2014-02-12,14.857
2014-02-13,14.75
2014-02-14,14.81
2014-02-17,14.665
2014-02-18,14.519
2014-02-19,14.519
2014-02-20,14.229
2014-02-21,14.315
2014-02-24,14.471
2014-02-25,14.616
2014-02-26,14.181
2014-02-27,14.025
2014-02-28,13.967
2014-03-03,13.503
2014-03-04,13.358
2014-03-05,12.68
2014-03-06,12.671
2014-03-07,12.39
2014-03-10,12.496
2014-03-11,12.526
2014-03-12,12.34
2014-03-13,12.322
2014-03-14,11.992
2014-03-17,12.438
2014-03-18,12.39
2014-03-19,12.292
2014-03-20,12.922
2014-03-21,13.068
2014-03-24,12.971
2014-03-25,12.835
2014-03-26,12.835
2014-03-27,12.815
2014-03-28,12.825
2014-03-31,13.551
2014-04-01,13.435
2014-04-02,13.29
2014-04-03,13.058
2014-04-04,13.241
2014-04-07,13.241
2014-04-08,13.019
2014-04-09,12.767
2014-04-10,12.874
2014-04-11,13.009
2014-04-14,12.971
2014-04-15,12.961
2014-04-16,12.747
2014-04-17,12.718
2014-04-22,12.718
2014-04-23,12.708
2014-04-24,12.671
2014-04-25,12.486
2014-04-28,12.137
2014-04-29,12.273
2014-04-30,12.235
2014-05-02,12.235
2014-05-05,12.235
2014-05-06,12.68
2014-05-07,12.516
2014-05-08,12.187
2014-05-09,12.1
2014-05-12,12.438
2014-05-13,12.37
2014-05-14,12.476
2014-05-15,12.961
2014-05-16,12.292
2014-05-19,12.283
2014-05-20,12.273
2014-05-21,12.4
2014-05-22,12.467
2014-05-23,12.38
2014-05-26,12.447
2014-05-27,12.447
2014-05-28,12.216
2014-05-29,12.332
2014-05-30,12.476
2014-06-02,12.476
2014-06-03,12.38
2014-06-04,12.38
2014-06-05,12.264
2014-06-06,12.38
2014-06-09,12.11
2014-06-10,12.177
2014-06-11,12.1
2014-06-12,12.051
2014-06-13,11.799
2014-06-16,12.583
2014-06-17,12.573
2014-06-18,12.486
2014-06-20,12.476
2014-06-23,12.553
2014-06-24,12.486
2014-06-25,12.39
2014-06-26,12.39
2014-06-27,12.38
2014-06-30,12.35
2014-07-01,12.196
2014-07-02,12.245
2014-07-03,12.09
2014-07-04,12.264
2014-07-07,11.71
2014-07-08,11.72
2014-07-09,11.449
2014-07-10,11.381
2014-07-11,11.11
2014-07-14,11.353
2014-07-15,11.343
2014-07-16,11.343
2014-07-17,11.236
2014-07-18,11.207
2014-07-21,11.207
2014-07-22,11.129
2014-07-23,10.993
2014-07-24,10.945
2014-07-25,10.576
2014-07-28,10.674
2014-07-29,10.634
2014-07-30,10.304
2014-07-31,9.703
2014-08-01,10.091
2014-08-04,9.974
2014-08-05,9.965
2014-08-06,9.965
2014-08-07,9.965
2014-08-08,9.703
2014-08-11,9.731
2014-08-12,9.547
2014-08-13,9.567
2014-08-14,9.45
2014-08-18,9.557
2014-08-19,9.547
2014-08-20,9.538
2014-08-21,9.557
2014-08-22,9.508
2014-08-25,9.518
2014-08-26,9.557
2014-08-27,9.731
2014-08-28,9.703
2014-08-29,9.8
2014-09-01,9.4118
2014-09-02,9.712
2014-09-03,9.79
2014-09-04,9.8
2014-09-05,9.576
2014-09-08,9.993
2014-09-09,9.974
2014-09-10,9.974
2014-09-11,10.674
2014-09-12,10.469
2014-09-15,10.43
2014-09-16,10.654
2014-09-17,10.488
2014-09-18,10.664
2014-09-19,11.061
2014-09-22,10.916
2014-09-23,10.925
2014-09-24,10.818
2014-09-25,10.76
2014-09-26,10.664
2014-09-29,10.546
2014-09-30,11.041
2014-10-01,11.013
2014-10-02,11.148
2014-10-03,10.945
2014-10-06,10.916
2014-10-07,10.576
2014-10-08,10.343
2014-10-09,10.265
2014-10-10,10.178
2014-10-13,10.528
2014-10-14,10.518
2014-10-15,10.566
2014-10-16,10.42
2014-10-17,10.576
2014-10-20,10.576
2014-10-21,10.576
2014-10-22,10.674
2014-10-23,10.925
2014-10-24,10.674
2014-10-27,10.867
2014-10-28,10.837
2014-10-29,10.818
2014-10-30,10.595
2014-10-31,11.401
2014-11-03,11.003
2014-11-04,11.333
2014-11-05,11.284
2014-11-06,10.964
2014-11-07,10.644
2014-11-10,10.818
2014-11-12,10.867
2014-11-13,10.847
2014-11-14,10.896
2014-11-17,10.711
2014-11-18,10.576
2014-11-19,10.674
2014-11-20,10.721
2014-11-21,10.964
2014-11-24,10.828
2014-11-25,11.255
2014-11-26,11.031
2014-11-27,11.167
2014-11-28,11.167
2014-12-01,11.207
2014-12-02,11.643
2014-12-03,12.341
2014-12-04,12.584
2014-12-05,12.401
2014-12-08,12.245
2014-12-09,12.177
2014-12-10,12.187
2014-12-11,12.381
2014-12-12,12.273
2014-12-15,12.225
2014-12-16,12.225
2014-12-17,12.031
2014-12-18,12.147
2014-12-19,12.147
2014-12-22,12.041
2014-12-23,11.944
2014-12-29,12.127
2014-12-30,12.119
2015-01-02,12.323
2015-01-05,12.468
2015-01-07,12.537
2015-01-08,12.517
2015-01-09,12.817
2015-01-12,13.196
2015-01-13,13.477
2015-01-14,13.38
2015-01-15,13.564
2015-01-16,13.535
2015-01-19,13.273
2015-01-20,13.341
2015-01-21,13.283
2015-01-22,13.147
2015-01-23,13.264
2015-01-26,13.098
2015-01-27,13.477
2015-01-28,13.467
