<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1998-09-15,7.667,7.667,7.667,7.667
1998-09-16,7.5823,7.5823,7.5823,7.5823
1998-09-17,6.8621,6.8621,6.8621,6.8621
1998-09-18,6.1774,6.1774,6.1774,6.1774
1998-09-21,6.1774,6.1774,6.1774,6.1774
1998-09-22,6.3115,6.3115,6.3115,6.3115
1998-09-23,6.7351,6.7351,6.7351,6.7351
1998-09-24,6.8198,6.8198,6.8198,6.8198
1998-09-25,6.5162,6.5162,6.5162,6.5162
1998-09-28,6.6504,6.6504,6.6504,6.6504
1998-09-29,6.6857,6.6857,6.6857,6.6857
1998-09-30,6.8198,6.8198,6.8198,6.8198
1998-10-01,6.2197,6.2197,6.2197,6.2197
1998-10-02,6.0079,6.0079,6.0079,6.0079
1998-10-05,6.1349,6.1349,6.1349,6.1349
1998-10-06,5.6267,5.6267,5.6267,5.6267
1998-10-07,5.669,5.669,5.669,5.669
1998-10-08,5.3726,5.3726,5.3726,5.3726
1998-10-09,5.1113,5.1113,5.1113,5.1113
1998-10-12,5.1538,5.1538,5.1538,5.1538
1998-10-13,5.196,5.196,5.196,5.196
1998-10-14,5.2808,5.2808,5.2808,5.2808
1998-10-15,5.5419,5.5419,5.5419,5.5419
1998-10-16,5.7114,5.7114,5.7114,5.7114
1998-10-19,5.8385,5.8385,5.8385,5.8385
1998-10-20,5.7961,5.7961,5.7961,5.7961
1998-10-21,5.9655,5.9655,5.9655,5.9655
1998-10-22,6.2622,6.2622,6.2622,6.2622
1998-10-23,6.3962,6.3962,6.3962,6.3962
1998-10-26,6.3962,6.3962,6.3962,6.3962
1998-10-27,6.3962,6.3962,6.3962,6.3962
1998-10-28,6.3962,6.3962,6.3962,6.3962
1998-10-29,6.3962,6.3962,6.3962,6.3962
1998-10-30,6.7704,6.7704,6.7704,6.7704
1998-11-02,6.7351,6.7351,6.7351,6.7351
1998-11-03,6.6504,6.6504,6.6504,6.6504
1998-11-04,6.6009,6.6009,6.6009,6.6009
1998-11-05,6.7351,6.7351,6.7351,6.7351
1998-11-06,6.2197,6.2197,6.2197,6.2197
1998-11-09,6.5162,6.5162,6.5162,6.5162
1998-11-10,6.6009,6.6009,6.6009,6.6009
1998-11-12,6.6009,6.6009,6.6009,6.6009
1998-11-13,6.7351,6.7351,6.7351,6.7351
1998-11-16,6.8621,6.8621,6.8621,6.8621
1998-11-17,7.0316,7.0316,7.0316,7.0316
1998-11-18,7.0316,7.0316,7.0316,7.0316
1998-11-19,6.7704,6.7704,6.7704,6.7704
1998-11-20,6.5655,6.5655,6.5655,6.5655
1998-11-23,6.6009,6.6009,6.6009,6.6009
1998-11-24,6.6009,6.6009,6.6009,6.6009
1998-11-25,6.3962,6.3962,6.3962,6.3962
1998-11-26,6.8198,6.8198,6.8198,6.8198
1998-11-27,6.8621,6.8621,6.8621,6.8621
1998-11-30,6.8198,6.8198,6.8198,6.8198
1998-12-01,7.0316,7.0316,7.0316,7.0316
1998-12-02,7.201,7.201,7.201,7.201
1998-12-03,7.201,7.201,7.201,7.201
1998-12-04,7.4128,7.4128,7.4128,7.4128
1998-12-07,7.667,7.667,7.667,7.667
1998-12-08,7.6316,7.6316,7.6316,7.6316
1998-12-09,7.6316,7.6316,7.6316,7.6316
1998-12-10,6.9046,6.9046,6.9046,6.9046
1998-12-11,6.9046,6.9046,6.9046,6.9046
1998-12-14,6.7351,6.7351,6.7351,6.7351
1998-12-15,6.8621,6.8621,6.8621,6.8621
1998-12-16,6.9469,6.9469,6.9469,6.9469
1998-12-17,7.0316,7.0316,7.0316,7.0316
1998-12-18,6.8621,6.8621,6.8621,6.8621
1998-12-21,6.9046,6.9046,6.9046,6.9046
1998-12-22,6.8198,6.8198,6.8198,6.8198
1998-12-23,6.9046,6.9046,6.9046,6.9046
1998-12-28,7.0316,7.0316,7.0316,7.0316
1998-12-29,7.2434,7.2434,7.2434,7.2434
1998-12-30,7.1586,7.1586,7.1586,7.1586
1998-12-31,6.9893,6.9893,6.9893,6.9893
1999-01-04,7.2434,7.2434,7.2434,7.2434
1999-01-05,7.201,7.201,7.201,7.201
1999-01-06,6.9893,6.9893,6.9893,6.9893
1999-01-07,7.2434,7.2434,7.2434,7.2434
1999-01-08,7.201,7.201,7.201,7.201
1999-01-11,7.1586,7.1586,7.1586,7.1586
1999-01-12,7.0316,7.0316,7.0316,7.0316
1999-01-13,6.7704,6.7704,6.7704,6.7704
1999-01-14,6.1349,6.1349,6.1349,6.1349
1999-01-15,6.0079,6.0079,6.0079,6.0079
1999-01-18,6.6009,6.6009,6.6009,6.6009
1999-01-19,6.7704,6.7704,6.7704,6.7704
1999-01-20,6.6857,6.6857,6.6857,6.6857
1999-01-21,6.6857,6.6857,6.6857,6.6857
1999-01-22,6.4314,6.4314,6.4314,6.4314
1999-01-25,6.6504,6.6504,6.6504,6.6504
1999-01-26,6.6504,6.6504,6.6504,6.6504
1999-01-27,6.6009,6.6009,6.6009,6.6009
1999-01-28,6.0926,6.0926,6.0926,6.0926
1999-01-29,6.4314,6.4314,6.4314,6.4314
1999-02-01,6.4314,6.4314,6.4314,6.4314
1999-02-02,6.3469,6.3469,6.3469,6.3469
1999-02-03,6.3962,6.3962,6.3962,6.3962
1999-02-04,6.5655,6.5655,6.5655,6.5655
1999-02-05,6.4314,6.4314,6.4314,6.4314
1999-02-08,6.5655,6.5655,6.5655,6.5655
1999-02-09,6.6857,6.6857,6.6857,6.6857
1999-02-10,6.5162,6.5162,6.5162,6.5162
1999-02-11,6.5162,6.5162,6.5162,6.5162
1999-02-12,6.6504,6.6504,6.6504,6.6504
1999-02-15,6.7351,6.7351,6.7351,6.7351
1999-02-16,6.6857,6.6857,6.6857,6.6857
1999-02-17,6.6857,6.6857,6.6857,6.6857
1999-02-18,6.7704,6.7704,6.7704,6.7704
1999-02-19,6.8198,6.8198,6.8198,6.8198
1999-02-22,7.0316,7.0316,7.0316,7.0316
1999-02-23,7.2434,7.2434,7.2434,7.2434
1999-02-24,7.2929,7.2929,7.2929,7.2929
1999-02-25,7.201,7.201,7.201,7.201
1999-02-26,7.1163,7.1163,7.1163,7.1163
1999-03-01,7.1163,7.1163,7.1163,7.1163
1999-03-02,6.6857,6.6857,6.6857,6.6857
1999-03-03,6.8198,6.8198,6.8198,6.8198
1999-03-04,6.8621,6.8621,6.8621,6.8621
1999-03-05,7.1163,7.1163,7.1163,7.1163
1999-03-08,7.1586,7.1586,7.1586,7.1586
1999-03-09,7.1586,7.1586,7.1586,7.1586
1999-03-10,7.1163,7.1163,7.1163,7.1163
1999-03-11,6.9893,6.9893,6.9893,6.9893
1999-03-12,7.1163,7.1163,7.1163,7.1163
1999-03-15,7.1163,7.1163,7.1163,7.1163
1999-03-16,6.9469,6.9469,6.9469,6.9469
1999-03-17,6.8198,6.8198,6.8198,6.8198
1999-03-18,6.9046,6.9046,6.9046,6.9046
1999-03-19,6.8198,6.8198,6.8198,6.8198
1999-03-22,7.0316,7.0316,7.0316,7.0316
1999-03-23,6.9046,6.9046,6.9046,6.9046
1999-03-24,6.7351,6.7351,6.7351,6.7351
1999-03-25,6.6504,6.6504,6.6504,6.6504
1999-03-26,6.7351,6.7351,6.7351,6.7351
1999-03-29,6.7351,6.7351,6.7351,6.7351
1999-03-30,6.8198,6.8198,6.8198,6.8198
1999-03-31,6.7704,6.7704,6.7704,6.7704
1999-04-01,6.8198,6.8198,6.8198,6.8198
1999-04-06,6.9046,6.9046,6.9046,6.9046
1999-04-07,6.9046,6.9046,6.9046,6.9046
1999-04-08,6.8198,6.8198,6.8198,6.8198
1999-04-09,6.7704,6.7704,6.7704,6.7704
1999-04-12,6.7704,6.7704,6.7704,6.7704
1999-04-13,6.9046,6.9046,6.9046,6.9046
1999-04-14,6.9046,6.9046,6.9046,6.9046
1999-04-15,6.9046,6.9046,6.9046,6.9046
1999-04-16,6.9046,6.9046,6.9046,6.9046
1999-04-19,6.9469,6.9469,6.9469,6.9469
1999-04-20,6.8198,6.8198,6.8198,6.8198
1999-04-21,6.9893,6.9893,6.9893,6.9893
1999-04-22,7.0316,7.0316,7.0316,7.0316
1999-04-23,7.0739,7.0739,7.0739,7.0739
1999-04-26,7.2929,7.2929,7.2929,7.2929
1999-04-27,7.3775,7.3775,7.3775,7.3775
1999-04-28,7.4128,7.4128,7.4128,7.4128
1999-04-29,7.2434,7.2434,7.2434,7.2434
1999-04-30,7.2929,7.2929,7.2929,7.2929
1999-05-04,7.3775,7.3775,7.3775,7.3775
1999-05-05,7.2929,7.2929,7.2929,7.2929
1999-05-06,7.2434,7.2434,7.2434,7.2434
1999-05-07,7.2434,7.2434,7.2434,7.2434
1999-05-10,7.2434,7.2434,7.2434,7.2434
1999-05-11,7.1586,7.1586,7.1586,7.1586
1999-05-12,7.201,7.201,7.201,7.201
1999-05-13,7.201,7.201,7.201,7.201
1999-05-14,7.3775,7.3775,7.3775,7.3775
1999-05-17,8.0976,8.0976,8.0976,8.0976
1999-05-18,8.91,8.91,8.91,8.91
1999-05-19,9.757,9.757,9.757,9.757
1999-05-20,9.587,9.587,9.587,9.587
1999-05-21,9.3752,9.3752,9.3752,9.3752
1999-05-24,9.587,9.587,9.587,9.587
1999-05-25,9.502,9.502,9.502,9.502
1999-05-26,9.587,9.587,9.587,9.587
1999-05-27,9.757,9.757,9.757,9.757
1999-05-28,7.328,7.328,7.328,7.328
1999-05-31,7.4623,7.4623,7.4623,7.4623
1999-06-01,7.1586,7.1586,7.1586,7.1586
1999-06-02,6.9469,6.9469,6.9469,6.9469
