<TICKER>,<DATE>,<CLOSE>
MVP,2008-06-19,6.2923
MVP,2008-06-20,6.0173
MVP,2008-06-23,5.8914
MVP,2008-06-24,5.8992
MVP,2008-06-25,5.7023
MVP,2008-06-26,5.7814
MVP,2008-06-27,6.096
MVP,2008-06-30,6.2885
MVP,2008-07-01,6.2885
MVP,2008-07-02,6.2533
MVP,2008-07-03,6.2923
MVP,2008-07-04,5.9778
MVP,2008-07-07,5.9463
MVP,2008-07-08,5.9225
MVP,2008-07-09,6.1941
MVP,2008-07-10,5.9778
MVP,2008-07-11,5.8992
MVP,2008-07-14,5.9663
MVP,2008-07-15,5.9778
MVP,2008-07-16,5.9778
MVP,2008-07-17,6.0291
MVP,2008-07-18,6.0487
MVP,2008-07-21,6.0092
MVP,2008-07-22,6.0487
MVP,2008-07-23,6.0917
MVP,2008-07-24,6.0487
MVP,2008-07-25,5.7615
MVP,2008-07-28,5.7615
MVP,2008-07-29,5.7615
MVP,2008-07-30,5.7023
MVP,2008-07-31,5.4272
MVP,2008-08-01,5.8992
MVP,2008-08-04,6.2728
MVP,2008-08-05,5.9582
MVP,2008-08-06,5.9973
MVP,2008-08-07,5.9973
MVP,2008-08-08,5.9778
MVP,2008-08-11,5.9778
MVP,2008-08-12,5.9936
MVP,2008-08-13,5.9936
MVP,2008-08-14,5.9936
MVP,2008-08-18,5.9936
MVP,2008-08-19,5.974
MVP,2008-08-20,5.8992
MVP,2008-08-21,5.8992
MVP,2008-08-22,5.8992
MVP,2008-08-25,5.8992
MVP,2008-08-26,5.8992
MVP,2008-08-27,5.8992
MVP,2008-08-28,5.8992
MVP,2008-08-29,5.8992
MVP,2008-09-01,5.8953
MVP,2008-09-02,5.8753
MVP,2008-09-03,5.8209
MVP,2008-09-04,5.7814
MVP,2008-09-05,5.7737
MVP,2008-09-08,5.7852
MVP,2008-09-09,5.7814
MVP,2008-09-10,5.7419
MVP,2008-09-11,5.7381
MVP,2008-09-12,5.7381
MVP,2008-09-15,5.5845
MVP,2008-09-17,5.5649
MVP,2008-09-18,5.5064
MVP,2008-09-19,5.6989
MVP,2008-09-22,5.7381
MVP,2008-09-24,5.7381
MVP,2008-10-01,5.4664
MVP,2008-10-07,5.5731
MVP,2008-10-14,5.616
MVP,2008-10-16,5.3682
MVP,2008-10-21,5.3682
MVP,2008-10-22,5.1127
MVP,2008-10-24,5.0931
MVP,2008-10-27,4.7195
MVP,2008-11-05,4.7195
MVP,2008-11-06,4.7195
MVP,2008-11-10,4.6804
MVP,2008-11-13,4.8415
MVP,2008-11-14,4.6604
MVP,2008-11-17,4.6485
MVP,2008-11-18,4.873
MVP,2008-11-19,5.0341
MVP,2008-11-20,4.7981
MVP,2008-11-21,4.7195
MVP,2008-11-26,4.7195
MVP,2008-12-01,4.7195
MVP,2008-12-02,4.6409
MVP,2008-12-04,4.6409
MVP,2008-12-10,4.7195
MVP,2008-12-15,4.8176
MVP,2008-12-23,4.7353
MVP,2008-12-30,4.9164
MVP,2008-12-31,4.8176
MVP,2009-01-06,4.9712
MVP,2009-01-07,4.9712
MVP,2009-01-08,4.9712
MVP,2009-01-09,5.1203
MVP,2009-01-12,5.1403
MVP,2009-01-13,5.1561
MVP,2009-01-15,5.026
MVP,2009-01-16,4.9359
MVP,2009-01-23,5.1599
MVP,2009-01-26,5.5731
MVP,2009-01-29,5.4272
MVP,2009-02-02,5.5064
MVP,2009-02-03,5.4077
MVP,2009-02-04,5.5064
MVP,2009-02-12,5.5454
MVP,2009-02-13,5.577
MVP,2009-02-25,5.4864
MVP,2009-03-03,5.4272
MVP,2009-03-05,5.5731
MVP,2009-03-09,5.6041
MVP,2009-03-11,5.5064
MVP,2009-03-12,5.6041
MVP,2009-03-13,5.5064
MVP,2009-03-17,5.6241
MVP,2009-03-24,5.6632
MVP,2009-03-26,5.6632
MVP,2009-03-27,5.6632
MVP,2009-03-30,5.7814
MVP,2009-03-31,5.9268
MVP,2009-04-01,6.0525
MVP,2009-04-02,6.1941
MVP,2009-04-03,6.1941
MVP,2009-04-06,6.1979
MVP,2009-04-07,6.32
MVP,2009-04-09,6.2137
MVP,2009-04-22,6.096
MVP,2009-05-06,5.9778
MVP,2009-05-15,5.8835
MVP,2009-05-18,5.2113
MVP,2009-05-19,5.1913
MVP,2009-05-20,5.0731
MVP,2009-05-21,4.8691
MVP,2009-05-22,4.7114
MVP,2009-05-25,4.5227
MVP,2009-05-26,4.2472
MVP,2009-05-27,4.3968
MVP,2009-05-28,4.3578
MVP,2009-05-29,4.2472
MVP,2009-06-01,4.3496
MVP,2009-06-02,4.6409
MVP,2009-06-03,4.4835
MVP,2009-06-04,4.5618
MVP,2009-06-08,4.3301
MVP,2009-06-09,4.2472
MVP,2009-06-10,4.3263
MVP,2009-06-12,4.4635
MVP,2009-06-16,4.3263
MVP,2009-06-17,4.2472
MVP,2009-06-18,4.2472
MVP,2009-06-19,4.169
MVP,2009-06-22,4.1295
MVP,2009-06-23,4.0784
MVP,2009-06-24,4.031
MVP,2009-06-25,4.0903
MVP,2009-06-26,4.0903
MVP,2009-06-29,4.1295
MVP,2009-06-30,4.149
MVP,2009-07-01,4.0708
MVP,2009-07-06,4.0547
MVP,2009-07-07,4.031
MVP,2009-07-08,4.1528
MVP,2009-07-09,4.1885
MVP,2009-07-13,4.149
MVP,2009-07-15,4.149
MVP,2009-07-16,4.208
MVP,2009-07-17,4.149
MVP,2009-07-23,4.1295
MVP,2009-07-24,4.1295
MVP,2009-07-27,4.0626
MVP,2009-07-28,4.904
MVP,2009-07-29,4.79
MVP,2009-07-30,4.444
MVP,2009-07-31,4.6918
MVP,2009-08-03,4.7781
MVP,2009-08-04,4.688
MVP,2009-08-05,4.5618
MVP,2009-08-06,4.4049
MVP,2009-08-07,4.7195
MVP,2009-08-10,4.4401
MVP,2009-08-11,4.5032
MVP,2009-08-12,4.8334
MVP,2009-08-13,5.9192
MVP,2009-08-14,6.8395
MVP,2009-08-17,9.0966
MVP,2009-08-18,10.265
MVP,2009-08-19,9.517
MVP,2009-08-20,8.8097
MVP,2009-08-21,9.0497
MVP,2009-08-24,7.9841
MVP,2009-08-25,7.6693
MVP,2009-08-26,7.661
MVP,2009-08-27,7.3151
MVP,2009-08-28,6.729
MVP,2009-08-31,7.0006
MVP,2009-09-01,6.5168
MVP,2009-09-02,6.0802
MVP,2009-09-03,5.8992
MVP,2009-09-04,6.2923
MVP,2009-09-07,7.9841
MVP,2009-09-08,6.9019
MVP,2009-09-09,7.0988
MVP,2009-09-10,7.2326
MVP,2009-09-11,7.185
MVP,2009-09-14,6.8433
MVP,2009-09-15,6.9886
MVP,2009-09-16,7.0792
MVP,2009-09-17,7.1817
MVP,2009-09-18,6.8629
MVP,2009-09-21,6.4931
MVP,2009-09-22,6.4931
MVP,2009-09-23,7.0792
MVP,2009-09-24,7.0792
MVP,2009-09-25,6.8433
MVP,2009-09-28,6.8233
MVP,2009-09-29,7.0596
MVP,2009-09-30,7.0006
MVP,2009-10-01,6.8824
MVP,2009-10-02,6.7646
MVP,2009-10-05,6.9215
MVP,2009-10-06,6.7485
MVP,2009-10-07,6.8824
MVP,2009-10-08,6.6779
MVP,2009-10-09,6.481
MVP,2009-10-12,6.5364
MVP,2009-10-13,6.2923
MVP,2009-10-14,6.1356
MVP,2009-10-15,6.155
MVP,2009-10-16,6.2728
MVP,2009-10-19,6.3714
MVP,2009-10-20,6.7252
MVP,2009-10-21,6.6465
MVP,2009-10-22,6.8671
MVP,2009-10-23,6.8037
MVP,2009-10-26,6.9377
MVP,2009-10-27,7.1184
MVP,2009-10-28,7.1736
MVP,2009-10-29,7.1579
MVP,2009-10-30,6.9215
MVP,2009-11-02,6.9019
MVP,2009-11-03,7.0006
MVP,2009-11-04,6.7761
MVP,2009-11-05,6.7841
MVP,2009-11-06,6.5759
MVP,2009-11-09,6.5793
MVP,2009-11-10,6.7604
MVP,2009-11-12,6.7923
MVP,2009-11-13,6.686
MVP,2009-11-16,6.6265
MVP,2009-11-17,6.6069
MVP,2009-11-18,6.4305
MVP,2009-11-19,6.4305
MVP,2009-11-20,6.686
MVP,2009-11-23,6.8824
MVP,2009-11-24,6.9215
MVP,2009-11-25,7.0792
MVP,2009-11-26,7.0396
MVP,2009-11-27,6.8785
MVP,2009-11-30,6.7013
MVP,2009-12-01,6.6665
MVP,2009-12-02,6.5483
MVP,2009-12-03,6.4615
MVP,2009-12-04,6.2923
MVP,2009-12-07,6.2923
MVP,2009-12-08,6.391
MVP,2009-12-09,6.3319
MVP,2009-12-10,6.2923
MVP,2009-12-11,6.2923
MVP,2009-12-14,6.0764
MVP,2009-12-15,6.2533
MVP,2009-12-16,6.3714
MVP,2009-12-17,6.2533
MVP,2009-12-18,6.2337
MVP,2009-12-21,6.0412
MVP,2009-12-22,6.0173
MVP,2009-12-23,5.5965
MVP,2009-12-28,5.9582
MVP,2009-12-29,6.4105
MVP,2009-12-30,6.686
MVP,2009-12-31,6.9063
MVP,2010-01-04,6.8629
MVP,2010-01-05,6.686
MVP,2010-01-06,6.6193
MVP,2010-01-07,6.6231
MVP,2010-01-08,6.686
MVP,2010-01-11,6.6069
MVP,2010-01-12,6.2494
MVP,2010-01-13,6.2923
MVP,2010-01-14,6.4931
MVP,2010-01-15,6.6465
MVP,2010-01-18,6.4105
MVP,2010-01-19,6.4105
MVP,2010-01-20,6.5483
MVP,2010-01-21,6.6069
MVP,2010-01-22,6.4305
MVP,2010-01-25,6.2533
MVP,2010-01-26,6.359
MVP,2010-01-27,6.442
MVP,2010-01-28,6.3714
MVP,2010-01-29,6.4105
MVP,2010-02-01,6.4105
MVP,2010-02-02,6.3162
MVP,2010-02-03,6.3319
MVP,2010-02-04,6.3243
MVP,2010-02-05,6.2885
MVP,2010-02-08,5.9778
MVP,2010-02-09,6.1389
MVP,2010-02-10,6.2337
MVP,2010-02-11,6.1356
MVP,2010-02-12,6.686
MVP,2010-02-15,6.6426
MVP,2010-02-16,6.5088
MVP,2010-02-17,6.5088
MVP,2010-02-18,6.5444
MVP,2010-02-19,6.4105
MVP,2010-02-22,6.2923
MVP,2010-02-23,6.4305
MVP,2010-02-24,6.45
MVP,2010-02-25,6.45
MVP,2010-02-26,6.45
MVP,2010-03-01,6.45
MVP,2010-03-02,6.45
MVP,2010-03-03,6.3714
MVP,2010-03-04,6.3515
MVP,2010-03-05,6.3714
MVP,2010-03-08,6.45
MVP,2010-03-09,6.45
MVP,2010-03-10,6.3714
MVP,2010-03-11,6.3714
MVP,2010-03-12,6.4105
MVP,2010-03-15,6.4182
MVP,2010-03-16,6.501
MVP,2010-03-17,8.66
MVP,2010-03-18,8.7742
MVP,2010-03-19,7.6413
MVP,2010-03-22,7.7087
MVP,2010-03-23,7.4643
MVP,2010-03-24,7.3696
MVP,2010-03-25,7.4173
MVP,2010-03-26,7.9803
MVP,2010-03-29,7.8615
MVP,2010-03-30,7.7828
MVP,2010-03-31,7.602
MVP,2010-04-01,7.3545
MVP,2010-04-06,7.2758
MVP,2010-04-07,7.4135
MVP,2010-04-08,7.4135
MVP,2010-04-09,7.3855
MVP,2010-04-12,7.8259
MVP,2010-04-13,7.5906
MVP,2010-04-14,7.4332
MVP,2010-04-15,7.645
MVP,2010-04-16,7.4725
MVP,2010-04-19,7.0792
MVP,2010-04-20,7.2243
MVP,2010-04-21,7.1579
MVP,2010-04-22,7.1498
MVP,2010-04-23,7.0478
MVP,2010-04-26,7.0396
MVP,2010-04-27,7.0396
MVP,2010-04-28,6.8629
MVP,2010-04-29,6.8547
MVP,2010-04-30,7.0006
MVP,2010-05-04,6.9611
MVP,2010-05-05,6.7646
MVP,2010-05-06,6.7485
MVP,2010-05-07,6.8742
MVP,2010-05-10,6.7252
MVP,2010-05-11,6.7252
MVP,2010-05-12,6.9611
MVP,2010-05-13,6.9611
MVP,2010-05-14,6.8233
MVP,2010-05-17,6.788
MVP,2010-05-18,6.788
MVP,2010-05-19,6.6737
MVP,2010-05-20,6.45
MVP,2010-05-21,6.391
MVP,2010-05-24,6.3515
MVP,2010-05-25,6.3515
MVP,2010-05-26,6.1941
MVP,2010-05-27,6.4105
MVP,2010-05-28,6.4892
MVP,2010-05-31,6.4892
MVP,2010-06-01,6.4696
MVP,2010-06-02,6.4892
MVP,2010-06-04,6.3714
MVP,2010-06-07,6.4262
MVP,2010-06-08,6.4654
MVP,2010-06-09,6.45
MVP,2010-06-10,6.4854
MVP,2010-06-11,6.4615
MVP,2010-06-14,6.2609
MVP,2010-06-15,6.1745
MVP,2010-06-16,6.096
MVP,2010-06-17,5.9778
MVP,2010-06-18,5.9387
MVP,2010-06-21,6.0564
MVP,2010-06-22,5.8992
MVP,2010-06-23,5.6517
MVP,2010-06-24,5.7615
MVP,2010-06-25,5.7615
MVP,2010-06-28,5.7142
MVP,2010-06-29,5.8009
MVP,2010-06-30,5.5845
MVP,2010-07-01,5.5649
MVP,2010-07-02,5.7023
MVP,2010-07-05,5.8209
MVP,2010-07-06,5.8992
MVP,2010-07-07,6.2923
MVP,2010-07-08,6.084
MVP,2010-07-09,6.1389
MVP,2010-07-12,6.3633
MVP,2010-07-13,6.155
MVP,2010-07-14,5.8835
MVP,2010-07-15,5.6632
MVP,2010-07-16,5.6827
MVP,2010-07-19,5.5021
MVP,2010-07-20,5.5178
MVP,2010-07-21,5.5064
MVP,2010-07-22,5.5064
MVP,2010-07-23,5.5804
MVP,2010-07-26,5.4864
MVP,2010-07-27,5.2113
MVP,2010-07-28,5.1913
MVP,2010-07-29,5.0341
MVP,2010-07-30,4.8764
MVP,2010-08-02,4.8764
MVP,2010-08-03,4.8764
MVP,2010-08-04,4.912
MVP,2010-08-05,4.7981
MVP,2010-08-06,4.7981
MVP,2010-08-09,4.7981
MVP,2010-08-10,4.5974
MVP,2010-08-11,4.6366
MVP,2010-08-12,4.6761
MVP,2010-08-13,4.6761
MVP,2010-08-16,4.6999
MVP,2010-08-17,4.6804
MVP,2010-08-18,4.6761
MVP,2010-08-19,4.7114
MVP,2010-08-20,4.6561
MVP,2010-08-23,4.7195
MVP,2010-08-24,4.6604
MVP,2010-08-25,4.4835
MVP,2010-08-26,4.4835
MVP,2010-08-27,4.4206
MVP,2010-08-30,4.3812
MVP,2010-08-31,4.444
MVP,2010-09-01,4.3339
MVP,2010-09-02,4.3263
MVP,2010-09-03,4.3068
MVP,2010-09-06,4.4835
MVP,2010-09-07,4.6485
MVP,2010-09-08,4.5227
MVP,2010-09-09,4.4755
MVP,2010-09-10,4.3691
MVP,2010-09-13,4.4049
MVP,2010-09-14,4.2829
MVP,2010-09-15,4.322
MVP,2010-09-16,4.3263
MVP,2010-09-17,4.3263
MVP,2010-09-20,4.3457
MVP,2010-09-21,4.322
MVP,2010-09-22,4.322
MVP,2010-09-23,4.2747
MVP,2010-09-24,4.4245
MVP,2010-09-27,4.2944
MVP,2010-09-28,4.2514
MVP,2010-09-29,4.1213
MVP,2010-09-30,4.2395
MVP,2010-10-01,4.2276
MVP,2010-10-04,4.2634
MVP,2010-10-05,4.2434
MVP,2010-10-06,4.2124
MVP,2010-10-07,4.2042
MVP,2010-10-08,4.1928
MVP,2010-10-11,4.208
MVP,2010-10-12,4.2595
MVP,2010-10-13,4.2829
MVP,2010-10-14,4.2472
MVP,2010-10-15,4.2472
MVP,2010-10-18,4.208
MVP,2010-10-19,4.208
MVP,2010-10-20,4.208
MVP,2010-10-21,4.2276
MVP,2010-10-22,4.1928
MVP,2010-10-25,4.2124
MVP,2010-10-26,4.169
MVP,2010-10-27,4.0941
MVP,2010-10-28,4.0784
MVP,2010-10-29,4.1295
MVP,2010-11-02,4.1295
MVP,2010-11-03,4.169
MVP,2010-11-04,4.1295
MVP,2010-11-05,4.0903
MVP,2010-11-08,4.0588
MVP,2010-11-09,4.1295
MVP,2010-11-10,4.6251
MVP,2010-11-12,5.0183
MVP,2010-11-15,5.0379
MVP,2010-11-16,4.6918
MVP,2010-11-17,4.7942
MVP,2010-11-18,4.7586
MVP,2010-11-19,4.6684
MVP,2010-11-22,4.5422
MVP,2010-11-23,4.4635
MVP,2010-11-24,4.3339
MVP,2010-11-25,4.5937
MVP,2010-11-26,4.6804
MVP,2010-11-29,4.6561
MVP,2010-11-30,4.7156
MVP,2010-12-01,4.6918
MVP,2010-12-02,4.5584
MVP,2010-12-03,4.4835
MVP,2010-12-06,4.3812
MVP,2010-12-07,4.3182
MVP,2010-12-08,4.3339
MVP,2010-12-09,4.322
MVP,2010-12-10,4.4049
MVP,2010-12-13,4.4006
MVP,2010-12-14,4.3263
MVP,2010-12-15,4.2868
MVP,2010-12-16,4.3616
MVP,2010-12-17,4.3263
MVP,2010-12-20,4.2395
MVP,2010-12-21,4.2042
MVP,2010-12-22,4.1136
MVP,2010-12-23,4.0155
MVP,2010-12-27,4.0823
MVP,2010-12-28,4.0665
MVP,2010-12-29,4.1651
MVP,2010-12-30,4.2276
MVP,2010-12-31,4.2472
MVP,2011-01-03,4.208
MVP,2011-01-04,4.1457
MVP,2011-01-05,4.0708
MVP,2011-01-07,4.0508
MVP,2011-01-10,4.031
MVP,2011-01-11,4.0665
MVP,2011-01-12,3.9959
MVP,2011-01-13,4.0035
MVP,2011-01-14,3.9879
MVP,2011-01-17,3.9919
MVP,2011-01-18,4.0271
MVP,2011-01-19,4.0271
MVP,2011-01-20,3.9683
MVP,2011-01-21,3.9287
MVP,2011-01-24,3.9683
MVP,2011-01-25,3.9328
MVP,2011-01-26,3.8936
MVP,2011-01-27,3.7795
MVP,2011-01-28,3.7795
MVP,2011-01-31,3.5907
MVP,2011-02-01,3.516
MVP,2011-02-02,3.4727
MVP,2011-02-03,3.8148
MVP,2011-02-04,3.8344
MVP,2011-02-07,3.7362
MVP,2011-02-08,3.6693
MVP,2011-02-09,3.6693
MVP,2011-02-10,3.6261
MVP,2011-02-11,3.6339
MVP,2011-02-14,3.7362
MVP,2011-02-15,3.7755
MVP,2011-02-16,3.7716
MVP,2011-02-17,3.693
MVP,2011-02-18,3.7086
MVP,2011-02-21,3.6576
MVP,2011-02-22,3.5788
MVP,2011-02-23,3.6339
MVP,2011-02-24,3.7086
MVP,2011-02-25,3.7126
MVP,2011-02-28,3.7126
MVP,2011-03-01,3.6576
MVP,2011-03-02,3.7126
MVP,2011-03-03,3.7401
MVP,2011-03-04,3.7362
MVP,2011-03-07,3.7166
MVP,2011-03-08,3.6969
MVP,2011-03-09,3.8188
