<TICKER>,<DATE>,<CLOSE>
MWT,2007-09-28,2.8793
MWT,2007-10-01,2.7742
MWT,2007-10-02,2.7143
MWT,2007-10-03,2.7143
MWT,2007-10-04,2.8305
MWT,2007-10-05,3.0555
MWT,2007-10-08,3.2054
MWT,2007-10-09,3.0854
MWT,2007-10-10,2.898
MWT,2007-10-11,2.8867
MWT,2007-10-12,2.8493
MWT,2007-10-15,2.8493
MWT,2007-10-16,2.8117
MWT,2007-10-17,2.8679
MWT,2007-10-18,2.7968
MWT,2007-10-19,2.7742
MWT,2007-10-22,2.7555
MWT,2007-10-23,2.8567
MWT,2007-10-24,2.9242
MWT,2007-10-25,2.808
MWT,2007-10-26,2.8117
MWT,2007-10-29,2.8493
MWT,2007-10-30,2.8117
MWT,2007-10-31,2.8493
MWT,2007-11-02,2.8117
MWT,2007-11-05,2.8942
MWT,2007-11-06,2.8117
MWT,2007-11-07,2.7368
MWT,2007-11-08,2.6993
MWT,2007-11-09,2.6468
MWT,2007-11-12,2.6244
MWT,2007-11-13,2.6806
MWT,2007-11-14,2.7368
MWT,2007-11-15,2.6618
MWT,2007-11-16,2.7293
MWT,2007-11-19,2.6806
MWT,2007-11-20,2.6055
MWT,2007-11-21,2.5493
MWT,2007-11-22,2.5043
MWT,2007-11-23,2.5231
MWT,2007-11-26,2.8005
MWT,2007-11-27,2.808
MWT,2007-11-28,3.1867
MWT,2007-11-29,3.3741
MWT,2007-11-30,3.5616
MWT,2007-12-03,3.6366
MWT,2007-12-04,3.4753
MWT,2007-12-05,3.4716
MWT,2007-12-06,3.5053
MWT,2007-12-07,3.5241
MWT,2007-12-10,3.6366
MWT,2007-12-11,3.5991
MWT,2007-12-12,3.4303
MWT,2007-12-13,3.5616
MWT,2007-12-14,3.5204
MWT,2007-12-17,3.3704
MWT,2007-12-18,3.2804
MWT,2007-12-19,3.2692
MWT,2007-12-21,3.0067
MWT,2007-12-27,3.0404
MWT,2007-12-28,3.0742
MWT,2008-01-02,3.3142
MWT,2008-01-03,3.2991
MWT,2008-01-04,3.1867
MWT,2008-01-07,3.1829
MWT,2008-01-08,3.003
MWT,2008-01-09,2.8867
MWT,2008-01-10,2.6993
MWT,2008-01-11,2.9992
