<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2017-06-30,42.743,44.151,41.868,42.629
2017-07-03,43.314,43.314,41.487,42.515
2017-07-04,42.515,43.733,42.515,43.733
2017-07-05,43.733,43.747,43.733,43.747
2017-07-06,43.733,43.733,43.733,43.733
2017-07-07,43.656,43.656,43.656,43.656
2017-07-10,42.819,42.819,42.819,42.819
2017-07-11,42.629,42.629,42.629,42.629
2017-07-12,42.629,42.629,42.629,42.629
2017-07-13,42.629,42.629,42.629,42.629
2017-07-14,42.629,43.162,41.868,43.162
2017-07-17,42.629,43.078,42.629,43.078
2017-07-18,43.352,47.158,43.352,44.912
2017-07-19,44.912,45.659,44.798,44.912
2017-07-20,44.989,45.659,44.722,44.912
2017-07-21,45.552,45.727,43.352,44.912
2017-07-24,45.262,45.262,43.39,43.481
2017-07-25,44.258,44.73,43.846,44.441
2017-07-26,44.38,44.38,44.151,44.38
2017-07-27,44.456,44.699,41.883,42.781
2017-07-28,43.695,43.999,42.636,43.976
2017-07-31,43.93,44.144,43.915,44.144
2017-08-01,44.151,44.151,44.068,44.151
2017-08-02,44.151,44.151,43.055,44.136
2017-08-03,44.136,44.136,43.329,43.39
2017-08-04,43.39,43.39,43.147,43.39
2017-08-07,43.39,43.991,43.138,43.991
2017-08-08,43.39,43.915,43.39,43.915
2017-08-09,43.762,43.762,42.568,43.383
2017-08-10,43.009,43.367,41.921,43.086
2017-08-11,42.621,42.728,42.621,42.728
2017-08-14,42.629,42.865,42.629,42.774
2017-08-16,42.774,42.774,42.629,42.629
2017-08-17,42.827,42.827,41.038,42.247
2017-08-18,41.114,42.247,40.345,42.149
2017-08-21,42.149,42.149,41.107,41.935
2017-08-22,41.935,42.111,41.107,41.868
2017-08-23,42.035,42.035,41.107,41.868
2017-08-24,41.868,41.868,41.335,41.859
2017-08-25,41.859,41.859,41.259,41.859
2017-08-28,41.859,41.859,41.487,41.487
2017-08-29,41.335,41.868,40.345,41.358
2017-08-30,41.852,41.852,41.335,41.335
2017-08-31,40.725,41.83,40.353,41.677
2017-09-01,41.83,41.83,41.487,41.487
2017-09-04,41.487,41.487,41.107,41.107
2017-09-05,41.015,41.03,40.84,40.84
2017-09-06,41.107,41.107,39.355,41.107
2017-09-07,41.83,41.83,40.649,41.092
2017-09-08,41.792,41.792,39.805,40.992
2017-09-11,41.099,41.099,39.584,41.008
2017-09-12,40.992,40.992,40.345,40.725
2017-09-13,40.763,40.977,39.797,40.97
2017-09-14,40.947,40.947,39.797,40.939
2017-09-15,40.954,40.954,39.82,40.725
2017-09-18,40.954,40.954,39.827,40.649
2017-09-19,39.965,40.649,39.965,40.641
2017-09-20,40.641,40.725,39.972,40.687
2017-09-21,40.345,40.687,40.208,40.679
2017-09-22,40.649,40.679,39.965,40.679
2017-09-25,40.649,41.061,40.01,41.061
2017-09-26,41.061,41.061,40.353,40.954
2017-09-27,41.023,41.023,40.094,40.725
2017-09-28,40.931,40.931,39.965,39.965
2017-09-29,39.965,40.345,39.584,39.584
2017-10-02,36.92,36.92,30.297,31.971
2017-10-03,30.335,30.335,24.512,24.512
2017-10-04,25.112,27.062,25.112,26.034
2017-10-05,26.597,26.597,24.36,25.12
2017-10-06,25.12,25.463,23.066,23.971
2017-10-09,23.674,25.105,23.674,24.96
2017-10-10,25.112,25.112,24.055,24.732
2017-10-11,25.074,25.875,25.067,25.578
2017-10-12,25.798,25.867,24.36,24.36
2017-10-13,25.021,25.021,24.36,24.96
2017-10-16,24.968,24.968,24.367,24.915
2017-10-17,24.884,24.884,24.36,24.603
2017-10-18,24.816,24.816,24.048,24.048
2017-10-19,24.588,24.588,23.605,23.818
2017-10-20,23.826,24.284,23.416,23.956
