<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2006-04-10,32.751,38.661,32.177,36.444
2006-04-11,37.841,41.862,33.737,34.311
2006-04-12,35.214,36.691,33.571,34.721
2006-04-13,35.296,35.378,32.751,33.244
2006-04-18,32.587,33.162,32.094,33.162
2006-04-19,34.064,34.146,33.162,33.326
2006-04-20,33.571,33.571,32.751,33.162
2006-04-21,32.998,33.9,32.424,33.654
2006-04-24,33.654,33.818,32.915,33.08
2006-04-25,33.162,33.326,32.751,33.244
2006-04-26,33.571,33.571,32.751,33.244
2006-04-27,33.162,33.244,32.915,33.162
2006-04-28,33.162,33.571,32.998,33.408
2006-05-02,33.162,33.571,33.08,33.162
2006-05-04,33.162,34.721,33.162,34.721
2006-05-05,35.378,36.281,35.049,35.296
2006-05-08,33.326,33.9,33.162,33.408
2006-05-09,32.998,33.49,32.915,33.162
2006-05-10,32.915,33.326,32.915,33.162
2006-05-11,33.162,33.49,32.998,33.244
2006-05-12,33.162,33.408,33.162,33.162
2006-05-15,33.162,33.326,32.915,33.162
2006-05-16,33.244,33.49,33.08,33.244
2006-05-17,33.571,34.393,33.244,33.571
2006-05-18,33.654,35.049,33.654,35.049
2006-05-19,35.049,36.117,34.805,35.543
2006-05-22,36.198,36.198,33.571,33.818
2006-05-23,33.571,33.571,30.37,32.67
2006-05-24,32.67,32.751,30.945,31.52
2006-05-25,31.191,31.52,28.482,31.437
2006-05-26,32.094,32.177,30.782,32.012
2006-05-29,32.177,32.751,30.863,31.437
2006-05-30,31.274,31.437,30.125,30.289
2006-05-31,29.632,30.699,28.893,30.37
2006-06-01,31.11,31.191,30.453,31.191
2006-06-02,31.191,32.341,31.11,31.52
2006-06-05,31.602,32.012,30.617,31.191
2006-06-06,31.52,31.52,30.453,30.453
2006-06-07,31.191,31.191,30.207,30.699
2006-06-08,30.125,30.125,28.976,29.959
2006-06-09,30.125,30.37,29.959,30.289
2006-06-12,30.37,30.37,29.222,30.289
2006-06-13,28.237,28.81,27.826,28.401
2006-06-14,27.252,28.81,27.252,28.729
2006-06-16,29.222,30.043,28.401,28.401
2006-06-19,28.319,29.14,28.237,29.14
2006-06-20,29.058,29.14,28.401,29.14
2006-06-21,29.222,29.468,28.893,29.468
2006-06-22,29.632,29.632,28.237,29.303
2006-06-23,28.482,28.729,28.237,28.729
2006-06-26,28.154,28.893,28.154,28.893
2006-06-27,29.222,29.222,28.154,28.729
2006-06-28,28.81,28.81,28.154,28.401
2006-06-29,28.401,28.401,27.826,28.319
2006-06-30,27.826,28.154,27.252,28.072
2006-07-03,28.237,28.237,26.841,27.415
2006-07-04,27.415,27.415,26.841,27.415
2006-07-05,26.922,28.154,26.922,28.072
2006-07-06,28.072,28.648,27.334,28.401
2006-07-07,28.401,29.385,28.401,29.14
2006-07-10,28.648,28.81,28.648,28.648
2006-07-11,29.385,29.385,28.648,28.729
2006-07-12,29.468,29.797,29.468,29.715
2006-07-13,29.878,30.043,29.303,29.303
2006-07-14,27.663,29.55,27.663,29.55
2006-07-17,29.632,30.043,29.222,29.959
2006-07-18,29.959,30.207,29.959,30.207
2006-07-19,29.222,30.863,29.222,30.782
2006-07-20,31.027,31.437,30.617,31.437
2006-07-21,31.437,31.437,31.437,31.437
2006-07-24,31.437,31.437,31.027,31.11
2006-07-25,31.027,31.437,30.289,31.437
2006-07-26,31.437,31.437,31.027,31.437
2006-07-27,31.027,31.437,30.617,31.437
2006-07-28,31.11,31.274,30.617,31.191
2006-07-31,31.437,31.437,29.797,31.437
2006-08-01,31.274,31.437,31.027,31.437
2006-08-02,31.356,31.356,30.699,31.356
2006-08-03,30.863,31.191,30.453,31.11
2006-08-04,29.959,30.945,29.959,30.945
2006-08-07,31.356,32.833,31.356,32.504
2006-08-08,33.08,33.818,32.587,33.49
2006-08-09,33.49,34.23,32.587,33.49
2006-08-10,33.49,33.49,32.587,33.08
2006-08-11,33.408,33.408,32.751,33.08
2006-08-14,33.08,33.08,32.504,32.67
2006-08-16,32.67,32.998,31.766,31.849
2006-08-17,31.849,32.915,31.766,32.833
2006-08-18,32.833,32.833,32.259,32.341
2006-08-21,32.259,32.587,32.259,32.587
2006-08-22,31.93,32.751,31.93,32.587
2006-08-23,32.67,32.751,32.587,32.751
2006-08-24,32.751,32.751,32.341,32.587
2006-08-25,32.587,32.587,32.504,32.587
2006-08-28,32.259,32.587,32.259,32.587
2006-08-29,32.504,32.504,32.504,32.504
2006-08-30,32.504,32.67,32.504,32.67
2006-08-31,32.67,33.818,32.67,33.49
2006-09-01,33.9,33.9,33.408,33.818
2006-09-04,33.9,34.475,33.571,34.311
2006-09-05,34.311,34.721,34.311,34.721
2006-09-06,34.721,34.721,34.23,34.311
2006-09-07,33.9,34.311,33.737,33.9
2006-09-08,33.9,34.721,33.737,33.9
2006-09-11,33.654,33.654,32.751,33.571
2006-09-12,33.08,33.571,33.08,33.49
2006-09-13,33.818,33.9,33.08,33.818
2006-09-14,33.08,33.9,33.08,33.9
2006-09-15,33.326,34.23,33.08,33.9
2006-09-18,33.9,34.064,33.9,33.9
2006-09-19,33.818,33.9,33.818,33.9
2006-09-20,33.9,34.064,33.08,33.08
2006-09-21,33.162,33.654,33.162,33.654
2006-09-22,33.654,33.654,33.08,33.571
2006-09-25,33.244,33.49,33.244,33.49
2006-09-26,32.67,33.08,32.587,33.08
2006-09-27,33.08,33.49,32.833,33.08
2006-09-28,33.08,33.49,33.08,33.49
2006-09-29,33.162,33.162,33.08,33.08
2006-10-02,33.08,33.654,32.259,33.408
2006-10-03,33.08,33.162,32.67,33.162
2006-10-04,32.751,33.326,32.751,33.244
2006-10-05,33.408,33.571,33.326,33.49
2006-10-06,33.244,33.737,33.162,33.737
2006-10-09,33.326,33.818,33.326,33.737
2006-10-10,33.9,34.721,33.818,34.721
2006-10-11,34.721,36.444,34.721,35.46
2006-10-12,35.543,35.952,34.638,35.131
2006-10-13,34.638,35.871,34.638,35.871
2006-10-16,35.706,35.706,34.886,35.46
2006-10-17,34.968,35.46,34.886,35.46
2006-10-18,35.049,35.378,34.886,34.886
2006-10-19,34.311,35.049,34.23,35.049
2006-10-20,34.393,34.886,34.393,34.557
2006-10-23,34.721,36.281,34.721,36.281
2006-10-24,35.952,36.281,35.952,36.035
2006-10-25,35.952,35.952,35.296,35.871
2006-10-26,35.296,35.871,35.214,35.214
2006-10-27,35.378,35.378,34.393,34.638
2006-10-30,34.23,34.23,33.162,33.162
2006-10-31,33.162,34.23,32.424,34.23
2006-11-02,33.162,34.638,32.67,33.08
2006-11-03,33.08,33.08,32.833,33.08
2006-11-06,32.833,34.146,32.259,34.146
2006-11-07,32.259,32.67,31.602,32.259
2006-11-08,32.424,32.998,31.766,32.587
2006-11-09,32.833,32.833,31.437,32.259
2006-11-10,32.259,32.504,31.437,32.259
2006-11-13,32.177,32.259,31.52,31.766
2006-11-14,31.93,31.93,30.617,31.437
2006-11-15,31.684,31.684,29.878,30.043
2006-11-16,29.878,30.945,29.058,30.945
2006-11-17,31.191,31.191,30.617,30.699
2006-11-20,31.191,31.191,29.55,30.699
2006-11-21,31.274,31.274,29.797,30.617
2006-11-22,30.617,30.617,29.797,30.289
2006-11-23,30.617,31.191,29.058,29.468
2006-11-24,30.289,30.617,30.289,30.453
2006-11-27,30.617,30.617,30.207,30.535
2006-11-28,30.289,30.289,29.058,30.207
2006-11-29,30.699,31.766,30.453,31.684
2006-11-30,31.684,32.012,31.191,31.437
2006-12-01,31.766,31.766,31.437,31.602
2006-12-04,31.766,31.766,31.52,31.52
2006-12-05,31.52,31.52,30.617,31.356
2006-12-06,30.699,31.437,30.453,31.274
2006-12-07,30.782,31.191,30.699,31.027
2006-12-08,30.617,30.617,30.125,30.617
2006-12-11,30.782,31.356,30.617,31.027
2006-12-12,31.027,31.52,31.027,31.52
2006-12-13,31.52,33.49,31.52,32.341
2006-12-14,32.833,33.408,31.93,31.93
2006-12-15,32.915,32.915,30.125,30.945
2006-12-18,30.945,31.437,30.782,30.863
2006-12-19,30.863,30.863,30.535,30.535
2006-12-20,30.453,30.535,29.715,30.043
2006-12-21,29.715,29.715,28.648,29.222
2006-12-22,29.222,29.222,28.319,28.319
2006-12-27,29.303,29.303,28.648,28.648
2006-12-28,29.222,29.303,27.826,28.237
2006-12-29,28.237,28.648,27.498,28.154
2007-01-02,28.237,29.058,28.237,28.976
2007-01-03,29.303,29.303,28.81,29.14
2007-01-04,29.058,29.058,27.99,27.99
2007-01-05,27.99,28.154,27.744,28.072
2007-01-08,29.058,29.058,27.663,28.072
2007-01-09,28.566,28.566,27.826,28.154
2007-01-10,28.319,28.319,27.17,27.415
2007-01-11,29.058,31.437,28.893,30.945
2007-01-12,31.356,31.849,31.027,31.602
2007-01-15,32.177,32.587,31.766,32.587
2007-01-16,32.67,32.998,32.177,32.259
2007-01-17,32.341,34.721,32.177,33.9
2007-01-18,35.46,37.019,33.982,34.23
2007-01-19,34.638,34.638,33.49,33.818
2007-01-22,34.805,35.214,33.571,33.571
2007-01-23,33.49,33.49,32.67,33.08
2007-01-24,33.49,34.064,33.49,33.49
2007-01-25,33.818,33.818,32.833,32.833
2007-01-26,31.93,32.998,31.93,32.67
2007-01-29,32.67,33.326,32.67,33.162
2007-01-30,33.162,33.49,32.67,33.49
2007-01-31,33.244,33.326,32.833,33.08
2007-02-01,32.915,33.49,32.915,33.162
2007-02-02,32.915,33.408,32.915,32.915
2007-02-05,33.326,33.982,32.915,33.982
2007-02-06,34.146,35.049,33.982,34.393
2007-02-07,34.886,35.214,34.311,34.311
2007-02-08,34.23,34.23,32.833,33.162
2007-02-09,33.162,33.818,33.08,33.818
2007-02-12,33.818,33.818,33.162,33.654
2007-02-13,33.326,33.654,33.244,33.49
2007-02-14,33.571,33.654,32.833,33.162
2007-02-15,33.982,34.311,33.326,33.326
2007-02-16,33.08,33.654,33.08,33.08
2007-02-19,33.49,33.9,32.751,33.9
2007-02-20,34.23,34.721,34.064,34.23
2007-02-21,34.146,34.721,34.146,34.311
2007-02-22,34.886,36.363,34.721,36.198
2007-02-23,36.691,36.691,35.214,35.871
2007-02-26,35.788,35.788,34.475,35.296
2007-02-27,33.9,35.296,32.915,32.915
2007-02-28,31.93,33.326,31.93,32.587
2007-03-01,33.571,33.571,31.93,32.259
2007-03-02,32.424,33.49,32.424,32.998
2007-03-05,32.259,32.587,31.849,32.094
2007-03-06,32.67,33.49,31.437,33.49
2007-03-07,33.49,33.818,33.08,33.08
2007-03-08,32.833,33.49,32.833,33.08
2007-03-09,33.08,33.244,32.504,32.833
2007-03-12,32.587,33.326,32.587,33.162
2007-03-13,33.244,33.244,32.833,32.833
2007-03-14,32.67,32.998,32.012,32.998
2007-03-15,33.244,33.326,32.67,32.998
2007-03-16,33.326,33.571,32.998,32.998
2007-03-19,32.998,34.475,32.998,34.311
2007-03-20,34.311,34.886,33.244,34.311
2007-03-21,34.311,35.214,34.146,34.311
2007-03-22,34.638,34.886,34.064,34.064
2007-03-23,34.721,34.805,34.23,34.311
2007-03-26,33.9,33.982,33.571,33.9
2007-03-27,34.557,34.557,33.737,33.9
2007-03-28,34.064,34.064,33.654,33.818
2007-03-29,33.9,34.146,33.818,34.064
2007-03-30,34.23,34.23,33.408,34.064
2007-04-02,33.571,33.9,33.408,33.818
2007-04-03,33.9,33.982,32.998,33.818
2007-04-04,33.9,34.311,33.408,34.311
2007-04-05,37.431,42.109,36.938,39.728
2007-04-10,38.825,39.565,37.266,38.333
2007-04-11,37.923,40.303,37.101,38.825
2007-04-12,38.333,38.333,35.543,35.543
2007-04-13,36.774,37.676,35.788,37.511
2007-04-16,39.565,39.975,37.593,38.661
2007-04-17,38.661,39.154,37.923,38.99
2007-04-18,38.825,39.072,37.758,38.743
2007-04-19,37.511,38.743,37.101,38.743
2007-04-20,39.318,39.646,38.743,38.743
