<TICKER>,<DATE>,<CLOSE>
NET,1999-07-29,57.693
NET,1999-07-30,56.528
NET,1999-08-02,56.866
NET,1999-08-03,56.804
NET,1999-08-04,56.387
NET,1999-08-05,52.414
NET,1999-08-06,52.414
NET,1999-08-09,49.606
NET,1999-08-10,47.347
NET,1999-08-11,47.622
NET,1999-08-12,50.431
NET,1999-08-13,49.606
NET,1999-08-16,49.266
NET,1999-08-17,47.481
NET,1999-08-18,43.437
NET,1999-08-19,43.853
NET,1999-08-20,45.499
NET,1999-08-23,45.836
NET,1999-08-24,45.907
NET,1999-08-25,43.918
NET,1999-08-26,43.303
NET,1999-08-27,43.303
NET,1999-08-30,43.028
NET,1999-08-31,44.672
NET,1999-09-01,44.877
NET,1999-09-02,45.632
NET,1999-09-03,47.001
NET,1999-09-07,47.961
NET,1999-09-08,47.001
NET,1999-09-09,47.071
NET,1999-09-10,46.387
NET,1999-09-13,47.551
NET,1999-09-14,47.276
NET,1999-09-15,48.785
NET,1999-09-16,49.747
NET,1999-09-17,53.649
NET,1999-09-20,51.32
NET,1999-09-21,53.373
NET,1999-09-22,53.924
NET,1999-09-23,53.239
NET,1999-09-24,52.689
NET,1999-09-27,51.8
NET,1999-09-28,50.91
NET,1999-09-29,50.431
NET,1999-09-30,49.33
NET,1999-10-01,48.785
NET,1999-10-04,49.125
NET,1999-10-05,49.675
NET,1999-10-06,49.471
NET,1999-10-07,50.565
NET,1999-10-08,49.747
NET,1999-10-11,49.747
NET,1999-10-12,49.606
NET,1999-10-13,48.645
NET,1999-10-14,46.867
NET,1999-10-15,45.286
NET,1999-10-18,45.018
NET,1999-10-19,45.081
NET,1999-10-20,45.081
NET,1999-10-21,44.743
NET,1999-10-22,46.93
NET,1999-10-25,45.702
NET,1999-10-27,45.836
NET,1999-10-28,45.286
NET,1999-10-29,45.018
NET,1999-11-01,45.153
NET,1999-11-02,42.414
NET,1999-11-03,42.068
NET,1999-11-04,40.833
NET,1999-11-05,42.272
NET,1999-11-08,39.4
NET,1999-11-09,40.353
NET,1999-11-10,38.85
NET,1999-11-11,38.441
NET,1999-11-12,39.605
NET,1999-11-15,41.045
NET,1999-11-16,40.219
NET,1999-11-17,39.259
NET,1999-11-18,40.219
NET,1999-11-19,39.464
NET,1999-11-22,38.645
NET,1999-11-23,38.709
NET,1999-11-24,41.933
NET,1999-11-26,43.162
NET,1999-11-29,43.162
NET,1999-11-30,42.957
NET,1999-12-01,43.303
NET,1999-12-02,44.059
