<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2004-09-30,32.486,32.698,30.556,32.127
2004-10-01,32.127,32.698,32.127,32.346
2004-10-04,32.698,33.131,32.698,32.844
2004-10-05,32.844,32.91,32.844,32.844
2004-10-06,32.559,32.773,32.486,32.773
2004-10-07,32.486,32.698,32.486,32.698
2004-10-08,32.127,32.559,32.127,32.559
2004-10-11,32.127,32.127,31.054,31.986
2004-10-12,31.275,31.415,30.703,30.703
2004-10-13,30.988,30.988,30.841,30.841
2004-10-14,30.916,30.916,30.916,30.916
2004-10-15,30.344,30.988,30.344,30.988
2004-10-18,30.703,30.776,29.984,30.776
2004-10-20,29.631,29.984,29.631,29.984
2004-10-21,29.984,30.916,29.984,30.916
2004-10-22,29.557,29.557,29.484,29.484
2004-10-25,30.556,30.556,29.272,29.272
2004-10-26,29.272,31.773,28.912,31.773
2004-10-27,31.7,31.7,29.705,31.486
2004-10-28,31.275,31.275,31.275,31.275
2004-10-29,31.415,31.415,31.342,31.342
2004-11-02,31.56,31.56,30.344,31.415
2004-11-03,31.415,31.415,30.203,31.415
2004-11-04,31.275,31.342,30.417,30.417
2004-11-05,30.417,30.776,30.417,30.489
2004-11-08,30.058,31.201,29.984,31.201
2004-11-10,31.128,31.128,30.131,31.054
2004-11-12,30.344,31.201,30.27,31.201
2004-11-15,30.703,31.201,30.417,31.201
2004-11-16,30.629,30.629,30.417,30.629
2004-11-17,30.703,30.776,30.703,30.776
2004-11-18,30.629,30.703,30.629,30.703
2004-11-19,30.703,30.703,30.344,30.344
2004-11-22,31.054,31.054,30.841,30.841
2004-11-23,28.912,29.984,28.912,29.917
2004-11-24,29.058,29.984,28.912,29.984
2004-11-25,29.984,29.984,29.984,29.984
2004-11-26,28.912,29.772,28.912,29.772
2004-11-29,29.917,30.131,29.058,30.131
2004-12-01,29.984,29.984,29.631,29.984
2004-12-02,29.984,30.131,29.984,30.131
2004-12-03,29.984,29.984,29.272,29.984
2004-12-06,29.772,29.772,29.772,29.772
2004-12-07,28.986,29.984,28.986,29.984
2004-12-08,29.917,29.984,29.844,29.984
2004-12-09,29.772,30.417,29.631,30.27
2004-12-13,29.984,29.984,29.984,29.984
2004-12-14,29.345,30.27,29.345,30.27
2004-12-15,29.418,29.984,29.418,29.984
2004-12-16,29.984,30.203,29.984,30.203
2004-12-17,29.705,30.203,29.631,30.203
2004-12-20,29.631,29.984,29.631,29.984
2004-12-21,29.984,29.984,29.984,29.984
2004-12-22,29.917,29.917,29.917,29.917
2004-12-23,29.345,29.917,29.345,29.917
2004-12-24,29.917,29.984,29.917,29.984
2004-12-27,29.984,29.984,29.705,29.705
2004-12-28,29.418,29.418,29.345,29.345
2004-12-29,29.272,30.131,29.272,29.984
2004-12-30,29.058,30.703,29.058,30.703
2004-12-31,30.629,30.629,30.344,30.344
2005-01-03,31.054,31.054,30.344,30.344
2005-01-04,29.984,30.776,29.984,30.776
2005-01-10,30.058,30.629,30.058,30.344
2005-01-11,29.631,30.489,29.631,30.489
2005-01-12,29.631,30.489,29.631,30.489
2005-01-13,30.344,30.344,30.344,30.344
2005-01-14,29.984,30.27,29.984,30.27
2005-01-18,29.705,29.917,29.557,29.917
2005-01-19,29.772,30.131,29.772,30.131
2005-01-20,29.917,30.131,29.418,30.131
2005-01-21,29.418,30.058,29.345,29.345
2005-01-24,29.345,30.058,27.849,30.058
2005-01-25,29.132,30.489,29.132,30.489
2005-01-27,29.557,29.984,29.484,29.984
2005-01-28,29.631,29.631,29.557,29.557
2005-01-31,28.845,30.058,28.845,30.058
2005-02-02,29.132,29.844,29.132,29.844
2005-02-03,29.272,29.917,29.272,29.631
2005-02-04,29.844,29.984,29.844,29.984
2005-02-07,29.272,29.984,29.272,29.418
2005-02-08,29.418,29.917,29.418,29.917
2005-02-09,29.345,29.345,29.272,29.272
2005-02-10,28.347,29.844,28.347,29.844
2005-02-11,29.631,30.203,29.345,30.203
2005-02-14,30.556,31.342,29.772,31.342
2005-02-15,31.342,31.342,30.417,31.275
2005-02-16,30.841,31.054,30.556,31.054
2005-02-18,30.27,30.703,30.203,30.703
2005-02-21,30.058,30.417,30.058,30.417
2005-02-22,30.27,30.344,30.27,30.27
2005-02-23,30.27,30.344,30.058,30.27
2005-02-24,29.984,29.984,29.917,29.984
2005-02-25,29.984,29.984,29.984,29.984
2005-02-28,29.418,29.418,29.418,29.418
2005-03-01,29.917,30.344,29.345,30.344
2005-03-02,29.484,30.344,29.484,30.344
2005-03-03,30.344,30.556,29.631,30.556
2005-03-04,29.984,30.344,29.984,29.984
2005-03-07,30.417,30.417,30.417,30.417
2005-03-08,29.484,30.489,29.484,30.489
2005-03-10,30.344,30.344,29.772,30.058
2005-03-11,30.344,30.344,30.344,30.344
2005-03-15,29.557,30.203,29.557,30.058
2005-03-16,29.557,29.984,29.058,29.844
2005-03-17,29.631,29.984,29.631,29.984
2005-03-21,29.984,29.984,29.272,29.272
2005-03-22,29.272,29.984,29.272,29.984
2005-03-23,29.272,29.917,29.132,29.917
2005-03-29,28.986,29.984,28.633,29.984
2005-03-30,29.844,29.984,29.844,29.984
2005-03-31,29.984,29.984,29.272,29.984
2005-04-01,29.917,29.917,29.917,29.917
2005-04-04,29.631,29.917,29.631,29.917
2005-04-05,29.418,29.917,29.418,29.917
2005-04-06,29.484,29.917,29.484,29.917
2005-04-07,29.984,29.984,29.984,29.984
2005-04-13,29.484,29.984,29.418,29.418
2005-04-14,29.418,29.418,29.418,29.418
2005-04-18,29.844,29.844,29.844,29.844
2005-04-22,29.272,29.272,29.272,29.272
