<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-04-12,16.866,16.98,14.169,14.481
2007-04-13,15.05,15.531,14.481,14.51
2007-04-16,14.736,14.736,14.225,14.339
2007-04-17,14.339,14.339,13.886,13.97
2007-04-18,13.856,13.856,13.091,13.376
2007-04-19,13.062,13.459,12.92,13.346
2007-04-20,13.318,13.602,13.034,13.062
2007-04-23,13.288,13.288,12.296,12.409
2007-04-24,12.352,12.438,11.841,12.239
2007-04-25,12.352,12.693,12.182,12.636
2007-04-26,12.636,13.602,12.636,13.401
2007-04-27,13.63,13.886,13.091,13.401
2007-04-30,13.431,13.602,13.147,13.288
2007-05-02,13.346,13.516,13.231,13.516
2007-05-04,13.516,13.516,13.288,13.431
2007-05-07,13.488,13.488,13.091,13.231
2007-05-08,13.118,13.231,12.721,12.778
2007-05-09,12.778,13.004,12.721,13.004
2007-05-10,13.062,13.062,12.721,12.721
2007-05-11,12.465,12.636,12.209,12.607
2007-05-14,12.806,13.204,12.579,13.062
2007-05-15,13.091,13.091,12.806,12.92
2007-05-16,12.891,12.891,12.636,12.778
2007-05-17,12.778,12.806,12.438,12.493
2007-05-18,12.38,12.493,12.209,12.493
2007-05-21,12.693,12.693,12.296,12.352
2007-05-22,12.493,12.493,12.239,12.438
2007-05-23,12.493,13.288,12.493,12.92
2007-05-24,13.034,13.204,12.493,13.062
2007-05-25,12.778,13.376,12.749,13.318
2007-05-28,14.054,14.481,13.914,14.085
2007-05-29,14.141,14.907,13.856,14.68
2007-05-30,14.623,15.192,14.198,14.481
2007-05-31,14.623,15.05,14.567,14.708
2007-06-01,14.765,14.765,13.97,14.198
2007-06-04,14.113,14.169,13.773,13.829
2007-06-05,13.829,14.054,13.401,13.544
2007-06-06,13.488,13.914,13.488,13.829
2007-06-08,13.829,13.829,13.516,13.716
2007-06-11,13.914,14.113,13.743,13.914
2007-06-12,13.914,13.914,13.687,13.8
2007-06-13,13.773,13.829,13.602,13.773
2007-06-14,13.886,14.054,13.773,14.028
2007-06-15,13.914,14.028,13.658,14.028
2007-06-18,13.97,14.028,13.773,13.914
2007-06-19,13.914,14.028,13.716,13.998
2007-06-20,14.028,15.05,14.028,14.765
2007-06-21,14.481,14.907,14.481,14.623
2007-06-22,14.736,14.823,14.51,14.736
2007-06-25,14.708,14.823,14.225,14.736
2007-06-26,14.623,14.878,14.623,14.765
2007-06-27,14.68,15.531,14.68,15.192
2007-06-28,15.446,15.531,15.05,15.276
2007-06-29,15.333,15.333,14.68,14.907
2007-07-02,14.539,14.851,14.198,14.736
2007-07-03,14.765,14.823,14.339,14.481
2007-07-04,14.339,14.708,14.339,14.652
2007-07-05,14.623,14.736,14.481,14.623
2007-07-06,14.623,14.736,14.51,14.51
2007-07-09,14.623,14.851,14.623,14.793
2007-07-10,14.793,14.907,14.539,14.68
2007-07-11,14.567,14.68,14.481,14.567
2007-07-12,14.708,14.708,14.396,14.567
2007-07-13,14.736,14.736,14.426,14.539
2007-07-16,14.595,14.623,13.914,14.339
2007-07-17,14.339,14.595,13.97,14.595
2007-07-18,14.595,14.595,14.368,14.481
2007-07-19,15.333,15.333,14.623,14.623
2007-07-20,14.765,14.765,14.539,14.623
2007-07-23,14.708,14.765,14.481,14.539
2007-07-24,14.539,14.623,14.368,14.51
2007-07-25,14.225,14.426,13.773,14.282
2007-07-26,14.282,14.282,13.687,13.914
2007-07-27,13.488,13.998,13.376,13.914
2007-07-30,14.113,14.198,13.346,13.914
2007-07-31,13.97,14.312,13.687,14.169
2007-08-01,14.141,14.141,13.63,13.886
2007-08-02,14.113,14.113,13.376,13.687
2007-08-03,13.914,13.914,12.778,13.091
2007-08-06,13.062,13.062,12.38,12.636
2007-08-07,13.459,13.459,12.977,13.062
2007-08-08,13.346,13.459,13.118,13.346
2007-08-09,13.488,13.602,12.493,12.863
2007-08-10,12.493,12.778,11.925,12.323
2007-08-13,11.925,12.209,11.557,11.812
2007-08-14,11.812,12.721,11.131,12.438
2007-08-16,12.153,12.153,10.819,11.385
2007-08-17,11.359,11.898,11.359,11.642
2007-08-20,12.239,12.438,11.67,12.068
2007-08-21,11.784,12.153,11.5,12.068
2007-08-22,12.182,12.493,11.784,12.153
2007-08-23,12.493,12.493,12.068,12.266
2007-08-24,12.04,12.182,11.699,12.153
2007-08-27,12.068,12.323,11.954,12.153
2007-08-28,12.153,12.153,11.812,11.925
2007-08-29,11.359,11.784,11.246,11.784
2007-08-30,12.068,12.239,11.642,11.642
2007-08-31,12.125,12.125,11.841,11.869
2007-09-03,12.182,12.182,11.869,12.04
2007-09-04,12.04,12.125,11.925,11.925
2007-09-05,11.925,12.125,11.528,11.784
2007-09-06,11.869,11.869,11.443,11.585
2007-09-07,11.585,11.784,11.075,11.415
2007-09-10,11.075,11.329,10.848,11.246
2007-09-11,11.415,11.415,10.762,11.188
2007-09-12,11.188,11.415,10.904,11.159
2007-09-13,11.272,11.272,10.931,11.246
2007-09-14,11.272,11.359,10.79,11.188
2007-09-17,11.302,11.302,10.931,11.188
2007-09-18,11.188,11.415,10.931,11.415
2007-09-19,11.898,11.898,11.472,11.642
2007-09-20,11.642,11.755,11.385,11.5
2007-09-21,11.5,11.614,11.385,11.5
2007-09-24,11.642,11.642,11.415,11.5
2007-09-25,11.443,11.614,11.215,11.443
2007-09-26,11.188,11.614,11.188,11.443
2007-09-27,11.585,11.585,11.188,11.385
2007-09-28,11.557,11.557,11.046,11.302
2007-10-01,11.472,11.472,11.102,11.302
2007-10-02,11.302,11.415,11.102,11.302
2007-10-03,11.188,11.699,11.188,11.699
2007-10-04,11.528,11.784,11.359,11.642
2007-10-05,12.068,12.409,11.642,11.812
2007-10-08,12.068,12.068,11.528,11.812
2007-10-09,11.812,11.812,11.528,11.727
2007-10-10,11.812,11.812,11.215,11.585
2007-10-11,11.585,11.585,11.385,11.557
2007-10-12,11.528,11.528,11.302,11.302
2007-10-15,11.557,11.557,11.159,11.443
2007-10-16,11.5,13.004,11.272,12.097
2007-10-17,12.352,12.778,12.352,12.493
2007-10-18,12.551,12.664,12.068,12.068
2007-10-19,12.068,12.352,12.068,12.323
2007-10-22,12.068,12.209,11.784,11.925
2007-10-23,11.841,12.153,11.812,11.925
2007-10-24,11.954,12.011,11.898,12.011
2007-10-25,12.011,12.011,11.699,11.925
2007-10-26,11.557,11.869,11.075,11.385
2007-10-29,11.585,11.585,11.359,11.585
2007-10-30,11.585,11.585,11.329,11.557
2007-10-31,11.5,11.585,11.385,11.385
2007-11-02,11.272,11.385,11.131,11.385
2007-11-05,11.443,11.472,11.075,11.302
2007-11-06,11.302,11.302,11.131,11.215
2007-11-07,11.359,11.359,10.507,10.649
2007-11-08,10.507,10.649,10.081,10.364
2007-11-09,10.477,10.649,10.25,10.507
2007-11-12,10.137,10.392,9.598,10.137
2007-11-13,9.769,10.051,9.54,10.024
2007-11-14,10.193,10.193,9.682,9.682
2007-11-15,9.682,9.682,8.4337,8.8028
2007-11-16,8.2917,8.8028,7.9507,8.5187
2007-11-19,8.4337,8.9445,8.4337,8.5762
2007-11-20,8.4611,8.5762,8.0921,8.3763
2007-11-21,8.3484,8.3763,7.6385,7.6385
2007-11-22,7.2406,8.0075,7.0421,7.6385
2007-11-23,7.752,7.8941,7.6665,7.8085
2007-11-26,7.9507,8.6895,7.9507,8.3484
2007-11-27,8.1208,8.3197,8.0921,8.1496
2007-11-28,8.3484,8.632,8.3484,8.5762
2007-11-29,8.8871,8.9445,8.3484,8.4051
2007-11-30,8.3763,8.632,8.3763,8.632
2007-12-03,8.8028,8.8028,8.2629,8.3763
2007-12-04,8.3763,8.3763,8.0362,8.2054
2007-12-05,8.3197,8.5762,7.9507,8.3197
2007-12-06,8.4337,8.5187,8.2917,8.5187
2007-12-07,8.1496,8.4894,8.1496,8.4894
